// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24599		-0.675808	0.375498	3.587930
24600		-0.684065	0.371189	3.600527
24601		-0.692909	0.373999	3.612809
24602		-0.706245	0.375093	3.612127
24603		-0.729751	0.369674	3.609556
24604		-0.757898	0.351741	3.607815
24605		-0.780764	0.309236	3.607480
24606		-0.775077	0.268282	3.616326
24607		-0.755966	0.249350	3.646365
24608		-0.748946	0.221193	3.663091
24609		-0.744527	0.191060	3.649871
24610		-0.731315	0.156062	3.593357
24611		-0.711079	0.123650	3.507031
24612		-0.687433	0.089918	3.412800
24613		-0.664479	0.065584	3.337527
24614		-0.643755	0.035804	3.295500
24615		-0.629217	0.010821	3.284235
24616		-0.619744	-0.010195	3.288858
24617		-0.612728	-0.031970	3.307942
24618		-0.599173	-0.051481	3.342737
24619		-0.587278	-0.065927	3.405937
24620		-0.582043	-0.079320	3.484721
24621		-0.580574	-0.099989	3.559264
24622		-0.583345	-0.115086	3.633143
24623		-0.586019	-0.130388	3.707079
24624		-0.587060	-0.140093	3.775219
24625		-0.592686	-0.148624	3.821718
24626		-0.599179	-0.150196	3.824442
24627		-0.609047	-0.152215	3.797720
24628		-0.620240	-0.157305	3.752323
24629		-0.636113	-0.159003	3.704575
24630		-0.651751	-0.161780	3.668713
24631		-0.666828	-0.156672	3.660198
24632		-0.686013	-0.150147	3.684127
24633		-0.705119	-0.136345	3.730610
24634		-0.730528	-0.131863	3.795131
24635		-0.753578	-0.141490	3.874110
24636		-0.771625	-0.153748	3.965377
24637		-0.785059	-0.165999	4.046225
24638		-0.798541	-0.173795	4.104949
24639		-0.812553	-0.185269	4.135611
24640		-0.824931	-0.195394	4.135056
24641		-0.833528	-0.205430	4.114368
24642		-0.842822	-0.215944	4.085894
24643		-0.850424	-0.222438	4.054707
24644		-0.854065	-0.219733	4.033851
24645		-0.858517	-0.215475	4.029700
24646		-0.862892	-0.208928	4.039694
24647		-0.875804	-0.207822	4.056116
24648		-0.889785	-0.208971	4.068912
24649		-0.905953	-0.211200	4.077867
24650		-0.927785	-0.213310	4.089769
24651		-0.953626	-0.210218	4.101075
24652		-0.973719	-0.212594	4.119114
24653		-0.990516	-0.223553	4.144264
24654		-1.005629	-0.228529	4.187845
24655		-1.018398	-0.223039	4.237768
24656		-1.034287	-0.220608	4.286102
24657		-1.046073	-0.219367	4.326238
24658		-1.054665	-0.214829	4.357613
24659		-1.064872	-0.214904	4.375604
24660		-1.070844	-0.208842	4.373274
24661		-1.075328	-0.212663	4.353650
24662		-1.080441	-0.222157	4.325989
24663		-1.084060	-0.230687	4.308756
24664		-1.092240	-0.237737	4.312166
24665		-1.102549	-0.241839	4.320948
24666		-1.113490	-0.241667	4.332183
24667		-1.121674	-0.234438	4.345323
24668		-1.134785	-0.231911	4.352753
24669		-1.147269	-0.223325	4.353076
24670		-1.165612	-0.209385	4.353624
24671		-1.182512	-0.199869	4.353307
24672		-1.200285	-0.188661	4.353441
24673		-1.215414	-0.171624	4.358520
24674		-1.233663	-0.163444	4.365875
24675		-1.249293	-0.158709	4.368739
24676		-1.258723	-0.153189	4.368226
24677		-1.264701	-0.152454	4.370821
24678		-1.272499	-0.149233	4.370360
24679		-1.277871	-0.146113	4.367646
24680		-1.280354	-0.143550	4.357222
24681		-1.282947	-0.141879	4.342834
24682		-1.289398	-0.143165	4.325289
24683		-1.295364	-0.140954	4.301594
24684		-1.299402	-0.134349	4.281015
24685		-1.308825	-0.122874	4.261533
24686		-1.318620	-0.114350	4.244111
24687		-1.328265	-0.103995	4.232808
24688		-1.342103	-0.098239	4.230617
24689		-1.357440	-0.085676	4.238651
24690		-1.370857	-0.068685	4.249790
24691		-1.385752	-0.056048	4.266705
24692		-1.395157	-0.034370	4.294086
24693		-1.409266	-0.015818	4.321938
24694		-1.423827	0.005064	4.352066
24695		-1.437727	0.027410	4.375888
24696		-1.448245	0.049701	4.388694
24697		-1.456992	0.067320	4.393349
24698		-1.463448	0.078666	4.390404
24699		-1.467669	0.090279	4.403568
24700		-1.467705	0.104829	4.432782
24701		-1.472485	0.118934	4.466628
24702		-1.474828	0.128158	4.497917
24703		-1.477057	0.135668	4.522042
24704		-1.473818	0.146521	4.532133
24705		-1.469017	0.156708	4.537347
24706		-1.464821	0.170374	4.535866
24707		-1.464746	0.182115	4.535554
24708		-1.462720	0.191832	4.541187
24709		-1.456631	0.204651	4.561041
24710		-1.450063	0.219792	4.592866
24711		-1.449095	0.229543	4.632645
24712		-1.447069	0.235253	4.665562
24713		-1.445835	0.244217	4.702140
24714		-1.445311	0.260163	4.742351
24715		-1.443927	0.276117	4.772006
24716		-1.440571	0.292474	4.798532
24717		-1.439496	0.307706	4.821220
24718		-1.438925	0.321354	4.845086
24719		-1.437453	0.334506	4.865448
24720		-1.436632	0.346710	4.885065
24721		-1.433801	0.356318	4.905576
24722		-1.429838	0.360672	4.925246
24723		-1.423279	0.366149	4.942573
24724		-1.418830	0.368962	4.955823
24725		-1.412452	0.372401	4.967063
24726		-1.403195	0.372175	4.978631
24727		-1.395456	0.372061	4.990018
24728		-1.387774	0.369582	5.002346
24729		-1.380390	0.366321	5.015840
24730		-1.372623	0.364649	5.037314
24731		-1.370053	0.363333	5.063659
24732		-1.366431	0.365194	5.086487
24733		-1.364467	0.368477	5.108253
24734		-1.361667	0.378390	5.133882
24735		-1.357717	0.391750	5.160074
24736		-1.355288	0.404413	5.189077
24737		-1.352396	0.418019	5.215858
24738		-1.353251	0.429265	5.235378
24739		-1.354506	0.438930	5.246916
24740		-1.354997	0.454404	5.253167
24741		-1.356038	0.468532	5.261708
24742		-1.360126	0.484146	5.267865
24743		-1.369250	0.485021	5.274116
24744		-1.376162	0.481716	5.281031
24745		-1.378058	0.477073	5.287249
24746		-1.380281	0.475392	5.296801
24747		-1.383483	0.471096	5.305775
24748		-1.382552	0.466666	5.310459
24749		-1.379841	0.465524	5.314352
24750		-1.373461	0.465109	5.319318
24751		-1.370267	0.463777	5.318800
24752		-1.362166	0.465372	5.312723
24753		-1.353223	0.467865	5.305228
24754		-1.348914	0.468244	5.294010
24755		-1.344413	0.469690	5.282697
24756		-1.340524	0.469474	5.269643
24757		-1.336539	0.469088	5.259601
24758		-1.334561	0.472067	5.254846
24759		-1.332299	0.474897	5.255999
24760		-1.329817	0.477266	5.259107
24761		-1.327287	0.476112	5.260112
24762		-1.326326	0.475450	5.257800
24763		-1.322798	0.475921	5.253150
24764		-1.322375	0.471427	5.248935
24765		-1.320198	0.468883	5.241807
24766		-1.317384	0.465813	5.237379
24767		-1.316337	0.462978	5.234935
24768		-1.315385	0.461644	5.231582
24769		-1.315020	0.457621	5.228435
24770		-1.313849	0.454850	5.220827
24771		-1.314503	0.449628	5.211037
24772		-1.311632	0.445770	5.200428
24773		-1.311260	0.444869	5.189231
24774		-1.307431	0.445440	5.182359
24775		-1.306847	0.443476	5.185314
24776		-1.306700	0.440533	5.190497
24777		-1.305531	0.439151	5.198292
24778		-1.306693	0.435878	5.205190
24779		-1.303000	0.435040	5.201337
24780		-1.304177	0.433525	5.198112
24781		-1.306286	0.429283	5.189136
24782		-1.307780	0.429739	5.183100
24783		-1.310196	0.432291	5.183821
24784		-1.312089	0.437634	5.189417
24785		-1.316814	0.442794	5.196552
24786		-1.321226	0.449375	5.203562
24787		-1.327443	0.453515	5.208392
