// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
33731		0.540591	2.610730	3.082215
33732		0.559548	2.600110	3.095544
33733		0.580861	2.594746	3.108686
33734		0.605489	2.594391	3.121705
33735		0.623758	2.594210	3.136875
33736		0.636787	2.591878	3.154779
33737		0.648904	2.594346	3.172504
33738		0.659428	2.592652	3.178613
33739		0.664852	2.574864	3.178020
33740		0.667445	2.560936	3.174083
33741		0.672795	2.550324	3.157414
33742		0.681213	2.541856	3.130166
33743		0.694112	2.531965	3.100225
33744		0.704699	2.519545	3.072580
33745		0.718724	2.505669	3.049917
33746		0.737917	2.492564	3.028381
33747		0.755703	2.477153	3.003778
33748		0.772544	2.454193	2.977790
33749		0.788439	2.433388	2.949711
33750		0.803569	2.413249	2.918946
33751		0.817427	2.395053	2.888066
33752		0.828607	2.374074	2.856545
33753		0.838453	2.356493	2.833127
33754		0.850696	2.355167	2.822507
33755		0.863746	2.364788	2.811395
33756		0.869411	2.365883	2.789611
33757		0.867913	2.366633	2.763853
33758		0.863076	2.364290	2.741743
33759		0.853378	2.365113	2.726727
33760		0.841795	2.362338	2.713947
33761		0.825709	2.353112	2.705194
33762		0.808299	2.344889	2.705231
33763		0.789452	2.338591	2.709411
33764		0.771154	2.333959	2.708559
33765		0.754538	2.329285	2.698445
33766		0.734915	2.322416	2.686416
33767		0.717513	2.316795	2.678036
33768		0.701254	2.310122	2.671129
33769		0.686125	2.301637	2.666387
33770		0.675674	2.292814	2.650573
33771		0.666368	2.278719	2.622935
33772		0.659303	2.260910	2.587293
33773		0.657269	2.247180	2.538496
33774		0.658254	2.232131	2.483649
33775		0.660114	2.217340	2.430124
33776		0.661006	2.204163	2.375455
33777		0.659458	2.191099	2.321939
33778		0.655932	2.175200	2.267149
33779		0.652870	2.160160	2.212209
33780		0.646679	2.141745	2.161595
33781		0.637914	2.126235	2.118878
33782		0.628035	2.112788	2.084393
33783		0.618506	2.100326	2.059257
33784		0.609700	2.086159	2.040409
33785		0.603900	2.072266	2.018210
33786		0.603163	2.065274	1.992718
33787		0.600831	2.058604	1.965602
33788		0.595923	2.054928	1.934167
33789		0.592484	2.054099	1.900342
33790		0.590508	2.053614	1.859521
33791		0.585989	2.052761	1.818056
33792		0.577539	2.048763	1.776117
33793		0.571188	2.041916	1.744609
33794		0.561818	2.030310	1.729528
33795		0.553052	2.015138	1.721878
33796		0.545966	2.001516	1.716543
33797		0.543235	1.995584	1.713012
33798		0.545788	1.987909	1.709295
33799		0.544737	1.981825	1.707433
33800		0.537642	1.976494	1.700915
33801		0.532262	1.976919	1.681335
33802		0.528183	1.979941	1.655048
33803		0.521059	1.981911	1.637168
33804		0.507896	1.986546	1.629021
33805		0.497229	1.995063	1.628287
33806		0.483467	2.004427	1.634618
33807		0.468990	2.008887	1.649593
33808		0.451666	2.007601	1.663951
33809		0.433538	2.000554	1.680565
33810		0.418399	1.994708	1.687827
33811		0.405974	1.981498	1.679372
33812		0.396336	1.970544	1.664680
33813		0.388812	1.962609	1.641732
33814		0.382177	1.951048	1.612186
33815		0.379236	1.948094	1.571773
33816		0.378349	1.943733	1.528289
33817		0.375657	1.939208	1.490245
33818		0.376619	1.936439	1.459260
33819		0.378893	1.932982	1.434479
33820		0.387159	1.946932	1.417396
33821		0.391549	1.958344	1.403895
33822		0.389605	1.962085	1.389254
33823		0.383577	1.962760	1.380520
33824		0.380015	1.967235	1.385962
33825		0.373925	1.962564	1.400781
33826		0.364279	1.949894	1.413876
33827		0.353895	1.942145	1.424403
33828		0.344451	1.929047	1.433055
33829		0.335478	1.916193	1.434955
33830		0.326288	1.907137	1.432450
33831		0.316771	1.898720	1.428077
33832		0.305742	1.891918	1.423539
33833		0.296770	1.887982	1.420527
33834		0.287651	1.888443	1.415346
33835		0.280884	1.894599	1.411379
33836		0.280249	1.897196	1.407893
33837		0.280161	1.902103	1.403586
33838		0.278001	1.905956	1.402527
33839		0.276232	1.914275	1.400511
33840		0.273262	1.921091	1.396757
33841		0.267469	1.932483	1.394330
33842		0.259866	1.932210	1.392885
33843		0.256752	1.927487	1.394651
33844		0.250489	1.922936	1.400828
33845		0.246764	1.918518	1.413456
33846		0.241415	1.909090	1.421909
33847		0.238034	1.897022	1.426217
33848		0.238118	1.888843	1.423344
33849		0.237134	1.877967	1.409254
33850		0.236291	1.870155	1.386930
33851		0.235948	1.862132	1.361038
33852		0.235312	1.856017	1.334412
33853		0.233780	1.854026	1.311579
33854		0.233519	1.854539	1.292076
33855		0.232847	1.849601	1.272066
33856		0.231956	1.846252	1.247105
33857		0.229455	1.842293	1.226688
33858		0.225828	1.838742	1.211245
33859		0.223499	1.831576	1.202408
33860		0.220937	1.820146	1.187790
33861		0.225386	1.808927	1.171855
33862		0.231480	1.801764	1.160695
33863		0.243326	1.791662	1.146022
33864		0.253764	1.779367	1.122228
33865		0.264712	1.766863	1.090381
33866		0.275729	1.752768	1.055302
33867		0.290697	1.741675	1.021380
33868		0.302919	1.730023	0.991761
33869		0.311574	1.722441	0.966647
33870		0.320622	1.717079	0.947181
33871		0.327502	1.718987	0.935079
33872		0.333960	1.723521	0.929129
33873		0.338762	1.725809	0.936891
33874		0.342749	1.729763	0.945304
33875		0.340187	1.737352	0.954841
33876		0.335926	1.737981	0.960562
33877		0.330791	1.737769	0.965044
33878		0.325732	1.740002	0.973944
33879		0.316083	1.743608	0.986124
33880		0.304626	1.748235	0.999935
33881		0.291610	1.758771	1.021614
33882		0.276765	1.771260	1.046864
33883		0.261022	1.782680	1.071144
33884		0.248630	1.799583	1.092205
33885		0.234761	1.816471	1.119900
33886		0.221162	1.838990	1.147013
33887		0.207064	1.856277	1.178739
33888		0.190588	1.863271	1.211115
33889		0.174411	1.866369	1.238585
33890		0.156299	1.868784	1.261813
33891		0.136147	1.868986	1.283078
33892		0.116585	1.872313	1.294093
33893		0.097145	1.871360	1.303229
33894		0.079765	1.870975	1.306769
33895		0.062751	1.871997	1.309393
33896		0.047937	1.873577	1.306564
33897		0.034012	1.877053	1.303708
33898		0.025197	1.878797	1.298826
33899		0.018351	1.874298	1.304093
33900		0.011468	1.860303	1.309524
33901		0.011304	1.845661	1.319367
33902		0.012128	1.831371	1.333550
33903		0.011206	1.819201	1.353987
33904		0.009491	1.811291	1.371998
33905		0.009956	1.806283	1.387717
33906		0.011736	1.806169	1.407271
