// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
33731		-2.031194	1.344380	4.247114
33732		-2.035932	1.344228	4.244355
33733		-2.039754	1.339710	4.237123
33734		-2.041888	1.335495	4.228040
33735		-2.042888	1.332988	4.215257
33736		-2.039323	1.332534	4.207035
33737		-2.033380	1.338537	4.201471
33738		-2.025780	1.347569	4.190558
33739		-2.014356	1.355978	4.174884
33740		-1.999855	1.360156	4.159012
33741		-1.986699	1.362521	4.137702
33742		-1.971169	1.363982	4.104014
33743		-1.956356	1.362372	4.060404
33744		-1.943178	1.356730	4.015680
33745		-1.933820	1.350106	3.972577
33746		-1.929292	1.344421	3.935251
33747		-1.924812	1.339756	3.901311
33748		-1.919899	1.334861	3.872769
33749		-1.919743	1.335067	3.844049
33750		-1.920642	1.335227	3.808982
33751		-1.923502	1.333450	3.770227
33752		-1.924617	1.327698	3.728413
33753		-1.926366	1.319066	3.686653
33754		-1.926463	1.309392	3.647850
33755		-1.923850	1.300563	3.612528
33756		-1.919212	1.293365	3.579475
33757		-1.912281	1.293854	3.549516
33758		-1.898423	1.295058	3.536031
33759		-1.880353	1.298913	3.529022
33760		-1.861680	1.303495	3.521134
33761		-1.844831	1.307040	3.509297
33762		-1.823990	1.306361	3.497157
33763		-1.804924	1.303785	3.481641
33764		-1.785295	1.301157	3.459751
33765		-1.763773	1.294373	3.426960
33766		-1.743884	1.283060	3.389194
33767		-1.724856	1.277631	3.351276
33768		-1.705207	1.278356	3.315073
33769		-1.686148	1.282288	3.276728
33770		-1.667721	1.285576	3.232869
33771		-1.654156	1.283652	3.188032
33772		-1.640162	1.280279	3.140300
33773		-1.633944	1.272941	3.090859
33774		-1.629214	1.264777	3.041453
33775		-1.627875	1.256774	2.989119
33776		-1.629489	1.247031	2.933365
33777		-1.632132	1.237769	2.875589
33778		-1.634587	1.224319	2.823241
33779		-1.633183	1.211177	2.772224
33780		-1.632521	1.199452	2.729219
33781		-1.630381	1.185363	2.685336
33782		-1.625931	1.173989	2.647233
33783		-1.623679	1.165955	2.610122
33784		-1.620459	1.160757	2.576379
33785		-1.618151	1.157704	2.546758
33786		-1.614626	1.154398	2.522505
33787		-1.613502	1.153909	2.501450
33788		-1.611995	1.150667	2.483452
33789		-1.613915	1.150906	2.464578
33790		-1.616071	1.144966	2.440214
33791		-1.618166	1.132651	2.410016
33792		-1.621032	1.116585	2.380522
33793		-1.624266	1.102715	2.351742
33794		-1.625687	1.091718	2.326582
33795		-1.628171	1.079464	2.309925
33796		-1.629841	1.070999	2.302748
33797		-1.632316	1.066895	2.310268
33798		-1.636695	1.065099	2.331319
33799		-1.644748	1.061470	2.355762
33800		-1.652766	1.056131	2.380373
33801		-1.660290	1.047535	2.403965
33802		-1.667847	1.040210	2.425186
33803		-1.668411	1.034877	2.448139
33804		-1.667278	1.030655	2.468264
33805		-1.664316	1.027590	2.485551
33806		-1.658104	1.028704	2.505109
33807		-1.650916	1.026894	2.522053
33808		-1.642344	1.022522	2.536462
33809		-1.634888	1.015257	2.545147
33810		-1.629432	1.007104	2.549646
33811		-1.625505	1.001056	2.542787
33812		-1.626488	0.994204	2.521855
33813		-1.629418	0.977769	2.490827
33814		-1.634806	0.965518	2.451160
33815		-1.642082	0.955215	2.412038
33816		-1.647870	0.947054	2.376382
33817		-1.654183	0.939406	2.343275
33818		-1.660650	0.932603	2.312060
33819		-1.667103	0.923537	2.283116
33820		-1.671164	0.912801	2.267923
33821		-1.673751	0.904346	2.257328
33822		-1.675643	0.898532	2.252539
33823		-1.677046	0.895794	2.255471
33824		-1.678295	0.895045	2.264538
33825		-1.679147	0.892761	2.279079
33826		-1.679029	0.888753	2.299855
33827		-1.679145	0.888662	2.319577
33828		-1.679981	0.892779	2.338580
33829		-1.681121	0.894516	2.356409
33830		-1.684771	0.893894	2.368703
33831		-1.686493	0.889708	2.373634
33832		-1.688020	0.883841	2.371886
33833		-1.687580	0.875277	2.362182
33834		-1.685922	0.866013	2.346338
33835		-1.683927	0.856366	2.325313
33836		-1.682440	0.845288	2.309761
33837		-1.683774	0.839895	2.300345
33838		-1.685400	0.836820	2.295128
33839		-1.689515	0.836866	2.294557
33840		-1.692288	0.833869	2.295837
33841		-1.693844	0.829140	2.298952
33842		-1.693871	0.820607	2.298114
33843		-1.687952	0.810783	2.297362
33844		-1.680621	0.803597	2.302177
33845		-1.673474	0.800958	2.312611
33846		-1.668575	0.803684	2.324670
33847		-1.665673	0.806343	2.337055
33848		-1.663963	0.807234	2.345664
33849		-1.663195	0.804290	2.351751
33850		-1.665279	0.799950	2.348601
33851		-1.665083	0.793266	2.335305
33852		-1.665844	0.785453	2.307811
33853		-1.661739	0.776918	2.273618
33854		-1.653582	0.770457	2.232702
33855		-1.645392	0.767046	2.195480
33856		-1.635712	0.766110	2.163707
33857		-1.625015	0.768817	2.141726
33858		-1.615099	0.770466	2.125135
33859		-1.607349	0.771312	2.108991
33860		-1.601533	0.769018	2.088120
33861		-1.593352	0.760776	2.063140
33862		-1.587477	0.754949	2.030277
33863		-1.584883	0.745734	1.991979
33864		-1.586472	0.736031	1.948075
33865		-1.593798	0.725598	1.897951
33866		-1.603418	0.716340	1.847906
33867		-1.617176	0.709674	1.801420
33868		-1.629800	0.703204	1.753955
33869		-1.642467	0.699296	1.714931
33870		-1.651548	0.696935	1.685193
33871		-1.659129	0.696914	1.659434
33872		-1.663609	0.697707	1.641065
33873		-1.669117	0.700786	1.629999
33874		-1.672761	0.701424	1.627451
33875		-1.679909	0.701870	1.635812
33876		-1.683300	0.700883	1.656981
33877		-1.692713	0.707623	1.690886
33878		-1.703807	0.711713	1.731428
33879		-1.714235	0.713908	1.772206
33880		-1.723886	0.711648	1.807509
33881		-1.733511	0.706843	1.843451
33882		-1.740889	0.704327	1.881376
33883		-1.748747	0.705140	1.919923
33884		-1.755096	0.710568	1.965436
33885		-1.758903	0.715244	2.014625
33886		-1.762279	0.718472	2.078897
33887		-1.768923	0.724232	2.150980
33888		-1.777104	0.728469	2.227449
33889		-1.787455	0.730905	2.296631
33890		-1.797151	0.730147	2.359038
33891		-1.804401	0.725616	2.409146
33892		-1.812062	0.721721	2.448329
33893		-1.819612	0.717617	2.474378
33894		-1.825160	0.714724	2.491515
33895		-1.832231	0.710821	2.498718
33896		-1.839626	0.707104	2.499909
33897		-1.847557	0.701702	2.503470
33898		-1.856011	0.696147	2.504724
33899		-1.867052	0.693324	2.515743
33900		-1.879113	0.689906	2.533202
33901		-1.897023	0.685897	2.560198
33902		-1.913462	0.681826	2.597119
33903		-1.932113	0.679482	2.638613
33904		-1.948968	0.676588	2.688894
33905		-1.968214	0.674983	2.747075
33906		-1.990239	0.676511	2.807877
33907		-2.010176	0.673943	2.868359
33908		-2.029022	0.671257	2.924982
33909		-2.045288	0.664504	2.977793
33910		-2.056442	0.653726	3.034125
33911		-2.066905	0.645201	3.085687
33912		-2.077926	0.637532	3.126828
33913		-2.089057	0.630313	3.150975
33914		-2.098259	0.619714	3.154044
33915		-2.110440	0.606633	3.138332
33916		-2.119242	0.590897	3.105322
33917		-2.126643	0.573665	3.058583
33918		-2.134669	0.554269	3.003993
33919		-2.139889	0.535209	2.947856
33920		-2.145490	0.519699	2.897090
33921		-2.149415	0.505948	2.855008
33922		-2.154455	0.492872	2.828373
33923		-2.154931	0.481726	2.824751
33924		-2.158234	0.472131	2.841901
33925		-2.163807	0.468206	2.886124
33926		-2.171797	0.469806	2.955652
33927		-2.182278	0.473072	3.043415
33928		-2.191798	0.476384	3.143570
33929		-2.198077	0.479335	3.249038
33930		-2.200191	0.484430	3.349890
33931		-2.199151	0.490012	3.437940
33932		-2.194254	0.492131	3.507954
33933		-2.179385	0.493826	3.557173
33934		-2.158441	0.499853	3.589503
33935		-2.130575	0.512419	3.603795
33936		-2.094840	0.530872	3.604310
33937		-2.050103	0.558582	3.593872
33938		-1.999150	0.591554	3.566272
33939		-1.944244	0.626501	3.527919
33940		-1.889350	0.655353	3.480711
33941		-1.835923	0.674631	3.429304
33942		-1.791776	0.688593	3.384118
33943		-1.760379	0.696197	3.336905
33944		-1.744088	0.696873	3.292755
33945		-1.741214	0.689025	3.254924
33946		-1.750166	0.679059	3.224676
33947		-1.774715	0.667115	3.200350
33948		-1.809826	0.652071	3.186642
33949		-1.856962	0.636118	3.186356
33950		-1.910195	0.621426	3.208914
33951		-1.970147	0.604845	3.254824
33952		-2.036578	0.594435	3.324063
33953		-2.112344	0.585647	3.411471
33954		-2.192148	0.577653	3.517050
33955		-2.273185	0.567308	3.635764
33956		-2.352932	0.553186	3.770231
33957		-2.426015	0.541419	3.922438
33958		-2.496471	0.538038	4.083054
33959		-2.563144	0.539567	4.237800
33960		-2.624800	0.542053	4.377226
33961		-2.679052	0.542015	4.489768
33962		-2.724711	0.545541	4.579200
33963		-2.766834	0.556122	4.647678
33964		-2.802400	0.574266	4.696499
33965		-2.834093	0.592854	4.727499
33966		-2.868322	0.606618	4.728322
33967		-2.905720	0.609849	4.714668
33968		-2.941213	0.606404	4.702877
33969		-2.980694	0.603563	4.701147
33970		-3.021955	0.604490	4.720485
33971		-3.061209	0.606045	4.762176
33972		-3.097473	0.614546	4.837444
33973		-3.123907	0.628067	4.945275
33974		-3.141169	0.655406	5.081792
33975		-3.149745	0.695895	5.237644
33976		-3.149847	0.748466	5.397214
33977		-3.139107	0.809152	5.546834
33978		-3.115903	0.871011	5.689891
33979		-3.079119	0.930757	5.819926
33980		-3.033472	0.986253	5.930679
33981		-2.980004	1.040904	6.021103
33982		-2.923494	1.091615	6.080411
33983		-2.868286	1.139014	6.111555
33984		-2.805932	1.184604	6.132020
33985		-2.743254	1.230771	6.141441
33986		-2.687524	1.268495	6.141128
33987		-2.650668	1.301621	6.117999
33988		-2.628546	1.330869	6.081037
33989		-2.616242	1.350936	6.031034
33990		-2.610073	1.366002	5.980907
33991		-2.608475	1.375758	5.938184
33992		-2.606470	1.385711	5.916611
33993		-2.601586	1.391571	5.920131
33994		-2.600824	1.403569	5.954067
