// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
33731		-0.383752	0.218696	-0.031986
33732		-0.389376	0.223764	-0.034064
33733		-0.393202	0.230936	-0.033269
33734		-0.397885	0.235468	-0.034072
33735		-0.401925	0.241487	-0.035004
33736		-0.405286	0.248989	-0.036055
33737		-0.406111	0.255919	-0.037337
33738		-0.407004	0.261670	-0.036992
33739		-0.406514	0.266234	-0.039874
33740		-0.407761	0.271843	-0.041955
33741		-0.404083	0.273953	-0.041233
33742		-0.403158	0.275484	-0.042012
33743		-0.402545	0.274685	-0.042893
33744		-0.400752	0.273518	-0.043416
33745		-0.398750	0.272516	-0.044870
33746		-0.396604	0.271490	-0.042968
33747		-0.393650	0.268967	-0.045796
33748		-0.392883	0.267159	-0.045972
33749		-0.391189	0.264812	-0.044877
33750		-0.390056	0.262161	-0.045275
33751		-0.390189	0.258699	-0.044406
33752		-0.390445	0.256251	-0.044240
33753		-0.390857	0.254810	-0.044772
33754		-0.390238	0.254999	-0.043012
33755		-0.388953	0.254702	-0.046668
33756		-0.382929	0.256072	-0.045231
33757		-0.379744	0.259052	-0.047634
33758		-0.375827	0.261331	-0.047838
33759		-0.371478	0.263941	-0.049890
33760		-0.367997	0.264901	-0.050889
33761		-0.363732	0.266333	-0.051316
33762		-0.361630	0.266513	-0.054381
33763		-0.357141	0.268112	-0.055732
33764		-0.354839	0.270426	-0.054422
33765		-0.352764	0.271586	-0.054852
33766		-0.348484	0.273020	-0.055286
33767		-0.344432	0.273302	-0.057439
33768		-0.339564	0.274061	-0.059019
33769		-0.335736	0.274175	-0.060247
33770		-0.333128	0.272504	-0.062870
33771		-0.328807	0.271745	-0.060972
33772		-0.326649	0.269736	-0.061726
33773		-0.324058	0.268060	-0.064333
33774		-0.318404	0.264939	-0.064025
33775		-0.314155	0.262019	-0.063154
33776		-0.310255	0.259948	-0.062081
33777		-0.305345	0.258513	-0.061334
33778		-0.301586	0.257456	-0.060881
33779		-0.297478	0.255548	-0.060711
33780		-0.295319	0.253534	-0.061455
33781		-0.293905	0.253209	-0.061762
33782		-0.290594	0.251816	-0.059482
