// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
00554		15.835146	-5.284535	-174.402477
00555		14.554025	-5.070765	-173.258161
00556		12.983131	-5.049134	-172.223248
00557		11.629097	-4.631037	-171.363987
00558		10.528172	-3.772655	-170.724216
00559		9.390733	-2.986000	-170.359223
00560		8.110409	-2.605487	-170.028121
00561		6.922515	-2.387785	-169.378351
00562		6.017599	-1.911392	-168.577852
00563		5.311610	-1.461403	-168.162109
00564		4.790111	-1.196977	-168.169727
00565		4.586151	-0.790129	-168.412931
00566		4.471527	-0.307650	-168.899862
00567		4.091988	-0.123974	-169.602296
00568		3.492734	-0.032898	-170.227731
00569		2.892571	0.168118	-170.560225
00570		2.339310	0.519444	-170.621365
00571		1.826773	0.928648	-170.491827
00572		1.366946	1.324540	-170.280178
00573		0.968394	1.655549	-170.049098
00574		0.647676	1.961295	-169.769964
00575		0.329216	2.129446	-169.471451
00576		0.003508	2.277723	-169.261655
00577		-0.305191	2.409567	-169.138788
00578		-0.607994	2.518416	-169.021182
00579		-0.895011	2.612467	-168.853771
00580		-1.172045	2.743873	-168.677008
00581		-1.424160	2.884566	-168.506400
00582		-1.665946	3.031599	-168.294496
00583		-1.897390	3.189283	-168.078909
00584		-2.139614	3.331703	-167.871043
00585		-2.385960	3.460753	-167.700127
00586		-2.660554	3.588872	-167.618433
00587		-2.976297	3.703787	-167.642471
00588		-3.324892	3.836138	-167.767180
00589		-3.706404	3.950706	-167.964324
00590		-4.123755	4.057903	-168.194495
00591		-4.556644	4.199946	-168.439048
00592		-4.992925	4.370085	-168.662688
00593		-5.424788	4.564506	-168.818633
00594		-5.890880	4.747953	-168.945982
00595		-6.363971	4.934176	-169.055621
00596		-6.842387	5.121604	-169.168607
00597		-7.323950	5.307309	-169.322057
00598		-7.818572	5.485636	-169.525675
00599		-8.302881	5.659999	-169.780709
00600		-8.822041	5.807879	-170.099645
00601		-9.374658	5.944728	-170.470320
00602		-9.977562	6.069222	-170.853166
00603		-10.614683	6.210384	-171.220351
00604		-11.320141	6.375352	-171.537364
00605		-12.089745	6.581215	-171.754031
00606		-12.927765	6.851355	-171.887013
00607		-13.816886	7.183410	-171.921171
00608		-14.776372	7.561189	-171.871728
00609		-15.784845	7.984586	-171.734898
00610		-16.820940	8.471899	-171.572821
00611		-17.897605	8.997081	-171.382776
00612		-19.035583	9.550058	-171.270079
00613		-20.233206	10.094970	-171.162279
00614		-21.443406	10.731073	-171.054185
00615		-22.738046	11.425719	-171.034391
00616		-24.095929	12.187379	-171.118829
00617		-25.544547	12.943211	-171.373566
00618		-27.066977	13.634124	-171.863266
00619		-28.666353	14.226209	-172.595014
00620		-30.354988	14.686365	-173.677885
00621		-32.066360	15.069097	-174.975167
00622		-33.701063	15.442535	-176.291582
00623		-35.302265	15.854632	-177.617970
00624		-36.917107	16.191105	-178.983040
00625		-38.577924	16.364481	179.524897
00626		-40.259666	16.270342	178.004945
00627		-41.928014	15.843251	176.518918
00628		-43.511645	15.183479	175.136605
00629		-45.073673	14.455001	173.947715
00630		-46.470488	13.990564	173.109318
00631		-47.612399	13.789028	172.445393
00632		-48.383802	13.615837	171.788304
00633		-48.818616	13.228256	171.188734
00634		-48.937143	12.631228	170.662234
00635		-48.749536	12.069141	170.216844
00636		-48.241077	11.674643	169.998685
00637		-47.482548	11.531670	170.178570
00638		-46.483877	11.659513	170.745640
00639		-45.253410	12.002185	171.586435
00640		-43.765638	12.471741	172.593206
00641		-42.046448	12.937967	173.687642
00642		-40.111746	13.247231	174.834578
00643		-38.012287	13.364340	175.957276
00644		-35.819777	13.254490	177.050791
00645		-33.605928	12.853573	178.099385
00646		-31.318328	12.255384	179.040349
00647		-28.935414	11.517697	179.824465
00648		-26.433863	10.645206	-179.528875
00649		-23.829269	9.642868	-178.981090
00650		-21.094209	8.529601	-178.572135
00651		-18.250238	7.305838	-178.254478
00652		-15.350306	5.968781	-177.951402
00653		-12.446647	4.589446	-177.820352
00654		-9.605629	3.180722	-177.979108
00655		-6.818762	1.811630	-178.432920
00656		-3.973787	0.507652	-179.192755
00657		-1.003380	-0.776784	179.835750
00658		2.154881	-1.954402	178.866324
00659		5.451095	-2.956577	178.195649
00660		8.660004	-3.881905	178.148057
00661		11.515525	-4.893351	178.633946
00662		14.027604	-6.008133	179.140015
00663		16.323912	-7.143920	179.245229
00664		18.506991	-8.229716	178.803317
00665		20.584175	-9.173623	178.190132
00666		22.166751	-9.975793	178.053354
00667		23.188284	-10.074867	178.108104
00668		23.652071	-9.484731	177.658817
00669		23.463365	-8.638298	176.677342
00670		22.631079	-7.758088	175.686698
00671		21.399918	-6.809442	175.157586
00672		19.980866	-5.802353	175.429878
00673		18.736544	-4.881471	176.572036
00674		18.090203	-4.295531	178.162484
00675		17.932113	-3.928038	179.449227
00676		17.511767	-3.918324	-179.352674
00677		16.341963	-4.430698	-177.718564
00678		14.674411	-4.939562	-175.492161
00679		12.910598	-5.207543	-172.903003
00680		11.380394	-4.896858	-170.407548
00681		10.119081	-4.173073	-168.258243
00682		8.898626	-3.612278	-166.485255
00683		7.794740	-3.021040	-165.071577
00684		6.888835	-2.344075	-164.171227
00685		6.056351	-1.888773	-163.889930
00686		5.407859	-1.458237	-163.999232
00687		5.125384	-0.817111	-164.689452
00688		4.888346	-0.254453	-165.805343
00689		4.376073	0.002138	-166.940760
00690		3.531392	0.092628	-167.760830
00691		2.802010	0.274473	-167.948767
00692		2.265256	0.563311	-167.466127
00693		1.909252	1.021645	-166.531429
00694		1.638024	1.569841	-165.456998
00695		1.435254	2.084915	-164.574571
00696		1.259853	2.519242	-164.073284
00697		1.020349	2.769044	-164.027990
00698		0.692272	2.910876	-164.337381
00699		0.337092	3.021907	-164.861603
00700		-0.048986	3.087888	-165.452681
00701		-0.432296	3.155860	-166.015210
00702		-0.792984	3.193660	-166.477804
00703		-1.101367	3.240935	-166.741149
00704		-1.376192	3.348609	-166.787448
00705		-1.619163	3.513463	-166.685637
00706		-1.862582	3.693841	-166.536274
00707		-2.094538	3.901576	-166.464137
00708		-2.384152	4.069319	-166.528515
00709		-2.713731	4.202711	-166.698571
00710		-3.097593	4.333823	-166.947028
00711		-3.510448	4.479326	-167.226077
00712		-3.952534	4.666799	-167.474684
00713		-4.400772	4.846253	-167.655356
00714		-4.844049	5.039800	-167.763816
00715		-5.282979	5.246597	-167.802619
00716		-5.727515	5.464556	-167.817976
00717		-6.172385	5.678899	-167.826440
00718		-6.615380	5.897247	-167.871979
00719		-7.068704	6.088687	-168.018349
00720		-7.552644	6.274654	-168.288640
00721		-8.069659	6.436472	-168.648505
00722		-8.655381	6.589638	-169.092248
00723		-9.289549	6.740604	-169.562027
00724		-9.975354	6.929737	-170.002363
00725		-10.716377	7.136346	-170.375348
00726		-11.520331	7.393523	-170.680837
00727		-12.377908	7.697349	-170.900438
00728		-13.289605	8.059852	-171.053103
00729		-14.259802	8.463654	-171.155973
00730		-15.292625	8.905081	-171.210560
00731		-16.364796	9.390887	-171.196841
00732		-17.474056	9.944140	-171.143223
00733		-18.613643	10.552525	-171.086726
00734		-19.788997	11.228933	-171.048111
00735		-21.010174	11.926770	-171.091422
00736		-22.277056	12.654723	-171.142384
00737		-23.593126	13.440465	-171.279438
00738		-25.017334	14.206788	-171.600489
00739		-26.530262	14.885948	-172.077061
00740		-28.105170	15.474939	-172.701659
00741		-29.791387	16.024785	-173.716347
00742		-31.547715	16.489638	-175.032249
00743		-33.270231	16.933217	-176.463914
00744		-34.971521	17.351789	-177.962803
00745		-36.733185	17.756980	-179.448018
00746		-38.629891	18.007492	179.122356
00747		-40.605824	18.024820	177.697955
00748		-42.583714	17.636561	176.139885
00749		-44.484533	17.067836	174.743634
00750		-46.234735	16.579496	173.883754
00751		-47.766617	16.273365	173.397722
00752		-48.950009	16.095427	172.923044
00753		-49.718519	15.847673	172.403016
00754		-50.090578	15.432326	171.957633
00755		-50.135294	14.950486	171.568897
00756		-49.805116	14.573870	171.278259
00757		-49.191171	14.311475	171.166584
00758		-48.359005	14.094886	171.270237
00759		-47.321485	13.928740	171.546395
00760		-46.064547	13.793721	171.982390
00761		-44.603566	13.684837	172.517573
00762		-42.931550	13.569773	173.088980
00763		-41.114847	13.363246	173.691475
00764		-39.203784	12.960025	174.296559
00765		-37.189412	12.421653	174.834600
00766		-35.044036	11.764334	175.239177
00767		-32.769999	11.032077	175.584565
00768		-30.355883	10.226673	175.954569
00769		-27.816045	9.325648	176.397284
00770		-25.129297	8.341761	176.867808
00771		-22.336064	7.321024	177.378249
00772		-19.458250	6.293252	177.848368
00773		-16.521779	5.218181	178.138900
00774		-13.559407	4.032307	178.257285
00775		-10.635683	2.735524	178.288480
00776		-7.745862	1.407238	178.194576
00777		-4.765794	0.152451	177.921285
00778		-1.613224	-1.035317	177.577392
00779		1.636353	-2.153597	177.325048
00780		4.827982	-3.218947	177.269103
00781		7.880629	-4.280318	177.492287
00782		10.720372	-5.543127	178.040939
00783		13.359665	-6.771659	178.653410
00784		15.823744	-7.860100	178.910251
00785		18.165221	-8.983346	178.631241
00786		20.312936	-10.250146	178.109190
00787		22.017433	-11.263171	177.778006
00788		23.296482	-11.364862	177.111616
00789		24.045879	-10.705271	175.852761
00790		24.142072	-9.729243	174.199545
00791		23.580961	-8.709327	172.560870
00792		22.594516	-7.651974	171.380060
00793		21.477652	-6.607050	171.001418
00794		20.335441	-5.762316	171.460844
00795		19.126785	-5.236799	172.618406
00796		17.916626	-4.889190	174.502409
00797		17.031315	-4.752355	176.942391
00798		16.799980	-4.607563	179.516105
00799		16.806953	-4.639664	-178.250722
00800		16.477803	-4.918730	-176.522439
00801		15.692863	-5.161093	-175.215859
00802		14.563063	-5.568444	-173.881842
00803		13.383123	-5.660424	-172.586235
00804		12.196246	-5.010634	-171.513685
00805		11.013085	-3.817233	-171.291324
00806		10.001179	-2.571804	-172.024941
00807		8.839169	-1.910556	-173.405972
00808		7.720052	-1.404718	-174.756998
00809		6.841352	-0.945810	-175.647330
00810		6.159992	-0.589413	-176.110744
00811		5.708777	-0.139524	-176.475366
00812		5.321055	0.237851	-176.922868
00813		4.946204	0.477904	-177.222362
00814		4.569704	0.774051	-177.235976
00815		4.125581	1.066168	-176.980126
00816		3.653046	1.266125	-176.566364
00817		3.244347	1.413754	-176.250635
00818		2.892417	1.603996	-175.854230
00819		2.540874	1.715124	-175.418317
00820		2.162134	1.785510	-175.180808
00821		1.756662	1.823532	-175.017593
00822		1.416313	1.976141	-174.837995
00823		1.122716	2.155335	-174.598393
00824		0.831109	2.264626	-174.301236
00825		0.536001	2.334734	-173.927618
00826		0.221668	2.378265	-173.466887
00827		-0.049206	2.463331	-172.951381
00828		-0.306653	2.608638	-172.536831
00829		-0.567665	2.772735	-172.329302
00830		-0.871155	2.927047	-172.340291
00831		-1.213695	3.057651	-172.615126
00832		-1.610868	3.142995	-173.051869
00833		-2.045822	3.192106	-173.648345
00834		-2.539450	3.242368	-174.393105
00835		-3.037935	3.349977	-175.245388
00836		-3.505816	3.553845	-176.027611
00837		-3.972496	3.673327	-176.640597
00838		-4.420731	3.780682	-176.916871
00839		-4.861099	3.850042	-177.019064
00840		-5.282503	3.936492	-176.876667
00841		-5.659269	4.105429	-176.531594
00842		-6.036960	4.324377	-176.116753
00843		-6.418204	4.561939	-175.664662
00844		-6.834154	4.781020	-175.264823
00845		-7.273256	4.996330	-174.983628
00846		-7.751709	5.190931	-174.845631
00847		-8.240040	5.385449	-174.823117
00848		-8.788489	5.574353	-174.884816
00849		-9.389591	5.760371	-175.020625
00850		-10.068086	5.932245	-175.204613
00851		-10.780685	6.094048	-175.387035
00852		-11.529033	6.287103	-175.570744
00853		-12.299331	6.519677	-175.726474
00854		-13.124044	6.766053	-175.838639
00855		-14.010642	6.997394	-175.833492
00856		-14.927225	7.265940	-175.762452
00857		-15.884019	7.580951	-175.637957
00858		-16.874648	7.951644	-175.482380
00859		-17.898770	8.367036	-175.302897
00860		-19.006273	8.822817	-175.127998
00861		-20.162983	9.323684	-174.976375
00862		-21.390910	9.854494	-174.811513
00863		-22.670831	10.475202	-174.678824
00864		-24.024583	11.149262	-174.641092
00865		-25.456416	11.812654	-174.730348
00866		-26.955520	12.426066	-175.002091
00867		-28.549602	12.943078	-175.506401
00868		-30.236587	13.323215	-176.281795
00869		-31.955390	13.615383	-177.293161
00870		-33.589634	14.005893	-178.309378
00871		-35.152444	14.582490	-179.216562
00872		-36.666636	15.217181	179.996865
00873		-38.156018	15.813459	179.248594
00874		-39.605447	16.294265	178.425270
00875		-41.005734	16.596274	177.534283
00876		-42.357433	16.589229	176.594765
00877		-43.640724	16.348269	175.857588
00878		-44.797869	16.144078	175.537943
00879		-45.892361	16.144339	175.329325
00880		-46.778711	16.373634	175.089499
00881		-47.320436	16.633350	174.830298
00882		-47.538524	16.539428	174.538212
00883		-47.532793	16.037777	174.175524
00884		-47.310464	15.303744	173.827358
00885		-46.783948	14.596425	173.610611
00886		-45.910896	14.051146	173.710271
00887		-44.741555	13.712219	174.181072
00888		-43.245551	13.615559	174.910494
00889		-41.470494	13.674828	175.765521
00890		-39.459987	13.719485	176.666081
00891		-37.288580	13.645781	177.584245
00892		-35.023273	13.336534	178.445951
00893		-32.738175	12.791401	179.147226
00894		-30.407614	12.071336	179.692021
00895		-28.024773	11.226594	-179.891771
00896		-25.576012	10.240913	-179.563303
00897		-23.037393	9.165011	-179.320390
00898		-20.388531	8.012110	-179.164542
00899		-17.619575	6.814051	-179.118403
00900		-14.760227	5.555079	-179.132224
00901		-11.852864	4.286574	-179.227309
00902		-8.902166	3.065782	-179.497565
00903		-5.999149	1.798009	-179.863232
00904		-3.122027	0.511257	179.716548
00905		-0.108616	-0.585516	179.187198
00906		3.100244	-1.497044	178.636745
00907		6.387443	-2.365437	178.271096
00908		9.501018	-3.359832	178.372803
00909		12.267156	-4.460511	178.842901
00910		14.752166	-5.536580	179.181656
00911		17.026794	-6.648555	179.057575
00912		19.198331	-7.718485	178.515581
00913		21.303617	-8.599670	177.936134
00914		22.992507	-9.349655	177.815801
00915		24.151889	-9.535160	177.903696
00916		24.751319	-9.146358	177.543306
00917		24.751996	-8.485173	176.628415
00918		24.156505	-7.737674	175.655826
00919		23.123678	-6.915047	175.157024
00920		21.854162	-6.013603	175.265039
00921		20.506537	-5.103048	175.847024
00922		19.272077	-4.330543	177.043894
00923		18.527558	-3.812915	178.655673
00924		18.321621	-3.642798	-179.640196
00925		18.129188	-3.739191	-178.149244
00926		17.559884	-3.850379	-176.761639
00927		16.460974	-4.031862	-175.387425
