// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
00554		23.417007	-2.759335	176.938038
00555		23.075234	-3.016604	177.310728
00556		23.070325	-3.302592	178.215173
00557		23.402311	-3.381509	179.104998
00558		23.939801	-3.564727	179.405713
00559		24.417140	-3.949595	179.313515
00560		24.522027	-4.322127	179.212811
00561		24.106942	-4.441483	179.116814
00562		23.222728	-4.206369	178.701492
00563		22.113063	-3.803787	178.054477
00564		21.055379	-3.341359	177.615152
00565		20.097378	-2.997722	177.611850
00566		19.309685	-2.840600	177.957254
00567		18.638988	-2.728264	178.489064
00568		17.969597	-2.673994	179.018250
00569		17.240228	-2.705725	179.345914
00570		16.526847	-2.747458	179.492795
00571		15.877644	-2.817425	179.612041
00572		15.260158	-2.900736	179.744677
00573		14.636475	-3.010214	179.919343
00574		13.973263	-3.065242	-179.880748
00575		13.305542	-3.039303	-179.662730
00576		12.636863	-2.960424	-179.406882
00577		11.962177	-2.841898	-179.126194
00578		11.299215	-2.716141	-178.797043
00579		10.627620	-2.601798	-178.393397
00580		9.935877	-2.510292	-177.929863
00581		9.223757	-2.439788	-177.427061
00582		8.508081	-2.378123	-176.895308
00583		7.792617	-2.307777	-176.351088
00584		7.076633	-2.205490	-175.846317
00585		6.375281	-2.052232	-175.453439
00586		5.697119	-1.877280	-175.144514
00587		5.062703	-1.689759	-174.869733
00588		4.483852	-1.470945	-174.595189
00589		3.950951	-1.224256	-174.306637
00590		3.436602	-0.951317	-173.997871
00591		2.929978	-0.661418	-173.691599
00592		2.415226	-0.372125	-173.413165
00593		1.888878	-0.107683	-173.188778
00594		1.344288	0.142912	-173.035429
00595		0.762191	0.368805	-172.973236
00596		0.133075	0.582306	-172.995467
00597		-0.525772	0.790942	-173.070876
00598		-1.204365	1.044024	-173.163812
00599		-1.891623	1.341141	-173.260876
00600		-2.587123	1.668673	-173.378828
00601		-3.309637	1.974153	-173.538479
00602		-4.083731	2.224664	-173.744883
00603		-4.886947	2.393261	-174.007490
00604		-5.665052	2.498104	-174.319887
00605		-6.362077	2.528044	-174.637664
00606		-6.965586	2.503305	-174.873200
00607		-7.461730	2.467885	-174.991758
00608		-7.869584	2.426515	-174.984425
00609		-8.208641	2.373922	-174.843776
00610		-8.482679	2.303642	-174.619581
00611		-8.709014	2.209099	-174.393729
00612		-8.867338	2.074744	-174.236642
00613		-8.945573	1.893462	-174.210660
00614		-8.927034	1.613878	-174.396880
00615		-8.808194	1.220185	-174.805832
00616		-8.546645	0.757581	-175.343952
00617		-8.102058	0.254176	-175.962465
00618		-7.421363	-0.285645	-176.574438
00619		-6.467887	-0.854996	-177.095721
00620		-5.296119	-1.570076	-177.583240
00621		-3.977207	-2.468838	-178.084434
00622		-2.465168	-3.413223	-178.543322
00623		-0.772711	-4.325056	-178.911597
00624		1.059677	-5.171288	-179.256817
00625		2.927148	-5.878394	-179.683220
00626		4.681214	-6.336016	179.734220
