// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15342		14.438705	-53.089452	1.377164
15343		13.519805	-50.931378	1.984172
15344		12.689315	-48.629213	2.447994
15345		11.917150	-46.212161	2.793256
15346		11.199758	-43.760901	3.053681
15347		10.518547	-41.282089	3.285659
15348		9.860078	-38.799289	3.524476
15349		9.194909	-36.259680	3.793237
15350		8.488226	-33.655972	4.072308
15351		7.693277	-30.932480	4.355799
15352		6.804277	-28.147740	4.634720
15353		5.830310	-25.305097	4.923187
15354		4.827641	-22.463078	5.240023
15355		3.844119	-19.601734	5.615566
15356		2.924042	-16.733725	6.042947
15357		2.070714	-13.831430	6.484320
15358		1.278779	-10.954555	6.899284
15359		0.542754	-8.093175	7.261298
15360		-0.145998	-5.285988	7.565357
15361		-0.812242	-2.520067	7.826769
15362		-1.507436	0.148131	8.040446
15363		-2.297334	2.713655	8.205633
15364		-3.144671	5.122036	8.391701
15365		-3.977762	7.348310	8.661821
15366		-4.726976	9.346118	9.037623
15367		-5.390520	11.109451	9.476087
15368		-6.007123	12.600770	9.901818
15369		-6.619231	13.810683	10.228016
15370		-7.190721	14.715813	10.412110
15371		-7.642100	15.289249	10.454790
15372		-7.776096	15.434905	10.453330
15373		-7.499213	15.145944	10.466892
15374		-6.813441	14.447735	10.570895
15375		-5.306014	13.308002	11.188674
15376		-3.439759	11.629009	11.759795
15377		-1.960750	9.996811	12.305997
15378		-1.005655	8.395137	12.889768
15379		-0.479332	6.487615	13.124672
15380		-0.163441	4.685223	13.009188
