// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
57584	0.103078	0.232220	-0.431479
57585	0.099986	0.235064	-0.449117
57586	0.097891	0.237512	-0.459522
57587	0.094888	0.240603	-0.453409
57588	0.093959	0.241236	-0.449623
57589	0.094797	0.244501	-0.456465
57590	0.093324	0.245570	-0.446874
57591	0.095437	0.248289	-0.449716
57592	0.096442	0.249626	-0.433472
57593	0.098808	0.252075	-0.434433
57594	0.103126	0.256263	-0.417214
57595	0.106740	0.258916	-0.406661
57596	0.106864	0.261357	-0.393300
57597	0.110596	0.264219	-0.394749
57598	0.110103	0.265670	-0.380918
57599	0.115062	0.267467	-0.367457
57600	0.118710	0.269259	-0.356421
57601	0.121873	0.272698	-0.360140
57602	0.122137	0.275290	-0.356001
57603	0.123786	0.277240	-0.367481
57604	0.126504	0.278714	-0.364651
57605	0.126009	0.281679	-0.369412
57606	0.126758	0.283770	-0.367130
57607	0.131120	0.284359	-0.374423
57608	0.132356	0.285952	-0.373995
57609	0.135191	0.288651	-0.380769
57610	0.139153	0.292124	-0.380203
57611	0.141759	0.294236	-0.370593
57612	0.145243	0.296854	-0.377450
57613	0.143029	0.298998	-0.389526
57614	0.145078	0.301780	-0.401417
57615	0.144243	0.301964	-0.429198
57616	0.142482	0.302396	-0.440222
57617	0.143521	0.302024	-0.475157
57618	0.146749	0.301669	-0.484778
57619	0.149323	0.300436	-0.487110
57620	0.152872	0.298052	-0.497333
57621	0.153931	0.294567	-0.514283
57622	0.155490	0.292778	-0.523741
57623	0.155372	0.288463	-0.556114
57624	0.155896	0.286250	-0.567198
57625	0.154739	0.283515	-0.583044
57626	0.155338	0.282742	-0.590115
57627	0.156968	0.282246	-0.604365
57628	0.157898	0.280815	-0.604074
57629	0.159079	0.279530	-0.622076
57630	0.162708	0.279959	-0.620328
57631	0.165248	0.278055	-0.624381
57632	0.166059	0.276508	-0.617511
57633	0.167582	0.274029	-0.610743
57634	0.170334	0.271841	-0.602008
57635	0.170735	0.269688	-0.612914
57636	0.174420	0.266459	-0.605253
57637	0.178177	0.264428	-0.600097
57638	0.179305	0.260849	-0.593834
57639	0.183683	0.259819	-0.596306
57640	0.185565	0.258739	-0.590451
57641	0.187362	0.256560	-0.595236
57642	0.186985	0.256782	-0.598609
57643	0.186897	0.257647	-0.619315
57644	0.187531	0.256901	-0.627710
57645	0.186299	0.255071	-0.639455
57646	0.188654	0.252103	-0.642100
57647	0.186690	0.251679	-0.664220
57648	0.186402	0.253363	-0.664898
57649	0.187276	0.253951	-0.651696
57650	0.186400	0.254669	-0.653220
57651	0.187638	0.254551	-0.662360
57652	0.185823	0.256308	-0.662813
57653	0.188533	0.254422	-0.665325
57654	0.191070	0.254376	-0.662577
57655	0.194655	0.252123	-0.692146
57656	0.199927	0.248885	-0.688668
57657	0.204789	0.246158	-0.676609
57658	0.210230	0.244452	-0.674383
57659	0.214141	0.240619	-0.692432
57660	0.216966	0.237131	-0.695618
57661	0.219553	0.235516	-0.702492
57662	0.201574	0.231232	-0.713634
57663	0.153427	0.220703	-0.735653
57664	0.094410	0.209313	-0.769257
57665	0.042797	0.197165	-0.801296
57666	0.006561	0.185947	-0.827704
57667	-0.036997	0.174536	-0.860471
57668	-0.086340	0.163585	-0.895933
57669	-0.120603	0.151442	-0.934929
57670	-0.138953	0.141255	-0.959497
57671	-0.147703	0.132865	-0.971159
57672	-0.145501	0.126965	-0.980490
57673	-0.137131	0.120513	-0.993821
57674	-0.125128	0.116580	-0.998325
57675	-0.105348	0.112070	-1.012072
57676	-0.077123	0.109166	-1.005281
57677	-0.032526	0.108321	-1.005570
57678	0.023088	0.110517	-0.992837
57679	0.072156	0.111288	-0.991631
57680	0.112862	0.110835	-0.987866
