// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
32436	11.606149	-28.366802	-154.735337
32437	11.742883	-27.470653	-155.792469
32438	11.603023	-26.347259	-156.431797
32439	11.490222	-25.120683	-156.792123
32440	11.306711	-24.030196	-156.724854
32441	10.953784	-23.199500	-156.158463
32442	10.603131	-22.614919	-155.411108
32443	10.269409	-22.156422	-154.631845
32444	9.967847	-21.696335	-153.896174
32445	9.739428	-21.153299	-153.394865
32446	9.570340	-20.458095	-153.288060
32447	9.438809	-19.581132	-153.557739
32448	9.367823	-18.578090	-154.154736
32449	9.350898	-17.536393	-154.946341
32450	9.337560	-16.525615	-155.821294
32451	9.321877	-15.583690	-156.728305
32452	9.279768	-14.721830	-157.592584
32453	9.220278	-13.905117	-158.342082
32454	9.138318	-13.105603	-158.933477
32455	9.011929	-12.325539	-159.390076
32456	8.893785	-11.548028	-159.706236
32457	8.749687	-10.797189	-159.813973
32458	8.547639	-10.086306	-159.764138
32459	8.328811	-9.383687	-159.640288
32460	8.106910	-8.675591	-159.467253
32461	7.899454	-7.954046	-159.253638
32462	7.682503	-7.229376	-159.009276
32463	7.459983	-6.488559	-158.748830
32464	7.249039	-5.743345	-158.460780
32465	7.026246	-5.002199	-158.155067
32466	6.777431	-4.285326	-157.782572
32467	6.527932	-3.578967	-157.356224
32468	6.312878	-2.874453	-156.913737
32469	6.111758	-2.166165	-156.477904
32470	5.897973	-1.478959	-156.050030
32471	5.665142	-0.799923	-155.619394
32472	5.432237	-0.110769	-155.251629
32473	5.188050	0.583043	-154.986080
32474	4.937945	1.275143	-154.821758
32475	4.685575	1.963174	-154.730560
32476	4.435029	2.647262	-154.709853
32477	4.169838	3.323495	-154.797031
32478	3.889642	3.983386	-155.007214
32479	3.568624	4.593559	-155.369558
32480	3.218221	5.113253	-155.848542
32481	2.900757	5.545389	-156.361677
32482	2.642695	5.897403	-156.840819
32483	2.452643	6.194156	-157.219444
32484	2.311683	6.451676	-157.465281
32485	2.230295	6.674375	-157.602232
32486	2.178840	6.876102	-157.689571
32487	2.111003	7.057561	-157.801634
32488	1.988414	7.221565	-157.978298
32489	1.776102	7.356189	-158.245505
32490	1.468506	7.447699	-158.609873
32491	1.094804	7.465478	-159.065989
32492	0.678713	7.389209	-159.570968
32493	0.227085	7.207650	-160.133259
32494	-0.265258	6.918098	-160.755078
32495	-0.786828	6.474367	-161.394433
32496	-1.314321	5.842496	-161.994197
32497	-1.806823	4.997217	-162.572743
32498	-2.202989	3.962063	-163.082022
32499	-2.449904	2.760709	-163.503262
32500	-2.587932	1.415684	-163.856728
32501	-2.631310	-0.041324	-164.200166
32502	-2.580978	-1.514013	-164.561840
32503	-2.439685	-2.955199	-164.957153
32504	-2.271898	-4.329546	-165.366772
32505	-2.117572	-5.644515	-165.769148
32506	-1.983892	-6.902046	-166.158491
32507	-1.827215	-8.128265	-166.510012
32508	-1.615795	-9.334770	-166.814493
32509	-1.334193	-10.532277	-167.065193
32510	-1.021774	-11.729745	-167.266625
32511	-0.657804	-12.919965	-167.487870
32512	-0.243414	-14.068933	-167.698568
32513	0.233987	-15.159693	-167.762398
32514	0.701122	-16.215131	-167.600163
32515	1.112787	-17.272365	-167.210145
32516	1.450875	-18.375204	-166.616470
32517	1.750755	-19.546486	-165.854571
32518	2.024107	-20.754098	-164.954100
32519	2.322167	-21.960063	-164.009075
32520	2.688040	-23.101466	-163.048140
32521	3.058489	-24.165490	-162.027617
32522	3.377869	-25.149837	-160.937889
32523	3.617858	-26.096699	-159.822163
32524	3.769569	-27.017988	-158.704081
32525	3.852759	-27.925786	-157.621276
32526	3.935669	-28.799952	-156.641421
32527	4.060524	-29.610287	-155.802860
32528	4.260976	-30.319590	-155.139226
32529	4.589276	-30.910778	-154.721169
32530	5.040774	-31.372981	-154.550581
32531	5.583796	-31.711744	-154.573700
32532	6.169413	-31.927094	-154.709257
32533	6.793581	-32.020927	-154.947875
32534	7.469601	-31.976739	-155.319306
32535	8.153142	-31.784688	-155.780725
32536	8.706837	-31.497358	-156.242875
32537	9.053439	-31.167531	-156.672925
32538	9.161660	-30.814032	-157.022643
32539	9.075576	-30.419068	-157.339395
32540	8.937818	-29.939384	-157.666140
32541	8.713664	-29.430022	-157.770255
32542	8.324487	-28.985471	-157.366556
32543	7.804035	-28.668117	-156.534735
32544	7.169858	-28.535168	-155.634963
32545	6.578239	-28.514362	-154.936977
32546	6.220251	-28.521302	-154.527368
32547	6.208143	-28.512271	-154.408688
32548	6.463920	-28.527487	-154.451766
32549	6.961054	-28.613410	-154.504159
32550	7.531151	-28.815223	-154.527326
32551	8.186788	-29.071852	-154.566995
32552	8.920489	-29.272226	-154.664056
32553	9.644149	-29.356643	-154.794031
32554	10.242627	-29.303079	-154.829310
32555	10.682250	-29.131675	-154.738058
32556	10.973780	-28.877981	-154.569807
32557	10.934940	-28.645488	-154.132536
32558	10.367421	-28.551101	-153.182665
32559	9.877513	-28.508667	-152.397678
32560	9.867955	-28.526000	-152.296184
32561	9.831716	-28.723250	-152.314027
32562	9.894699	-28.901815	-152.114300
32563	9.841621	-28.855330	-151.959856
32564	9.707588	-28.345826	-152.271173
32565	9.616687	-27.335605	-152.930982
32566	9.627336	-26.039065	-153.730238
32567	9.755796	-24.698497	-154.592486
32568	9.912389	-23.476243	-155.316185
32569	9.927490	-22.514439	-155.719906
32570	9.854183	-21.805779	-155.880805
32571	9.738589	-21.219426	-155.821622
32572	9.585542	-20.652159	-155.646041
32573	9.386782	-20.047731	-155.394595
32574	9.145989	-19.365685	-155.213509
32575	8.904513	-18.574599	-155.187457
32576	8.691508	-17.713978	-155.316058
32577	8.504944	-16.815117	-155.577126
32578	8.336587	-15.926561	-155.926437
32579	8.215575	-15.060942	-156.334909
32580	8.118350	-14.257840	-156.815699
32581	8.048876	-13.501196	-157.357209
32582	7.987655	-12.785084	-157.905173
32583	7.917856	-12.079576	-158.396035
32584	7.823063	-11.373186	-158.806062
32585	7.732440	-10.640953	-159.119676
32586	7.637809	-9.894175	-159.308895
32587	7.510842	-9.149561	-159.363593
32588	7.378192	-8.414247	-159.330395
32589	7.224825	-7.703413	-159.223666
32590	7.044560	-7.011277	-159.022728
32591	6.863713	-6.320850	-158.744398
32592	6.685566	-5.631417	-158.438405
32593	6.514606	-4.934073	-158.134202
32594	6.335315	-4.242674	-157.847393
32595	6.124356	-3.542881	-157.605055
32596	5.854100	-2.858250	-157.429696
32597	5.550404	-2.175906	-157.299665
32598	5.227428	-1.489971	-157.255838
32599	4.897266	-0.801201	-157.300591
32600	4.577216	-0.118657	-157.360825
32601	4.280278	0.561391	-157.429452
32602	4.006468	1.218580	-157.440162
32603	3.783212	1.860291	-157.339103
32604	3.583564	2.476236	-157.134208
32605	3.380171	3.063245	-156.851678
32606	3.190353	3.640066	-156.498353
32607	3.035014	4.225416	-156.152653
32608	2.899372	4.798194	-155.885325
32609	2.763910	5.336670	-155.765940
32610	2.615273	5.798611	-155.803930
32611	2.463468	6.171003	-155.950273
32612	2.307485	6.460466	-156.132113
32613	2.165767	6.696097	-156.315141
32614	2.021506	6.883872	-156.525965
32615	1.872668	7.047727	-156.797316
32616	1.707862	7.186502	-157.111210
32617	1.509658	7.297985	-157.460026
32618	1.251886	7.355659	-157.863957
32619	0.942990	7.333335	-158.354346
32620	0.590844	7.207648	-158.913216
32621	0.214468	6.958784	-159.540754
32622	-0.175085	6.584867	-160.186895
32623	-0.535965	6.070890	-160.789492
32624	-0.865293	5.390073	-161.322456
32625	-1.157794	4.545505	-161.781930
32626	-1.375453	3.575421	-162.107917
32627	-1.527391	2.470652	-162.324923
32628	-1.696936	1.199606	-162.536222
32629	-1.843666	-0.205867	-162.833566
32630	-1.902172	-1.687784	-163.274502
32631	-1.828915	-3.177560	-163.852315
32632	-1.670527	-4.610505	-164.499568
32633	-1.473503	-5.934735	-165.193658
32634	-1.255842	-7.126222	-165.931149
32635	-0.987363	-8.231000	-166.665678
32636	-0.693603	-9.318519	-167.314690
32637	-0.383560	-10.440012	-167.853011
32638	-0.060525	-11.599871	-168.268748
32639	0.313101	-12.779980	-168.640445
32640	0.699599	-13.949859	-168.919135
32641	1.110538	-15.087273	-169.060158
32642	1.531243	-16.205742	-169.022082
32643	1.935987	-17.339078	-168.762574
32644	2.267226	-18.512809	-168.224947
32645	2.529024	-19.741344	-167.472278
32646	2.741669	-21.002493	-166.588369
32647	3.015614	-22.225583	-165.648299
32648	3.350104	-23.362091	-164.669094
32649	3.670227	-24.414093	-163.597995
32650	3.912043	-25.382930	-162.396063
32651	4.024003	-26.321059	-161.088934
32652	3.976275	-27.257495	-159.704290
32653	3.827112	-28.202742	-158.312053
32654	3.690732	-29.120388	-157.040410
32655	3.694369	-29.974240	-156.047866
32656	3.852258	-30.733357	-155.350820
32657	4.145784	-31.371057	-154.907542
32658	4.567187	-31.865668	-154.687385
32659	5.100403	-32.224014	-154.678122
32660	5.732042	-32.426744	-154.846574
32661	6.475344	-32.457510	-155.218276
32662	7.277950	-32.333134	-155.774845
32663	8.008470	-32.096717	-156.397477
32664	8.545090	-31.786701	-156.984721
32665	8.895808	-31.399128	-157.538274
32666	9.097005	-30.919380	-158.069761
32667	9.149428	-30.347093	-158.580296
32668	9.054297	-29.730204	-159.006697
32669	8.695633	-29.159888	-159.047025
32670	8.127351	-28.696401	-158.457582
32671	7.410605	-28.393695	-157.447795
32672	6.658823	-28.267063	-156.349116
32673	6.023249	-28.292044	-155.333351
32674	5.623876	-28.410516	-154.437924
32675	5.522267	-28.545765	-153.701188
32676	5.695885	-28.656933	-153.100288
32677	6.013993	-28.768619	-152.622111
32678	6.418168	-28.899104	-152.272225
32679	6.933015	-29.012815	-152.133548
32680	7.496343	-29.102658	-152.319810
32681	8.098705	-29.095918	-152.795880
32682	8.812886	-28.900737	-153.291091
32683	9.711901	-28.486256	-153.859552
32684	10.593460	-28.027405	-154.691426
32685	10.823631	-27.804016	-155.368769
32686	10.586912	-27.792726	-155.586257
32687	10.910456	-27.836450	-155.758551
32688	11.404739	-28.104149	-156.011406
32689	11.350796	-28.572722	-155.656245
32690	11.083245	-28.887421	-155.164575
32691	10.796019	-28.728435	-155.178983
32692	10.606646	-27.934029	-155.702759
32693	10.519485	-26.653707	-156.385583
32694	10.470548	-25.247246	-156.984179
32695	10.479219	-24.006506	-157.469271
32696	10.460379	-23.115333	-157.680061
32697	10.357272	-22.497063	-157.565293
32698	10.209280	-21.969600	-157.276539
32699	10.032185	-21.428889	-156.906307
32700	9.873927	-20.851445	-156.613507
32701	9.787593	-20.169040	-156.591582
32702	9.701708	-19.363049	-156.806628
32703	9.624822	-18.446125	-157.230477
32704	9.550979	-17.492686	-157.765753
32705	9.460648	-16.556165	-158.317501
32706	9.379199	-15.662788	-158.851009
32707	9.278681	-14.837915	-159.335295
32708	9.174322	-14.065721	-159.768858
32709	9.065627	-13.297635	-160.142714
32710	8.950044	-12.512022	-160.450212
32711	8.809364	-11.705905	-160.646546
32712	8.612830	-10.909621	-160.727733
32713	8.441302	-10.114918	-160.684258
32714	8.268756	-9.365996	-160.492930
32715	8.087098	-8.666018	-160.155319
32716	7.905326	-7.999521	-159.702019
32717	7.724629	-7.343382	-159.161089
32718	7.536700	-6.682858	-158.582601
32719	7.356638	-6.000484	-158.040030
32720	7.180821	-5.305180	-157.567243
32721	7.000399	-4.589261	-157.174939
32722	6.782565	-3.867767	-156.853577
32723	6.556441	-3.134937	-156.589740
32724	6.312852	-2.412069	-156.365135
32725	6.082136	-1.692788	-156.177752
32726	5.845336	-0.992958	-156.002946
32727	5.590267	-0.309754	-155.863390
32728	5.347658	0.344443	-155.754068
32729	5.133739	0.972952	-155.660009
32730	4.942412	1.567570	-155.577597
32731	4.779802	2.143636	-155.518758
32732	4.615485	2.698811	-155.519306
32733	4.439475	3.249247	-155.615994
32734	4.224731	3.785231	-155.818468
32735	3.954747	4.295315	-156.160676
32736	3.634161	4.733402	-156.603538
32737	3.311721	5.089922	-157.090771
32738	3.021628	5.371280	-157.564360
32739	2.785983	5.621473	-157.950568
32740	2.592888	5.857344	-158.222832
32741	2.432549	6.097252	-158.412275
32742	2.273887	6.338281	-158.585606
32743	2.106381	6.581920	-158.790326
32744	1.886894	6.793841	-159.062973
32745	1.609513	6.939909	-159.420003
32746	1.263085	6.980796	-159.862486
32747	0.860192	6.905890	-160.354169
32748	0.376621	6.712229	-160.927757
32749	-0.159507	6.393473	-161.569767
32750	-0.716419	5.911674	-162.217727
32751	-1.246209	5.228324	-162.825363
32752	-1.725176	4.370276	-163.395685
