// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
32436	-6.055725	-7.406788	-157.073774
32437	-5.161248	-7.259373	-156.686721
32438	-4.118740	-7.338729	-156.516999
32439	-3.053431	-7.316774	-156.641923
32440	-2.095500	-7.067826	-156.980772
32441	-1.413376	-6.639409	-157.358427
32442	-0.824257	-6.204459	-157.739112
32443	-0.299161	-5.851624	-157.997500
32444	0.201100	-5.598941	-158.035902
32445	0.721612	-5.404432	-157.880435
32446	1.274571	-5.257904	-157.597687
32447	1.800093	-5.163119	-157.322505
32448	2.290513	-5.073700	-157.136186
32449	2.802512	-5.018290	-157.151273
32450	3.285640	-4.913415	-157.391736
32451	3.701075	-4.724515	-157.788774
32452	4.040406	-4.456486	-158.239775
32453	4.313531	-4.179407	-158.604323
32454	4.561545	-3.938896	-158.779661
32455	4.828546	-3.783109	-158.752609
32456	5.154897	-3.683800	-158.612064
32457	5.478838	-3.601051	-158.425160
32458	5.786084	-3.514744	-158.280043
32459	6.068708	-3.432127	-158.221724
32460	6.345364	-3.338638	-158.267130
32461	6.606492	-3.227825	-158.383768
32462	6.858483	-3.086852	-158.519529
32463	7.103639	-2.955282	-158.595584
32464	7.367694	-2.846231	-158.565480
32465	7.650740	-2.775940	-158.364881
32466	7.984100	-2.758868	-157.980621
32467	8.343151	-2.769144	-157.518009
32468	8.726919	-2.775900	-157.052456
32469	9.123818	-2.779276	-156.670241
32470	9.531748	-2.739432	-156.426697
32471	9.938975	-2.642077	-156.348463
32472	10.355149	-2.504218	-156.367212
32473	10.794177	-2.353602	-156.437736
32474	11.272143	-2.180846	-156.564098
32475	11.742955	-1.967822	-156.724208
32476	12.235463	-1.695400	-156.941936
32477	12.739691	-1.352652	-157.209513
32478	13.256329	-0.935976	-157.492445
32479	13.814452	-0.491015	-157.781378
32480	14.447672	-0.034381	-158.047262
32481	15.152744	0.436735	-158.260864
32482	15.968461	0.918179	-158.399665
32483	16.825765	1.435859	-158.481299
32484	17.732259	1.997919	-158.526277
32485	18.694892	2.581105	-158.581113
32486	19.681551	3.223216	-158.638573
32487	20.672961	3.920323	-158.685610
32488	21.706549	4.649409	-158.762669
32489	22.750730	5.438298	-158.905585
32490	23.821809	6.310242	-159.121139
32491	24.902630	7.272216	-159.353783
32492	25.915980	8.337057	-159.580318
32493	27.020587	9.388076	-159.812705
32494	28.204180	10.508022	-160.114990
32495	29.314704	11.818989	-160.462081
32496	30.364322	13.283980	-160.825845
32497	31.470147	14.816116	-161.173321
32498	32.684249	16.331352	-161.419952
32499	34.048491	17.712006	-161.404423
32500	35.601206	18.814150	-161.073738
32501	37.390164	19.558257	-160.498927
32502	39.316877	19.976899	-159.768215
32503	41.245501	20.234461	-159.004799
32504	42.967948	20.464170	-158.247373
32505	44.431638	20.709854	-157.581595
32506	45.626828	20.941120	-157.169042
32507	46.521243	21.213962	-156.901466
32508	47.115832	21.524823	-156.738489
32509	47.404827	21.849170	-156.780085
32510	47.396233	22.220607	-157.333198
32511	47.117534	22.744225	-158.305944
32512	46.404429	23.542612	-159.395787
32513	45.254078	24.550524	-160.525439
32514	43.765581	25.480214	-161.613607
32515	42.094096	26.108268	-162.653044
32516	40.335167	26.289997	-163.792890
32517	38.521434	26.090872	-165.085354
32518	36.615642	25.651549	-166.458105
32519	34.574780	25.144935	-167.876514
32520	32.343419	24.600427	-169.371122
32521	29.975007	23.926519	-170.796555
32522	27.580695	22.977227	-172.061973
32523	25.261701	21.681336	-173.047910
32524	23.078836	19.976722	-173.562975
32525	21.058825	17.949718	-173.705550
32526	19.106698	15.750801	-173.641837
32527	17.102133	13.570655	-173.485970
32528	14.931990	11.553761	-173.348672
32529	12.581718	9.725471	-173.299742
32530	10.142072	7.954434	-173.316798
32531	7.684838	6.167063	-173.357025
32532	5.222253	4.327334	-173.344325
32533	2.773548	2.416513	-173.228578
32534	0.331145	0.450601	-173.027348
32535	-2.062807	-1.558886	-172.698390
32536	-4.417356	-3.556002	-172.200509
32537	-6.766855	-5.444907	-171.507119
32538	-9.036266	-7.248178	-170.536250
32539	-11.270807	-8.869158	-169.607731
32540	-13.445351	-10.328731	-168.681297
32541	-15.434385	-11.701001	-167.835126
32542	-17.180376	-12.938341	-167.128687
32543	-18.715388	-14.009586	-166.452936
32544	-20.019010	-14.918785	-165.719209
32545	-20.999473	-15.658297	-164.958418
32546	-21.665944	-16.105898	-164.323981
32547	-22.018759	-16.278140	-163.933101
32548	-22.022992	-16.257422	-163.722806
32549	-21.693960	-16.061495	-163.622429
32550	-21.043130	-15.688030	-163.594856
32551	-20.093948	-15.149802	-163.618717
32552	-18.895639	-14.470914	-163.704742
32553	-17.446289	-13.774311	-163.800202
32554	-15.889858	-13.275176	-163.877663
32555	-14.750045	-12.872374	-164.425852
32556	-14.053218	-12.466318	-165.131288
32557	-13.313294	-12.138062	-165.345643
32558	-12.214886	-11.700535	-165.246849
32559	-11.016645	-10.876074	-164.916951
32560	-9.912944	-9.927102	-163.993233
32561	-8.738753	-9.144212	-162.856990
32562	-7.625684	-8.439109	-161.766423
32563	-6.652278	-7.899588	-160.780859
32564	-5.693244	-7.576156	-159.935152
32565	-4.698934	-7.432359	-159.399592
32566	-3.756213	-7.285646	-159.416349
32567	-2.908620	-7.048331	-159.845841
32568	-2.089618	-6.788199	-160.500607
32569	-1.366288	-6.502398	-161.138730
