// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
32436	-8.246385	6.000824	-178.982038
32437	-7.834488	5.251381	-178.923799
32438	-7.552818	4.678067	-178.885486
32439	-7.304817	4.271540	-178.833148
32440	-7.080958	3.966569	-178.778431
32441	-6.898680	3.706204	-178.729422
32442	-6.720380	3.440657	-178.666742
32443	-6.582274	3.215576	-178.605034
32444	-6.479801	2.994651	-178.554560
32445	-6.418054	2.806850	-178.535845
32446	-6.367688	2.636498	-178.549385
32447	-6.352127	2.521584	-178.602021
32448	-6.337519	2.418962	-178.674148
32449	-6.333571	2.365333	-178.749226
32450	-6.304314	2.316528	-178.810080
32451	-6.263826	2.301772	-178.846609
32452	-6.173076	2.304950	-178.859158
32453	-6.044329	2.378899	-178.859727
32454	-5.868002	2.493744	-178.834855
32455	-5.671014	2.682378	-178.791634
32456	-5.452649	2.901051	-178.740525
32457	-5.242448	3.157352	-178.682908
32458	-5.035150	3.396636	-178.623731
32459	-4.839157	3.620003	-178.567871
32460	-4.638087	3.776830	-178.510315
32461	-4.437727	3.905910	-178.457067
32462	-4.232330	3.985842	-178.416577
32463	-4.043712	4.038722	-178.388631
32464	-3.853827	4.035394	-178.365364
32465	-3.666642	4.009753	-178.352563
32466	-3.487219	3.945974	-178.344425
32467	-3.330369	3.878188	-178.340176
32468	-3.186469	3.779855	-178.341321
32469	-3.070966	3.677862	-178.345643
32470	-2.965788	3.547107	-178.353741
32471	-2.892210	3.415425	-178.368338
32472	-2.854640	3.256504	-178.380655
32473	-2.868282	3.084552	-178.397648
32474	-2.894938	2.857342	-178.411011
32475	-2.953927	2.605283	-178.426554
32476	-3.009126	2.289754	-178.431527
32477	-3.078592	1.940096	-178.432484
32478	-3.149972	1.523602	-178.429609
32479	-3.228040	1.067546	-178.426988
32480	-3.292248	0.552135	-178.430809
32481	-3.370054	0.001910	-178.435579
32482	-3.440283	-0.637460	-178.445975
32483	-3.519526	-1.359181	-178.464632
32484	-3.593586	-2.203399	-178.497023
32485	-3.668298	-3.148046	-178.528750
32486	-3.759510	-4.229195	-178.569447
32487	-3.910665	-5.432170	-178.615150
32488	-4.083561	-6.778165	-178.649199
32489	-4.295489	-8.272373	-178.668946
32490	-4.591740	-9.951834	-178.684250
32491	-4.910502	-11.889235	-178.622667
32492	-5.171230	-14.091730	-178.564503
32493	-5.401627	-16.578837	-178.512516
32494	-5.602665	-19.408414	-178.425140
32495	-5.728910	-22.544578	-178.280772
32496	-5.754719	-25.953280	-178.050937
32497	-5.671148	-29.561229	-177.785845
32498	-5.541962	-33.381435	-177.557181
32499	-5.240262	-37.216037	-177.481465
32500	-4.659417	-41.033017	-177.672498
32501	-3.867888	-44.831436	-178.236217
32502	-2.841097	-48.404296	-179.053681
32503	-1.777642	-51.681612	179.791470
32504	-0.919664	-54.722834	178.187965
32505	0.229850	-57.474545	176.174982
32506	2.062960	-59.484534	173.790790
32507	3.722574	-60.495491	171.316628
32508	5.108367	-60.301842	169.312784
32509	6.238079	-59.476569	167.887077
32510	7.246160	-58.419745	166.624911
32511	8.145852	-57.252223	165.293846
32512	8.827799	-55.928362	163.893487
32513	9.273105	-54.441515	162.609049
32514	9.527239	-52.743688	161.677229
32515	9.652070	-50.917651	161.178429
32516	9.659402	-48.980714	161.024878
32517	9.407412	-46.905441	161.141650
32518	8.745250	-44.612005	161.460376
32519	7.730162	-42.150588	161.873385
32520	6.504287	-39.616791	162.413143
32521	5.218973	-37.069835	163.089064
32522	3.901048	-34.474286	163.909894
32523	2.535122	-31.805144	164.853878
32524	1.058193	-29.005626	165.847961
32525	-0.559634	-26.127812	166.779990
32526	-2.281831	-23.190557	167.592643
32527	-3.988297	-20.246879	168.312625
32528	-5.563263	-17.241071	168.981291
32529	-6.961967	-14.223241	169.618730
32530	-8.213010	-11.168962	170.201447
32531	-9.357783	-8.131820	170.696089
