// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
47671	22.479380	-58.817584	153.870412
47672	22.131700	-57.897451	153.721133
47673	21.563831	-57.078564	153.727956
47674	20.739582	-56.253668	153.903578
47675	19.714418	-55.303747	154.362122
47676	18.577384	-54.146613	155.088141
47677	17.414122	-52.795923	155.922090
47678	16.168134	-51.216901	156.727213
47679	14.784143	-49.438830	157.466798
47680	13.269720	-47.431722	158.153723
47681	11.746420	-45.272797	158.775695
47682	10.210408	-42.987619	159.413963
47683	8.665206	-40.651280	160.084657
47684	7.088884	-38.271313	160.855861
47685	5.487926	-35.870433	161.721520
47686	3.808691	-33.399811	162.696772
47687	2.086157	-30.882863	163.716183
47688	0.320673	-28.291217	164.730894
47689	-1.414776	-25.621770	165.695915
47690	-3.066578	-22.847766	166.577864
47691	-4.570477	-20.013457	167.339922
47692	-5.935667	-17.121304	167.935728
47693	-7.168490	-14.202911	168.337869
47694	-8.329777	-11.215180	168.554511
47695	-9.460744	-8.225552	168.600578
47696	-10.564770	-5.247719	168.512966
47697	-11.685136	-2.347325	168.314710
47698	-12.862562	0.487281	168.038808
47699	-13.968166	3.231967	167.825554
47700	-15.039266	5.877991	167.775303
47701	-16.147714	8.343681	167.921836
47702	-17.252842	10.660358	168.278506
47703	-18.288477	12.820091	168.825934
47704	-19.301263	14.822989	169.485531
47705	-20.265539	16.630548	170.202425
47706	-21.082806	18.230363	170.931459
47707	-21.660339	19.555456	171.642911
47708	-22.010219	20.610597	172.345418
47709	-22.105213	21.322760	172.998353
47710	-21.947925	21.623207	173.599901
47711	-21.603728	21.494891	174.136528
47712	-21.130323	20.941161	174.591498
47713	-20.639672	19.987986	174.902795
47714	-20.288614	18.539264	174.935562
47715	-19.672362	17.160036	174.792351
47716	-18.611069	16.000417	174.691099
47717	-17.303159	14.705122	174.652140
47718	-15.821266	13.103059	174.762176
47719	-14.441097	11.403651	175.108892
47720	-13.259390	9.747771	175.610430
47721	-12.244500	8.227620	176.082454
47722	-11.346011	6.821413	176.310788
47723	-10.583757	5.549314	176.336401
47724	-9.916517	4.356039	176.384196
47725	-9.287000	3.288669	176.460374
47726	-8.710808	2.324059	176.496970
47727	-8.244169	1.580461	176.469826
47728	-7.894429	0.972507	176.396784
47729	-7.572505	0.490894	176.307531
47730	-7.231042	0.077374	176.235523
47731	-6.891744	-0.274943	176.160979
47732	-6.578025	-0.578379	176.070922
47733	-6.301154	-0.800443	175.995530
47734	-6.032728	-0.986557	175.928168
47735	-5.760075	-1.121411	175.857355
47736	-5.458646	-1.232885	175.746579
47737	-5.160352	-1.275251	175.655319
47738	-4.865875	-1.287200	175.588361
47739	-4.558546	-1.258767	175.561292
47740	-4.227478	-1.192698	175.577274
47741	-3.915360	-1.062465	175.634888
47742	-3.634594	-0.899065	175.724020
47743	-3.399446	-0.692163	175.830116
47744	-3.189912	-0.463059	175.954709
47745	-2.989949	-0.195556	176.089970
47746	-2.772162	0.073298	176.275941
47747	-2.552832	0.270700	176.532392
47748	-2.318964	0.367559	176.826589
47749	-2.070278	0.387615	177.124183
47750	-1.835051	0.329615	177.391274
47751	-1.629820	0.258612	177.633053
47752	-1.438387	0.169659	177.827718
47753	-1.266085	0.090536	177.971657
47754	-1.087888	0.006953	178.071243
47755	-0.925802	-0.049764	178.132133
47756	-0.786834	-0.093238	178.159478
47757	-0.681896	-0.104703	178.154145
47758	-0.573739	-0.118612	178.126189
47759	-0.444582	-0.144466	178.093471
47760	-0.275599	-0.207280	178.076620
47761	-0.084307	-0.275470	178.068731
47762	0.130924	-0.374296	178.070062
47763	0.329701	-0.488357	178.072911
47764	0.520505	-0.638612	178.067830
47765	0.673006	-0.802396	178.059463
47766	0.784482	-0.993215	178.044226
47767	0.838615	-1.215395	178.029494
47768	0.870938	-1.508246	178.020890
47769	0.905777	-1.850026	178.010885
47770	0.954306	-2.251597	177.993851
47771	1.011954	-2.707073	177.969915
47772	1.064989	-3.248921	177.940749
47773	1.095045	-3.869439	177.904366
47774	1.110148	-4.573036	177.863626
47775	1.088040	-5.349806	177.827516
47776	1.015520	-6.222702	177.799641
47777	0.863645	-7.194810	177.792180
47778	0.620922	-8.279972	177.791626
47779	0.325624	-9.471419	177.801225
47780	0.068143	-10.803032	177.808520
47781	-0.148713	-12.260393	177.781219
47782	-0.322182	-13.926896	177.721549
47783	-0.419932	-15.685725	177.570962
47784	-0.392092	-17.648705	177.372383
47785	-0.218152	-19.752840	177.047012
47786	0.108371	-22.071096	176.629914
47787	0.596322	-24.625028	176.188151
47788	1.230822	-27.401549	175.631981
47789	2.030731	-30.372313	175.023573
47790	3.072606	-33.510655	174.387919
47791	4.275509	-36.744677	173.677540
47792	5.717096	-39.946234	172.811134
47793	7.310063	-43.110265	171.631115
47794	9.009251	-46.252069	170.126047
47795	10.790142	-49.356856	168.257270
47796	12.857232	-52.530322	165.896190
47797	15.548391	-55.681390	163.145093
47798	18.986464	-58.665198	159.930069
47799	22.931230	-60.750666	156.444578
47800	26.926033	-62.107539	152.896441
47801	29.284029	-62.577913	150.041037
47802	29.847590	-61.949309	148.373315
47803	29.526396	-60.947267	147.919948
47804	28.921298	-59.924407	148.180325
47805	28.194039	-59.006048	148.732080
47806	27.080334	-58.052916	149.528103
47807	25.625461	-56.960979	150.413515
47808	24.031689	-55.654119	151.305606
47809	22.560115	-54.156044	152.084509
47810	21.163212	-52.402336	152.731939
47811	19.759867	-50.412622	153.233596
47812	18.261011	-48.221710	153.641609
47813	16.717836	-45.963562	154.001943
47814	15.156910	-43.681945	154.419465
47815	13.589439	-41.438796	154.948731
47816	11.906172	-39.161968	155.596364
47817	10.066313	-36.854437	156.363662
47818	8.105123	-34.493444	157.272625
47819	6.100062	-32.122399	158.240882
47820	4.069829	-29.679029	159.225321
47821	2.096632	-27.206347	160.163999
47822	0.212339	-24.650377	161.005825
47823	-1.483420	-22.044594	161.714316
47824	-2.996123	-19.355383	162.235188
47825	-4.360862	-16.631645	162.573802
47826	-5.647814	-13.847773	162.785546
47827	-6.852355	-11.065857	162.920057
47828	-8.058846	-8.263636	163.010643
47829	-9.328775	-5.487878	163.082818
47830	-10.667973	-2.701688	163.159712
47831	-12.024971	0.043494	163.282332
47832	-13.450711	2.755540	163.493484
47833	-14.883824	5.362577	163.844893
47834	-16.275668	7.888111	164.384691
47835	-17.656556	10.242781	165.086309
47836	-19.025329	12.425679	165.890791
47837	-20.300587	14.409569	166.739772
47838	-21.460520	16.196510	167.560859
47839	-22.478960	17.752406	168.337305
47840	-23.273300	19.067075	169.045216
47841	-23.820067	20.078545	169.649614
47842	-24.133113	20.733596	170.140596
47843	-24.221540	20.978236	170.513738
47844	-24.091303	20.847759	170.875683
47845	-23.737513	20.336932	171.265881
47846	-22.871365	19.233092	171.778307
47847	-21.577448	17.772923	172.200786
47848	-20.143205	16.560383	172.606041
47849	-18.692459	15.308795	172.992045
47850	-17.269173	13.616057	173.236345
47851	-15.974275	11.806822	173.452153
47852	-14.821127	10.133170	173.737706
47853	-13.737364	8.570541	174.074080
47854	-12.750755	7.071413	174.429091
47855	-11.911834	5.699923	174.656978
47856	-11.209594	4.455094	174.800282
47857	-10.609651	3.379994	174.925442
47858	-10.080978	2.412375	175.020909
47859	-9.582364	1.641387	175.030433
47860	-9.183944	1.040842	175.034174
47861	-8.870973	0.556555	175.013439
47862	-8.590786	0.112107	174.993973
47863	-8.366117	-0.282343	174.993119
47864	-8.156982	-0.650002	174.987841
47865	-7.979322	-0.944406	174.953601
47866	-7.808690	-1.181714	174.872906
47867	-7.629154	-1.328978	174.752821
47868	-7.417596	-1.420179	174.613509
47869	-7.184546	-1.451539	174.476116
47870	-6.903447	-1.442851	174.362818
47871	-6.581225	-1.364657	174.278935
47872	-6.234780	-1.256180	174.241302
47873	-5.877777	-1.110357	174.252965
47874	-5.514867	-0.944498	174.303839
47875	-5.147776	-0.728812	174.381449
47876	-4.773817	-0.484816	174.479821
47877	-4.430881	-0.183818	174.595994
47878	-4.113520	0.103723	174.732155
47879	-3.821989	0.370869	174.882616
47880	-3.522816	0.568767	175.033774
47881	-3.230235	0.722278	175.187387
47882	-2.951072	0.800888	175.328784
47883	-2.697192	0.830141	175.451791
47884	-2.445928	0.790217	175.559579
47885	-2.201443	0.725797	175.656867
47886	-1.940101	0.628963	175.749408
47887	-1.669279	0.527210	175.838923
47888	-1.375885	0.395970	175.920505
47889	-1.074201	0.242714	175.995746
47890	-0.799557	0.064643	176.055710
47891	-0.565620	-0.123818	176.107186
47892	-0.368496	-0.346068	176.148249
47893	-0.198107	-0.604363	176.185403
47894	-0.036389	-0.904374	176.219210
47895	0.119405	-1.213432	176.248226
47896	0.253415	-1.531866	176.274047
47897	0.358410	-1.875673	176.300112
47898	0.439212	-2.260164	176.327610
47899	0.515980	-2.674098	176.351139
47900	0.590682	-3.118446	176.367946
47901	0.658189	-3.584111	176.387270
47902	0.725323	-4.093209	176.397020
47903	0.785162	-4.642316	176.405074
47904	0.861440	-5.250570	176.405002
47905	0.939191	-5.894686	176.398417
47906	1.032879	-6.599880	176.389495
47907	1.124551	-7.377085	176.367861
47908	1.220885	-8.260079	176.326527
47909	1.337832	-9.235147	176.274856
47910	1.486455	-10.321918	176.208435
47911	1.661199	-11.473241	176.112751
47912	1.832871	-12.750256	175.999076
47913	1.951142	-14.146212	175.858580
47914	2.042708	-15.672723	175.651700
47915	2.041987	-17.286813	175.370813
47916	1.978237	-19.079948	175.095204
47917	1.986746	-21.111193	174.796944
47918	2.132182	-23.340200	174.446994
47919	2.409883	-25.834744	174.046643
47920	2.795249	-28.602136	173.605365
47921	3.304935	-31.633248	173.212074
47922	4.032181	-34.843608	172.819896
47923	5.066579	-38.115599	172.308490
47924	6.390716	-41.355017	171.590136
47925	8.019297	-44.456115	170.596390
47926	9.803498	-47.474294	169.396565
47927	11.749368	-50.390275	167.967544
47928	14.033175	-53.193718	166.166954
47929	16.959924	-55.895327	163.868398
47930	20.331818	-58.541480	161.237679
47931	23.919073	-61.054628	158.208983
47932	27.513130	-62.893604	154.798354
47933	30.815612	-63.880782	150.798959
47934	32.435052	-63.670907	147.644744
47935	32.236305	-62.466808	146.652225
47936	31.429572	-60.924965	146.732106
47937	30.337341	-59.368592	147.424124
47938	29.083760	-57.887721	148.320048
47939	27.639675	-56.447864	149.293749
47940	26.056804	-54.997396	150.239128
47941	24.508845	-53.560327	151.031397
47942	23.074913	-52.090513	151.721218
47943	21.734912	-50.535294	152.357424
47944	20.369668	-48.787391	153.038457
47945	18.939602	-46.860337	153.736510
47946	17.354834	-44.788026	154.462999
47947	15.656051	-42.659827	155.152004
47948	13.822368	-40.458350	155.902057
47949	11.934034	-38.263484	156.756392
47950	10.013413	-36.059525	157.745557
47951	8.066414	-33.841839	158.799182
47952	6.032319	-31.537138	159.877813
47953	3.959296	-29.131669	160.929915
47954	1.917333	-26.622742	161.904463
47955	0.049114	-24.091093	162.764888
47956	-1.593279	-21.513083	163.490358
47957	-3.037951	-18.908116	164.055734
47958	-4.409758	-16.233703	164.477931
47959	-5.773172	-13.540119	164.793765
47960	-7.170829	-10.786314	165.042617
47961	-8.604351	-8.029226	165.244907
47962	-10.113171	-5.273274	165.401656
47963	-11.604674	-2.581329	165.518011
47964	-13.003367	0.064288	165.596875
47965	-14.271733	2.620834	165.696109
47966	-15.464318	5.078153	165.850869
47967	-16.593779	7.371931	166.096737
47968	-17.679448	9.521166	166.481407
47969	-18.747924	11.511477	167.024138
47970	-19.802866	13.350533	167.697324
47971	-20.771472	15.040138	168.554441
47972	-21.572074	16.546174	169.511064
47973	-22.148496	17.832274	170.480183
47974	-22.559332	18.877691	171.327347
47975	-22.874925	19.627556	171.942340
47976	-23.093318	20.065149	172.342775
47977	-23.198820	20.195540	172.587180
47978	-23.188125	20.029252	172.723771
47979	-23.053340	19.600060	172.796974
47980	-22.759210	18.899752	172.823886
47981	-22.156599	17.953715	172.926864
47982	-21.201335	16.703254	173.130907
47983	-19.920239	15.557502	173.465025
47984	-18.222234	14.464294	174.023261
47985	-16.349913	13.012068	174.643316
47986	-14.690674	11.151622	175.102620
47987	-13.381905	9.408353	175.510118
47988	-12.298996	7.879151	175.741540
47989	-11.414713	6.482725	175.805383
47990	-10.635548	5.186741	175.789535
47991	-9.890184	4.017486	175.756608
47992	-9.139736	2.911040	175.706318
47993	-8.435128	1.908474	175.592122
47994	-7.802220	1.090687	175.412406
47995	-7.167393	0.496303	175.188094
47996	-6.470078	0.062837	175.067985
47997	-5.753409	-0.213111	175.030084
47998	-5.100779	-0.375668	175.067703
47999	-4.523614	-0.472001	175.140245
48000	-4.014080	-0.531692	175.242268
48001	-3.578807	-0.554204	175.341872
48002	-3.218753	-0.579242	175.427509
48003	-2.928832	-0.574743	175.488719
48004	-2.701365	-0.561993	175.520781
48005	-2.525974	-0.512008	175.534946
48006	-2.369795	-0.452581	175.553959
48007	-2.239163	-0.368363	175.586782
48008	-2.109306	-0.275835	175.638202
48009	-1.998185	-0.129031	175.700613
48010	-1.903988	0.059134	175.780158
48011	-1.830030	0.266458	175.867583
48012	-1.752491	0.446213	175.950193
48013	-1.660270	0.599140	176.020486
48014	-1.542303	0.698234	176.085924
48015	-1.394767	0.771088	176.150257
48016	-1.216592	0.804517	176.209565
48017	-1.044608	0.809258	176.272769
48018	-0.873268	0.752628	176.335743
48019	-0.704613	0.652929	176.399288
48020	-0.507480	0.508313	176.472564
48021	-0.295543	0.347459	176.556147
48022	-0.077837	0.147265	176.635095
48023	0.113890	-0.079324	176.699722
48024	0.295832	-0.344532	176.763815
48025	0.438033	-0.627650	176.801834
48026	0.582163	-0.934335	176.829789
48027	0.698582	-1.246948	176.850708
48028	0.803334	-1.599068	176.870245
48029	0.889229	-1.969313	176.890103
48030	0.967778	-2.363520	176.911815
48031	1.032441	-2.752305	176.930349
48032	1.089850	-3.156403	176.944544
48033	1.121127	-3.579994	176.956098
48034	1.142741	-4.037894	176.960746
48035	1.163309	-4.496782	176.969609
48036	1.195366	-4.976183	176.978106
48037	1.244002	-5.482477	176.980944
48038	1.311326	-6.035706	176.982684
48039	1.396821	-6.618882	176.994350
48040	1.496623	-7.255202	177.009580
48041	1.588424	-7.936475	177.026504
48042	1.683851	-8.700497	177.036084
48043	1.765186	-9.565902	177.034206
48044	1.847717	-10.518598	177.024002
48045	1.941059	-11.553351	177.001793
48046	2.042425	-12.700644	176.961519
48047	2.170788	-13.977888	176.888517
48048	2.345791	-15.386941	176.724414
48049	2.583930	-16.934650	176.473933
