// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
49807	-7.351587	-18.036559	12.161865
49808	-8.366199	-14.787087	12.645693
49809	-9.331695	-11.593032	13.015268
49810	-10.262627	-8.527227	13.275867
49811	-11.163512	-5.548908	13.455711
49812	-12.013299	-2.703188	13.614011
49813	-12.819391	-0.008765	13.801283
49814	-13.562759	2.464498	14.050310
49815	-14.222161	4.714432	14.377151
49816	-14.738796	6.683296	14.768617
49817	-15.043750	8.353666	15.182477
49818	-15.031376	9.578154	15.573002
49819	-14.770781	10.344725	15.823973
49820	-14.378161	10.566223	15.870070
49821	-13.536199	10.076400	15.897876
49822	-12.357382	8.886553	15.697293
49823	-11.277301	7.551229	15.236244
49824	-10.841929	6.638098	14.748060
49825	-10.196412	5.843603	14.922250
49826	-9.316446	4.464252	15.174101
49827	-8.465981	2.840702	15.450330
49828	-7.680466	1.637618	15.565190
49829	-7.153562	0.747244	15.572896
49830	-6.782828	0.065644	15.545404
49831	-6.498938	-0.486730	15.546029
49832	-6.308807	-0.958019	15.568080
49833	-6.247870	-1.413891	15.610458
49834	-6.306860	-1.817761	15.631395
49835	-6.414161	-2.200426	15.626611
49836	-6.569105	-2.485716	15.632028
49837	-6.744723	-2.751296	15.637507
49838	-6.932177	-3.009314	15.636066
49839	-7.120202	-3.287197	15.626696
49840	-7.323932	-3.556611	15.622034
49841	-7.545967	-3.838697	15.599480
49842	-7.792970	-4.121082	15.563241
49843	-8.061575	-4.437845	15.538140
49844	-8.337197	-4.745195	15.520803
49845	-8.586513	-5.044758	15.511188
49846	-8.826976	-5.348225	15.519652
49847	-9.060745	-5.690580	15.528817
49848	-9.269111	-6.047122	15.539247
49849	-9.443750	-6.427560	15.558904
49850	-9.606036	-6.809822	15.574538
49851	-9.750143	-7.210670	15.585668
49852	-9.888591	-7.619812	15.597565
49853	-10.030101	-8.057045	15.605989
