// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
48720	6.345379	0.403378	99.222233
48721	5.120064	0.652569	99.235137
48722	4.086986	0.840198	99.044093
48723	3.201596	1.054741	98.904060
48724	2.423288	1.257159	98.830561
48725	1.781744	1.420124	98.847143
48726	1.252238	1.580471	98.876536
48727	0.786205	1.763976	98.834383
48728	0.328381	1.915756	98.599223
48729	-0.091320	2.000740	98.203694
48730	-0.496768	2.082339	97.851875
48731	-0.870221	2.151016	97.640502
48732	-1.232753	2.212328	97.583669
48733	-1.564968	2.272289	97.578824
48734	-1.896497	2.332954	97.515979
48735	-2.217540	2.371919	97.370344
48736	-2.536153	2.408133	97.183285
48737	-2.838007	2.438386	96.970461
48738	-3.126438	2.461769	96.745927
48739	-3.395604	2.484440	96.524415
48740	-3.666642	2.511518	96.315835
48741	-3.927502	2.543100	96.122487
48742	-4.196924	2.566256	95.908441
48743	-4.464054	2.589164	95.650314
48744	-4.738909	2.605723	95.317612
48745	-5.013017	2.612545	94.991953
48746	-5.305396	2.618926	94.722055
48747	-5.602187	2.641992	94.503127
48748	-5.912579	2.668236	94.306682
48749	-6.219994	2.695338	94.159191
48750	-6.554188	2.732148	94.044859
48751	-6.899954	2.749123	93.953518
48752	-7.269576	2.767285	93.883384
48753	-7.644734	2.766507	93.813317
48754	-8.047407	2.758690	93.734925
48755	-8.485561	2.746481	93.675682
48756	-8.991594	2.732067	93.627732
48757	-9.549537	2.708638	93.584691
48758	-10.175373	2.685905	93.536516
48759	-10.866616	2.660154	93.492771
48760	-11.647840	2.622828	93.477452
48761	-12.510051	2.588100	93.477527
48762	-13.449206	2.560035	93.480585
48763	-14.450767	2.554222	93.507554
48764	-15.518817	2.555527	93.566648
48765	-16.660195	2.565935	93.682341
48766	-17.878874	2.595142	93.854431
48767	-19.158571	2.641513	94.081914
48768	-20.501063	2.706519	94.302940
48769	-21.923318	2.784565	94.463772
