// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
48720	4.039739	-23.745832	81.265837
48721	5.162999	-24.219347	81.381850
48722	6.302496	-24.881640	81.525409
48723	6.476640	-25.113894	81.502659
48724	5.784136	-25.103589	80.605961
48725	5.466438	-25.520053	80.288976
48726	5.358844	-25.772434	80.258630
48727	5.538043	-25.948086	80.237552
48728	5.950937	-26.014312	80.406943
48729	6.340165	-26.134111	80.514731
48730	6.435207	-26.266722	80.524234
48731	6.277598	-26.456882	80.452081
48732	6.014404	-26.652511	80.355751
48733	5.782926	-26.866212	80.280449
48734	5.660032	-27.066839	80.251837
48735	5.649440	-27.266016	80.240505
48736	5.688170	-27.428372	80.217827
48737	5.802490	-27.601180	80.185964
48738	5.950824	-27.764329	80.140693
48739	6.089243	-27.948000	80.072944
48740	6.176203	-28.136760	79.995303
48741	6.246542	-28.313135	79.924116
48742	6.374314	-28.486672	79.867392
48743	6.528686	-28.661745	79.813358
48744	6.706287	-28.851065	79.755586
48745	6.889879	-29.036021	79.715810
48746	7.003766	-29.229276	79.657533
48747	7.006166	-29.438688	79.571687
48748	7.011798	-29.697845	79.470681
48749	7.103995	-29.957359	79.424013
48750	7.281314	-30.189850	79.480961
48751	7.465295	-30.407683	79.537181
48752	7.600155	-30.640044	79.543959
48753	7.661917	-30.919991	79.531036
48754	7.681466	-31.249623	79.483978
48755	7.687387	-31.613241	79.418244
48756	7.747801	-31.975202	79.425772
48757	7.837324	-32.410781	79.412845
48758	7.936034	-32.906107	79.391100
48759	8.058277	-33.490305	79.347067
48760	8.188384	-34.097967	79.362201
48761	8.306593	-34.796028	79.357787
48762	8.319892	-35.601374	79.281534
48763	8.336040	-36.507810	79.176426
48764	8.477367	-37.457706	79.131435
48765	8.706030	-38.465773	79.174829
48766	8.904508	-39.568804	79.255987
48767	8.962433	-40.793402	79.299589
48768	8.863096	-42.207862	79.188257
48769	8.746560	-43.756576	78.994796
48770	8.797168	-45.435922	78.914519
48771	8.774276	-47.310487	78.744411
48772	8.743776	-49.448852	78.229892
48773	8.836086	-51.849568	77.391903
48774	9.240680	-54.566773	76.384490
48775	10.065152	-57.648453	75.253694
48776	11.477636	-61.181929	73.326308
48777	14.029679	-64.942902	70.223980
48778	18.274281	-68.762480	65.905468
48779	24.416620	-72.266174	59.691222
48780	33.047719	-75.351832	50.987595
48781	44.733549	-77.753714	38.763567
48782	59.158144	-79.405121	23.677084
48783	74.466259	-80.427571	8.160428
48784	88.681471	-80.473646	-5.825524
48785	104.068921	-79.013231	-20.573887
48786	115.932100	-75.910998	-30.826209
48787	122.082930	-75.421318	-33.109248
48788	111.833958	-75.799519	-23.028470
48789	93.229127	-73.974873	-8.483099
48790	86.658993	-73.161020	-5.092807
48791	80.421560	-70.893665	-1.970612
48792	75.701704	-70.033259	1.708541
48793	71.990066	-69.691931	6.562735
48794	68.625296	-69.541710	11.906259
48795	63.083862	-68.907526	19.327832
48796	57.704496	-67.860944	25.399669
48797	52.272623	-66.463835	29.936707
