// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
03896	5.375973	7.586527	12.663055
03897	4.729384	7.091626	12.624077
03898	4.056945	6.579346	12.609918
03899	3.373129	6.068656	12.632570
03900	2.667797	5.533541	12.638777
03901	1.940053	5.003615	12.603130
03902	1.231673	4.465088	12.525469
03903	0.568635	3.924405	12.420537
03904	-0.066353	3.398237	12.290058
03905	-0.683913	2.876651	12.183245
03906	-1.289758	2.368948	12.148217
03907	-1.897210	1.890394	12.195391
03908	-2.530140	1.450329	12.285004
03909	-3.183751	1.035020	12.391282
03910	-3.859758	0.636779	12.502069
03911	-4.554520	0.261986	12.603089
03912	-5.269387	-0.092081	12.699370
03913	-5.990418	-0.419458	12.794221
03914	-6.716817	-0.730821	12.882248
03915	-7.465850	-1.046289	12.962197
03916	-8.247988	-1.349259	13.066352
03917	-9.058760	-1.618541	13.178578
03918	-9.908247	-1.863652	13.273776
03919	-10.774963	-2.087776	13.335404
03920	-11.659690	-2.321764	13.354597
03921	-12.534768	-2.544081	13.362354
03922	-13.359565	-2.734871	13.392103
03923	-14.109529	-2.885887	13.414948
03924	-14.778122	-3.019792	13.388018
03925	-15.355002	-3.155967	13.299920
03926	-15.828055	-3.311407	13.129712
03927	-16.199578	-3.501146	12.864535
03928	-16.475552	-3.751603	12.509925
03929	-16.666888	-4.033033	12.087621
03930	-16.769152	-4.327118	11.618482
03931	-16.770182	-4.601771	11.109355
03932	-16.656840	-4.799234	10.559382
03933	-16.414865	-4.869976	9.977834
03934	-16.022514	-4.851222	9.325217
03935	-15.507465	-4.749561	8.613095
03936	-14.871908	-4.545199	7.917488
03937	-14.062721	-4.316871	7.298117
03938	-13.032358	-3.985123	6.854045
03939	-11.776003	-3.491927	6.665611
03940	-10.302836	-2.836446	6.636639
03941	-8.655314	-1.987166	6.593114
