// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
50101	2.075444	1.639237	13.893646
50102	2.075526	1.636073	13.893145
50103	2.078010	1.634233	13.893749
50104	2.075552	1.634288	13.892741
50105	2.077030	1.634525	13.893411
50106	2.078161	1.633717	13.893424
50107	2.079108	1.633017	13.893465
50108	2.079238	1.633803	13.894282
50109	2.080179	1.633102	13.894317
50110	2.081358	1.636244	13.895650
50111	2.080775	1.636688	13.895120
50112	2.082439	1.636332	13.896506
50113	2.082386	1.637713	13.896608
50114	2.084038	1.638325	13.896508
50115	2.083492	1.640020	13.897755
50116	2.084117	1.640493	13.897428
50117	2.085586	1.641700	13.896615
50118	2.086257	1.642454	13.899547
50119	2.085194	1.645908	13.899718
50120	2.088900	1.646798	13.900072
50121	2.087823	1.647069	13.901433
50122	2.087948	1.648337	13.901508
50123	2.088925	1.649377	13.902574
50124	2.089050	1.650646	13.902649
50125	2.092048	1.651200	13.901661
50126	2.090653	1.652642	13.902653
50127	2.091123	1.654963	13.903380
50128	2.088189	1.658030	13.903061
50129	2.087594	1.658472	13.902533
50130	2.085173	1.659775	13.903298
50131	2.081554	1.661545	13.903123
50132	2.078606	1.661912	13.903258
50133	2.075499	1.665097	13.902969
50134	2.073572	1.666087	13.902588
50135	2.072986	1.666536	13.902055
50136	2.070519	1.667558	13.899559
50137	2.068429	1.670389	13.900240
50138	2.068050	1.672936	13.899975
50139	2.069036	1.674953	13.899568
50140	2.070718	1.677296	13.900501
50141	2.072701	1.678954	13.901050
50142	2.072828	1.680222	13.901125
50143	2.075356	1.682819	13.902319
50144	2.075465	1.685538	13.900165
50145	2.075446	1.685969	13.901750
50146	2.077100	1.686580	13.901651
50147	2.076528	1.687031	13.901136
50148	2.076128	1.687363	13.900580
50149	2.076072	1.688256	13.901439
50150	2.074146	1.689245	13.901058
50151	2.074147	1.690179	13.901896
50152	2.073226	1.689092	13.901453
50153	2.073688	1.689690	13.901162
50154	2.073288	1.690022	13.900607
50155	2.073724	1.690119	13.901056
50156	2.073859	1.690903	13.901874
50157	2.076848	1.691459	13.900889
