// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
31578		-2.536583	0.607575	8.835701
31579		-2.539488	0.605148	8.842908
31580		-2.538524	0.606278	8.851665
31581		-2.535565	0.604936	8.858282
31582		-2.539343	0.602015	8.854189
31583		-2.540604	0.600284	8.843459
31584		-2.542455	0.597140	8.836707
31585		-2.545010	0.593215	8.828655
31586		-2.544332	0.591085	8.829056
31587		-2.542823	0.590833	8.834698
31588		-2.544337	0.585854	8.836504
31589		-2.544045	0.584424	8.834860
31590		-2.547344	0.581400	8.828329
31591		-2.549862	0.578007	8.821772
31592		-2.552347	0.573045	8.821359
31593		-2.553579	0.569922	8.819316
31594		-2.554531	0.565801	8.816735
31595		-2.553468	0.561611	8.810836
31596		-2.554247	0.558040	8.810221
31597		-2.554527	0.552354	8.815089
31598		-2.553015	0.549852	8.822844
31599		-2.553334	0.546220	8.831561
31600		-2.554511	0.540782	8.836066
31601		-2.555494	0.537956	8.832889
31602		-2.560502	0.531978	8.825332
31603		-2.563052	0.529879	8.813882
31604		-2.566181	0.528772	8.803457
31605		-2.568585	0.523191	8.791852
31606		-2.570228	0.520790	8.794170
31607		-2.568608	0.521212	8.800845
31608		-2.568117	0.520893	8.810802
31609		-2.565912	0.520579	8.819114
31610		-2.566989	0.517665	8.822908
31611		-2.564673	0.513844	8.826646
31612		-2.562769	0.511648	8.828046
31613		-2.562886	0.509717	8.824452
31614		-2.563090	0.508564	8.820685
31615		-2.564111	0.504905	8.812430
31616		-2.566120	0.501207	8.803721
31617		-2.564760	0.500257	8.798012
31618		-2.563841	0.496515	8.795959
31619		-2.564180	0.496300	8.789069
31620		-2.561953	0.492082	8.791929
31621		-2.558579	0.494099	8.794232
31622		-2.554242	0.491770	8.797627
31623		-2.549744	0.488553	8.800325
31624		-2.544617	0.487024	8.798109
31625		-2.541653	0.484771	8.796032
31626		-2.538739	0.480201	8.788131
31627		-2.536037	0.475111	8.784426
31628		-2.532107	0.475214	8.782447
31629		-2.532526	0.470377	8.780618
31630		-2.533944	0.464800	8.779254
31631		-2.531948	0.463285	8.776662
31632		-2.533540	0.460087	8.768703
31633		-2.532669	0.459154	8.761191
31634		-2.532399	0.456334	8.753753
31635		-2.533164	0.455388	8.746666
31636		-2.530994	0.454707	8.748080
31637		-2.530691	0.453962	8.741673
31638		-2.527614	0.456799	8.743858
31639		-2.524989	0.460879	8.746377
31640		-2.524257	0.461880	8.749250
31641		-2.524341	0.462740	8.748948
31642		-2.525243	0.461747	8.748847
31643		-2.528164	0.458835	8.747554
31644		-2.528323	0.457880	8.750891
31645		-2.527331	0.454126	8.759044
31646		-2.528340	0.451976	8.753796
31647		-2.531212	0.450133	8.730562
31648		-2.532528	0.446077	8.711104
31649		-2.534964	0.446255	8.690112
31650		-2.535350	0.444354	8.677289
31651		-2.535189	0.440300	8.675661
31652		-2.531492	0.438899	8.673666
31653		-2.526413	0.435308	8.679977
31654		-2.525467	0.431570	8.677930
31655		-2.522724	0.428803	8.671408
31656		-2.521709	0.424461	8.666177
31657		-2.519221	0.418989	8.659943
31658		-2.517778	0.418272	8.657921
31659		-2.515808	0.416303	8.651504
31660		-2.513983	0.411397	8.646527
31661		-2.513089	0.408934	8.643433
31662		-2.512211	0.404239	8.643339
31663		-2.510522	0.402359	8.645956
31664		-2.511085	0.399347	8.647320
31665		-2.507012	0.400720	8.649863
31666		-2.506513	0.400215	8.652723
31667		-2.500491	0.403361	8.654850
31668		-2.497407	0.400150	8.659199
31669		-2.494020	0.400999	8.662826
31670		-2.492313	0.398865	8.665449
31671		-2.487557	0.397963	8.672568
31672		-2.484287	0.396867	8.680113
31673		-2.480191	0.396629	8.688106
31674		-2.476783	0.395885	8.690516
31675		-2.476437	0.394257	8.689100
31676		-2.474119	0.392370	8.684148
31677		-2.472354	0.394523	8.681509
31678		-2.472131	0.392310	8.677263
31679		-2.470980	0.391968	8.678540
31680		-2.469531	0.391252	8.676519
31681		-2.469323	0.391662	8.670497
31682		-2.467728	0.392861	8.664573
31683		-2.468020	0.391519	8.660195
31684		-2.463246	0.392627	8.659695
31685		-2.461294	0.391570	8.658016
31686		-2.456999	0.391221	8.658726
31687		-2.454025	0.392834	8.658021
31688		-2.451080	0.392199	8.662874
31689		-2.446017	0.392893	8.660726
31690		-2.443154	0.395788	8.664127
31691		-2.439471	0.397652	8.664012
31692		-2.436453	0.397974	8.666913
31693		-2.432182	0.398656	8.664804
31694		-2.428566	0.395539	8.673814
31695		-2.423640	0.398485	8.671957
31696		-2.418508	0.394642	8.677555
31697		-2.411714	0.400492	8.678403
31698		-2.404537	0.398902	8.661278
31699		-2.403309	0.400610	8.618925
31700		-2.399148	0.400230	8.582196
31701		-2.389103	0.403145	8.556127
31702		-2.381899	0.403130	8.540239
31703		-2.376167	0.402099	8.531223
31704		-2.370280	0.402560	8.510430
31705		-2.363235	0.405064	8.481661
31706		-2.357238	0.407251	8.449874
31707		-2.356831	0.402451	8.409174
31708		-2.349882	0.400745	8.386188
31709		-2.344878	0.396425	8.360150
31710		-2.338778	0.389838	8.342266
31711		-2.334989	0.384550	8.311694
31712		-2.332725	0.380535	8.284243
31713		-2.334719	0.372786	8.245980
31714		-2.336638	0.364981	8.217487
31715		-2.332769	0.364858	8.208273
31716		-2.332120	0.361402	8.196458
31717		-2.331129	0.358667	8.198993
31718		-2.330635	0.349601	8.204750
31719		-2.331686	0.336859	8.204718
31720		-2.333512	0.332764	8.199963
31721		-2.331672	0.332184	8.197603
31722		-2.334335	0.330017	8.186738
31723		-2.337596	0.329602	8.164650
31724		-2.337369	0.328573	8.147467
31725		-2.340857	0.325828	8.136145
31726		-2.340995	0.317879	8.143614
31727		-2.334522	0.318100	8.160018
31728		-2.333288	0.315696	8.150906
31729		-2.335446	0.311499	8.113753
31730		-2.330881	0.310108	8.058492
31731		-2.337529	0.300565	8.002292
31732		-2.344245	0.286181	7.981081
31733		-2.335048	0.288341	7.984364
31734		-2.341344	0.276218	7.972209
31735		-2.351757	0.273246	7.932095
31736		-2.377495	0.260054	7.851361
31737		-2.416377	0.228974	7.783921
31738		-2.436217	0.200780	7.782117
31739		-2.450881	0.192500	7.814340
31740		-2.481136	0.161176	7.784624
31741		-2.526337	0.115583	7.650664
31742		-2.563189	0.089262	7.501631
31743		-2.608417	0.048292	7.347921
31744		-2.659361	0.002039	7.220904
31745		-2.709837	-0.036799	7.147769
31746		-2.775760	-0.076763	7.115652
31747		-2.851198	-0.114387	7.099960
31748		-2.940835	-0.156379	7.069833
31749		-3.051177	-0.199558	6.984201
31750		-3.178039	-0.242170	6.871096
31751		-3.326077	-0.287217	6.735452
31752		-3.496181	-0.333862	6.592755
31753		-3.697473	-0.393948	6.437869
31754		-3.923011	-0.460096	6.268315
31755		-4.173732	-0.534723	6.063656
31756		-4.451386	-0.623607	5.849981
31757		-4.753702	-0.706777	5.642991
31758		-5.085833	-0.783353	5.494032
31759		-5.448796	-0.850481	5.431516
31760		-5.830618	-0.893042	5.485576
31761		-6.237019	-0.907663	5.649756
31762		-6.683434	-0.903897	5.865602
31763		-7.189993	-0.906036	6.033076
31764		-7.765730	-0.918923	6.114721
31765		-8.402133	-0.927545	6.085930
31766		-9.090920	-0.913976	5.964900
31767		-9.811119	-0.870283	5.845832
31768		-10.530370	-0.786605	5.750745
31769		-11.249303	-0.668912	5.748205
31770		-11.966325	-0.478671	5.847649
31771		-12.668863	-0.205682	6.037202
31772		-13.333214	0.113697	6.280961
31773		-13.969730	0.448329	6.521153
31774		-14.560649	0.794676	6.795152
31775		-15.128902	1.105471	7.021147
31776		-15.734077	1.297331	7.162300
31777		-16.346453	1.433387	7.197052
31778		-16.932963	1.555056	7.157203
31779		-17.474275	1.640639	7.076645
31780		-17.932442	1.758826	6.933201
31781		-18.343978	1.870942	6.756920
31782		-18.770912	1.970780	6.523105
31783		-19.224990	2.142174	6.307628
31784		-19.750350	2.415573	6.069263
31785		-20.457091	2.694198	5.655514
31786		-21.265527	3.008921	5.104374
31787		-22.103972	3.390766	4.520004
31788		-23.024519	3.671296	3.811960
31789		-23.941381	3.887250	2.999126
31790		-24.827430	4.067509	2.147545
31791		-25.752405	4.157134	1.207115
31792		-26.723784	4.180923	0.210184
31793		-27.723045	4.183859	-0.707754
31794		-28.679820	4.273939	-1.389083
31795		-29.553755	4.483888	-1.831496
31796		-30.400079	4.716812	-2.124277
31797		-31.217433	4.959076	-2.339070
31798		-31.958922	5.247263	-2.457265
31799		-32.614897	5.584224	-2.450879
31800		-33.209640	5.946484	-2.363892
31801		-33.765831	6.317099	-2.255830
31802		-34.276890	6.694034	-2.146381
31803		-34.724765	7.053550	-2.045096
31804		-35.084229	7.388544	-1.945652
31805		-35.362111	7.671114	-1.803099
31806		-35.566040	7.870983	-1.670469
31807		-35.699204	7.987357	-1.561550
31808		-35.765057	8.020046	-1.483940
31809		-35.752534	8.001674	-1.393162
31810		-35.642297	7.956175	-1.263868
31811		-35.424403	7.887381	-1.134922
31812		-35.099327	7.788953	-1.032290
31813		-34.665556	7.636477	-0.949049
31814		-34.116275	7.419606	-0.874316
31815		-33.440513	7.152374	-0.785923
31816		-32.664375	6.829197	-0.710974
31817		-31.789488	6.475780	-0.649350
31818		-30.806442	6.129332	-0.545639
31819		-29.740596	5.756898	-0.438828
31820		-28.611638	5.371341	-0.356098
31821		-27.409377	4.998331	-0.254663
31822		-26.204760	4.545531	-0.281271
31823		-25.011257	4.049169	-0.435470
31824		-23.808812	3.557330	-0.586580
31825		-22.626785	3.050770	-0.807404
