// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
31578		2.211921	-0.678468	5.818047
31579		2.213372	-0.675858	5.822852
31580		2.214488	-0.677141	5.824299
31581		2.213870	-0.676115	5.823501
31582		2.213521	-0.677491	5.822928
31583		2.212420	-0.681000	5.820708
31584		2.210799	-0.684912	5.816624
31585		2.210658	-0.685619	5.811696
31586		2.210155	-0.686903	5.810396
31587		2.211010	-0.686004	5.811767
31588		2.214231	-0.685011	5.811677
31589		2.217515	-0.684573	5.809732
31590		2.220968	-0.684874	5.805268
31591		2.222777	-0.685874	5.799766
31592		2.222165	-0.689315	5.784685
31593		2.219266	-0.692646	5.771823
31594		2.219022	-0.695907	5.762848
31595		2.218116	-0.697601	5.761196
31596		2.216362	-0.700956	5.763168
31597		2.220561	-0.705123	5.767572
31598		2.224103	-0.707391	5.770567
31599		2.228686	-0.709498	5.774723
31600		2.231567	-0.710972	5.772557
31601		2.233011	-0.714630	5.771805
31602		2.236246	-0.716492	5.770348
31603		2.236106	-0.717193	5.765420
31604		2.239260	-0.721191	5.757588
31605		2.240819	-0.724546	5.761623
31606		2.243089	-0.726189	5.770647
31607		2.244265	-0.728474	5.777710
31608		2.246240	-0.731482	5.783679
31609		2.249667	-0.736640	5.791355
31610		2.253242	-0.740667	5.797258
31611		2.256269	-0.744152	5.803460
31612		2.263646	-0.746408	5.808378
31613		2.269490	-0.748293	5.811014
31614		2.274285	-0.750433	5.814369
31615		2.278272	-0.752679	5.816475
31616		2.283062	-0.753190	5.816270
31617		2.287913	-0.755102	5.813995
31618		2.290752	-0.758882	5.811240
31619		2.294141	-0.764393	5.808514
31620		2.296214	-0.770111	5.801209
31621		2.299606	-0.774058	5.799876
31622		2.303116	-0.778972	5.802683
31623		2.306143	-0.780897	5.810274
31624		2.308998	-0.782198	5.814675
31625		2.310458	-0.783330	5.821205
31626		2.312577	-0.785263	5.826174
31627		2.312446	-0.789680	5.822961
31628		2.314980	-0.790650	5.818087
