// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
31578		-0.020523	1.397618	2.672246
31579		-0.022119	1.397849	2.671101
31580		-0.019183	1.396898	2.671255
31581		-0.018981	1.397568	2.671757
31582		-0.018357	1.397559	2.671831
31583		-0.017710	1.398970	2.671504
31584		-0.018704	1.399806	2.672548
31585		-0.018056	1.401217	2.672221
31586		-0.017239	1.400508	2.668220
31587		-0.017983	1.400473	2.665658
31588		-0.016889	1.401144	2.667042
31589		-0.016283	1.400806	2.666957
31590		-0.014821	1.400471	2.667914
31591		-0.012733	1.400338	2.668456
31592		-0.011525	1.401047	2.667024
31593		-0.008445	1.398629	2.669263
31594		-0.009697	1.398020	2.667924
31595		-0.009768	1.400201	2.667166
31596		-0.009265	1.399530	2.668878
31597		-0.010587	1.398246	2.668998
31598		-0.010548	1.399206	2.668237
31599		-0.010619	1.401386	2.667480
31600		-0.008627	1.403330	2.666449
31601		-0.006986	1.402455	2.667822
31602		-0.006654	1.404739	2.665548
31603		-0.005062	1.404641	2.662199
31604		-0.004538	1.405649	2.663682
31605		-0.003170	1.406286	2.663794
31606		-0.002576	1.406117	2.663838
31607		-0.002688	1.406549	2.663324
31608		-0.001971	1.406956	2.665741
31609		-0.002803	1.408159	2.664793
31610		-0.005092	1.409546	2.665733
31611		-0.004617	1.408700	2.667502
31612		-0.002470	1.409352	2.666775
31613		-0.001507	1.410994	2.667478
31614		-0.000939	1.412816	2.667919
31615		-0.000290	1.414223	2.667600
31616		0.000685	1.415036	2.669745
31617		0.000573	1.415467	2.669232
31618		0.000105	1.415162	2.668968
31619		-0.000007	1.415592	2.668457
31620		-0.000793	1.417901	2.666726
31621		-0.001444	1.418831	2.668652
31622		0.000190	1.420241	2.670551
31623		0.000392	1.420906	2.671062
31624		0.000650	1.421949	2.671629
31625		0.000133	1.423385	2.671707
31626		0.000706	1.423262	2.674206
31627		-0.000300	1.422211	2.675350
31628		0.000597	1.424281	2.672688
31629		-0.000640	1.426486	2.672334
31630		-0.000377	1.429970	2.671895
31631		0.000273	1.431375	2.671582
31632		0.002030	1.433300	2.673990
31633		0.003086	1.433699	2.673088
31634		0.003453	1.434989	2.671633
31635		0.006262	1.434084	2.672620
31636		0.005801	1.438098	2.669200
31637		0.007618	1.439473	2.668496
31638		0.007609	1.442334	2.670437
31639		0.008573	1.443973	2.671148
31640		0.008744	1.447640	2.670545
31641		0.007822	1.450078	2.671216
31642		0.007042	1.453417	2.672631
31643		0.006119	1.455855	2.673304
31644		0.005291	1.460391	2.673783
31645		0.007556	1.462504	2.672258
31646		0.008184	1.467393	2.671872
31647		0.010804	1.471485	2.671133
31648		0.012874	1.476729	2.669471
31649		0.013922	1.481855	2.669716
31650		0.016183	1.488272	2.666414
31651		0.017051	1.493666	2.663792
31652		0.016895	1.496913	2.666115
31653		0.018267	1.497545	2.666244
31654		0.016841	1.501655	2.666867
31655		0.017087	1.504059	2.667153
31656		0.017033	1.507855	2.666056
31657		0.018894	1.510969	2.665128
31658		0.018036	1.514407	2.667075
31659		0.018554	1.515302	2.668621
31660		0.019074	1.517061	2.667533
31661		0.018426	1.517985	2.669469
31662		0.018921	1.518637	2.668434
31663		0.018093	1.519829	2.667503
31664		0.019010	1.519754	2.668417
31665		0.020249	1.519879	2.670397
31666		0.020388	1.518253	2.670834
31667		0.019696	1.519948	2.668058
31668		0.018039	1.517800	2.669998
31669		0.018338	1.517219	2.668911
31670		0.016385	1.517239	2.671031
31671		0.014704	1.518696	2.671514
31672		0.014353	1.519586	2.672653
31673		0.012807	1.521545	2.671292
31674		0.013714	1.522007	2.672898
31675		0.013648	1.524173	2.672169
31676		0.014310	1.526906	2.672972
31677		0.014516	1.527564	2.673499
31678		0.014873	1.529131	2.674740
31679		0.016111	1.529257	2.676722
31680		0.015017	1.531940	2.674392
31681		0.015264	1.534340	2.674688
31682		0.014833	1.536065	2.674639
31683		0.012662	1.537551	2.671236
31684		0.011672	1.538827	2.672869
31685		0.011566	1.539248	2.672376
31686		0.009682	1.539227	2.674091
31687		0.009263	1.539413	2.672576
31688		0.010356	1.539649	2.673018
31689		0.009801	1.539332	2.673348
31690		0.007944	1.538605	2.671819
31691		0.008422	1.537755	2.673604
31692		0.007770	1.539555	2.670670
31693		0.007216	1.539237	2.671000
31694		0.005766	1.539661	2.671635
31695		0.004764	1.538605	2.672788
31696		0.002530	1.538255	2.673548
31697		0.000808	1.537965	2.674269
31698		-0.002110	1.539613	2.675577
31699		-0.006614	1.541153	2.672957
31700		-0.010077	1.542105	2.675609
31701		-0.015531	1.545149	2.676013
31702		-0.022873	1.547609	2.676707
31703		-0.028816	1.548173	2.678165
31704		-0.034436	1.549350	2.676911
31705		-0.042266	1.550709	2.678327
31706		-0.053170	1.550809	2.674232
31707		-0.065261	1.553784	2.671677
31708		-0.074442	1.555857	2.671046
31709		-0.082543	1.558717	2.671212
31710		-0.085996	1.560419	2.672947
31711		-0.088571	1.562899	2.670145
31712		-0.090581	1.564485	2.672314
31713		-0.091053	1.567649	2.672188
31714		-0.092938	1.575042	2.673522
31715		-0.092688	1.579942	2.668891
31716		-0.093829	1.582561	2.670794
31717		-0.093988	1.585961	2.671693
31718		-0.094670	1.589511	2.672933
31719		-0.094557	1.591407	2.675086
31720		-0.094203	1.594591	2.676207
31721		-0.093235	1.596221	2.676950
31722		-0.091370	1.597881	2.676330
31723		-0.095288	1.598146	2.675994
31724		-0.098528	1.600874	2.677592
31725		-0.102228	1.605118	2.674954
31726		-0.105317	1.607191	2.673601
31727		-0.109601	1.610198	2.673627
31728		-0.112921	1.613536	2.674555
31729		-0.120531	1.618864	2.673674
31730		-0.133260	1.628548	2.673247
31731		-0.151293	1.640101	2.670469
31732		-0.164468	1.651422	2.673024
31733		-0.182921	1.668687	2.671992
31734		-0.204117	1.687817	2.675445
31735		-0.231374	1.709504	2.676248
31736		-0.266079	1.723869	2.677252
31737		-0.305274	1.733909	2.672543
31738		-0.342326	1.746029	2.672379
31739		-0.371177	1.746369	2.670043
31740		-0.394236	1.749031	2.668959
31741		-0.406940	1.748991	2.669335
31742		-0.421605	1.750626	2.673206
31743		-0.435745	1.749624	2.677660
31744		-0.448111	1.748708	2.685878
31745		-0.461219	1.747187	2.691788
31746		-0.468260	1.743514	2.703021
31747		-0.476173	1.741135	2.715963
31748		-0.483574	1.738186	2.727240
31749		-0.490186	1.736274	2.737952
31750		-0.494247	1.733538	2.752427
31751		-0.494444	1.730240	2.763461
31752		-0.492978	1.723489	2.776482
31753		-0.487917	1.714111	2.787082
31754		-0.480004	1.699507	2.801468
31755		-0.465823	1.681221	2.810105
31756		-0.452273	1.658451	2.822587
31757		-0.443705	1.637057	2.834670
31758		-0.435127	1.612194	2.847445
31759		-0.427840	1.583371	2.854537
31760		-0.421292	1.549965	2.861969
31761		-0.420685	1.510611	2.859364
31762		-0.424652	1.464660	2.855062
31763		-0.438105	1.407225	2.838769
31764		-0.463200	1.339845	2.820539
31765		-0.500512	1.256262	2.789347
31766		-0.553491	1.150008	2.754100
31767		-0.622989	1.016550	2.701791
31768		-0.703166	0.850888	2.651150
31769		-0.803500	0.647823	2.593193
31770		-0.931794	0.386184	2.534324
31771		-1.143863	0.000521	2.403503
31772		-1.371855	-0.523747	2.297136
31773		-1.606913	-1.170997	2.198183
31774		-1.817531	-1.944775	2.132031
31775		-2.017948	-2.842501	2.104014
31776		-2.215067	-3.865589	2.107817
31777		-2.428141	-5.019237	2.136022
31778		-2.650649	-6.267688	2.165619
31779		-2.881325	-7.614121	2.178709
31780		-3.143158	-8.990271	2.122444
31781		-3.493721	-10.350499	1.923166
31782		-3.822305	-11.733244	1.611313
31783		-3.960960	-13.151959	1.213864
31784		-3.806649	-14.515140	0.696426
31785		-3.434847	-15.556093	0.040177
31786		-3.000696	-16.399651	-0.753593
31787		-2.598524	-17.239890	-1.664066
31788		-2.228713	-18.176148	-2.637064
31789		-1.844701	-19.186897	-3.631845
31790		-1.427842	-20.193109	-4.625145
31791		-0.974046	-21.149587	-5.605503
31792		-0.460339	-22.050337	-6.539960
31793		0.101611	-22.904065	-7.388590
31794		0.666547	-23.687271	-8.136297
31795		1.169904	-24.388881	-8.785333
31796		1.597157	-25.032728	-9.325167
31797		1.982601	-25.651598	-9.753746
31798		2.316849	-26.264506	-10.082313
31799		2.576196	-26.854957	-10.336173
31800		2.772953	-27.382061	-10.543125
31801		2.941610	-27.819686	-10.707286
31802		3.111152	-28.149852	-10.824887
31803		3.261409	-28.402562	-10.901293
31804		3.345200	-28.566245	-10.933124
31805		3.361446	-28.624578	-10.919984
31806		3.317230	-28.585003	-10.860450
31807		3.246871	-28.460634	-10.766934
31808		3.167535	-28.257115	-10.643763
31809		3.083105	-27.975613	-10.518909
31810		2.988874	-27.589526	-10.418988
31811		2.893236	-27.076738	-10.355973
31812		2.813917	-26.438309	-10.325236
31813		2.755754	-25.692877	-10.336375
31814		2.692055	-24.857484	-10.375341
31815		2.609822	-23.934281	-10.426244
31816		2.497860	-22.915747	-10.466782
31817		2.340969	-21.806419	-10.476823
31818		2.133182	-20.606797	-10.465247
31819		1.868725	-19.343938	-10.446119
31820		1.541715	-18.009701	-10.423175
31821		1.173152	-16.612624	-10.443038
31822		0.812664	-15.187294	-10.485986
31823		0.462448	-13.769600	-10.548695
31824		0.117833	-12.356919	-10.615328
31825		-0.213614	-10.953302	-10.663958
31826		-0.566601	-9.555907	-10.692427
31827		-0.937356	-8.172454	-10.731575
31828		-1.289237	-6.831583	-10.764216
31829		-1.609116	-5.541948	-10.804520
31830		-1.870856	-4.305186	-10.836427
31831		-2.068197	-3.126705	-10.852260
31832		-2.222170	-2.022961	-10.836705
31833		-2.342988	-1.030043	-10.771471
31834		-2.403568	-0.175024	-10.611412
31835		-2.395576	0.515685	-10.337642
31836		-2.329111	1.012896	-9.961126
31837		-2.169216	1.318082	-9.473191
31838		-1.951437	1.482025	-8.865891
31839		-1.780762	1.582358	-8.228163
31840		-1.678841	1.651763	-7.640638
31841		-1.587195	1.615613	-7.127162
31842		-1.479743	1.396155	-6.659703
31843		-1.349724	0.982768	-6.202091
31844		-1.149421	0.522264	-5.692698
31845		-0.827907	0.169138	-5.118534
31846		-0.466634	-0.050898	-4.511643
31847		-0.190308	-0.221728	-3.935211
31848		-0.025896	-0.432983	-3.412146
31849		0.101915	-0.714851	-2.914014
31850		0.267546	-1.060713	-2.395237
31851		0.500342	-1.442640	-1.841247
31852		0.796137	-1.790001	-1.256974
31853		1.116889	-2.039551	-0.701035
31854		1.362163	-2.165033	-0.231497
31855		1.455201	-2.201592	0.105188
31856		1.434611	-2.229990	0.339447
31857		1.433507	-2.310714	0.536156
31858		1.514159	-2.447715	0.740463
31859		1.623545	-2.586610	0.929088
31860		1.709228	-2.700934	1.073557
31861		1.759792	-2.800077	1.157946
31862		1.779069	-2.873283	1.174049
31863		1.791083	-2.897529	1.131166
31864		1.806444	-2.895659	1.044068
