// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
59226		-1.262150	-0.206607	-2.627096
59227		-1.255946	-0.207463	-2.576718
59228		-1.248194	-0.203595	-2.531868
59229		-1.243843	-0.195785	-2.488843
59230		-1.242432	-0.191343	-2.440675
59231		-1.240698	-0.183828	-2.384440
59232		-1.243852	-0.176364	-2.317104
59233		-1.249881	-0.166474	-2.244982
59234		-1.253237	-0.151520	-2.171179
59235		-1.264789	-0.141315	-2.103928
59236		-1.276545	-0.127414	-2.043689
59237		-1.291727	-0.111756	-1.989527
59238		-1.307808	-0.094326	-1.938295
59239		-1.324076	-0.073225	-1.893143
59240		-1.340239	-0.049958	-1.843686
59241		-1.355860	-0.024329	-1.780821
59242		-1.368742	0.002726	-1.699362
59243		-1.380016	0.031000	-1.600530
59244		-1.390106	0.063020	-1.489148
59245		-1.399158	0.091776	-1.378213
59246		-1.411020	0.123616	-1.274387
59247		-1.423802	0.155233	-1.182620
59248		-1.437101	0.188466	-1.103431
59249		-1.450825	0.220503	-1.040235
59250		-1.469319	0.251158	-0.991132
59251		-1.484389	0.280868	-0.951519
59252		-1.502069	0.311154	-0.926332
59253		-1.521595	0.337036	-0.908161
59254		-1.540035	0.358809	-0.890528
59255		-1.555025	0.385774	-0.877547
59256		-1.565493	0.413172	-0.854467
59257		-1.576736	0.438307	-0.834249
59258		-1.585443	0.462865	-0.816767
59259		-1.591370	0.484562	-0.804591
59260		-1.597405	0.504016	-0.807033
59261		-1.601735	0.516101	-0.812214
59262		-1.597506	0.531102	-0.828357
59263		-1.589891	0.545645	-0.853474
59264		-1.581499	0.554472	-0.893605
59265		-1.572921	0.562115	-0.946083
59266		-1.563267	0.564467	-1.000474
59267		-1.551910	0.564678	-1.055101
59268		-1.535138	0.564781	-1.111059
59269		-1.520182	0.564462	-1.168216
59270		-1.506823	0.560557	-1.223514
59271		-1.487726	0.551908	-1.254911
59272		-1.465900	0.542518	-1.276841
59273		-1.445285	0.531227	-1.304226
59274		-1.422310	0.520638	-1.338217
59275		-1.400708	0.512310	-1.393839
59276		-1.382389	0.503839	-1.457208
59277		-1.357933	0.495386	-1.491500
59278		-1.336380	0.487372	-1.491547
59279		-1.317443	0.478733	-1.469358
59280		-1.298197	0.474239	-1.426921
59281		-1.281782	0.473372	-1.389466
59282		-1.268199	0.469686	-1.367480
59283		-1.258607	0.469929	-1.356563
59284		-1.249784	0.476277	-1.350561
59285		-1.240765	0.482558	-1.338203
59286		-1.232686	0.490493	-1.311600
59287		-1.222730	0.502846	-1.267170
59288		-1.212836	0.516835	-1.198565
59289		-1.201063	0.533036	-1.105218
59290		-1.194727	0.551037	-1.002290
59291		-1.186864	0.568220	-0.898378
59292		-1.180626	0.591092	-0.795168
59293		-1.178362	0.612674	-0.706105
59294		-1.178787	0.633145	-0.639559
59295		-1.182128	0.653274	-0.595013
59296		-1.188452	0.670139	-0.572080
59297		-1.196460	0.684057	-0.573440
59298		-1.209241	0.698790	-0.594126
59299		-1.217354	0.711553	-0.618739
59300		-1.224550	0.729495	-0.640386
59301		-1.228705	0.742563	-0.658576
59302		-1.234506	0.753311	-0.673306
59303		-1.237076	0.761947	-0.684577
59304		-1.237500	0.774919	-0.702947
59305		-1.241536	0.782709	-0.739201
59306		-1.244738	0.789942	-0.781854
59307		-1.242160	0.799149	-0.826907
59308		-1.242234	0.803235	-0.873335
59309		-1.238642	0.804974	-0.919601
59310		-1.233219	0.804962	-0.968611
59311		-1.227864	0.802180	-1.028510
59312		-1.221441	0.799268	-1.092941
59313		-1.213861	0.791727	-1.154000
59314		-1.202919	0.779626	-1.203359
59315		-1.191217	0.767233	-1.244498
59316		-1.185778	0.750912	-1.284050
59317		-1.180430	0.733559	-1.326366
59318		-1.175525	0.717508	-1.374286
59319		-1.173104	0.697001	-1.422591
59320		-1.171561	0.676468	-1.465092
59321		-1.163070	0.656585	-1.483795
59322		-1.151222	0.641965	-1.490909
59323		-1.140728	0.630362	-1.484345
59324		-1.134252	0.615570	-1.473212
59325		-1.125666	0.600626	-1.461351
59326		-1.116594	0.592701	-1.440243
59327		-1.113212	0.584978	-1.413027
59328		-1.110693	0.577629	-1.368436
59329		-1.103974	0.573286	-1.284318
59330		-1.096155	0.570042	-1.187386
59331		-1.088082	0.565508	-1.096802
59332		-1.087978	0.559414	-1.032433
59333		-1.091312	0.556053	-0.982500
59334		-1.097164	0.554927	-0.948382
59335		-1.103558	0.552992	-0.918533
59336		-1.114882	0.547426	-0.895686
59337		-1.127524	0.540991	-0.875906
59338		-1.140230	0.536424	-0.853875
59339		-1.153837	0.532340	-0.830398
59340		-1.165640	0.530546	-0.814759
59341		-1.177564	0.527105	-0.791618
59342		-1.189312	0.518493	-0.770625
59343		-1.198369	0.510375	-0.749850
59344		-1.205433	0.507464	-0.720641
59345		-1.216352	0.500572	-0.697670
59346		-1.225011	0.498015	-0.681566
59347		-1.232079	0.494267	-0.674389
59348		-1.240853	0.491551	-0.685400
59349		-1.251206	0.488666	-0.705144
59350		-1.261509	0.488072	-0.731498
59351		-1.272377	0.484369	-0.755419
59352		-1.280434	0.483492	-0.775089
59353		-1.288964	0.482860	-0.791843
59354		-1.296875	0.482987	-0.809035
59355		-1.309070	0.481306	-0.826584
59356		-1.318608	0.481347	-0.847534
59357		-1.331119	0.482656	-0.877760
59358		-1.343992	0.484077	-0.909758
59359		-1.358196	0.487021	-0.946711
59360		-1.375529	0.485180	-0.992711
59361		-1.394955	0.481236	-1.043415
59362		-1.415052	0.476543	-1.104526
59363		-1.439688	0.469105	-1.179580
59364		-1.465787	0.461467	-1.263289
59365		-1.489360	0.456800	-1.344554
59366		-1.513470	0.450288	-1.421575
59367		-1.540175	0.439210	-1.499681
59368		-1.563569	0.426643	-1.578254
59369		-1.583465	0.416957	-1.654202
59370		-1.607129	0.406910	-1.736460
59371		-1.634120	0.387729	-1.826475
59372		-1.662595	0.367297	-1.916833
59373		-1.693171	0.348246	-2.006413
59374		-1.722263	0.329462	-2.098566
59375		-1.749784	0.318749	-2.195759
59376		-1.774953	0.310515	-2.297826
59377		-1.799430	0.296396	-2.407209
59378		-1.821733	0.275933	-2.527737
59379		-1.834942	0.253391	-2.650409
59380		-1.841934	0.234957	-2.774802
59381		-1.841132	0.211899	-2.903186
59382		-1.835813	0.188939	-3.033637
59383		-1.822185	0.165623	-3.163222
59384		-1.803236	0.137375	-3.293931
59385		-1.776562	0.107011	-3.419292
59386		-1.739810	0.075923	-3.538110
59387		-1.702259	0.047089	-3.655614
59388		-1.661564	0.011790	-3.767062
59389		-1.605536	-0.019607	-3.848172
59390		-1.539313	-0.048439	-3.901422
59391		-1.468558	-0.080848	-3.947127
59392		-1.390558	-0.108579	-3.986038
59393		-1.301659	-0.140233	-4.020695
59394		-1.214787	-0.178441	-4.102777
59395		-1.131077	-0.216089	-4.267815
59396		-1.044735	-0.256328	-4.503195
59397		-0.954943	-0.299051	-4.756841
59398		-0.870988	-0.344802	-5.002169
59399		-0.790170	-0.389995	-5.214508
59400		-0.708204	-0.426192	-5.354687
59401		-0.628893	-0.448630	-5.424597
59402		-0.562654	-0.471954	-5.440197
59403		-0.516801	-0.500192	-5.424665
59404		-0.479166	-0.524189	-5.400140
59405		-0.454879	-0.541082	-5.361715
59406		-0.443007	-0.554586	-5.326394
59407		-0.446486	-0.565841	-5.289874
59408		-0.453957	-0.579119	-5.230422
59409		-0.467058	-0.595311	-5.154614
59410		-0.485523	-0.605014	-5.066538
59411		-0.512072	-0.615053	-4.987969
59412		-0.547435	-0.622485	-4.925611
59413		-0.586854	-0.625941	-4.874877
59414		-0.631291	-0.630079	-4.828098
59415		-0.679935	-0.632133	-4.770534
59416		-0.725205	-0.629654	-4.679088
59417		-0.769303	-0.625046	-4.539417
59418		-0.811391	-0.616657	-4.359294
59419		-0.848992	-0.604831	-4.148528
59420		-0.885058	-0.590749	-3.914190
59421		-0.917221	-0.580699	-3.672589
59422		-0.947735	-0.569603	-3.442823
59423		-0.977390	-0.554722	-3.227099
59424		-1.007091	-0.538941	-3.026926
59425		-1.040242	-0.524729	-2.841401
59426		-1.073641	-0.517656	-2.657683
59427		-1.108827	-0.511013	-2.493091
59428		-1.146597	-0.506708	-2.340123
59429		-1.190969	-0.503922	-2.207241
59430		-1.234002	-0.502082	-2.087856
59431		-1.278213	-0.499734	-1.986080
59432		-1.325493	-0.501764	-1.912325
59433		-1.373078	-0.506717	-1.862549
59434		-1.418435	-0.512295	-1.830116
59435		-1.460411	-0.516602	-1.803255
59436		-1.506154	-0.526257	-1.786467
59437		-1.543385	-0.542374	-1.759669
59438		-1.578195	-0.559401	-1.737782
59439		-1.607437	-0.575968	-1.721523
59440		-1.632594	-0.587815	-1.706760
59441		-1.655009	-0.599683	-1.703785
59442		-1.678132	-0.611070	-1.709927
59443		-1.695262	-0.622868	-1.720917
59444		-1.712659	-0.636713	-1.726213
59445		-1.727803	-0.649198	-1.732556
59446		-1.746358	-0.660627	-1.751421
59447		-1.757189	-0.672451	-1.765110
59448		-1.762883	-0.683002	-1.791477
59449		-1.765274	-0.695035	-1.829445
59450		-1.770831	-0.711709	-1.889145
59451		-1.774504	-0.727222	-1.964420
59452		-1.775177	-0.746763	-2.052548
59453		-1.768617	-0.763501	-2.127531
59454		-1.758154	-0.780974	-2.203647
59455		-1.745554	-0.796325	-2.275353
59456		-1.729944	-0.809808	-2.325052
59457		-1.711276	-0.818028	-2.352429
59458		-1.690664	-0.817744	-2.350878
59459		-1.671669	-0.817557	-2.342202
59460		-1.656579	-0.815075	-2.328990
59461		-1.645265	-0.811266	-2.318881
59462		-1.640561	-0.805619	-2.321548
59463		-1.639691	-0.802983	-2.330299
