// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
47543		2.706272	-2.861552	74.116412
47544		2.640641	-0.730353	74.387561
47545		2.565471	1.355728	74.651219
47546		2.411929	3.471189	74.878057
47547		2.129931	5.643378	75.069014
47548		1.712992	7.892537	75.249660
47549		1.204942	10.146964	75.463802
47550		0.653840	12.390723	75.757337
47551		0.109166	14.570941	76.170213
47552		-0.430571	16.710109	76.714563
47553		-1.030827	18.837096	77.332718
47554		-1.642845	20.927043	77.974758
47555		-2.253526	22.891240	78.576619
47556		-2.940613	24.647239	79.082042
47557		-3.718317	26.134143	79.461091
47558		-4.482232	27.344913	79.744982
47559		-5.046955	28.259859	80.019993
47560		-5.269073	28.805640	80.368062
47561		-5.090169	28.897779	80.835068
47562		-4.633212	28.528273	81.347362
47563		-4.021550	27.766361	81.833460
47564		-3.019082	26.326898	82.471998
47565		-1.632444	23.910057	83.245319
47566		-0.397277	21.591881	83.404874
47567		0.661647	19.069150	83.284635
47568		1.240848	16.091483	83.412784
47569		1.308803	13.341581	83.944706
47570		1.266374	11.079731	84.526742
47571		1.141425	9.122593	84.828882
47572		0.904835	7.379414	84.870038
47573		0.629609	5.793469	84.840628
47574		0.476156	4.321331	84.960436
47575		0.420160	3.028184	85.231795
47576		0.357473	1.896241	85.438550
47577		0.289108	0.968406	85.494000
47578		0.262547	0.341475	85.502831
47579		0.346657	-0.018383	85.502644
47580		0.475681	-0.274485	85.482405
47581		0.596520	-0.458124	85.462080
47582		0.775348	-0.582836	85.437611
47583		1.005200	-0.643253	85.406264
47584		1.221895	-0.709510	85.377496
47585		1.441826	-0.773411	85.339511
47586		1.653497	-0.830221	85.303063
47587		1.842531	-0.879866	85.270021
47588		1.991323	-0.928910	85.256069
47589		2.123105	-0.969591	85.255346
47590		2.244662	-1.024425	85.265514
47591		2.354848	-1.076666	85.285999
47592		2.446694	-1.157857	85.318523
