// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
18566		1.200755	22.760973	6.492202
18567		0.847045	20.768144	6.215279
18568		0.620490	18.530007	6.059577
18569		0.599335	16.494002	6.107547
18570		0.706032	14.710850	6.346039
18571		0.833664	13.179812	6.638647
18572		0.971454	11.860118	6.738524
18573		0.985781	10.728191	6.724259
18574		0.968009	9.944474	6.704114
18575		0.981339	9.466820	6.640178
18576		1.024318	9.194890	6.535939
18577		1.094729	8.997442	6.420851
18578		1.169011	8.879494	6.344182
18579		1.247669	8.825168	6.284155
18580		1.327294	8.815257	6.261938
18581		1.418484	8.813423	6.241419
18582		1.520054	8.820700	6.199627
18583		1.626912	8.816232	6.183236
18584		1.739646	8.844684	6.209923
18585		1.854930	8.887070	6.284510
18586		1.964825	8.951460	6.372696
18587		2.066385	9.000990	6.459514
18588		2.154067	9.050778	6.545387
18589		2.235548	9.077745	6.623056
18590		2.301020	9.097087	6.689467
18591		2.344981	9.084751	6.738462
18592		2.368586	9.062068	6.779019
18593		2.371230	9.021241	6.809134
18594		2.362538	8.976682	6.832425
18595		2.344684	8.917527	6.847901
18596		2.329746	8.856409	6.859661
18597		2.306862	8.783008	6.869669
18598		2.282325	8.705131	6.883302
18599		2.258123	8.620596	6.895559
18600		2.234013	8.538509	6.910118
18601		2.213164	8.445122	6.925646
18602		2.198556	8.357459	6.936751
18603		2.182055	8.255333	6.949757
18604		2.174950	8.152268	6.979414
18605		2.149911	8.067139	6.996549
18606		2.119607	7.988820	7.012906
18607		2.089749	7.895204	7.029420
18608		2.065484	7.803523	7.040696
18609		2.051236	7.695382	7.053188
18610		2.031172	7.602802	7.066272
18611		2.013285	7.501316	7.077275
18612		1.998905	7.407740	7.081928
18613		1.984587	7.299888	7.082163
18614		1.975066	7.193794	7.076098
18615		1.962046	7.082005	7.067576
18616		1.943174	6.961850	7.045588
18617		1.914511	6.817717	7.010760
18618		1.881264	6.663812	6.964839
18619		1.841373	6.491372	6.909428
18620		1.787915	6.315404	6.851350
18621		1.710259	6.121428	6.797202
18622		1.617310	5.912270	6.744002
18623		1.507863	5.658668	6.689169
18624		1.373489	5.376344	6.617978
18625		1.218664	5.043423	6.533774
18626		1.048369	4.648691	6.445120
18627		0.883836	4.168389	6.382327
18628		0.708849	3.620148	6.330278
18629		0.533640	2.985395	6.274000
18630		0.357948	2.266888	6.214255
18631		0.189964	1.430104	6.149333
18632		0.028116	0.482446	6.075934
18633		-0.130054	-0.588917	5.993707
18634		-0.294967	-1.810862	5.904194
18635		-0.473359	-3.195825	5.846442
18636		-0.674732	-4.690175	5.792409
18637		-0.902021	-6.394094	5.770273
18638		-1.166787	-8.302811	5.766315
18639		-1.505783	-10.461800	5.781453
18640		-1.928425	-12.877819	5.822041
18641		-2.424277	-15.549936	5.925995
18642		-3.005948	-18.523975	6.148572
18643		-3.683433	-21.770863	6.487700
18644		-4.520634	-25.234447	7.014553
18645		-5.501325	-28.870574	7.704716
18646		-6.620809	-32.568435	8.577631
18647		-7.877990	-36.139402	9.477436
18648		-9.259258	-39.575183	10.378369
18649		-10.750778	-42.882205	11.315057
18650		-12.256549	-46.010649	12.253709
18651		-13.713413	-49.015869	13.208947
18652		-15.119045	-51.897192	14.196840
18653		-16.644272	-54.711776	15.241408
18654		-18.391399	-57.449745	16.313783
18655		-20.193668	-60.067453	17.191047
18656		-21.754774	-62.303882	17.585551
