// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
27323	-1.094525	-8.145669	0.411519
27324	-0.894621	-8.380125	0.319673
27325	-0.644595	-8.618034	0.195109
27326	-0.337650	-8.860449	0.049767
27327	-0.001445	-9.112958	-0.107174
27328	0.334648	-9.380994	-0.253070
27329	0.687393	-9.668292	-0.384164
27330	1.072203	-9.956046	-0.494642
27331	1.469971	-10.267677	-0.602496
27332	1.682507	-10.657392	-0.819851
27333	2.160238	-11.243851	-0.936557
27334	2.636750	-12.017796	-1.024296
27335	3.161928	-12.918078	-1.084118
27336	3.602464	-14.008344	-1.169503
27337	3.973979	-15.292766	-1.234785
27338	4.273848	-16.770271	-1.282821
27339	4.527454	-18.416750	-1.323180
27340	4.736732	-20.234322	-1.366733
27341	4.924064	-22.285001	-1.401933
27342	5.069326	-24.603115	-1.457756
27343	5.184534	-27.232875	-1.553904
27344	5.241758	-30.143087	-1.667248
27345	5.206944	-33.423068	-1.765075
27346	5.055883	-37.066109	-1.865257
27347	4.781455	-41.058427	-1.992806
27348	4.288792	-45.328823	-2.057790
27349	3.640342	-49.793405	-1.959382
27350	2.817387	-54.190658	-1.686490
27351	1.853302	-58.486657	-1.375951
27352	0.920183	-62.714338	-1.104237
27353	-0.191562	-67.061415	-0.708163
27354	-1.406879	-71.409294	-0.245998
27355	-2.226443	-75.541374	-0.071956
27356	-2.630822	-79.135040	-0.345337
27357	-1.850878	-81.829820	-1.922930
27358	0.543269	-83.531832	-4.560194
27359	1.853023	-84.273887	-4.727157
27360	2.734887	-83.506200	-4.200296
27361	3.845115	-80.124066	-4.530232
27362	6.263471	-77.908574	-6.566257
27363	9.122499	-76.050289	-9.347573
27364	11.543576	-74.295709	-11.576753
27365	13.039668	-72.288782	-12.478445
27366	13.571303	-69.868468	-12.151742
27367	13.565528	-67.116517	-11.241522
27368	13.424300	-64.239412	-10.244431
27369	13.332506	-61.331845	-9.390244
27370	13.228886	-58.337982	-8.697776
27371	12.956584	-55.213003	-8.145105
27372	12.481341	-52.032234	-7.654249
27373	11.941346	-48.794361	-7.181405
27374	11.433730	-45.527631	-6.708860
27375	10.916885	-42.303697	-6.292773
27376	10.330376	-39.167549	-5.982082
27377	9.715706	-36.082924	-5.762106
27378	9.154645	-33.019521	-5.583468
27379	8.642461	-29.915585	-5.436245
27380	8.115054	-26.761292	-5.355770
27381	7.553598	-23.579104	-5.338850
27382	6.975263	-20.443231	-5.318044
27383	6.389291	-17.342326	-5.206178
27384	5.762632	-14.359372	-4.981818
27385	5.033832	-11.518383	-4.663922
27386	4.259300	-8.830309	-4.255775
27387	3.553154	-6.256041	-3.748311
27388	2.947858	-3.828422	-3.164577
27389	2.397697	-1.590045	-2.528924
27390	1.897210	0.425345	-1.842734
27391	1.540927	2.302995	-1.125117
27392	1.449087	4.155668	-0.445034
27393	1.526646	5.958661	0.100661
27394	1.590742	7.558417	0.447956
27395	1.551716	8.860142	0.595893
27396	1.449059	9.816920	0.616441
27397	1.332820	10.466132	0.612487
27398	1.241232	10.832537	0.676366
27399	1.215779	10.928688	0.836544
27400	1.275832	10.833571	1.054134
27401	1.425624	10.553015	1.260656
27402	1.535279	9.999960	1.454561
27403	1.429409	9.087936	1.681839
27404	1.030787	7.866341	1.955569
27405	0.561694	6.652716	2.399410
27406	0.233550	5.804402	2.976510
27407	0.007796	5.290688	3.459137
27408	-0.080575	4.452895	3.742778
27409	-0.116020	3.185723	3.795371
27410	-0.140381	1.947911	3.658096
27411	-0.123044	1.072563	3.409013
27412	-0.098708	0.337008	3.141996
27413	-0.119112	-0.396575	2.974039
