// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
52856	0.094861	9.491566	1.463511
52857	-0.165563	9.140978	0.891431
52858	-0.423051	8.713262	0.459344
52859	-0.709680	8.280385	0.356582
52860	-0.919537	7.839313	0.591363
52861	-1.028238	7.401102	1.063459
52862	-1.095100	6.968963	1.719516
52863	-1.185250	6.528010	2.444437
52864	-1.289303	6.075513	3.095803
52865	-1.384307	5.624241	3.616740
52866	-1.475277	5.183788	4.043582
52867	-1.553052	4.756026	4.433765
52868	-1.619841	4.356588	4.788620
52869	-1.674146	3.994322	5.089996
52870	-1.717531	3.660892	5.333694
52871	-1.751866	3.354103	5.516754
52872	-1.773832	3.066485	5.631404
52873	-1.776435	2.796548	5.667881
52874	-1.754038	2.542889	5.647858
52875	-1.713325	2.298349	5.615022
52876	-1.655922	2.070445	5.614422
52877	-1.592837	1.864309	5.651551
52878	-1.531808	1.669483	5.716531
52879	-1.472821	1.486877	5.795514
52880	-1.421318	1.316269	5.886657
52881	-1.377375	1.154775	5.986970
52882	-1.338454	1.003879	6.082950
52883	-1.305862	0.865996	6.176613
52884	-1.282090	0.743182	6.264391
52885	-1.261596	0.635978	6.347303
52886	-1.239473	0.534880	6.404574
52887	-1.209925	0.436421	6.413452
52888	-1.176414	0.341375	6.392496
52889	-1.144609	0.251856	6.362447
52890	-1.108698	0.164885	6.335956
52891	-1.078983	0.076782	6.316517
52892	-1.055458	-0.009014	6.337066
52893	-1.033218	-0.085410	6.386277
52894	-1.014842	-0.162754	6.439547
52895	-0.992948	-0.242129	6.465063
52896	-0.969682	-0.325259	6.462299
52897	-0.943661	-0.409487	6.471426
52898	-0.921789	-0.486550	6.526277
52899	-0.898919	-0.559475	6.626717
52900	-0.879285	-0.629752	6.750125
52901	-0.859735	-0.697592	6.876858
52902	-0.838111	-0.764798	6.985543
52903	-0.811569	-0.834507	7.071536
52904	-0.782359	-0.899960	7.149461
52905	-0.749299	-0.961183	7.248772
52906	-0.715774	-1.013968	7.374302
52907	-0.679876	-1.057572	7.504424
52908	-0.643856	-1.092544	7.609388
52909	-0.601403	-1.117729	7.673497
52910	-0.554395	-1.136943	7.704744
52911	-0.502433	-1.148264	7.716090
52912	-0.443757	-1.151112	7.702581
52913	-0.379370	-1.154041	7.669151
52914	-0.311312	-1.158896	7.646005
52915	-0.250327	-1.156869	7.676445
52916	-0.199094	-1.146849	7.754836
52917	-0.154498	-1.140396	7.834674
52918	-0.109641	-1.133841	7.884205
52919	-0.075319	-1.122563	7.916923
52920	-0.051811	-1.104220	7.949692
52921	-0.033941	-1.077729	7.978403
52922	-0.026603	-1.044389	8.003202
52923	-0.021790	-1.000701	8.018226
52924	-0.021311	-0.949679	8.012886
52925	-0.022013	-0.893294	7.991751
52926	-0.023522	-0.831578	7.967170
52927	-0.024717	-0.763934	7.957837
52928	-0.026271	-0.693352	7.964240
52929	-0.025297	-0.619035	7.983739
52930	-0.020706	-0.541823	8.003954
52931	-0.013439	-0.460843	8.023486
52932	-0.000593	-0.374008	8.044930
52933	0.011090	-0.273489	8.066592
52934	0.022544	-0.160728	8.073961
52935	0.036435	-0.037310	8.053847
52936	0.054590	0.090763	8.006508
52937	0.078052	0.233009	7.947014
52938	0.108385	0.384780	7.887770
52939	0.143174	0.545664	7.827680
52940	0.185322	0.712154	7.780736
52941	0.231861	0.886220	7.740426
52942	0.282299	1.062775	7.705848
52943	0.335852	1.242123	7.670470
52944	0.389564	1.428751	7.656110
52945	0.445844	1.626582	7.675573
52946	0.502044	1.835086	7.713929
52947	0.555136	2.055756	7.744720
52948	0.612706	2.288574	7.752445
52949	0.672818	2.537154	7.736087
52950	0.734386	2.799686	7.687661
52951	0.807420	3.073282	7.618873
52952	0.896223	3.354345	7.535321
52953	1.009849	3.645693	7.433362
52954	1.144448	3.945775	7.302617
52955	1.305260	4.254274	7.128858
52956	1.478239	4.580233	6.921795
52957	1.668064	4.921795	6.707984
52958	1.874461	5.273586	6.498570
52959	2.086869	5.651119	6.301478
52960	2.319676	6.019327	6.160074
52961	2.574165	6.397796	6.040769
52962	2.841621	6.793485	5.916568
52963	3.126542	7.198246	5.753925
52964	3.427467	7.602756	5.533867
52965	3.754524	7.999832	5.261901
52966	4.107320	8.390680	4.949852
52967	4.492381	8.771333	4.621111
52968	4.905890	9.141682	4.297447
52969	5.343963	9.511275	4.023752
52970	5.815595	9.863113	3.865014
52971	6.302807	10.225314	3.822361
52972	6.862203	10.557359	3.942381
52973	7.434971	10.836492	4.207428
52974	7.936487	11.074534	4.336777
52975	8.391432	11.195128	4.279121
52976	8.756226	11.219341	4.004461
52977	9.014224	11.148610	3.512384
52978	9.112466	11.034783	2.698045
52979	9.058806	10.878489	1.589541
52980	8.983381	10.617078	0.387258
52981	8.970573	10.233927	-0.671591
52982	9.036340	9.745494	-1.422245
52983	9.183157	9.165431	-1.784091
52984	9.421832	8.491117	-1.729709
52985	9.715804	7.718086	-1.320316
52986	9.994049	6.879964	-0.688785
52987	10.185479	6.147398	-0.073722
52988	10.346240	5.485233	0.488685
52989	10.493285	4.886387	0.837425
52990	10.598575	4.358182	1.033793
52991	10.646654	3.947961	1.160144
52992	10.692108	3.575964	1.385964
52993	10.705383	3.224992	1.723505
52994	10.644533	2.898347	2.181248
52995	10.495648	2.632661	2.651096
52996	10.226674	2.463178	3.026019
52997	9.884235	2.421352	3.321273
52998	9.595222	2.558230	3.582817
52999	9.500511	2.759217	3.790487
53000	9.402019	2.989129	3.897523
53001	9.172305	3.023948	3.959514
53002	8.908991	2.635101	4.322667
53003	8.550543	2.253095	4.858120
53004	8.276904	2.058216	5.204122
53005	8.055091	2.024046	5.275479
53006	7.781954	2.067988	5.027327
53007	7.492770	2.093540	4.450863
53008	7.241087	2.125779	3.651788
53009	7.025655	2.172456	2.827730
53010	6.830725	2.183610	2.190871
53011	6.646814	2.169291	1.859742
53012	6.465550	2.152098	1.850634
53013	6.296219	2.133419	2.088364
53014	6.149091	2.105990	2.442207
53015	6.000881	2.081261	2.790607
53016	5.839686	2.047313	3.037453
53017	5.673096	2.006444	3.159535
53018	5.515115	1.956976	3.189105
53019	5.367300	1.895519	3.185057
53020	5.230914	1.827086	3.206461
53021	5.098699	1.753699	3.285727
53022	4.968461	1.679777	3.425139
53023	4.837811	1.610224	3.593932
53024	4.707741	1.547721	3.739852
53025	4.578628	1.500809	3.824904
53026	4.450379	1.468499	3.829012
53027	4.319292	1.443777	3.760069
53028	4.188597	1.424343	3.648593
53029	4.057426	1.408348	3.539957
53030	3.922442	1.392228	3.454972
53031	3.787384	1.371144	3.409671
53032	3.652812	1.340444	3.408107
53033	3.519017	1.301336	3.440250
53034	3.387326	1.250794	3.501730
53035	3.255007	1.192814	3.590861
53036	3.124242	1.127494	3.705407
53037	2.990020	1.060218	3.844641
53038	2.855402	0.995901	4.000893
53039	2.720827	0.935006	4.161885
53040	2.588872	0.877487	4.316417
53041	2.462999	0.825746	4.443398
53042	2.339219	0.780094	4.538615
53043	2.221218	0.741013	4.602543
53044	2.109849	0.708077	4.640661
53045	2.007923	0.678028	4.663168
53046	1.915215	0.651212	4.682557
53047	1.830883	0.629428	4.704775
53048	1.759092	0.607025	4.723391
53049	1.696618	0.583889	4.743320
53050	1.646970	0.561438	4.762105
53051	1.608617	0.539353	4.787878
53052	1.577295	0.520341	4.814122
53053	1.557396	0.499440	4.848702
53054	1.544952	0.481144	4.889703
53055	1.536697	0.462929	4.931234
53056	1.533961	0.447795	4.965978
53057	1.534888	0.434632	4.988703
53058	1.539705	0.420691	4.993236
53059	1.547744	0.405638	4.991770
53060	1.555498	0.393141	4.985274
53061	1.560003	0.384024	4.983858
53062	1.565002	0.378333	4.985806
53063	1.568272	0.370428	4.980511
53064	1.571573	0.360397	4.968896
53065	1.578155	0.349760	4.953430
53066	1.582235	0.338962	4.939732
53067	1.585027	0.329077	4.930768
53068	1.585686	0.320020	4.922932
53069	1.589876	0.309584	4.919059
53070	1.593776	0.296514	4.911657
53071	1.598052	0.283818	4.909138
53072	1.602462	0.271616	4.915071
53073	1.606933	0.259285	4.928681
53074	1.609037	0.248260	4.950522
53075	1.613665	0.238225	4.975815
53076	1.619204	0.227870	4.989487
53077	1.627404	0.215104	4.999651
53078	1.638018	0.202451	5.007588
53079	1.653892	0.187552	5.016535
53080	1.673477	0.170101	5.033710
53081	1.696219	0.153848	5.061494
53082	1.720988	0.140750	5.095866
53083	1.745105	0.129900	5.132455
53084	1.768243	0.116991	5.163576
53085	1.794461	0.106227	5.178579
53086	1.818661	0.098051	5.168295
53087	1.846815	0.086266	5.140365
53088	1.874143	0.077005	5.099315
53089	1.900002	0.065586	5.082036
53090	1.925704	0.059451	5.091575
53091	1.950512	0.052804	5.107486
53092	1.972593	0.042076	5.103016
53093	1.997886	0.024876	5.023881
53094	2.027007	0.014763	4.890735
53095	2.056580	0.001884	4.723390
53096	2.074343	-0.014480	4.555043
53097	2.089028	-0.033994	4.434928
53098	2.099839	-0.056254	4.361676
53099	2.110606	-0.093754	4.307619
53100	2.123011	-0.150599	4.248321
53101	2.130414	-0.209069	4.179276
