// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
27842	-10.708388	-31.850383	10.832981
27843	-11.489487	-34.935133	10.653389
27844	-12.556555	-38.321506	10.518083
27845	-14.095357	-41.978489	10.535806
27846	-16.210977	-45.817387	10.887399
27847	-18.537926	-49.675290	11.513926
27848	-20.821305	-53.467490	12.253700
27849	-22.942148	-57.242391	13.107656
27850	-24.872288	-60.921190	13.781738
27851	-26.181643	-64.328777	13.696875
27852	-26.562699	-67.634954	12.474001
27853	-25.636374	-71.029648	10.080989
27854	-22.382718	-73.018597	6.053708
27855	-16.985535	-73.254212	0.509040
27856	-11.641971	-72.086029	-4.590585
27857	-7.299762	-70.082195	-8.453559
27858	-3.726767	-67.676112	-11.417670
27859	-0.757520	-65.061146	-13.721070
27860	1.677203	-62.368965	-15.511280
27861	3.476069	-59.570707	-16.770898
27862	4.615954	-56.721763	-17.477551
27863	5.125117	-53.820762	-17.615473
27864	5.173574	-50.930243	-17.302614
27865	4.865311	-48.020313	-16.603438
27866	4.299481	-45.106625	-15.632686
27867	3.484429	-42.092794	-14.488123
27868	2.458783	-39.010407	-13.295392
27869	1.236990	-35.811074	-12.121648
27870	-0.041476	-32.542910	-11.036678
27871	-1.290642	-29.225623	-10.037459
27872	-2.381743	-25.914482	-9.165356
27873	-3.280898	-22.597208	-8.436852
27874	-3.997293	-19.321439	-7.878420
27875	-4.643298	-16.020093	-7.473855
27876	-5.308055	-12.752126	-7.198805
27877	-6.066638	-9.463243	-7.023465
27878	-6.854695	-6.220495	-6.910245
27879	-7.671657	-3.008745	-6.776650
27880	-8.547429	0.121704	-6.504946
27881	-9.473211	3.240634	-5.980913
27882	-10.303117	6.347492	-5.164582
27883	-10.904730	9.470285	-4.090909
27884	-11.209730	12.502021	-2.788607
27885	-11.263618	15.329944	-1.307860
27886	-11.091948	17.821330	0.240533
27887	-10.733164	19.885302	1.757002
27888	-10.244876	21.445977	3.106706
27889	-9.729544	22.473841	4.176151
27890	-9.210297	22.929485	4.950144
27891	-8.690667	22.781193	5.460798
27892	-8.038941	22.044832	5.893103
27893	-6.261661	20.334306	7.124862
27894	-4.883983	18.113166	8.107720
27895	-4.455829	16.007550	9.042323
27896	-4.497444	13.864552	9.780399
27897	-4.413482	11.313215	10.090460
27898	-4.263990	8.756189	10.177485
27899	-3.908079	6.619588	10.136315
27900	-3.405661	5.508170	10.023123
27901	-2.974084	4.900828	10.055451
27902	-2.634869	4.500841	10.099376
27903	-2.389931	4.128643	10.170024
27904	-2.288037	3.841560	10.257594
27905	-2.266088	3.531431	10.346335
27906	-2.293581	3.223824	10.442386
27907	-2.328858	2.931748	10.551790
27908	-2.384771	2.680416	10.659295
27909	-2.458454	2.433992	10.778949
27910	-2.531217	2.231870	10.880397
27911	-2.575851	2.049891	10.974763
27912	-2.583553	1.939656	11.063193
27913	-2.577811	1.863280	11.147488
27914	-2.562898	1.831948	11.231878
27915	-2.549853	1.798747	11.304055
