BTS ASCII format															
															
Type:         	Emg tracks														
Measure unit: 	mV														
															
Tracks:       	14														
Frequency:    	1000 [Hz]														
Frames:       	11111														
Start time:   	0														
															
 Frame	  Time  	Right Rectus femoris  	Right Vastus medialis  	Right Vastus lateralis  	Right Tibialis anterior  	Right Biceps femoris caput longus  	Right Semitendinosus  	Right Gastrocnemius medialis  	Right Gastrocnemius lateralis  	Right Peroneus longus  	Right Soleus  	Right Erector spinae ileocostalis  	Right Tensor fasciae latae  	Right Gluteus maximus  	Right Gluteus medius
0	0	0.0164	0.0343	0.0405	0.0063	0.0076	-0.0013	0.0053	0.0015	0.0034	-0.0009	0.0103	0.008	0.0073	-0.0015
1	0.001	0.0034	0.0312	0.0365	0.001	0.0043	-0.0041	0.0105	-0.001	-0.0059	0.0051	0.011	0.0259	0.003	-0.0082
2	0.002	-0.0132	0.0086	0.0331	0.0074	0.0012	-0.0036	0.0084	0.0049	-0.0019	0.0069	-0.0003	0.0277	-0.0009	-0.0071
3	0.003	-0.0281	0.0062	0.037	0.0032	-0.0015	-0.0039	0.0096	0.0102	-0.0055	0.0052	-0.0219	0.0161	-0.0043	-0.0027
4	0.004	-0.0416	0.0203	0.0276	-0.0006	-0.026	0.0026	0.0079	0.005	0.0001	0.0067	-0.0185	0.0018	-0.0076	-0.0062
5	0.005	-0.0577	0.0134	-0.011	0.0101	-0.029	0.0034	0.0087	0.0002	-0.0009	-0.0056	-0.0208	0.0182	-0.0129	-0.0012
6	0.006	-0.0367	0.0073	-0.0478	0.0024	-0.0139	0.0009	0.0162	-0.0014	-0.0035	-0.0171	-0.018	0.0243	-0.021	-0.004
7	0.007	-0.0114	0.0016	-0.0617	-0.0016	-0.0056	0.0031	0.0148	-0.0004	-0.0077	-0.0273	-0.0111	0.0139	-0.0237	-0.009
8	0.008	-0.0075	-0.011	-0.0833	-0.0079	0.0118	0.0011	0.0136	-0.0177	-0.0145	-0.0063	-0.0087	0.001	-0.0243	-0.0067
9	0.009	-0.0218	-0.0189	-0.0309	-0.0069	0.0275	0.0028	0.0073	-0.0303	-0.0135	0.0382	-0.0029	-0.004	-0.0137	-0.0107
10	0.01	-0.0022	-0.0169	0.019	-0.0017	0.0093	-0.0024	0.0017	-0.0058	-0.0159	0.044	-0.0044	0.0064	-0.0174	-0.0041
11	0.011	0.0107	-0.0095	0.0255	-0.0008	0.0022	-0.0017	-0.0021	0.0434	-0.0088	0.0032	0.0003	-0.0088	-0.0208	0.0003
12	0.012	0.0268	-0.0028	0.0083	0.0069	0.009	-0.0087	-0.0119	0.1497	0.0034	-0.0125	0.0018	-0.0109	-0.0173	0.0026
13	0.013	0.0131	-0.0056	-0.0287	0.0079	0.0112	-0.0022	-0.0026	0.1343	0.0185	-0.0264	0.0056	-0.0017	-0.0139	0.0033
14	0.014	-0.0143	-0.0082	-0.0236	-0.0005	-0.0016	-0.003	0.0034	0.0647	0.0084	-0.0217	0.0159	-0.0002	-0.0052	0.0029
15	0.015	-0.0256	-0.0143	-0.0102	-0.0016	0.0036	0.007	0.0063	-0.0238	0.0028	0.0221	0.0034	-0.0109	0.0005	0.0058
16	0.016	-0.0431	-0.0164	0.0018	-0.0046	-0.0039	0.0083	-0.0077	-0.1045	0.0079	0.0047	0.0019	-0.0178	-0.0045	-0.0018
17	0.017	-0.059	-0.0275	-0.009	0.0057	-0.0246	0.0021	-0.0023	-0.0944	0.0094	-0.0005	-0.0207	-0.0166	-0.0069	-0.0026
18	0.018	-0.0673	-0.032	-0.0121	0.0016	-0.0515	-0.0034	-0.0009	-0.0471	0.0053	0.0043	-0.0365	0.0003	-0.0076	-0.0055
19	0.019	-0.0695	-0.03	-0.0205	0.0028	-0.0112	-0.0065	0.0035	-0.0042	-0.0009	0	-0.0272	0.0072	-0.0051	-0.0008
20	0.02	-0.0619	-0.0225	-0.028	-0.0004	0.0048	-0.0056	0.0128	0.0033	-0.0018	-0.0038	-0.0132	0.0003	-0.0098	0.0002
21	0.021	-0.028	-0.0082	-0.0296	0.0049	-0.0094	0.0003	0.0063	-0.004	-0.0048	-0.0001	0.0042	0.0101	-0.0027	0.0056
22	0.022	0.0061	-0.002	0.0046	0.004	-0.0312	-0.0003	0.0051	-0.0106	0.0016	-0.0032	0.0065	0.0153	-0.0017	-0.0007
23	0.023	0.0196	-0.0032	0.0581	-0.0002	-0.011	0.0017	0.0079	-0.0051	0.0025	-0.0003	0.0125	-0.0035	-0.004	0.002
24	0.024	0.008	0.0019	0.0512	-0.0024	0.0001	0.0034	-0.0008	-0.0002	0.0003	0.0078	0.007	0.0035	-0.0076	0.0014
25	0.025	-0.0099	0.0037	-0.0071	-0.0073	0.0166	0.0051	0.0068	0.0043	0.001	0.0101	0.002	0.0143	-0.0039	0.0035
26	0.026	-0.0195	0.0003	-0.046	-0.0078	0.0254	0.0099	0.0181	0.0085	0.0027	-0.0053	0.0005	0.0119	-0.0042	0.0053
27	0.027	0.0016	-0.0026	-0.053	-0.0073	0.0175	0.0116	0.0164	0.0043	-0.0036	-0.0152	0.0075	0.0207	-0.0081	-0.001
28	0.028	0.0045	-0.0013	-0.0077	-0.0005	0.03	0.0052	0.001	0.0007	0.0007	-0.0132	0.0064	0.0153	-0.0105	-0.005
29	0.029	0.0071	-0.0018	0.0332	0.004	0.0457	0.0027	-0.0012	0.0038	0.0014	-0.0113	0.0119	0.0044	-0.0073	-0.0027
30	0.03	0.0052	-0.0144	0.0173	0.0031	0.0398	-0.0025	0.0043	0.0125	0.002	-0.0096	0.0047	0.0001	-0.0052	-0.0005
31	0.031	-0.0007	-0.016	0.0513	0.0009	0.012	-0.0074	0.0092	-0.0014	0.0037	-0.0108	-0.0073	-0.0088	-0.0108	-0.0021
32	0.032	-0.0098	-0.0141	0.0646	0.0016	-0.048	-0.0169	0.0014	0.0008	-0.0015	-0.007	-0.0121	-0.0166	-0.0166	-0.0036
33	0.033	0.0158	0.003	0.0368	0.0021	-0.0565	-0.01	0	0.0028	-0.005	-0.0037	-0.0104	-0.0073	-0.0066	-0.0082
34	0.034	0.0268	0.0098	0.0622	-0.0055	-0.0174	0.0014	0.0036	0.0088	-0.0019	0.0078	-0.0171	-0.0161	-0.0051	-0.0121
35	0.035	0.0301	-0.0042	0.072	-0.0002	0.0181	0.009	0.0045	0.0069	-0.0024	0.0032	-0.0082	-0.0152	-0.0039	-0.0091
36	0.036	0.0215	-0.0096	0.0269	0.0025	0.0375	0.0131	0.0054	0.0085	-0.0049	0.0045	-0.0071	-0.0204	-0.0006	-0.0054
37	0.037	0.0135	-0.0111	-0.0574	0	0.0201	0.0043	0.0026	0.013	-0.007	0.0008	0.0002	-0.0231	0.0004	-0.0064
38	0.038	0.0161	-0.0155	-0.092	-0.0007	-0.0063	-0.0035	0.0034	0.0143	-0.0066	-0.0002	-0.0024	-0.0104	0.0013	-0.0024
39	0.039	0.0228	-0.0057	-0.0609	0.0013	-0.0498	-0.0025	0.007	0.0054	-0.0056	0.0028	-0.0015	-0.0013	0.0055	-0.0058
40	0.04	0.0087	-0.0044	-0.0325	0.0019	-0.0205	0.0021	0.002	0.0021	-0.0079	-0.0018	0.0084	0.0068	-0.0044	-0.0068
41	0.041	-0.0042	-0.001	-0.024	-0.0022	-0.0152	0.0012	0.0024	-0.0053	-0.0028	-0.0026	-0.0011	0.008	-0.0004	-0.0047
42	0.042	0.0043	0.0043	-0.0786	0.0036	-0.0295	-0.001	0.004	-0.0008	0.0022	-0.0063	-0.0073	0.0173	0.0059	-0.0021
43	0.043	-0.0157	0.0053	-0.1284	-0.008	-0.0163	-0.0045	-0.0008	0.012	0.0057	-0.0055	-0.0035	0.0035	0.0129	0.0025
44	0.044	-0.0238	0.0063	-0.1477	-0.0029	-0.0044	-0.0076	0.0049	-0.0011	0.0151	-0.002	0.0043	-0.0029	0.0096	0.0015
45	0.045	-0.0015	0.0042	-0.0948	-0.0014	0.0137	-0.0023	0.0012	0.0039	0.011	0.0049	0.0095	0.0094	0.0168	0.0038
46	0.046	0.0073	0.0063	-0.0023	-0.0028	0.004	0.0012	0.0006	0.0083	-0.0003	-0.0015	0.0122	0.0108	0.0175	0.0025
47	0.047	-0.0229	0.0081	0.0353	0.0035	0.0248	-0.0045	-0.001	0.0094	-0.0018	0.0078	0.0248	0.0211	0.0115	-0.0009
48	0.048	-0.0268	0.0065	0.0238	0.0025	0.0168	-0.0067	0.0007	0.0204	0.0023	0.019	0.0191	0.0139	0.0107	0.0003
49	0.049	-0.0014	-0.0012	0.0133	-0.0006	-0.0155	-0.006	-0.0018	0.0032	0.0011	0.0233	0.0173	-0.0051	0.0113	0.0007
50	0.05	0.0084	0.0067	0.0227	0.0021	0.0064	-0.003	-0.0068	-0.0081	0.0067	0.0162	0.0096	-0.0188	0.007	-0.0035
51	0.051	0.0088	0.0138	0.0429	0.0026	0.0019	0.0021	-0.0087	-0.0248	0.0056	-0.0027	-0.0029	-0.0164	0.0052	0.0028
52	0.052	0	0.0169	0.0169	-0.0017	-0.002	0.0026	0.002	-0.0553	0.001	-0.0326	-0.0045	-0.0141	0.0046	0.0003
53	0.053	-0.0082	0.0106	-0.0065	0.0036	-0.0055	-0.0052	0.0036	-0.0333	0.0002	-0.0362	-0.003	-0.0202	-0.0024	0.0039
54	0.054	-0.0011	0.0064	0.0005	0.0029	-0.0218	-0.0042	-0.0004	0.0027	0.0009	-0.0034	-0.0126	-0.0293	-0.0055	0.0046
55	0.055	0.0054	0.0013	-0.0061	-0.0014	0.0112	0.003	0.0009	-0.0116	-0.0069	0.0271	-0.0187	-0.0544	-0.0029	0.0015
56	0.056	0.0114	-0.0093	0.0466	0.0003	0.0068	0.0095	-0.0047	-0.016	-0.0141	0.007	-0.0196	-0.1081	0.0029	0.0019
57	0.057	0.0206	-0.0263	0.0961	-0.0022	0.0029	0.012	0.0049	-0.0199	-0.0149	-0.0039	-0.0101	-0.0532	0.0143	0.0086
58	0.058	0.029	-0.0151	0.1283	0.0039	0.0065	0.0098	-0.0013	0.0202	-0.0089	-0.0136	-0.0088	0.053	0.0226	0.0076
59	0.059	0.0214	-0.0172	0.1338	0.003	-0.0098	0.002	-0.0044	0.1002	-0.0082	-0.0163	-0.0055	0.0373	0.0178	0.005
60	0.06	0.0173	-0.0042	0.0856	0.0008	-0.0185	-0.0033	-0.0034	0.0886	0.0025	0.0028	0.0017	0.0506	0.0164	0.0012
61	0.061	0.0085	0.0177	-0.0117	0.0014	-0.0048	-0.0041	-0.0155	-0.0471	0.0131	0.01	0.0081	0.0377	0.0075	-0.0008
62	0.062	-0.0085	0.0204	-0.0257	0.0031	0.0223	0.0001	-0.0002	-0.0654	0.0061	0.0033	0.0106	0.0487	-0.0028	0.0008
63	0.063	-0.0457	0.0285	-0.0133	-0.0021	0.0329	-0.0052	0.0019	-0.0486	0.0024	-0.0029	0.0006	0.038	-0.0042	0.0013
64	0.064	-0.0405	0.0061	0.067	-0.007	0.0295	-0.0059	-0.0222	-0.0026	-0.0008	-0.0011	-0.0008	0.0282	-0.0079	-0.0013
65	0.065	-0.0358	-0.039	0.0979	-0.0066	-0.0035	-0.0117	-0.0189	-0.0166	-0.0017	0.0004	0.0004	0.0365	-0.011	-0.0016
