// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
22813	-1.058621	2.206699	0.099282
22814	-1.055799	2.217158	0.100181
22815	-1.053041	2.228731	0.101295
22816	-1.054730	2.233900	0.102060
22817	-1.053484	2.238911	0.104068
22818	-1.053453	2.243490	0.104048
22819	-1.052746	2.247865	0.106463
22820	-1.054379	2.251787	0.107447
22821	-1.051418	2.256205	0.108671
22822	-1.049631	2.261096	0.108855
22823	-1.047330	2.264327	0.108295
22824	-1.045649	2.266517	0.105520
22825	-1.046707	2.265379	0.105213
22826	-1.045782	2.259694	0.105548
22827	-1.046017	2.251685	0.106145
22828	-1.051502	2.244155	0.105485
22829	-1.054028	2.235202	0.106288
22830	-1.057673	2.227629	0.107037
22831	-1.060376	2.221528	0.106199
22832	-1.062399	2.215862	0.105726
22833	-1.064851	2.208711	0.108503
22834	-1.069549	2.193724	0.117156
22835	-1.076468	2.164704	0.132446
22836	-1.083302	2.129705	0.154401
22837	-1.091458	2.082652	0.179777
22838	-1.099884	2.027986	0.205254
22839	-1.107948	1.976308	0.230332
22840	-1.116881	1.919787	0.256476
22841	-1.138339	1.825878	0.301675
22842	-1.170291	1.699821	0.359671
22843	-1.205169	1.566897	0.426945
22844	-1.237706	1.429098	0.500815
22845	-1.274104	1.302968	0.566648
22846	-1.311884	1.172398	0.635084
22847	-1.348116	1.043306	0.704054
22848	-1.378640	0.919758	0.772169
22849	-1.401529	0.817329	0.845314
22850	-1.416043	0.720501	0.924316
22851	-1.422338	0.635887	1.003847
22852	-1.420598	0.568891	1.077497
22853	-1.416616	0.519996	1.139543
22854	-1.411219	0.481843	1.198306
22855	-1.405010	0.450676	1.256742
22856	-1.398349	0.424355	1.312438
22857	-1.394468	0.395640	1.361039
22858	-1.394414	0.362451	1.398131
22859	-1.400286	0.325798	1.422990
22860	-1.415225	0.285969	1.436595
22861	-1.431130	0.240640	1.442765
22862	-1.449844	0.190345	1.445272
22863	-1.469710	0.143792	1.440942
22864	-1.493121	0.097862	1.432220
22865	-1.516848	0.049737	1.418613
22866	-1.538110	0.003593	1.405319
22867	-1.557411	-0.038648	1.389338
22868	-1.572621	-0.073990	1.374087
22869	-1.586202	-0.106174	1.361194
22870	-1.598422	-0.137623	1.349476
22871	-1.610804	-0.167997	1.337940
22872	-1.625319	-0.202154	1.324535
22873	-1.637631	-0.233767	1.313252
22874	-1.651063	-0.261480	1.301498
22875	-1.664043	-0.286946	1.291689
22876	-1.678316	-0.310560	1.276012
22877	-1.695838	-0.336327	1.254691
22878	-1.717455	-0.364814	1.226499
22879	-1.746988	-0.400560	1.188088
22880	-1.784654	-0.443843	1.139053
22881	-1.830760	-0.498641	1.076355
22882	-1.881742	-0.558433	1.011248
22883	-1.933421	-0.618387	0.944768
22884	-1.988166	-0.678535	0.881088
22885	-2.042450	-0.735231	0.819141
22886	-2.093239	-0.782287	0.758906
22887	-2.143502	-0.827460	0.701843
22888	-2.195409	-0.870875	0.641653
22889	-2.245888	-0.909251	0.581089
22890	-2.296538	-0.949682	0.521925
22891	-2.347944	-0.988458	0.463308
22892	-2.396546	-1.031446	0.406306
22893	-2.440076	-1.071038	0.353006
22894	-2.480398	-1.109019	0.303078
22895	-2.520306	-1.146580	0.253289
22896	-2.561250	-1.183887	0.199133
22897	-2.601798	-1.218975	0.146954
22898	-2.642096	-1.253904	0.094484
22899	-2.681538	-1.288035	0.038117
22900	-2.720331	-1.317082	-0.017715
22901	-2.755930	-1.344185	-0.074198
22902	-2.790768	-1.368661	-0.129517
22903	-2.820749	-1.388181	-0.182621
22904	-2.847326	-1.400150	-0.234900
22905	-2.874955	-1.408274	-0.290691
22906	-2.910344	-1.413175	-0.360558
22907	-2.944202	-1.410485	-0.438511
22908	-2.976501	-1.396582	-0.513240
22909	-2.990572	-1.361675	-0.570156
22910	-2.981146	-1.295789	-0.606905
22911	-2.949388	-1.199562	-0.627950
22912	-2.900708	-1.078168	-0.629359
22913	-2.835233	-0.943214	-0.620699
22914	-2.758644	-0.797393	-0.603169
22915	-2.665239	-0.633684	-0.573816
22916	-2.567000	-0.460872	-0.540787
22917	-2.464718	-0.282389	-0.502177
22918	-2.359148	-0.098163	-0.461675
22919	-2.252424	0.090281	-0.419360
22920	-2.145582	0.276183	-0.377291
22921	-2.039722	0.461067	-0.334704
22922	-1.942411	0.637001	-0.297001
22923	-1.854569	0.802331	-0.260445
22924	-1.775188	0.952827	-0.229090
22925	-1.707718	1.085982	-0.203391
22926	-1.654956	1.196207	-0.182814
22927	-1.615898	1.283193	-0.169606
22928	-1.585568	1.355317	-0.162009
22929	-1.560940	1.413346	-0.156205
22930	-1.542828	1.463559	-0.152702
22931	-1.524215	1.509211	-0.148173
22932	-1.507960	1.547608	-0.143573
22933	-1.491631	1.579204	-0.136132
22934	-1.481230	1.603283	-0.129901
22935	-1.470986	1.624633	-0.123038
22936	-1.463920	1.643439	-0.117745
22937	-1.457541	1.659789	-0.110177
22938	-1.453139	1.676347	-0.101715
22939	-1.449699	1.692714	-0.094940
22940	-1.445327	1.707452	-0.088767
22941	-1.441881	1.720765	-0.083729
22942	-1.438629	1.732431	-0.078730
22943	-1.435255	1.746092	-0.074895
22944	-1.434873	1.757437	-0.069236
22945	-1.431963	1.767063	-0.065525
22946	-1.429928	1.778154	-0.062274
22947	-1.430628	1.788759	-0.060380
22948	-1.430304	1.797385	-0.058331
22949	-1.431492	1.806105	-0.055804
22950	-1.431126	1.813486	-0.052874
22951	-1.431136	1.820978	-0.050723
22952	-1.428979	1.827433	-0.047107
22953	-1.425921	1.830255	-0.044467
22954	-1.423231	1.834281	-0.042856
22955	-1.419480	1.837044	-0.038216
22956	-1.414841	1.839450	-0.034022
22957	-1.412861	1.841000	-0.030561
22958	-1.409928	1.844014	-0.025881
22959	-1.406204	1.845873	-0.022222
22960	-1.403396	1.847408	-0.020825
22961	-1.397262	1.848613	-0.015951
22962	-1.394871	1.847919	-0.012508
22963	-1.389485	1.847378	-0.011602
22964	-1.384123	1.844510	-0.008311
22965	-1.379182	1.840834	-0.006552
22966	-1.374299	1.833940	-0.002910
22967	-1.368599	1.826800	0.000308
22968	-1.363689	1.817746	0.002906
22969	-1.359126	1.807530	0.004975
22970	-1.357829	1.799472	0.005978
22971	-1.354565	1.792084	0.006996
22972	-1.349671	1.785198	0.010557
22973	-1.346428	1.779962	0.012337
22974	-1.341631	1.775599	0.015421
22975	-1.336000	1.771861	0.019177
22976	-1.331197	1.767463	0.022340
22977	-1.324416	1.761593	0.024734
22978	-1.318376	1.754723	0.027040
22979	-1.310541	1.749222	0.027631
22980	-1.303318	1.744184	0.031577
22981	-1.294325	1.739606	0.032553
22982	-1.288990	1.734933	0.033679
