// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
13455	1.350575	-50.165435	11.698284
13456	1.797229	-53.675776	10.450654
13457	2.480926	-57.136277	8.817173
13458	3.673723	-60.419026	6.583285
13459	5.557517	-63.187330	3.866740
13460	7.656037	-64.973626	1.493147
13461	8.785064	-65.099453	0.215338
13462	8.640058	-64.148555	0.263866
13463	7.925257	-62.699164	1.064815
13464	6.973265	-61.172744	2.086678
13465	5.992718	-59.634026	3.011738
13466	5.089763	-58.052961	3.741206
13467	4.262810	-56.342385	4.348234
13468	3.510134	-54.435629	4.924635
13469	2.784101	-52.248497	5.555258
13470	2.086274	-49.789040	6.212980
13471	1.402674	-47.056680	6.869174
13472	0.764310	-44.138426	7.441878
13473	0.161939	-41.061317	7.878567
13474	-0.420108	-37.901398	8.161980
13475	-1.029683	-34.712158	8.307762
13476	-1.649646	-31.564344	8.342343
13477	-2.237550	-28.568810	8.273637
13478	-2.723021	-25.837148	8.115766
13479	-3.153873	-23.270088	7.875314
13480	-3.600826	-20.716212	7.572647
13481	-4.064206	-18.034352	7.233881
13482	-4.452017	-15.289622	6.895961
13483	-4.776024	-12.560462	6.613355
13484	-5.159201	-9.877388	6.425420
13485	-5.698756	-7.157267	6.371825
13486	-6.331030	-4.410817	6.519286
13487	-6.958541	-1.629263	6.932134
13488	-7.563837	1.144100	7.599353
13489	-8.154790	3.907133	8.457116
13490	-8.652607	6.582402	9.440683
13491	-8.957273	9.083796	10.504509
13492	-9.027440	11.261923	11.598139
13493	-8.906117	13.061935	12.675311
13494	-8.674967	14.537391	13.650205
13495	-8.409755	15.817374	14.447464
13496	-8.116186	16.963507	15.026518
13497	-7.837399	17.866655	15.359961
13498	-7.681160	18.337789	15.466789
13499	-7.703054	18.349031	15.435836
13500	-7.660997	17.543914	15.735266
13501	-7.366384	16.083109	16.523473
13502	-6.759530	14.801426	17.599524
13503	-6.165839	13.561604	17.965578
13504	-5.762226	12.144387	17.745663
13505	-5.596496	10.637323	17.605322
13506	-5.491625	9.270957	17.644322
13507	-5.393363	8.030319	17.669824
13508	-5.369369	6.949134	17.673523
13509	-5.415133	6.121148	17.600337
13510	-5.389033	5.522950	17.540478
13511	-5.305119	5.060186	17.528460
13512	-5.261853	4.668024	17.549029
13513	-5.234202	4.323826	17.572788
13514	-5.232314	4.003544	17.582154
13515	-5.259716	3.703864	17.593909
13516	-5.296508	3.453707	17.595238
13517	-5.346950	3.221600	17.588705
13518	-5.368625	3.031232	17.566668
13519	-5.338334	2.890749	17.555541
13520	-5.264956	2.815923	17.557940
13521	-5.174588	2.761793	17.561130
13522	-5.070681	2.733196	17.563811
13523	-4.932811	2.699541	17.579519
13524	-4.742791	2.697485	17.613388
13525	-4.516341	2.713845	17.683692
13526	-4.268444	2.764687	17.784790
13527	-4.020872	2.807714	17.909168
13528	-3.793003	2.844044	18.039134
13529	-3.586046	2.840818	18.185940
13530	-3.399281	2.828672	18.342640
13531	-3.241425	2.771619	18.486204
13532	-3.131161	2.670978	18.598525
13533	-3.050889	2.522767	18.683312
13534	-2.989253	2.367087	18.749486
13535	-2.934864	2.206536	18.797969
13536	-2.875587	2.055203	18.821329
13537	-2.816607	1.898232	18.835294
13538	-2.771429	1.753043	18.826751
13539	-2.731855	1.601813	18.807158
13540	-2.692037	1.470378	18.780898
13541	-2.632365	1.336158	18.757758
13542	-2.557427	1.207387	18.735029
13543	-2.457768	1.049311	18.712388
13544	-2.333797	0.884466	18.693125
13545	-2.188934	0.682972	18.695998
13546	-2.077212	0.467350	18.692267
13547	-1.969297	0.204166	18.691403
13548	-1.865682	-0.090502	18.692395
13549	-1.757500	-0.444630	18.691580
13550	-1.654590	-0.836649	18.687267
13551	-1.551710	-1.279688	18.690368
13552	-1.455317	-1.759208	18.702128
13553	-1.380339	-2.309858	18.714878
13554	-1.336147	-2.924833	18.725612
13555	-1.313127	-3.623041	18.738817
13556	-1.288213	-4.384512	18.771771
13557	-1.265629	-5.236033	18.823825
13558	-1.259575	-6.168372	18.883251
13559	-1.272821	-7.203053	18.939549
13560	-1.304384	-8.330142	18.987159
13561	-1.361850	-9.573873	19.038180
13562	-1.418007	-10.930269	19.055407
13563	-1.449767	-12.513199	19.016495
13564	-1.521792	-14.184000	18.965069
13565	-1.583406	-16.009149	18.912779
13566	-1.612911	-17.988740	18.806098
13567	-1.577341	-20.182373	18.608607
13568	-1.514877	-22.669510	18.222516
13569	-1.429281	-25.433340	17.728526
13570	-1.322755	-28.399515	17.038136
13571	-1.020812	-31.578264	16.110836
13572	-0.504278	-34.932299	14.986114
13573	-0.018801	-38.303513	13.729583
13574	0.341085	-41.783461	12.310316
13575	0.666655	-45.185627	10.705196
13576	1.276867	-48.700129	9.068319
13577	1.969093	-52.175632	7.365807
13578	2.964022	-55.646259	5.305551
13579	4.367949	-58.857869	2.803082
13580	6.389710	-61.557632	-0.041308
13581	8.297277	-63.230139	-2.149633
13582	8.961202	-63.360048	-2.872334
13583	8.405373	-62.451598	-2.196575
13584	7.269234	-60.997348	-0.774595
13585	5.927294	-59.369387	0.827768
13586	4.687405	-57.729563	2.241007
13587	3.613228	-56.070314	3.330665
13588	2.717713	-54.341465	4.095546
13589	1.951537	-52.432479	4.706473
13590	1.324556	-50.322731	5.236718
13591	0.799518	-47.973982	5.750424
13592	0.370512	-45.414553	6.211377
13593	-0.064932	-42.649071	6.624834
13594	-0.547919	-39.692110	6.976197
13595	-1.101686	-36.555135	7.286370
13596	-1.669314	-33.350065	7.539335
13597	-2.238961	-30.183142	7.733881
13598	-2.812892	-27.202479	7.855641
13599	-3.438015	-24.419991	7.911960
13600	-4.115294	-21.788973	7.952177
13601	-4.784831	-19.164873	7.984654
13602	-5.347134	-16.512110	8.009500
13603	-5.789984	-13.822573	8.016754
13604	-6.165790	-11.145452	7.973382
13605	-6.583361	-8.442900	7.892993
13606	-7.078922	-5.726599	7.845692
13607	-7.619168	-2.991882	7.939272
13608	-8.149426	-0.298119	8.242276
13609	-8.666462	2.348340	8.765805
13610	-9.163196	4.888226	9.468439
13611	-9.617278	7.292398	10.285694
13612	-9.988225	9.501598	11.141896
13613	-10.232820	11.474061	11.998301
13614	-10.322240	13.225017	12.784731
13615	-10.241337	14.842727	13.404513
13616	-10.034699	16.306908	13.808705
13617	-9.754970	17.467337	13.994923
13618	-9.469768	18.201198	13.970492
13619	-9.273760	18.491569	13.814137
13620	-8.896255	18.091202	13.932597
13621	-8.203418	16.736075	14.572370
13622	-7.473964	15.076856	15.782770
13623	-6.781783	13.671629	17.015444
13624	-6.217224	12.337850	17.394442
13625	-5.836727	10.773603	17.250746
13626	-5.718960	9.195593	17.169571
13627	-5.705749	7.823599	17.162846
13628	-5.655218	6.626562	17.148557
13629	-5.588829	5.723971	17.089705
13630	-5.416336	5.073481	16.983082
13631	-5.187774	4.624140	16.882184
13632	-4.960560	4.279129	16.851647
13633	-4.737371	3.980249	16.856558
13634	-4.531286	3.758247	16.844043
13635	-4.339204	3.609244	16.855426
13636	-4.171584	3.495974	16.867708
13637	-4.020779	3.412864	16.886291
13638	-3.875168	3.355356	16.901227
13639	-3.710341	3.339507	16.937064
13640	-3.524191	3.375427	16.988127
13641	-3.349632	3.420155	17.053508
13642	-3.198205	3.467680	17.133405
13643	-3.046099	3.504630	17.217815
13644	-2.901385	3.555006	17.314171
13645	-2.772837	3.566578	17.422605
13646	-2.666500	3.550055	17.522425
13647	-2.567964	3.490158	17.612613
13648	-2.486154	3.398054	17.704475
13649	-2.403397	3.262467	17.785342
13650	-2.315142	3.130541	17.860577
13651	-2.226896	2.964588	17.918285
13652	-2.140559	2.789602	17.969911
13653	-2.063365	2.574824	18.003293
13654	-1.997079	2.372032	18.027963
13655	-1.931654	2.143672	18.051940
