// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
08389	0.001602	0.003043	-0.002630
08390	0.002369	0.002762	-0.005668
08391	0.001760	0.002251	-0.005675
08392	0.000917	0.003434	-0.005031
08393	0.000656	0.003389	-0.006136
08394	0.001625	0.003580	-0.006672
08395	0.001283	0.003804	-0.005510
08396	0.001671	0.002937	-0.004003
08397	0.002293	0.004830	-0.003866
08398	0.003848	0.001553	-0.003870
08399	0.003145	0.004181	-0.003828
08400	0.002573	0.005014	-0.004577
08401	0.002110	0.003611	-0.004966
08402	0.001146	0.002475	-0.006015
08403	0.002330	0.003321	-0.005473
08404	0.002346	0.003116	-0.005785
08405	0.002232	0.002180	-0.007272
08406	0.001278	0.003737	-0.004247
08407	0.002890	0.004782	-0.007070
08408	0.001447	0.003400	-0.004809
08409	0.001868	0.003935	-0.003957
08410	0.001891	0.003569	-0.004467
08411	0.001482	0.004415	-0.005190
08412	0.001534	0.004244	-0.005479
08413	0.001046	0.005359	-0.003934
08414	-0.000020	0.005001	-0.004746
08415	-0.000831	0.003131	-0.004038
08416	-0.000969	0.003115	-0.006348
08417	-0.000750	0.002290	-0.004783
08418	-0.001881	0.002009	-0.005496
08419	-0.001168	0.000760	-0.005410
08420	-0.001799	0.001509	-0.006232
08421	-0.001179	0.003400	-0.006097
08422	-0.002962	0.001971	-0.004870
08423	-0.002249	0.000721	-0.004785
08424	-0.001889	0.002755	-0.004479
08425	-0.003826	0.002977	-0.004582
08426	-0.003972	0.003697	-0.004492
08427	-0.003406	0.003338	-0.004025
08428	-0.003894	0.003541	-0.002892
08429	-0.003597	0.002447	-0.003594
08430	-0.002344	0.002196	-0.003676
08431	-0.002125	0.001370	-0.002110
08432	-0.001676	0.001964	-0.001184
08433	-0.001110	0.001605	-0.000716
08434	-0.001387	0.000912	0.000033
08435	-0.002146	0.001289	0.000407
08436	-0.001678	0.000999	-0.000023
08437	-0.001527	0.000796	-0.000343
08438	-0.000212	0.000719	-0.000214
08439	-0.001118	0.001986	0.000542
08440	-0.000278	0.001979	-0.000224
08441	0.000288	0.001620	0.000243
08442	0.000612	0.002222	0.001171
08443	0.000909	0.001127	0.000468
08444	0.001027	0.000985	0.000220
08445	0.000830	0.000315	0.000998
08446	0.000225	0.002795	0.001839
08447	0.000307	0.003216	-0.000365
08448	0.002146	-0.000147	0.000501
08449	0.001241	0.001120	0.001258
08450	0.001915	0.000693	0.001646
08451	0.002412	0.000958	0.000228
08452	0.002452	0.001679	0.000323
08453	0.002603	0.001476	0.000004
08454	0.001066	0.001484	0.000612
08455	0.001285	0.000656	0.002176
08456	-0.000546	0.000749	0.001906
08457	0.000783	0.000701	0.002062
08458	0.001512	0.001722	0.001840
08459	0.001393	0.000783	0.000350
08460	0.001530	0.000567	0.000006
08461	0.000009	0.000632	0.000690
08462	0.000500	0.000974	-0.000644
08463	0.000719	0.000146	0.000920
08464	-0.002261	0.000776	-0.000639
08465	-0.000932	0.000728	-0.000483
08466	-0.002132	0.000295	-0.001365
08467	-0.001982	0.000091	-0.001686
08468	-0.001492	0.000346	-0.003123
08469	-0.001342	0.000142	-0.003444
08470	-0.001411	0.000756	-0.003465
08471	-0.000297	0.002223	-0.004810
08472	-0.000907	0.001610	-0.004939
08473	-0.000195	0.000359	-0.004856
08474	0.000441	0.000664	-0.006232
08475	0.000861	0.001195	-0.005383
08476	0.000320	0.000551	-0.005556
08477	-0.000092	0.001394	-0.006280
08478	0.000580	0.000320	-0.004044
08479	-0.000032	-0.000196	-0.004054
08480	-0.000407	0.000597	-0.004845
08481	0.000305	-0.000655	-0.004763
08482	0.000594	-0.000778	-0.004994
08483	0.000051	-0.001918	-0.003121
08484	0.000959	-0.001866	-0.003822
08485	0.001795	-0.001492	-0.002186
08486	0.003311	-0.000188	-0.002762
08487	0.000833	-0.001438	-0.005205
08488	0.000107	-0.000195	-0.004497
08489	0.001853	-0.000400	-0.003556
08490	0.002223	-0.000121	-0.004954
08491	0.002789	-0.000482	-0.004488
08492	0.002465	-0.001134	-0.003685
08493	0.004140	-0.000714	-0.004628
08494	0.001669	-0.001658	-0.004763
08495	0.003414	-0.001864	-0.003822
08496	0.002460	-0.000431	-0.002873
08497	0.003026	-0.000792	-0.002407
08498	0.002850	0.000000	-0.003194
08499	0.002653	-0.000673	-0.002418
08500	0.002394	-0.000719	-0.003540
08501	0.001781	-0.001236	-0.003550
08502	0.004035	-0.001652	-0.001891
08503	0.003422	-0.002169	-0.001901
08504	0.002314	-0.002276	-0.000449
08505	0.002956	-0.002903	-0.002252
08506	0.002904	-0.003240	-0.002718
08507	0.003470	-0.003601	-0.002253
08508	0.003124	-0.003484	-0.001215
08509	0.003004	-0.004423	-0.002707
08510	0.002050	-0.004712	-0.000488
08511	0.002962	-0.004605	-0.001121
08512	0.003768	-0.005866	-0.001054
08513	0.002792	-0.003975	-0.002179
08514	0.002790	-0.004263	-0.002588
08515	0.002794	-0.003577	-0.002525
08516	0.002706	-0.002823	-0.002384
08517	0.001676	-0.003184	-0.003182
08518	0.003009	-0.003209	-0.002999
08519	0.002396	-0.003727	-0.003010
08520	0.002352	-0.003244	-0.005139
08521	0.001593	-0.002871	-0.004766
08522	0.001305	-0.003516	-0.003958
08523	0.000546	-0.003142	-0.003584
08524	0.000255	-0.003057	-0.004548
08525	0.000821	-0.003419	-0.004084
08526	0.000740	-0.000895	-0.003203
08527	0.000818	-0.000474	-0.005408
08528	0.000761	-0.002784	-0.003270
08529	0.000494	-0.002833	-0.004378
08530	0.000349	-0.003471	-0.003564
08531	-0.000972	-0.002049	-0.003593
08532	-0.000431	-0.002412	-0.003143
08533	-0.000428	-0.001727	-0.003081
08534	-0.001496	-0.002064	-0.003851
08535	-0.000584	-0.001957	-0.004485
08536	-0.000807	-0.002935	-0.006010
08537	-0.001420	-0.003453	-0.006021
08538	-0.001106	-0.003558	-0.006241
08539	-0.000957	-0.003763	-0.006564
08540	-0.000314	-0.003681	-0.007222
08541	0.001014	-0.003731	-0.007070
08542	0.000736	-0.001409	-0.006411
08543	0.001647	-0.001302	-0.007044
08544	-0.000540	-0.002365	-0.006344
08545	0.000989	-0.001054	-0.006904
08546	0.000579	-0.000039	-0.007431
08547	0.000382	-0.000715	-0.006656
08548	0.000805	-0.000216	-0.005864
08549	0.000608	-0.000892	-0.005089
08550	0.000258	0.001615	-0.004222
08551	-0.000356	0.001096	-0.004233
08552	-0.000052	0.000303	-0.002636
08553	0.000097	0.000097	-0.002959
08554	0.000026	0.000827	-0.002857
08555	0.000175	0.000622	-0.003179
08556	0.001067	0.000790	-0.003738
08557	0.001488	0.001318	-0.002890
08558	0.000313	0.002816	-0.002834
08559	-0.000501	0.000936	-0.002134
08560	0.000330	0.002785	-0.002062
08561	0.000062	0.002737	-0.003171
08562	-0.001054	0.003181	-0.003699
08563	-0.001396	0.003397	-0.002540
08564	-0.000963	0.003010	-0.002104
08565	-0.001160	0.002334	-0.001331
08566	0.000303	0.002236	-0.001244
08567	-0.001835	0.001092	-0.000634
08568	-0.001369	0.001746	0.000353
08569	-0.000875	0.002010	-0.001067
08570	-0.000286	0.002541	-0.000234
08571	0.000208	0.002805	-0.001654
08572	0.001120	0.003745	-0.001976
08573	0.001069	0.002177	-0.001588
08574	0.002303	0.001967	-0.001623
08575	0.001599	0.004592	-0.001576
08576	0.002180	0.003308	-0.001530
08577	0.001984	0.002631	-0.000757
08578	0.001928	0.002363	-0.001156
08579	0.001931	0.003048	-0.001094
08580	0.001359	0.002377	-0.001288
08581	0.000891	0.000966	-0.001686
08582	0.002256	0.001037	-0.001401
08583	0.001642	0.000518	-0.001414
08584	0.000721	0.001594	-0.000881
08585	0.000524	0.000917	-0.000108
08586	0.000484	0.001399	-0.000283
08587	0.000633	0.001192	-0.000607
08588	0.000666	0.001776	-0.000671
08589	0.000325	0.001990	0.000487
08590	-0.000666	0.001527	-0.000433
08591	0.000045	0.000271	-0.000357
08592	0.000881	0.000420	-0.000955
08593	0.000267	-0.000100	-0.000968
08594	0.000585	-0.000307	-0.001305
08595	0.000244	-0.000093	-0.000147
08596	-0.000185	0.000113	-0.001944
08597	0.000092	0.001532	-0.000712
08598	0.000733	0.001895	-0.002038
08599	0.001734	-0.001144	-0.002734
08600	-0.000033	-0.001018	-0.002953
08601	0.002676	0.000448	-0.003040
08602	0.001985	0.000996	-0.002474
08603	0.001571	0.001838	-0.003198
08604	0.000511	0.002325	-0.003672
08605	0.000659	0.002117	-0.003996
08606	0.000433	0.001435	-0.003242
08607	-0.000670	0.001336	-0.001772
08608	0.000434	0.003018	-0.002879
08609	0.000946	0.000400	-0.002094
08610	0.000056	0.000697	-0.001801
08611	0.000349	-0.000401	-0.002512
08612	-0.000035	-0.000228	-0.001417
08613	-0.001067	-0.000591	-0.002215
08614	-0.000981	0.000092	-0.002164
08615	-0.000071	0.000198	-0.002800
08616	-0.002267	0.002082	-0.003921
08617	-0.002120	0.001875	-0.004248
08618	-0.001326	0.001465	-0.003851
08619	-0.001523	0.000786	-0.003081
08620	-0.001532	0.000610	-0.003380
08621	-0.000968	0.000245	-0.002921
08622	0.000015	0.000605	-0.001305
08623	-0.000601	0.000085	-0.001320
08624	-0.000594	0.000371	-0.003702
08625	-0.000737	0.001947	-0.003256
08626	-0.000314	0.001475	-0.002928
08627	-0.001074	0.001845	-0.002558
08628	-0.001445	0.002011	-0.001473
08629	-0.001443	0.002695	-0.001414
08630	-0.001439	0.003450	-0.001273
08631	-0.002055	0.002929	-0.001288
08632	-0.000285	0.002777	-0.000282
08633	-0.001807	0.002834	0.000400
08634	-0.002453	0.003119	0.000655
08635	-0.001544	0.003225	0.000016
08636	-0.001359	0.003088	-0.000234
08637	-0.002393	0.002725	-0.001035
08638	-0.001966	0.002932	-0.002536
08639	-0.001257	0.001675	-0.002464
08640	0.000267	0.000054	-0.000895
08641	0.000269	0.000737	-0.000836
08642	0.000157	0.001391	-0.000805
08643	0.000866	0.000133	-0.000734
08644	0.001285	0.000731	0.000193
08645	0.000251	0.000368	-0.000608
08646	0.000074	0.001061	-0.000534
08647	0.000783	-0.000196	-0.000463
08648	0.001676	-0.000144	-0.001175
08649	0.000970	0.002481	-0.001127
08650	0.000308	0.001815	-0.001318
08651	-0.000308	0.001293	-0.001334
08652	-0.000352	0.001999	-0.001247
08653	0.000357	0.000742	-0.001177
08654	0.000374	0.001311	-0.001251
08655	-0.000242	0.000789	-0.001267
08656	-0.000653	0.001526	-0.002119
08657	0.000963	-0.000310	-0.002747
08658	0.001698	0.000660	-0.003028
08659	0.000938	0.001029	-0.002658
08660	0.000526	0.000915	-0.003849
08661	-0.000235	0.001285	-0.003478
08662	0.001033	0.001223	-0.003353
08663	0.001742	-0.000035	-0.003284
08664	0.002398	-0.001306	-0.003235
08665	0.002255	0.000268	-0.002789
08666	0.002545	0.001286	-0.003997
08667	0.003109	0.000919	-0.003540
08668	0.003029	0.001579	-0.003505
08669	0.002755	0.001529	-0.004618
08670	0.001200	0.001562	-0.003957
08671	0.002946	0.001351	-0.003028
08672	0.004410	0.001055	-0.005123
08673	0.003231	0.001583	-0.005537
08674	0.003221	0.002298	-0.005444
08675	0.003786	0.001931	-0.004987
08676	0.003705	0.002716	-0.004800
08677	0.003576	0.001774	-0.006301
08678	0.003592	0.002373	-0.006356
08679	0.003614	0.000170	-0.004094
08680	0.003427	0.002539	-0.005341
08681	0.003573	0.002330	-0.005670
08682	0.003611	0.002872	-0.005785
08683	0.004176	0.002505	-0.005329
08684	0.004701	0.001905	-0.007111
08685	0.005465	0.002902	-0.007364
08686	0.004315	0.002462	-0.008243
08687	0.005024	0.001203	-0.008175
08688	0.005585	0.003124	-0.008005
08689	0.004549	0.002759	-0.008807
08690	0.004622	0.002519	-0.009163
08691	0.005187	0.002152	-0.008707
08692	0.005011	0.000571	-0.008346
08693	0.004538	-0.000844	-0.008750
08694	0.005756	-0.000951	-0.008676
08695	0.006663	-0.000847	-0.009317
08696	0.006135	-0.000015	-0.010059
08697	0.007461	-0.000069	-0.009915
08698	0.007057	0.000862	-0.010546
08699	0.007964	0.000966	-0.011187
08700	0.007307	0.000445	-0.011216
08701	0.006691	-0.000079	-0.011233
08702	0.006480	0.000593	-0.011193
08703	0.007387	0.000697	-0.011834
08704	0.006760	0.000032	-0.012020
08705	0.007601	0.000397	-0.010392
08706	0.006872	-0.000135	-0.010425
08707	0.007017	-0.000344	-0.010754
08708	0.006755	-0.000260	-0.011721
08709	0.006469	0.002205	-0.010886
08710	0.006211	0.001515	-0.010133
08711	0.007118	0.001620	-0.010774
08712	0.004888	0.000362	-0.010290
08713	0.005452	-0.000007	-0.009835
08714	0.005284	0.000119	-0.008789
08715	0.005429	-0.000091	-0.009119
08716	0.004800	-0.000536	-0.009045
08717	0.004945	-0.000746	-0.009375
08718	0.006230	-0.000642	-0.009044
08719	0.004000	0.001353	-0.008370
08720	0.005810	0.001105	-0.007498
08721	0.005392	0.001946	-0.008224
08722	0.004954	0.001330	-0.007378
08723	0.004955	0.002012	-0.007319
08724	0.004436	0.000600	-0.007739
08725	0.005619	0.001437	-0.007208
08726	0.002740	0.000407	-0.007421
08727	0.004486	0.000193	-0.006494
08728	0.005276	-0.000987	-0.006342
08729	0.005001	-0.001038	-0.007456
08730	0.004547	-0.000133	-0.008101
08731	0.004350	-0.000817	-0.007334
08732	0.003675	-0.001350	-0.007368
08733	0.005476	0.000693	-0.006761
08734	0.005986	-0.002111	-0.008168
08735	0.005281	0.000514	-0.008116
08736	0.003374	-0.002612	-0.008511
08737	0.004557	-0.001775	-0.007980
08738	0.005238	-0.002138	-0.007532
08739	0.004058	-0.001612	-0.007946
08740	0.004399	-0.002051	-0.007567
08741	0.004687	-0.003154	-0.008285
08742	0.004358	-0.000700	-0.007464
08743	0.005264	-0.000596	-0.008106
08744	0.003139	-0.001684	-0.007417
08745	0.005371	-0.002316	-0.007976
08746	0.004835	-0.002758	-0.007905
08747	0.005741	-0.002654	-0.008548
08748	0.004510	-0.002228	-0.009080
08749	0.005559	-0.003016	-0.010111
08750	0.005303	-0.000506	-0.009232
08751	0.006209	-0.000402	-0.009874
08752	0.005523	-0.002203	-0.009089
08753	0.005326	-0.002887	-0.008323
08754	0.005383	-0.003115	-0.008670
08755	0.005527	-0.003326	-0.009000
08756	0.006112	-0.002944	-0.010285
08757	0.005075	-0.003310	-0.011087
08758	0.006428	-0.003446	-0.011053
08759	0.006008	-0.002606	-0.011778
08760	0.006069	-0.003413	-0.010189
08761	0.007396	-0.003469	-0.010048
08762	0.007645	-0.003622	-0.010330
08763	0.007448	-0.004307	-0.009564
08764	0.007417	-0.003693	-0.009579
08765	0.006038	-0.004534	-0.009285
08766	0.008351	-0.004849	-0.007527
08767	0.007091	-0.003691	-0.009820
08768	0.008497	-0.005333	-0.008257
08769	0.007593	-0.004075	-0.007497
08770	0.007226	-0.004148	-0.008633
08771	0.008409	-0.003312	-0.008103
08772	0.008092	-0.003187	-0.007057
08773	0.008236	-0.003398	-0.007388
08774	0.009550	-0.003460	-0.007261
08775	0.008290	-0.002302	-0.009553
08776	0.009195	-0.003594	-0.009546
08777	0.007252	-0.003383	-0.009647
08778	0.008046	-0.002391	-0.009910
08779	0.008754	-0.003653	-0.009847
08780	0.009178	-0.003013	-0.008865
08781	0.009520	-0.001859	-0.009903
08782	0.007647	-0.003099	-0.008424
08783	0.008553	-0.002996	-0.009067
08784	0.007510	-0.001781	-0.008371
08785	0.007734	-0.002626	-0.006823
08786	0.006904	-0.002313	-0.006519
08787	0.006286	-0.002839	-0.006538
08788	0.006544	-0.003000	-0.006826
08789	0.007450	-0.002897	-0.007470
08790	0.009223	-0.002934	-0.007331
08791	0.008803	-0.002094	-0.008056
08792	0.006208	-0.001540	-0.006746
08793	0.008439	-0.002173	-0.007308
08794	0.008453	-0.001622	-0.007415
08795	0.009018	-0.001994	-0.006963
08796	0.008215	-0.001606	-0.006563
08797	0.007597	-0.002133	-0.006582
08798	0.008500	-0.001812	-0.005020
08799	0.009405	-0.001708	-0.005664
08800	0.010167	-0.002904	-0.005520
08801	0.009748	-0.002065	-0.006245
08802	0.009285	-0.002320	-0.007594
08803	0.008524	-0.001955	-0.007224
