// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
30810	-0.172045	-0.053375	0.045466
30811	-0.171647	-0.054550	0.044402
30812	-0.173134	-0.052815	0.045049
30813	-0.174905	-0.052046	0.045640
30814	-0.177614	-0.053371	0.043741
30815	-0.182911	-0.054640	0.043981
30816	-0.188788	-0.056041	0.042309
30817	-0.196181	-0.058384	0.040619
30818	-0.202741	-0.057703	0.041476
30819	-0.204854	-0.057044	0.040585
30820	-0.207363	-0.056421	0.039702
30821	-0.208275	-0.056709	0.039285
30822	-0.207675	-0.056717	0.040204
30823	-0.209080	-0.056854	0.039967
30824	-0.210004	-0.057000	0.040028
30825	-0.212194	-0.057307	0.040170
30826	-0.212676	-0.057519	0.039474
30827	-0.215173	-0.056185	0.038248
30828	-0.214131	-0.056259	0.038410
30829	-0.213332	-0.056590	0.036528
30830	-0.213174	-0.054918	0.036091
30831	-0.212851	-0.056142	0.035699
30832	-0.213014	-0.056219	0.036189
30833	-0.216622	-0.056636	0.034958
30834	-0.217987	-0.056717	0.035775
30835	-0.222517	-0.057936	0.036568
30836	-0.223380	-0.058989	0.036714
30837	-0.224242	-0.058196	0.037659
30838	-0.224404	-0.058274	0.038150
30839	-0.227000	-0.057601	0.038492
30840	-0.229127	-0.057751	0.038880
30841	-0.229734	-0.057832	0.038853
30842	-0.235030	-0.058057	0.039466
30843	-0.241089	-0.057592	0.038797
30844	-0.245380	-0.058150	0.035953
30845	-0.249766	-0.057753	0.034252
30846	-0.254179	-0.058110	0.033352
30847	-0.259396	-0.056902	0.031319
30848	-0.262666	-0.056349	0.030006
30849	-0.267963	-0.057963	0.026646
30850	-0.274021	-0.056645	0.024716
30851	-0.279355	-0.057319	0.020781
30852	-0.283066	-0.056701	0.020224
30853	-0.287129	-0.054568	0.017554
30854	-0.290399	-0.054017	0.016241
30855	-0.291570	-0.053554	0.014250
30856	-0.292356	-0.050845	0.015241
30857	-0.293587	-0.051295	0.013636
30858	-0.292667	-0.049556	0.013629
30859	-0.291640	-0.050472	0.015003
30860	-0.289318	-0.046780	0.015684
30861	-0.287606	-0.045137	0.015607
30862	-0.285925	-0.043329	0.016030
30863	-0.285854	-0.041621	0.016926
30864	-0.286656	-0.041970	0.015044
30865	-0.288557	-0.039389	0.015331
30866	-0.289542	-0.040243	0.017420
30867	-0.293238	-0.039793	0.016330
30868	-0.296386	-0.039443	0.013072
30869	-0.298439	-0.038798	0.012017
30870	-0.298921	-0.039012	0.011322
30871	-0.298895	-0.039268	0.011097
30872	-0.299316	-0.040390	0.010487
30873	-0.301184	-0.039676	0.011623
30874	-0.300783	-0.040022	0.009414
30875	-0.301121	-0.042877	0.009629
30876	-0.299639	-0.043019	0.009037
30877	-0.297463	-0.043026	0.010018
30878	-0.296042	-0.043874	0.011454
30879	-0.293425	-0.043939	0.011463
30880	-0.292064	-0.043880	0.012814
30881	-0.293030	-0.043318	0.012659
30882	-0.296803	-0.043407	0.014129
30883	-0.300766	-0.044003	0.011902
30884	-0.304157	-0.043252	0.012529
30885	-0.306969	-0.043580	0.011239
30886	-0.309539	-0.043666	0.012382
30887	-0.310122	-0.043832	0.013073
30888	-0.311488	-0.043915	0.013890
30889	-0.314309	-0.045905	0.015193
30890	-0.315934	-0.047030	0.014910
30891	-0.319062	-0.047328	0.014357
30892	-0.323413	-0.048595	0.013539
30893	-0.326558	-0.049828	0.013571
30894	-0.330087	-0.051933	0.013269
30895	-0.334251	-0.052317	0.013335
30896	-0.337338	-0.054488	0.012277
30897	-0.340782	-0.053872	0.012466
30898	-0.343808	-0.056950	0.011494
30899	-0.347578	-0.054638	0.009647
30900	-0.348441	-0.055694	0.009795
30901	-0.351664	-0.056904	0.009838
30902	-0.354552	-0.057126	0.009795
30903	-0.356642	-0.058381	0.010184
30904	-0.359028	-0.059576	0.009471
30905	-0.361080	-0.059849	0.008722
30906	-0.362583	-0.062788	0.008611
30907	-0.364618	-0.062200	0.007946
30908	-0.364657	-0.062481	0.006495
30909	-0.366740	-0.062816	0.006583
30910	-0.368425	-0.063035	0.006215
30911	-0.369609	-0.064258	0.007130
30912	-0.370090	-0.064473	0.006435
30913	-0.371176	-0.064923	0.004334
30914	-0.372421	-0.066821	0.005323
30915	-0.371001	-0.065274	0.003580
30916	-0.370721	-0.065420	0.003316
30917	-0.370774	-0.065654	0.002800
30918	-0.370873	-0.065028	0.001263
30919	-0.370940	-0.064344	0.000393
30920	-0.371300	-0.066374	-0.000130
30921	-0.371774	-0.063653	0.001119
30922	-0.372255	-0.063868	0.000425
30923	-0.373119	-0.064152	-0.000332
30924	-0.373282	-0.064232	0.000160
30925	-0.374078	-0.064487	-0.001327
30926	-0.374559	-0.064703	-0.002022
30927	-0.373860	-0.063976	-0.002124
30928	-0.372253	-0.064319	-0.004656
30929	-0.372892	-0.064440	-0.004387
30930	-0.374379	-0.062710	-0.003741
30931	-0.372812	-0.063003	-0.005130
30932	-0.374178	-0.063087	-0.004313
30933	-0.374643	-0.064210	-0.003202
30934	-0.372459	-0.063376	-0.003446
30935	-0.371760	-0.063574	-0.003101
30936	-0.370401	-0.063516	-0.001747
30937	-0.369788	-0.062797	-0.001346
30938	-0.368747	-0.062874	-0.001179
30939	-0.370747	-0.064161	-0.000682
30940	-0.371671	-0.064311	-0.000620
30941	-0.375002	-0.064582	-0.001122
30942	-0.375608	-0.064597	0.000126
30943	-0.375700	-0.064830	-0.000128
30944	-0.375162	-0.063935	0.000709
30945	-0.374303	-0.065066	0.001210
30946	-0.374148	-0.065012	0.002889
30947	-0.374984	-0.065283	0.001768
30948	-0.374888	-0.064322	0.003361
30949	-0.375366	-0.064439	0.002976
30950	-0.374385	-0.063609	0.003058
30951	-0.374119	-0.063860	0.001951
30952	-0.374023	-0.062900	0.003545
30953	-0.372362	-0.064113	0.002327
30954	-0.374107	-0.063426	0.001872
30955	-0.374357	-0.063420	0.003252
30956	-0.375981	-0.064547	0.002968
30957	-0.379199	-0.064840	0.002483
30958	-0.382848	-0.065133	0.002006
30959	-0.385308	-0.064730	0.001225
30960	-0.387435	-0.064885	0.001611
30961	-0.392431	-0.065460	-0.001076
30962	-0.393419	-0.066317	0.001014
30963	-0.393452	-0.066694	-0.001704
30964	-0.394058	-0.066710	-0.000456
30965	-0.394206	-0.065988	-0.001403
30966	-0.395189	-0.065232	-0.001427
30967	-0.397208	-0.064698	-0.001181
30968	-0.399593	-0.065894	-0.001897
30969	-0.399356	-0.064442	-0.002186
30970	-0.401357	-0.064797	-0.003743
30971	-0.402126	-0.065057	-0.005256
30972	-0.400702	-0.064293	-0.005929
30973	-0.398868	-0.063581	-0.005675
30974	-0.395863	-0.063584	-0.005401
30975	-0.394787	-0.062941	-0.005595
