// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
37482	-0.009543	0.008743	0.000423
37483	-0.010801	0.007757	-0.000926
37484	-0.009760	0.007793	-0.000557
37485	-0.008840	0.007398	-0.001594
37486	-0.009332	0.007969	-0.001382
37487	-0.008522	0.007622	-0.002193
37488	-0.008786	0.006399	-0.000830
37489	-0.009720	0.007253	-0.001433
37490	-0.007590	0.005972	-0.000036
37491	-0.009549	0.006386	-0.000249
37492	-0.008258	0.005719	-0.000353
37493	-0.008607	0.005475	-0.000816
37494	-0.008430	0.005035	-0.000326
37495	-0.009502	0.005909	-0.000714
37496	-0.010020	0.005387	0.001121
37497	-0.009592	0.005650	0.000704
37498	-0.010863	0.004647	-0.000658
37499	-0.010649	0.005522	0.001909
37500	-0.010030	0.005865	0.001527
37501	-0.010621	0.006042	0.000411
37502	-0.010278	0.005995	0.002123
37503	-0.010283	0.005165	0.001387
37504	-0.010802	0.004642	0.003222
37505	-0.011140	0.004123	0.001667
37506	-0.010164	0.006346	0.002108
37507	-0.011816	0.006002	0.004433
37508	-0.011809	0.005166	0.003698
37509	-0.012208	0.005850	0.004035
37510	-0.011171	0.005884	0.004401
37511	-0.011860	0.005030	0.005137
37512	-0.010739	0.003968	0.003807
37513	-0.012196	0.004896	0.004728
37514	-0.012251	0.006248	0.004067
37515	-0.012329	0.007682	0.003588
37516	-0.011903	0.006537	0.003603
37517	-0.012334	0.005736	0.004203
37518	-0.011551	0.006471	0.005043
37519	-0.011835	0.006730	0.006185
37520	-0.013196	0.006820	0.006518
37521	-0.013377	0.007027	0.007433
37522	-0.011900	0.007845	0.006927
37523	-0.010695	0.005731	0.007177
37524	-0.012034	0.006915	0.005889
37525	-0.012440	0.007565	0.006152
37526	-0.012017	0.006420	0.006165
37527	-0.012454	0.006663	0.005025
37528	-0.013817	0.006753	0.005358
37529	-0.012760	0.005678	0.004024
37530	-0.013703	0.005459	0.005106
37531	-0.014853	0.005991	0.003515
37532	-0.013651	0.006416	0.005103
37533	-0.012559	0.006469	0.005409
37534	-0.012557	0.005632	0.004672
37535	-0.012327	0.005236	0.005167
37536	-0.012936	0.003220	0.004076
37537	-0.013987	0.004005	0.003415
37538	-0.015772	0.004402	0.002998
37539	-0.016935	0.007164	0.004727
37540	-0.015651	0.006494	0.004616
37541	-0.015458	0.007544	0.004860
37542	-0.015961	0.008109	0.005071
37543	-0.016226	0.008284	0.005981
37544	-0.015615	0.008624	0.005595
37545	-0.018485	0.007083	0.005770
37546	-0.017705	0.007816	0.006608
37547	-0.015490	0.007941	0.007518
37548	-0.017026	0.007636	0.006625
37549	-0.017782	0.006733	0.007327
37550	-0.017172	0.007073	0.006941
37551	-0.017539	0.006904	0.006678
37552	-0.017601	0.008254	0.006017
37553	-0.018824	0.007694	0.006081
37554	-0.018046	0.008426	0.006919
37555	-0.017292	0.009185	0.007829
37556	-0.017737	0.007560	0.007959
37557	-0.018118	0.007364	0.007664
37558	-0.016477	0.008572	0.008380
37559	-0.016057	0.007367	0.008195
37560	-0.016142	0.007621	0.009154
37561	-0.015387	0.007982	0.008634
37562	-0.015643	0.007844	0.008369
37563	-0.015803	0.007822	0.008252
37564	-0.013490	0.008020	0.009242
37565	-0.012645	0.008006	0.009687
37566	-0.012480	0.007558	0.010170
37567	-0.012849	0.008166	0.010316
37568	-0.011128	0.008282	0.009331
37569	-0.012706	0.009056	0.010039
37570	-0.011930	0.009787	0.010877
37571	-0.010730	0.007694	0.011180
37572	-0.012693	0.007698	0.009537
37573	-0.012324	0.006874	0.010802
37574	-0.013445	0.006258	0.010657
37575	-0.013104	0.007234	0.010554
37576	-0.012078	0.007263	0.010915
37577	-0.014944	0.005665	0.010958
37578	-0.013476	0.006481	0.010449
37579	-0.014347	0.007794	0.011336
37580	-0.013321	0.007823	0.011697
37581	-0.013362	0.007181	0.011918
37582	-0.013199	0.006731	0.012399
37583	-0.013278	0.006669	0.012076
37584	-0.012232	0.007796	0.010818
37585	-0.013812	0.008540	0.011456
37586	-0.013570	0.006999	0.010236
37587	-0.012858	0.007738	0.011130
37588	-0.014484	0.008521	0.011936
37589	-0.013282	0.008540	0.012033
37590	-0.013965	0.008710	0.011016
37591	-0.013513	0.009066	0.010817
37592	-0.013774	0.008926	0.010548
37593	-0.013174	0.009327	0.010307
37594	-0.014471	0.008318	0.008934
37595	-0.013674	0.009054	0.009727
37596	-0.013936	0.008913	0.009459
37597	-0.014744	0.007997	0.010125
37598	-0.015429	0.008166	0.009108
37599	-0.015562	0.008294	0.009792
37600	-0.014459	0.007232	0.008448
37601	-0.015277	0.007386	0.010751
37602	-0.015039	0.005845	0.009528
37603	-0.014442	0.006518	0.010372
37604	-0.015399	0.006287	0.011448
37605	-0.015171	0.004988	0.011220
37606	-0.016109	0.005857	0.010679
37607	-0.015410	0.005366	0.009627
37608	-0.015926	0.005924	0.009835
37609	-0.017105	0.005348	0.009813
37610	-0.015489	0.005452	0.012144
37611	-0.015505	0.005411	0.011811
37612	-0.016886	0.005490	0.012139
37613	-0.017285	0.004999	0.010665
37614	-0.017129	0.004546	0.011143
37615	-0.018267	0.008438	-0.004020
37616	-0.017497	0.009165	-0.003201
37617	-0.017547	0.010895	-0.002547
37618	-0.018004	0.009265	-0.002443
37619	-0.018009	0.010691	-0.003033
37620	-0.018276	0.010550	-0.003320
37621	-0.019625	0.010643	-0.003036
37622	-0.019028	0.010981	-0.003444
37623	-0.019600	0.011527	-0.003256
37624	-0.018502	0.010466	-0.004620
37625	-0.017265	0.008712	-0.003119
37626	-0.019917	0.009724	-0.005051
37627	-0.019657	0.010446	-0.002879
37628	-0.018447	0.011962	-0.002929
37629	-0.018741	0.011848	-0.003148
37630	-0.017894	0.011486	-0.004034
37631	-0.018648	0.011979	-0.003797
37632	-0.019168	0.012536	-0.003606
37633	-0.020233	0.012026	-0.003597
37634	-0.020002	0.010485	-0.004842
37635	-0.020637	0.011835	-0.004118
37636	-0.019869	0.012559	-0.003300
37637	-0.019644	0.013153	-0.004649
37638	-0.020088	0.012623	-0.006164
37639	-0.019965	0.012134	-0.005787
37640	-0.020062	0.012379	-0.004849
37641	-0.021061	0.013235	-0.005408
37642	-0.019794	0.012561	-0.005548
37643	-0.021684	0.012927	-0.005995
37644	-0.020667	0.012951	-0.005657
37645	-0.021243	0.013462	-0.005556
37646	-0.021092	0.013007	-0.005098
37647	-0.022316	0.012365	-0.005252
37648	-0.022165	0.011910	-0.004794
37649	-0.021096	0.010849	-0.006156
37650	-0.022908	0.011236	-0.006593
37651	-0.024146	0.012457	-0.004700
37652	-0.024843	0.012625	-0.005736
37653	-0.024980	0.012581	-0.005946
37654	-0.023714	0.011907	-0.006088
37655	-0.023607	0.011532	-0.005409
37656	-0.023708	0.011775	-0.004473
37657	-0.024128	0.011391	-0.005693
37658	-0.024212	0.012738	-0.006371
37659	-0.024397	0.012543	-0.006893
37660	-0.025346	0.013409	-0.007450
37661	-0.025392	0.012568	-0.008213
37662	-0.025243	0.012111	-0.007757
37663	-0.025790	0.012367	-0.008743
37664	-0.024085	0.012484	-0.009753
37665	-0.025157	0.011794	-0.010183
37666	-0.024933	0.010252	-0.011433
37667	-0.024304	0.010881	-0.010742
37668	-0.024330	0.010037	-0.011512
37669	-0.024041	0.011098	-0.011345
37670	-0.024568	0.011651	-0.011156
37671	-0.023214	0.011387	-0.009935
37672	-0.024607	0.011459	-0.009626
37673	-0.022305	0.012727	-0.010353
37674	-0.025854	0.012151	-0.010552
37675	-0.026350	0.013548	-0.009827
37676	-0.025337	0.013570	-0.009492
37677	-0.025641	0.013701	-0.008651
37678	-0.026361	0.012762	-0.008077
37679	-0.026596	0.012634	-0.008392
37680	-0.026875	0.012488	-0.008684
37681	-0.026897	0.012811	-0.007655
37682	-0.024754	0.013721	-0.009534
37683	-0.023970	0.013023	-0.008380
37684	-0.026216	0.013719	-0.009565
37685	-0.027237	0.013106	-0.009850
37686	-0.027767	0.013657	-0.009662
37687	-0.027955	0.013557	-0.009938
37688	-0.029601	0.014326	-0.009150
37689	-0.029158	0.013183	-0.009222
37690	-0.028939	0.011640	-0.010476
37691	-0.028057	0.012323	-0.009882
37692	-0.027897	0.012970	-0.011041
37693	-0.028556	0.013547	-0.010690
37694	-0.028412	0.013086	-0.010237
37695	-0.027891	0.014153	-0.010288
37696	-0.029039	0.013524	-0.010462
37697	-0.028510	0.013743	-0.011113
37698	-0.027060	0.014558	-0.011646
37699	-0.027943	0.011398	-0.011049
37700	-0.029342	0.011467	-0.010743
37701	-0.028173	0.011490	-0.010578
37702	-0.028706	0.012039	-0.010390
37703	-0.028974	0.011905	-0.010688
37704	-0.030198	0.012358	-0.009154
37705	-0.029180	0.011367	-0.010318
37706	-0.030154	0.011122	-0.009266
37707	-0.031783	0.012901	-0.010335
37708	-0.029484	0.013088	-0.009376
37709	-0.030174	0.013595	-0.009169
37710	-0.029592	0.013928	-0.009584
37711	-0.030082	0.014441	-0.009552
37712	-0.028634	0.015255	-0.010085
37713	-0.029984	0.014611	-0.010115
37714	-0.029770	0.013067	-0.011373
37715	-0.030350	0.014466	-0.010559
37716	-0.029961	0.013305	-0.010590
37717	-0.030325	0.013120	-0.010908
37718	-0.030186	0.012657	-0.010458
37719	-0.029716	0.012914	-0.010967
37720	-0.028519	0.014425	-0.011019
37721	-0.028789	0.013105	-0.009897
37722	-0.029076	0.012955	-0.010192
37723	-0.029355	0.012761	-0.010623
37724	-0.028100	0.012082	-0.010775
37725	-0.028718	0.011145	-0.010321
37726	-0.027713	0.011162	-0.009991
37727	-0.027915	0.010997	-0.010420
37728	-0.027337	0.011329	-0.010835
37729	-0.027792	0.010719	-0.012580
37730	-0.027229	0.009940	-0.011386
37731	-0.026072	0.009235	-0.011543
37732	-0.025744	0.010263	-0.011476
37733	-0.025127	0.010616	-0.011903
37734	-0.025416	0.010465	-0.012200
37735	-0.025815	0.010296	-0.012455
37736	-0.026531	0.010459	-0.013497
37737	-0.028231	0.011245	-0.012632
37738	-0.028023	0.009700	-0.013894
37739	-0.025707	0.009925	-0.012890
37740	-0.026688	0.009674	-0.011840
37741	-0.026818	0.009583	-0.012167
37742	-0.026492	0.010610	-0.012100
37743	-0.025247	0.010716	-0.011801
37744	-0.023996	0.010036	-0.011955
37745	-0.023593	0.010267	-0.012475
37746	-0.024930	0.009250	-0.013882
37747	-0.022609	0.010948	-0.013122
37748	-0.023519	0.009617	-0.013785
37749	-0.023784	0.009467	-0.014114
37750	-0.023650	0.009000	-0.013666
37751	-0.024111	0.008420	-0.015341
37752	-0.024049	0.009031	-0.013182
37753	-0.022874	0.008040	-0.014516
37754	-0.022977	0.009381	-0.015194
37755	-0.022155	0.010185	-0.014249
37756	-0.022889	0.009235	-0.013684
37757	-0.022454	0.009502	-0.014151
37758	-0.022748	0.009349	-0.014449
37759	-0.022293	0.009543	-0.015107
37760	-0.022161	0.009074	-0.014661
37761	-0.021053	0.008062	-0.015984
37762	-0.022893	0.008437	-0.016425
37763	-0.021138	0.008488	-0.014365
37764	-0.021256	0.008716	-0.013436
37765	-0.020291	0.008708	-0.013151
37766	-0.021634	0.007690	-0.014560
37767	-0.021516	0.007312	-0.013912
37768	-0.020754	0.009135	-0.014709
37769	-0.021735	0.008531	-0.015016
37770	-0.018395	0.009577	-0.012953
37771	-0.019880	0.008495	-0.014411
