// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
10544	0.225655	-0.004382	-0.085586
10545	0.227259	-0.006909	-0.085680
10546	0.228721	-0.007413	-0.084580
10547	0.226561	-0.005942	-0.085382
10548	0.226226	-0.005664	-0.085354
10549	0.226809	-0.004809	-0.085953
10550	0.226299	-0.004430	-0.085820
10551	0.227020	-0.004446	-0.085933
10552	0.227722	-0.004377	-0.085984
10553	0.224858	-0.005057	-0.085080
10554	0.224928	-0.004469	-0.086349
10555	0.226295	-0.005049	-0.085274
10556	0.226673	-0.005380	-0.086122
10557	0.227256	-0.004526	-0.086720
10558	0.225881	-0.004394	-0.085787
10559	0.227111	-0.004103	-0.085196
10560	0.225373	-0.002397	-0.085299
10561	0.227994	-0.004310	-0.083987
10562	0.226944	-0.004047	-0.082407
10563	0.227294	-0.005242	-0.082736
10564	0.226822	-0.004659	-0.080464
10565	0.227543	-0.004676	-0.080576
10566	0.227695	-0.003886	-0.079715
10567	0.228045	-0.005081	-0.080045
10568	0.227673	-0.005577	-0.079428
10569	0.226769	-0.005439	-0.079994
10570	0.226978	-0.004810	-0.081267
10571	0.226112	-0.004467	-0.079692
10572	0.225203	-0.004448	-0.080315
10573	0.225415	-0.004773	-0.081131
10574	0.224852	-0.004296	-0.080931
10575	0.224456	-0.003851	-0.080794
10576	0.225787	-0.003379	-0.080123
10577	0.226646	-0.004267	-0.079750
10578	0.226246	-0.003904	-0.079656
10579	0.224639	-0.005919	-0.078515
10580	0.225706	-0.003718	-0.078813
10581	0.226427	-0.003735	-0.078926
10582	0.226078	-0.004067	-0.078223
10583	0.225821	-0.004493	-0.077600
10584	0.225302	-0.004074	-0.077440
10585	0.225692	-0.005065	-0.075628
10586	0.225657	-0.004480	-0.076876
10587	0.227218	-0.003216	-0.078210
10588	0.225396	-0.003505	-0.078054
10589	0.225139	-0.003931	-0.077431
10590	0.224717	-0.003414	-0.077236
10591	0.225439	-0.003431	-0.077348
10592	0.223974	-0.003677	-0.078639
10593	0.225851	-0.003952	-0.076861
10594	0.224539	-0.004145	-0.078154
10595	0.225162	-0.003086	-0.076611
10596	0.225279	-0.003371	-0.077377
10597	0.225022	-0.003798	-0.076754
10598	0.224791	-0.004065	-0.076041
10599	0.225143	-0.005261	-0.076371
10600	0.225618	-0.003585	-0.077485
10601	0.226479	-0.004475	-0.077112
10602	0.226340	-0.004084	-0.078438
10603	0.224459	-0.004356	-0.078267
10604	0.226442	-0.004668	-0.078565
10605	0.225909	-0.003352	-0.078913
10606	0.226767	-0.004309	-0.078569
10607	0.224886	-0.004582	-0.078397
10608	0.225210	-0.004876	-0.079219
10609	0.225325	-0.004124	-0.078378
10610	0.225701	-0.005409	-0.078752
10611	0.225306	-0.004965	-0.078613
10612	0.226853	-0.004404	-0.077287
10613	0.224972	-0.004677	-0.077115
10614	0.226760	-0.004333	-0.078005
10615	0.226505	-0.004760	-0.077381
10616	0.226832	-0.004935	-0.078130
10617	0.226946	-0.004183	-0.077290
10618	0.226753	-0.003766	-0.077200
10619	0.228593	-0.004246	-0.077564
10620	0.227287	-0.004324	-0.076760
10621	0.225406	-0.004597	-0.076588
10622	0.226687	-0.004224	-0.075953
10623	0.225924	-0.004959	-0.076032
10624	0.226593	-0.004263	-0.076733
10625	0.224476	-0.002588	-0.075389
10626	0.224763	-0.003762	-0.075682
10627	0.224370	-0.003318	-0.075544
10628	0.225459	-0.003203	-0.077048
10629	0.226182	-0.003221	-0.077160
10630	0.225578	-0.003759	-0.077155
10631	0.225792	-0.004084	-0.077970
10632	0.225249	-0.003651	-0.077797
10633	0.224815	-0.003412	-0.079800
10634	0.226348	-0.001757	-0.076829
10635	0.227169	-0.002852	-0.078598
10636	0.225992	-0.003710	-0.077253
10637	0.226716	-0.003728	-0.077366
10638	0.226384	-0.003302	-0.077243
10639	0.225482	-0.003165	-0.077806
10640	0.224991	-0.002667	-0.077602
10641	0.224089	-0.002530	-0.078165
10642	0.225097	-0.001570	-0.078142
10643	0.225172	-0.001023	-0.079442
10644	0.225611	-0.002006	-0.077632
10645	0.225727	-0.001255	-0.076791
10646	0.225321	0.000074	-0.077145
10647	0.225027	-0.000559	-0.078662
10648	0.224337	-0.000153	-0.078468
10649	0.224921	0.000700	-0.079066
10650	0.224185	0.002910	-0.079862
10651	0.223324	0.003249	-0.078284
10652	0.222811	0.002675	-0.079718
10653	0.223674	0.001784	-0.079346
10654	0.224490	0.001832	-0.079431
10655	0.223728	0.001095	-0.079510
10656	0.222711	0.001960	-0.080632
10657	0.223108	0.000965	-0.078821
10658	0.222569	0.001402	-0.078640
10659	0.220691	0.001127	-0.078466
10660	0.221405	0.000971	-0.078643
10661	0.221620	0.000645	-0.079458
10662	0.221897	0.000304	-0.080287
10663	0.222621	0.000285	-0.080400
10664	0.223053	-0.000598	-0.078530
10665	0.222339	0.001387	-0.081502
10666	0.222942	0.002452	-0.079938
10667	0.220785	0.003923	-0.080733
10668	0.221329	0.002665	-0.081132
10669	0.222193	0.001773	-0.080760
10670	0.222349	0.002363	-0.082048
10671	0.222466	0.003112	-0.081207
10672	0.221471	0.003244	-0.081738
10673	0.220570	0.003379	-0.082300
10674	0.221207	0.004529	-0.080700
10675	0.221011	0.002819	-0.083873
10676	0.221444	0.001767	-0.082097
10677	0.219568	0.001491	-0.081922
10678	0.220190	0.002308	-0.082538
10679	0.220405	0.001981	-0.083354
10680	0.221225	0.001965	-0.083481
10681	0.222090	0.001072	-0.083110
10682	0.220631	0.000821	-0.084399
10683	0.220706	0.001367	-0.085699
10684	0.221806	0.000700	-0.084602
10685	0.220439	0.000731	-0.083725
10686	0.220962	0.000863	-0.083702
10687	0.219922	0.001871	-0.084750
10688	0.219374	0.002341	-0.084552
10689	0.218940	0.002580	-0.086553
10690	0.218595	0.003257	-0.086284
10691	0.216720	0.002981	-0.086109
10692	0.218407	0.002581	-0.086387
10693	0.217507	0.002716	-0.086949
10694	0.218961	0.002070	-0.085920
10695	0.218201	0.001332	-0.085997
10696	0.217130	0.002349	-0.087020
10697	0.217996	0.001456	-0.086648
10698	0.217711	0.002015	-0.086463
10699	0.217787	0.002561	-0.087763
10700	0.216854	0.001842	-0.087781
10701	0.217580	0.001822	-0.087894
10702	0.216664	0.002814	-0.088970
10703	0.217390	0.002794	-0.089083
10704	0.216182	0.002882	-0.088205
10705	0.215748	0.003121	-0.090206
10706	0.217205	0.002587	-0.089116
10707	0.216533	0.004775	-0.089946
10708	0.217705	0.004019	-0.090951
10709	0.218062	0.002819	-0.091281
10710	0.218435	0.002460	-0.092138
10711	0.218651	0.002133	-0.092953
10712	0.218332	0.002564	-0.092827
10713	0.217433	0.002699	-0.093389
