// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
45896	0.003746	0.019455	0.134159
45897	0.003534	0.022082	0.126905
45898	0.002163	0.026604	0.118815
45899	0.000290	0.031198	0.105872
45900	-0.001755	0.031408	0.101776
45901	-0.004907	0.035889	0.092872
45902	-0.008450	0.038749	0.094135
45903	-0.009553	0.042386	0.093165
45904	-0.012790	0.042860	0.098874
45905	-0.013130	0.044600	0.103789
45906	-0.013456	0.047944	0.113206
45907	-0.014170	0.052704	0.114480
45908	-0.013849	0.048425	0.119538
45909	-0.012711	0.045594	0.123495
45910	-0.010526	0.043665	0.128462
45911	-0.007044	0.042541	0.128747
45912	-0.003203	0.042227	0.138833
45913	-0.000465	0.038696	0.141276
45914	0.000466	0.036167	0.154445
45915	0.003702	0.033489	0.159975
45916	0.009196	0.029377	0.164912
45917	0.014161	0.021634	0.158714
45918	0.018779	0.021007	0.154193
45919	0.024210	0.017477	0.136950
45920	0.030654	0.014042	0.122034
45921	0.038475	0.010018	0.102239
45922	0.045920	0.005069	0.083985
45923	0.052820	-0.000976	0.071312
45924	0.061491	-0.003818	0.064397
45925	0.069427	-0.008316	0.064538
45926	0.075490	-0.014425	0.068861
45927	0.085939	-0.018748	0.073373
45928	0.095387	-0.022486	0.081970
45929	0.104332	-0.024339	0.094365
45930	0.113729	-0.027276	0.121589
45931	0.121236	-0.029752	0.124453
45932	0.126817	-0.029596	0.119708
45933	0.135981	-0.033819	0.109166
45934	0.139801	-0.035972	0.104557
45935	0.146153	-0.037671	0.099293
45936	0.149542	-0.040553	0.087294
45937	0.152412	-0.042248	0.083661
45938	0.155079	-0.040437	0.076419
45939	0.156341	-0.039389	0.079828
45940	0.158123	-0.038802	0.078987
45941	0.160212	-0.037714	0.088003
45942	0.162562	-0.039041	0.091587
45943	0.165150	-0.037102	0.103688
45944	0.168278	-0.035459	0.109592
45945	0.171154	-0.034171	0.117570
45946	0.173233	-0.032514	0.117810
45947	0.174383	-0.031197	0.120379
45948	0.177634	-0.028639	0.116824
45949	0.180778	-0.025746	0.107108
45950	0.181240	-0.021708	0.095454
45951	0.183571	-0.017912	0.086218
45952	0.185739	-0.016431	0.077570
45953	0.187308	-0.015984	0.064409
45954	0.187699	-0.017271	0.050683
45955	0.190187	-0.017995	0.037884
45956	0.193250	-0.020402	0.033860
45957	0.194565	-0.025648	0.027343
45958	0.198520	-0.028986	0.020494
45959	0.202699	-0.032773	0.013945
45960	0.207060	-0.038304	0.008480
45961	0.211940	-0.042720	0.000612
45962	0.216546	-0.048973	-0.010426
45963	0.219903	-0.058043	-0.020619
45964	0.223875	-0.062474	-0.043663
45965	0.229253	-0.064881	-0.061457
45966	0.237049	-0.072059	-0.081394
45967	0.241914	-0.079455	-0.100868
45968	0.247910	-0.086299	-0.123444
45969	0.251289	-0.093264	-0.140558
45970	0.255678	-0.098640	-0.155323
45971	0.259602	-0.102864	-0.157191
45972	0.265208	-0.106037	-0.166264
45973	0.266931	-0.113346	-0.163054
45974	0.268603	-0.117539	-0.164222
45975	0.271743	-0.123119	-0.152048
45976	0.273861	-0.129356	-0.142442
45977	0.276826	-0.136602	-0.130826
45978	0.277361	-0.144112	-0.122817
45979	0.276122	-0.151670	-0.114327
45980	0.277363	-0.156280	-0.095061
45981	0.273947	-0.158639	-0.084294
45982	0.271464	-0.160041	-0.072439
45983	0.266844	-0.162622	-0.063433
45984	0.263918	-0.160318	-0.061489
45985	0.259505	-0.155003	-0.060256
45986	0.256166	-0.152727	-0.061473
45987	0.252814	-0.155196	-0.056507
45988	0.251152	-0.157011	-0.047568
45989	0.249351	-0.157975	-0.045244
45990	0.248083	-0.160762	-0.041500
45991	0.249366	-0.162856	-0.043053
45992	0.250468	-0.166973	-0.040868
45993	0.253766	-0.171794	-0.046657
45994	0.256897	-0.176276	-0.059651
45995	0.262666	-0.180762	-0.067721
45996	0.268516	-0.186327	-0.079650
45997	0.275205	-0.191981	-0.087357
45998	0.284162	-0.198005	-0.098630
45999	0.289978	-0.204691	-0.105576
46000	0.298238	-0.207947	-0.105978
46001	0.307592	-0.210648	-0.109328
46002	0.315906	-0.215346	-0.111524
46003	0.324385	-0.219080	-0.114112
46004	0.332554	-0.224589	-0.116758
46005	0.341292	-0.225825	-0.118509
46006	0.347093	-0.228819	-0.127725
46007	0.353009	-0.230528	-0.135799
46008	0.358656	-0.233924	-0.155801
46009	0.364831	-0.235182	-0.168559
46010	0.368289	-0.238280	-0.180440
46011	0.372365	-0.239693	-0.194757
46012	0.376305	-0.246206	-0.209227
46013	0.379926	-0.250677	-0.225498
46014	0.381064	-0.252784	-0.239233
46015	0.384820	-0.258625	-0.254100
46016	0.388797	-0.262787	-0.273356
46017	0.392922	-0.266397	-0.286547
46018	0.395293	-0.270821	-0.297555
46019	0.400390	-0.277802	-0.309258
46020	0.405434	-0.283683	-0.313326
46021	0.409805	-0.286882	-0.318755
46022	0.413674	-0.290080	-0.321139
46023	0.418683	-0.293793	-0.322087
46024	0.423241	-0.298174	-0.324538
46025	0.427954	-0.300090	-0.334370
46026	0.433511	-0.303663	-0.346987
46027	0.436494	-0.307606	-0.367732
46028	0.441755	-0.313800	-0.389005
46029	0.443673	-0.319339	-0.410103
46030	0.445407	-0.325372	-0.421122
46031	0.448546	-0.331824	-0.427460
46032	0.451322	-0.338209	-0.423116
