// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
26251		-2.758749	1.461303	18.097283
26252		-2.613848	1.345734	17.362816
26253		-2.455539	1.235154	16.632626
26254		-2.285179	1.131894	15.902011
26255		-2.108538	1.036001	15.167544
26256		-1.926438	0.950030	14.429360
26257		-1.743991	0.871572	13.689757
26258		-1.564751	0.800436	12.951016
26259		-1.388346	0.738164	12.222693
26260		-1.216153	0.683441	11.508144
26261		-1.048703	0.637349	10.807535
26262		-0.890209	0.589121	10.114030
26263		-0.731808	0.544765	9.424248
26264		-0.581754	0.499326	8.731214
26265		-0.434170	0.454736	8.035231
26266		-0.294179	0.411569	7.340862
26267		-0.157655	0.372187	6.647583
26268		-0.023521	0.340049	5.957104
26269		0.109611	0.309017	5.268401
26270		0.247802	0.281159	4.587778
26271		0.387392	0.254309	3.918452
26272		0.528431	0.223421	3.260965
26273		0.667378	0.190140	2.618367
26274		0.800342	0.154694	1.992220
26275		0.925743	0.115209	1.384119
26276		1.039347	0.069440	0.796113
26277		1.141189	0.018973	0.230465
26278		1.236710	-0.024590	-0.313887
26279		1.321289	-0.060949	-0.836082
26280		1.392203	-0.088554	-1.340754
26281		1.448995	-0.115434	-1.831509
26282		1.490030	-0.150891	-2.312770
26283		1.518313	-0.199249	-2.788807
26284		1.539552	-0.246368	-3.253611
26285		1.551571	-0.292221	-3.707298
26286		1.552135	-0.348758	-4.152799
26287		1.539764	-0.409184	-4.586502
26288		1.516256	-0.479055	-5.008249
26289		1.486206	-0.551107	-5.416186
26290		1.454629	-0.613819	-5.801761
26291		1.421892	-0.669740	-6.162312
26292		1.390674	-0.722071	-6.494842
26293		1.367254	-0.762171	-6.786749
26294		1.345363	-0.794500	-7.037365
26295		1.321907	-0.821047	-7.245562
26296		1.300716	-0.847475	-7.410429
26297		1.281830	-0.874897	-7.534892
26298		1.264776	-0.906553	-7.631729
26299		1.249541	-0.941293	-7.713664
26300		1.237651	-0.972333	-7.789983
26301		1.226760	-0.997914	-7.865187
26302		1.211636	-1.011264	-7.939968
26303		1.192525	-1.013602	-8.023193
26304		1.169928	-1.013396	-8.112575
26305		1.149126	-1.009582	-8.207238
26306		1.132955	-1.005172	-8.302236
26307		1.124185	-0.998579	-8.397810
26308		1.122275	-1.001276	-8.496567
26309		1.128273	-1.009765	-8.605024
26310		1.140036	-1.023720	-8.714979
26311		1.160389	-1.035142	-8.820950
26312		1.188431	-1.053450	-8.914984
26313		1.221802	-1.069283	-8.992975
26314		1.257034	-1.079511	-9.050090
26315		1.296328	-1.079237	-9.085402
26316		1.337476	-1.064439	-9.103039
26317		1.382703	-1.041570	-9.101338
26318		1.427248	-1.011930	-9.081110
26319		1.475661	-0.974195	-9.038544
26320		1.521585	-0.939517	-8.977873
26321		1.562433	-0.911133	-8.900168
26322		1.597682	-0.887172	-8.810438
26323		1.633389	-0.861942	-8.711450
26324		1.672228	-0.835782	-8.610490
26325		1.711552	-0.808790	-8.510408
26326		1.754927	-0.774426	-8.413641
26327		1.795409	-0.734665	-8.322269
26328		1.829847	-0.689851	-8.227506
26329		1.857147	-0.643792	-8.127576
26330		1.876597	-0.597787	-8.022749
26331		1.890080	-0.549109	-7.911599
26332		1.900342	-0.502543	-7.796254
26333		1.906345	-0.457992	-7.680974
26334		1.913925	-0.410161	-7.559813
26335		1.922203	-0.359733	-7.435738
26336		1.936387	-0.306900	-7.306881
26337		1.954682	-0.253939	-7.165901
26338		1.977566	-0.200910	-7.011871
26339		2.004068	-0.142429	-6.846151
26340		2.034305	-0.082877	-6.668984
26341		2.064054	-0.024622	-6.487357
26342		2.092116	0.031528	-6.294689
26343		2.125593	0.090505	-6.091995
26344		2.157700	0.144442	-5.884598
26345		2.191258	0.199503	-5.674559
26346		2.226588	0.256354	-5.462244
26347		2.262341	0.312842	-5.251467
26348		2.299310	0.371331	-5.046958
26349		2.342261	0.432288	-4.841356
26350		2.386785	0.486801	-4.639791
26351		2.435200	0.532932	-4.439453
26352		2.483298	0.570107	-4.244346
26353		2.532007	0.608847	-4.049116
26354		2.582592	0.645691	-3.858920
26355		2.631268	0.681957	-3.675344
26356		2.676059	0.710494	-3.502940
26357		2.718532	0.729867	-3.341438
26358		2.760832	0.735130	-3.195247
26359		2.802739	0.721967	-3.057912
26360		2.845188	0.687159	-2.936833
26361		2.890825	0.645324	-2.819755
26362		2.939744	0.617119	-2.698576
26363		2.987707	0.592910	-2.573422
26364		3.028466	0.548266	-2.452453
26365		3.059228	0.498439	-2.329975
26366		3.093207	0.444465	-2.198927
26367		3.133023	0.356676	-2.067115
26368		3.188539	0.244196	-1.933016
26369		3.264309	0.128749	-1.787487
26370		3.359695	-0.008025	-1.634776
26371		3.477223	-0.152222	-1.478202
26372		3.624142	-0.261081	-1.309293
26373		3.802430	-0.321948	-1.117643
26374		4.002166	-0.353294	-0.908022
26375		4.212705	-0.375431	-0.678267
26376		4.420516	-0.405724	-0.431823
26377		4.612188	-0.422327	-0.185765
26378		4.784064	-0.406565	0.062944
26379		4.940594	-0.384832	0.331463
26380		5.074054	-0.372000	0.623306
26381		5.177334	-0.377826	0.914076
26382		5.240319	-0.398550	1.169998
26383		5.259328	-0.430786	1.369934
26384		5.244665	-0.457490	1.501910
26385		5.203466	-0.480014	1.569332
26386		5.141990	-0.505140	1.573102
26387		5.057763	-0.540786	1.523893
26388		4.957847	-0.585422	1.434652
26389		4.849276	-0.629721	1.327161
26390		4.735558	-0.667136	1.215802
26391		4.616381	-0.708139	1.110714
26392		4.502358	-0.753934	1.014309
26393		4.388829	-0.805343	0.928184
26394		4.277800	-0.860195	0.848286
26395		4.168981	-0.921235	0.771076
26396		4.057938	-0.985527	0.690735
26397		3.952469	-1.052452	0.596633
26398		3.851821	-1.121249	0.487076
26399		3.755346	-1.193326	0.366526
26400		3.663497	-1.262558	0.239811
26401		3.575989	-1.321171	0.108904
26402		3.487623	-1.369920	-0.027023
26403		3.396641	-1.402229	-0.164121
26404		3.302741	-1.426844	-0.299079
26405		3.202265	-1.453808	-0.433878
26406		3.101368	-1.480828	-0.566632
26407		2.996038	-1.510059	-0.688885
26408		2.889742	-1.534966	-0.787416
26409		2.782551	-1.555673	-0.853513
26410		2.678132	-1.575685	-0.889131
26411		2.577860	-1.596653	-0.893192
26412		2.488730	-1.622489	-0.868171
26413		2.408305	-1.658490	-0.820975
26414		2.340099	-1.702845	-0.759238
26415		2.281517	-1.750819	-0.679745
26416		2.227300	-1.810003	-0.598442
26417		2.178205	-1.871991	-0.520495
26418		2.133367	-1.933587	-0.449265
26419		2.092034	-2.003953	-0.392102
26420		2.052270	-2.079158	-0.346625
26421		2.017145	-2.154651	-0.307604
26422		1.986199	-2.236969	-0.271182
26423		1.967792	-2.327317	-0.233916
26424		1.957040	-2.422917	-0.193135
26425		1.957337	-2.523016	-0.156252
26426		1.965814	-2.640037	-0.128238
26427		1.986177	-2.774806	-0.111714
26428		2.016067	-2.914061	-0.107227
26429		2.053749	-3.041625	-0.117016
26430		2.097663	-3.155707	-0.134778
26431		2.147464	-3.254950	-0.151481
26432		2.205069	-3.342007	-0.166693
26433		2.271507	-3.414245	-0.175452
26434		2.350724	-3.475883	-0.181415
26435		2.447487	-3.524112	-0.197469
26436		2.558729	-3.572474	-0.236772
26437		2.686123	-3.631880	-0.306229
26438		2.832946	-3.710245	-0.407590
26439		2.999686	-3.826627	-0.539577
26440		3.200095	-3.976626	-0.694062
26441		3.437984	-4.170236	-0.859551
26442		3.727825	-4.387857	-1.017199
26443		4.073924	-4.621870	-1.161386
26444		4.477372	-4.864425	-1.287739
26445		4.941064	-5.103996	-1.402656
26446		5.463001	-5.355921	-1.508256
26447		6.037959	-5.611364	-1.598268
26448		6.655145	-5.893423	-1.677480
26449		7.302374	-6.210402	-1.741189
26450		7.986778	-6.520365	-1.768150
26451		8.689815	-6.838624	-1.783579
26452		9.408785	-7.154346	-1.805319
26453		10.151516	-7.453122	-1.836582
26454		10.924074	-7.738295	-1.887220
26455		11.733852	-8.031009	-1.981069
26456		12.597089	-8.309855	-2.115021
26457		13.515970	-8.584002	-2.287637
26458		14.495330	-8.870359	-2.488954
26459		15.536435	-9.171724	-2.700657
26460		16.628635	-9.475741	-2.893953
26461		17.744906	-9.810689	-3.087651
26462		18.877935	-10.155443	-3.239768
26463		20.012286	-10.474201	-3.338391
