// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
26251		2.552081	0.936732	5.682141
26252		2.497111	0.905131	5.598686
26253		2.447644	0.878248	5.550557
26254		2.403405	0.846844	5.517094
26255		2.362960	0.817286	5.481741
26256		2.321748	0.795850	5.416002
26257		2.279261	0.786142	5.312138
26258		2.237760	0.783376	5.165612
26259		2.194591	0.789857	4.975061
26260		2.147321	0.805067	4.746450
26261		2.098639	0.825697	4.489822
26262		2.044655	0.849340	4.218379
26263		1.990404	0.871776	3.936552
26264		1.929488	0.899885	3.654319
26265		1.869652	0.921155	3.376854
26266		1.808201	0.943016	3.108965
26267		1.747159	0.961833	2.853065
26268		1.682917	0.978331	2.620601
26269		1.618695	0.989900	2.405666
26270		1.552228	0.999824	2.208433
26271		1.485789	1.004668	2.025122
26272		1.413282	1.008645	1.852998
26273		1.336371	1.010037	1.688564
26274		1.257167	1.010498	1.526465
26275		1.177463	1.010298	1.363908
26276		1.098201	1.006238	1.196273
26277		1.017616	1.009780	1.019825
26278		0.933972	1.012902	0.825807
26279		0.846757	1.013861	0.616745
26280		0.754378	1.022106	0.393737
26281		0.658381	1.032017	0.163239
26282		0.562041	1.038337	-0.065475
26283		0.464992	1.044687	-0.296619
26284		0.371442	1.047167	-0.534855
26285		0.278970	1.044796	-0.789614
26286		0.179337	1.042608	-1.039585
26287		0.080030	1.036602	-1.266707
26288		-0.014230	1.016019	-1.449493
26289		-0.107616	0.990054	-1.597776
26290		-0.201026	0.972625	-1.695398
26291		-0.292414	0.958950	-1.744617
26292		-0.385689	0.944387	-1.747779
26293		-0.477108	0.931325	-1.727936
26294		-0.565851	0.920352	-1.706825
26295		-0.648588	0.909357	-1.698507
26296		-0.731934	0.905492	-1.720430
26297		-0.812551	0.903138	-1.775087
26298		-0.890351	0.898419	-1.857128
26299		-0.966241	0.898038	-1.964353
26300		-1.038790	0.899003	-2.082841
26301		-1.105761	0.892669	-2.189882
26302		-1.170961	0.886821	-2.285338
26303		-1.229748	0.884554	-2.365630
26304		-1.274099	0.877969	-2.418229
26305		-1.303511	0.869481	-2.452808
26306		-1.325752	0.871015	-2.489437
26307		-1.347476	0.881207	-2.512709
26308		-1.368370	0.885470	-2.503082
26309		-1.379919	0.891987	-2.467564
26310		-1.374110	0.890966	-2.432822
26311		-1.356330	0.883910	-2.407120
26312		-1.334370	0.881575	-2.399802
26313		-1.306843	0.884360	-2.405909
26314		-1.274244	0.885531	-2.426334
26315		-1.235059	0.886501	-2.455050
26316		-1.192118	0.890352	-2.484708
26317		-1.146975	0.891665	-2.509235
26318		-1.104011	0.891879	-2.523196
26319		-1.054365	0.892982	-2.511432
26320		-1.004785	0.895850	-2.475359
26321		-0.951577	0.892671	-2.413542
26322		-0.896800	0.885448	-2.327057
26323		-0.841125	0.874681	-2.222974
26324		-0.786603	0.863201	-2.110528
26325		-0.735687	0.847297	-2.004496
26326		-0.686022	0.830264	-1.907117
26327		-0.640820	0.810083	-1.821085
26328		-0.594638	0.789114	-1.746095
26329		-0.548388	0.764741	-1.679085
26330		-0.499598	0.733053	-1.614622
26331		-0.453049	0.700439	-1.551429
26332		-0.413255	0.664764	-1.481725
26333		-0.378257	0.616786	-1.398310
26334		-0.343485	0.569939	-1.299888
26335		-0.305825	0.517850	-1.200335
26336		-0.269200	0.465822	-1.099110
26337		-0.230330	0.413814	-1.008047
26338		-0.193960	0.367980	-0.927473
26339		-0.156864	0.321786	-0.850175
26340		-0.121669	0.274419	-0.772685
26341		-0.089663	0.221827	-0.690491
26342		-0.061587	0.168219	-0.608256
26343		-0.036962	0.124089	-0.528842
26344		-0.010526	0.090541	-0.469985
26345		0.011276	0.067931	-0.429527
26346		0.031550	0.041592	-0.374731
26347		0.056522	0.000077	-0.292161
26348		0.084777	-0.043810	-0.189824
26349		0.111653	-0.094692	-0.079648
26350		0.136279	-0.155635	0.039837
26351		0.160115	-0.222824	0.171264
26352		0.184198	-0.295309	0.315992
26353		0.208610	-0.364033	0.472748
26354		0.233462	-0.428764	0.645076
26355		0.261155	-0.490274	0.832496
26356		0.291838	-0.545226	1.038899
26357		0.321956	-0.598329	1.280369
26358		0.353607	-0.664069	1.554865
26359		0.381799	-0.752226	1.849574
26360		0.403286	-0.852747	2.156054
26361		0.421266	-0.959451	2.459440
26362		0.435172	-1.056882	2.746273
26363		0.439790	-1.152726	3.014829
