// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
26251		0.538828	-0.160637	0.000829
26252		0.522386	-0.187093	0.000022
26253		0.503874	-0.213293	-0.003531
26254		0.486534	-0.237805	-0.002687
26255		0.469176	-0.263432	-0.005435
26256		0.449857	-0.291429	-0.006732
26257		0.431930	-0.317395	-0.008417
26258		0.415774	-0.345074	-0.009670
26259		0.400167	-0.372288	-0.011213
26260		0.385391	-0.400301	-0.013730
26261		0.370969	-0.429406	-0.013023
26262		0.351864	-0.459721	-0.015617
26263		0.333530	-0.487252	-0.013585
26264		0.312849	-0.517273	-0.011950
26265		0.293311	-0.540528	-0.010694
26266		0.273759	-0.560210	-0.007770
26267		0.252697	-0.572056	-0.003849
26268		0.233771	-0.580408	0.001822
26269		0.214088	-0.584166	0.006022
26270		0.194476	-0.586793	0.010906
26271		0.174753	-0.585665	0.015110
26272		0.154962	-0.580953	0.021048
26273		0.134782	-0.576403	0.026040
26274		0.115155	-0.569072	0.032005
26275		0.093920	-0.558955	0.037383
26276		0.076549	-0.548164	0.042449
26277		0.054753	-0.540797	0.047418
26278		0.037243	-0.523824	0.055904
26279		0.018028	-0.512661	0.061921
26280		-0.000410	-0.492576	0.069200
26281		-0.018808	-0.473653	0.076515
26282		-0.037255	-0.453580	0.084121
26283		-0.059268	-0.432945	0.093644
26284		-0.087705	-0.409635	0.102823
26285		-0.113355	-0.387251	0.111638
26286		-0.144102	-0.362743	0.120729
26287		-0.171215	-0.338697	0.129234
26288		-0.201261	-0.322312	0.135872
26289		-0.230281	-0.316393	0.142293
26290		-0.263491	-0.317639	0.149628
26291		-0.298909	-0.326168	0.157779
26292		-0.336067	-0.339344	0.166516
26293		-0.371338	-0.351448	0.172971
26294		-0.396940	-0.370641	0.176839
26295		-0.418894	-0.380609	0.185216
26296		-0.434627	-0.393291	0.189640
26297		-0.445140	-0.408129	0.193233
26298		-0.451555	-0.425646	0.195343
26299		-0.455225	-0.447840	0.196774
26300		-0.456897	-0.468889	0.195880
26301		-0.458806	-0.495050	0.197076
26302		-0.461696	-0.527798	0.197194
26303		-0.471526	-0.559450	0.201279
26304		-0.478503	-0.589496	0.202968
26305		-0.487643	-0.619526	0.204280
26306		-0.496185	-0.654086	0.204621
26307		-0.504164	-0.685956	0.205288
26308		-0.512872	-0.716932	0.204334
26309		-0.518691	-0.746459	0.206846
26310		-0.524389	-0.777026	0.203327
26311		-0.529518	-0.802496	0.204502
26312		-0.535085	-0.831788	0.202147
26313		-0.541508	-0.861601	0.199906
26314		-0.549110	-0.889546	0.198311
26315		-0.556290	-0.913648	0.197363
26316		-0.558587	-0.932598	0.193216
26317		-0.561754	-0.949628	0.190661
26318		-0.554824	-0.958775	0.189889
26319		-0.547619	-0.965327	0.185724
26320		-0.537118	-0.963963	0.184201
26321		-0.523294	-0.962071	0.180936
26322		-0.507309	-0.960210	0.178059
