// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
49991		1.136792	-0.488589	0.297627
49992		1.133863	-0.484216	0.308327
49993		1.133663	-0.478862	0.307717
49994		1.132135	-0.470963	0.294619
49995		1.130132	-0.461029	0.273677
49996		1.128421	-0.445709	0.248224
49997		1.124584	-0.426249	0.224411
49998		1.120963	-0.404540	0.202861
49999		1.117470	-0.380589	0.187706
50000		1.113270	-0.356500	0.174979
50001		1.103736	-0.331622	0.165568
50002		1.093579	-0.304810	0.160462
50003		1.080565	-0.274971	0.161113
50004		1.066076	-0.243762	0.162754
50005		1.055052	-0.215983	0.161444
50006		1.041571	-0.190303	0.146406
50007		1.028276	-0.168387	0.117586
50008		1.014563	-0.157432	0.077101
50009		0.999632	-0.150030	0.031773
50010		0.983491	-0.148058	-0.007283
50011		0.967685	-0.149824	-0.037110
50012		0.954207	-0.147674	-0.056103
50013		0.943870	-0.140703	-0.052346
50014		0.939816	-0.135458	-0.014540
50015		0.931867	-0.136894	0.051973
50016		0.927491	-0.137110	0.141129
50017		0.927340	-0.138134	0.237471
50018		0.929586	-0.141236	0.322124
50019		0.937366	-0.146525	0.378325
50020		0.952314	-0.150867	0.396344
50021		0.968322	-0.154640	0.372389
50022		0.986100	-0.158429	0.318380
50023		1.001848	-0.159682	0.247146
50024		1.016795	-0.151187	0.177890
50025		1.032982	-0.143033	0.126522
50026		1.047420	-0.138346	0.103598
50027		1.059820	-0.134622	0.106553
50028		1.067765	-0.129466	0.134070
50029		1.070262	-0.131367	0.182061
50030		1.070259	-0.137655	0.244440
50031		1.067850	-0.144027	0.304424
50032		1.063007	-0.147168	0.356069
50033		1.056334	-0.149485	0.395896
50034		1.051069	-0.151577	0.425583
50035		1.054684	-0.149900	0.448368
50036		1.063558	-0.149849	0.468979
50037		1.071871	-0.156134	0.489902
50038		1.081109	-0.162385	0.509652
50039		1.084022	-0.168296	0.529229
50040		1.091548	-0.173821	0.543840
50041		1.099262	-0.180365	0.549737
50042		1.113545	-0.186766	0.551234
50043		1.130661	-0.195468	0.550395
50044		1.145871	-0.202028	0.540140
50045		1.163566	-0.208358	0.519342
50046		1.181290	-0.212379	0.499598
50047		1.201394	-0.215647	0.478755
50048		1.218453	-0.219226	0.460036
50049		1.232944	-0.223470	0.446332
50050		1.244357	-0.228536	0.440629
50051		1.253681	-0.233372	0.445761
50052		1.258653	-0.237458	0.460357
50053		1.263556	-0.241822	0.480191
50054		1.265741	-0.247345	0.505866
50055		1.266905	-0.253875	0.527323
50056		1.269578	-0.260775	0.547305
50057		1.269592	-0.267719	0.563192
50058		1.269657	-0.277001	0.574752
50059		1.270438	-0.285629	0.583112
50060		1.274990	-0.293193	0.591860
50061		1.274415	-0.301761	0.602398
50062		1.277050	-0.311459	0.617099
50063		1.278013	-0.321544	0.634724
50064		1.281009	-0.331118	0.656614
50065		1.284523	-0.340549	0.679823
50066		1.286340	-0.353712	0.703516
50067		1.286312	-0.363816	0.727101
50068		1.287123	-0.372849	0.753047
50069		1.288558	-0.380019	0.782964
50070		1.287341	-0.390357	0.812353
50071		1.287681	-0.397766	0.843070
50072		1.284118	-0.405704	0.877128
50073		1.280706	-0.414188	0.912073
50074		1.277991	-0.423376	0.947631
50075		1.274095	-0.433256	0.982603
50076		1.275376	-0.443186	1.012625
50077		1.276707	-0.452236	1.033471
50078		1.278556	-0.458101	1.046326
50079		1.278260	-0.469404	1.059862
50080		1.281201	-0.485625	1.068072
50081		1.283868	-0.497891	1.075569
50082		1.291360	-0.508586	1.089367
50083		1.298281	-0.520899	1.108122
50084		1.303778	-0.535490	1.125732
50085		1.313610	-0.547886	1.143355
50086		1.321303	-0.563576	1.163538
50087		1.331221	-0.578525	1.180635
50088		1.340424	-0.592774	1.194286
50089		1.347079	-0.605309	1.205785
50090		1.352206	-0.618473	1.212700
50091		1.357456	-0.632164	1.220273
50092		1.359197	-0.646782	1.229558
50093		1.361724	-0.658736	1.241073
50094		1.365083	-0.672242	1.256111
50095		1.365112	-0.685121	1.273941
50096		1.368205	-0.699091	1.294071
50097		1.368445	-0.711800	1.317387
50098		1.367466	-0.726785	1.340921
50099		1.365471	-0.739903	1.365165
50100		1.363637	-0.751034	1.386840
50101		1.359882	-0.760865	1.405768
50102		1.356403	-0.770511	1.421325
50103		1.349052	-0.779440	1.437340
50104		1.346814	-0.789670	1.454957
50105		1.343586	-0.798093	1.473678
50106		1.339146	-0.806190	1.491859
50107		1.337066	-0.813352	1.512591
50108		1.331661	-0.819902	1.533393
50109		1.330343	-0.827737	1.549148
50110		1.325492	-0.834935	1.563268
50111		1.324151	-0.840710	1.569174
50112		1.321314	-0.846095	1.573201
50113		1.319230	-0.850086	1.569973
50114		1.314305	-0.853100	1.563810
50115		1.311169	-0.855045	1.557577
50116		1.308687	-0.856636	1.555154
50117		1.304573	-0.856995	1.551119
50118		1.296628	-0.858183	1.547529
50119		1.289508	-0.857791	1.543196
50120		1.283017	-0.855483	1.539324
50121		1.276703	-0.849594	1.531591
50122		1.272568	-0.840145	1.524067
50123		1.268301	-0.828312	1.518086
50124		1.263344	-0.818132	1.515701
50125		1.260493	-0.806895	1.513570
50126		1.255118	-0.795310	1.516884
50127		1.252236	-0.783062	1.518238
50128		1.249291	-0.769529	1.518651
50129		1.245697	-0.756344	1.514672
50130		1.242081	-0.744448	1.509851
50131		1.238884	-0.731648	1.503662
50132		1.233217	-0.719473	1.498792
50133		1.231075	-0.705389	1.495387
50134		1.227580	-0.691713	1.492712
50135		1.223262	-0.679068	1.486664
50136		1.219406	-0.670740	1.477547
50137		1.213915	-0.662277	1.463850
50138		1.208827	-0.655450	1.446414
50139		1.202305	-0.652877	1.423461
50140		1.195771	-0.650593	1.403183
50141		1.183425	-0.643060	1.393235
50142		1.175159	-0.637933	1.406873
50143		1.164720	-0.631973	1.439616
50144		1.151353	-0.622819	1.489176
50145		1.137358	-0.616041	1.544996
50146		1.123423	-0.609015	1.595970
50147		1.111082	-0.600556	1.633487
50148		1.103569	-0.593763	1.652356
50149		1.091962	-0.588656	1.642959
50150		1.083752	-0.582662	1.612040
50151		1.073538	-0.574383	1.564655
50152		1.064394	-0.565648	1.512320
50153		1.051451	-0.557706	1.462884
50154		1.037605	-0.546390	1.424369
50155		1.024456	-0.534891	1.402439
50156		1.007611	-0.522375	1.400268
50157		0.999002	-0.512701	1.406207
50158		0.983873	-0.502123	1.416800
50159		0.970130	-0.492105	1.422349
50160		0.959187	-0.482954	1.419166
50161		0.949172	-0.473055	1.400071
50162		0.941749	-0.459534	1.372616
50163		0.935292	-0.445526	1.343671
50164		0.928279	-0.433444	1.310525
50165		0.918062	-0.419875	1.278274
50166		0.911773	-0.407676	1.253866
50167		0.903833	-0.397412	1.235931
50168		0.895067	-0.392027	1.219312
50169		0.884022	-0.384193	1.201231
50170		0.871411	-0.376789	1.182534
50171		0.858033	-0.366132	1.163009
50172		0.844800	-0.352369	1.143565
50173		0.835968	-0.335645	1.122839
50174		0.827799	-0.323998	1.100897
50175		0.817112	-0.311011	1.073385
50176		0.806199	-0.299238	1.042653
50177		0.795252	-0.285074	1.016010
50178		0.783781	-0.271071	0.988433
50179		0.774701	-0.256387	0.959606
50180		0.765909	-0.238982	0.927154
50181		0.752669	-0.224258	0.888330
50182		0.740925	-0.210336	0.842822
50183		0.729949	-0.193397	0.794110
50184		0.719677	-0.175518	0.741669
50185		0.710774	-0.154623	0.687460
50186		0.703220	-0.133812	0.636783
50187		0.693016	-0.115405	0.588711
50188		0.680602	-0.095902	0.543441
50189		0.669564	-0.075732	0.504359
50190		0.655676	-0.058090	0.472255
50191		0.642913	-0.035846	0.436665
50192		0.634169	-0.013922	0.393672
50193		0.624809	0.010602	0.343463
50194		0.617034	0.037517	0.277204
50195		0.613384	0.067023	0.197677
50196		0.609122	0.098288	0.105670
50197		0.600979	0.128673	0.001864
50198		0.592989	0.157087	-0.115933
50199		0.586828	0.193021	-0.247698
50200		0.580155	0.231700	-0.371599
50201		0.572588	0.275123	-0.496166
50202		0.567323	0.318528	-0.600871
50203		0.565167	0.364470	-0.709728
50204		0.570282	0.410888	-0.800097
50205		0.575176	0.456454	-0.891398
50206		0.572909	0.501985	-0.961631
50207		0.573364	0.550358	-1.020578
50208		0.580998	0.596903	-1.085772
50209		0.598552	0.648336	-1.158329
50210		0.621976	0.703710	-1.239819
50211		0.643912	0.761917	-1.321668
50212		0.664354	0.816279	-1.405804
50213		0.684310	0.867742	-1.498095
50214		0.700851	0.921840	-1.579791
50215		0.717865	0.979754	-1.661885
50216		0.742457	1.043463	-1.726932
50217		0.773820	1.106660	-1.785076
50218		0.803091	1.168625	-1.837683
50219		0.823915	1.233879	-1.879773
50220		0.842817	1.305110	-1.910406
50221		0.860850	1.380132	-1.926624
50222		0.888593	1.456386	-1.937688
50223		0.914419	1.537417	-1.943115
50224		0.934585	1.620129	-1.958727
50225		0.948124	1.706924	-1.980883
50226		0.959782	1.796791	-2.013827
50227		0.972652	1.886276	-2.058599
50228		0.986180	1.977244	-2.119881
50229		0.997066	2.070387	-2.206796
50230		1.012946	2.173243	-2.301449
50231		1.028634	2.275779	-2.415185
50232		1.041738	2.374410	-2.539640
50233		1.050657	2.476996	-2.672883
50234		1.060452	2.582221	-2.790474
50235		1.069719	2.684176	-2.904530
50236		1.076546	2.782962	-2.994023
50237		1.091322	2.883463	-3.078630
50238		1.115192	2.986758	-3.151198
50239		1.140753	3.085275	-3.227703
50240		1.173062	3.182559	-3.297280
50241		1.207934	3.279333	-3.372881
50242		1.246108	3.377917	-3.441224
50243		1.290026	3.477467	-3.516940
50244		1.346413	3.577261	-3.589043
50245		1.415302	3.678371	-3.671122
50246		1.494193	3.774954	-3.742792
50247		1.585992	3.868398	-3.824131
50248		1.682304	3.952172	-3.901811
50249		1.789201	4.031068	-3.998262
50250		1.904423	4.110740	-4.097295
50251		2.026466	4.187003	-4.211023
50252		2.142727	4.250926	-4.339009
50253		2.251662	4.312575	-4.495477
50254		2.361877	4.369291	-4.656839
50255		2.474071	4.427445	-4.833591
50256		2.595756	4.496513	-5.003572
50257		2.716251	4.566284	-5.173503
50258		2.835407	4.630188	-5.312266
50259		2.949600	4.686208	-5.429045
50260		3.056355	4.733613	-5.509819
50261		3.158650	4.783647	-5.587416
50262		3.266958	4.840871	-5.647887
50263		3.390661	4.901630	-5.698904
50264		3.529276	4.949862	-5.720823
50265		3.677456	4.989830	-5.740190
50266		3.831279	5.021021	-5.741009
50267		3.992870	5.052197	-5.757701
50268		4.173618	5.086998	-5.757078
50269		4.387595	5.124469	-5.744304
50270		4.632894	5.160937	-5.680344
50271		4.897531	5.201856	-5.589708
50272		5.189449	5.249055	-5.470872
50273		5.500891	5.290785	-5.369391
50274		5.830213	5.324515	-5.268932
50275		6.180288	5.358840	-5.152150
50276		6.551232	5.378928	-4.978890
50277		6.928159	5.369859	-4.801587
50278		7.312328	5.341932	-4.599486
50279		7.722555	5.309683	-4.408964
50280		8.149849	5.277111	-4.213839
50281		8.601529	5.255195	-4.030723
50282		9.070165	5.234941	-3.845100
50283		9.552040	5.224226	-3.676671
50284		10.045430	5.224443	-3.497937
50285		10.547404	5.228847	-3.324688
50286		11.086416	5.233732	-3.170288
50287		11.653098	5.206686	-3.081674
50288		12.250783	5.126078	-2.956310
50289		12.862514	4.976463	-2.831352
50290		13.477238	4.787207	-2.741595
50291		14.089276	4.576638	-2.728769
50292		14.682295	4.362843	-2.787222
50293		15.240723	4.172439	-2.923110
50294		15.746546	4.017944	-3.122482
50295		16.195959	3.901123	-3.362204
50296		16.583844	3.823533	-3.623663
50297		16.923123	3.778363	-3.890427
50298		17.228434	3.754291	-4.147188
50299		17.504638	3.726961	-4.374945
50300		17.758350	3.659704	-4.534549
50301		17.983429	3.531299	-4.631046
50302		18.171745	3.348448	-4.664887
50303		18.331729	3.141226	-4.635550
50304		18.474459	2.911842	-4.560991
50305		18.589555	2.653032	-4.469973
50306		18.676479	2.372405	-4.351531
50307		18.751357	2.076923	-4.187590
50308		18.804830	1.751681	-4.019536
50309		18.813737	1.407648	-3.879077
50310		18.786810	1.056354	-3.739954
50311		18.723577	0.700267	-3.571951
50312		18.627108	0.344538	-3.381497
50313		18.491527	0.025026	-3.223076
50314		18.322166	-0.205305	-3.161463
50315		18.137645	-0.292849	-3.243116
50316		17.933407	-0.196933	-3.504681
50317		17.728455	0.117706	-3.922470
50318		17.536856	0.652893	-4.473637
50319		17.367625	1.391772	-5.130614
50320		17.211750	2.293107	-5.826359
50321		17.048245	3.291537	-6.507079
50322		16.852187	4.328927	-7.107988
50323		16.611986	5.356549	-7.553465
50324		16.331801	6.323598	-7.803611
50325		16.028918	7.215994	-7.860212
50326		15.727632	8.055710	-7.760880
50327		15.443640	8.867485	-7.542345
50328		15.178955	9.693979	-7.252592
50329		14.951208	10.569614	-6.926665
50330		14.789675	11.516474	-6.578815
50331		14.712673	12.530576	-6.232521
50332		14.704690	13.586600	-5.915587
50333		14.746144	14.673352	-5.643224
50334		14.817435	15.768834	-5.407923
50335		14.929530	16.868316	-5.197510
50336		15.103065	17.957604	-5.012808
50337		15.337141	19.017205	-4.870252
50338		15.617558	20.032455	-4.767483
50339		15.934944	20.993091	-4.676064
50340		16.288352	21.884432	-4.581286
50341		16.679448	22.710173	-4.474969
50342		17.115528	23.470422	-4.344824
50343		17.577276	24.171466	-4.194201
50344		18.052111	24.815501	-4.018219
50345		18.552132	25.388602	-3.805643
50346		19.065062	25.882547	-3.595911
50347		19.575210	26.299555	-3.402068
50348		20.070252	26.645702	-3.237474
50349		20.530520	26.947311	-3.132612
50350		20.956064	27.225717	-3.089760
50351		21.341782	27.479452	-3.115292
50352		21.673253	27.719552	-3.231029
50353		21.907300	27.968254	-3.446487
50354		22.040679	28.258876	-3.732736
50355		22.121270	28.594170	-4.047098
50356		22.153711	28.938668	-4.402990
50357		22.122222	29.270076	-4.816916
50358		22.000490	29.578554	-5.309156
50359		21.800569	29.858375	-5.852915
50360		21.570012	30.092329	-6.378432
50361		21.342043	30.259938	-6.868262
50362		21.094007	30.353126	-7.349608
50363		20.836368	30.394212	-7.804647
50364		20.612842	30.392662	-8.190825
50365		20.440690	30.343350	-8.505491
50366		20.292822	30.260851	-8.802440
50367		20.153872	30.174592	-9.115377
50368		20.011591	30.081060	-9.441335
50369		19.872238	29.982454	-9.772519
50370		19.719422	29.890326	-10.121213
50371		19.539367	29.830561	-10.505908
50372		19.348077	29.819404	-10.917355
50373		19.187265	29.833230	-11.315505
50374		19.065912	29.830299	-11.674446
50375		18.987681	29.782660	-11.986281
50376		18.933252	29.673273	-12.258322
50377		18.907503	29.508518	-12.474294
50378		18.928048	29.279442	-12.609756
50379		18.979498	28.978901	-12.680950
50380		19.046368	28.608821	-12.710516
50381		19.027555	28.149908	-12.826659
50382		18.969904	27.722053	-12.976605
50383		18.974258	27.362983	-13.138387
50384		19.043819	27.022511	-13.397122
50385		19.190241	26.728762	-13.799207
50386		19.323672	26.502391	-14.395561
50387		19.394112	26.338924	-15.123595
50388		19.445506	26.249638	-15.867790
50389		19.508113	26.216583	-16.555655
50390		19.621685	26.197458	-17.106135
50391		19.775029	26.152572	-17.518020
50392		19.947715	26.072713	-17.835090
50393		20.135131	25.971446	-18.065281
50394		20.341604	25.839650	-18.197424
50395		20.606372	25.666418	-18.183527
50396		20.938491	25.447879	-18.033985
50397		21.324317	25.152658	-17.773317
50398		21.742615	24.770371	-17.449794
50399		22.185100	24.290921	-17.084501
50400		22.634348	23.713481	-16.701866
50401		23.092130	23.044977	-16.317654
50402		23.518260	22.314696	-15.984517
50403		23.882797	21.594626	-15.740556
50404		24.161057	20.957867	-15.617885
50405		24.353587	20.488004	-15.649404
50406		24.475147	20.224971	-15.845847
50407		24.570561	20.127029	-16.158361
50408		24.675404	20.122942	-16.537670
50409		24.811011	20.150859	-16.909406
50410		24.999209	20.116406	-17.205522
