// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
64842		-8.113431	8.503738	-0.132785
64843		-7.477763	8.077806	-0.133822
64844		-6.662088	7.493641	-0.042849
64845		-5.666585	6.741716	0.144079
64846		-4.534514	5.922119	0.380234
64847		-3.303902	5.070733	0.585298
64848		-1.889833	4.196705	0.813137
64849		-0.269588	3.242103	0.994243
64850		1.571721	2.206307	1.099654
64851		3.532633	0.998201	1.056969
64852		5.450823	-0.441585	0.806915
64853		7.129908	-1.943855	0.379997
64854		8.569276	-3.275208	-0.094183
64855		9.945033	-4.402055	-0.547272
64856		11.358105	-5.340311	-1.091722
64857		12.788714	-6.056800	-1.815402
64858		14.230585	-6.495430	-2.671309
64859		15.685035	-6.675144	-3.581939
64860		17.145173	-6.654674	-4.490261
64861		18.602627	-6.512751	-5.376104
64862		20.076915	-6.354601	-6.240444
64863		21.550374	-6.213128	-7.075186
64864		23.016859	-6.130172	-7.780076
64865		24.432763	-6.099741	-8.303014
64866		25.776945	-6.131808	-8.633007
64867		27.032452	-6.255748	-8.757992
64868		28.167226	-6.499041	-8.679701
64869		29.141206	-6.854237	-8.426607
64870		29.943923	-7.290572	-8.003893
64871		30.567155	-7.785632	-7.404026
64872		31.018277	-8.350894	-6.616555
64873		31.294946	-8.997240	-5.643738
64874		31.393733	-9.705802	-4.508640
64875		31.307056	-10.437579	-3.263463
64876		31.040778	-11.143718	-1.984843
64877		30.595284	-11.809032	-0.751181
64878		29.941479	-12.450794	0.388540
64879		29.038785	-13.097134	1.402374
64880		27.859855	-13.716614	2.320140
64881		26.404911	-14.238919	3.214450
64882		24.709784	-14.756921	4.073857
64883		22.772404	-15.318077	4.638416
64884		20.590945	-15.927234	4.652120
64885		18.307643	-16.496283	4.068544
64886		16.440650	-16.770852	2.991779
64887		15.993384	-15.948055	2.152021
64888		16.846777	-14.598040	1.785299
64889		18.024223	-13.594585	1.422428
64890		19.112232	-12.545696	1.038207
64891		19.951012	-11.111214	0.702321
64892		20.405909	-9.540739	0.190678
64893		20.436913	-8.197189	-0.437736
64894		20.004770	-7.121461	-0.896582
64895		18.963498	-6.568686	-1.148119
64896		17.394966	-6.859080	-1.342709
64897		15.731086	-7.724804	-1.416468
64898		14.545064	-8.803844	-1.178876
64899		13.892894	-9.769398	-0.667095
64900		13.510514	-10.302288	0.012403
64901		13.327517	-10.038294	0.929574
64902		13.255022	-9.235254	2.066110
64903		13.058666	-8.208803	3.223419
64904		12.594054	-7.044481	4.162729
64905		11.873576	-5.993849	4.909680
64906		11.003277	-5.319911	5.557357
64907		9.951838	-5.027704	6.054987
64908		8.730687	-4.805837	6.413312
64909		7.464228	-4.442344	6.618380
64910		6.273050	-4.296577	6.567811
64911		5.477388	-4.420635	6.327032
64912		5.138871	-4.421190	6.112912
64913		5.049261	-4.066026	5.997965
64914		4.978083	-3.538238	5.988390
64915		4.801750	-2.795237	6.062897
