// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
64842		27.576352	3.815420	-1.633123
64843		29.394290	4.067934	-1.575751
64844		31.060352	4.721947	-1.664804
64845		32.511795	5.916925	-1.937751
64846		33.851489	7.133911	-2.313551
64847		35.242885	7.762634	-2.466308
64848		36.772451	7.890766	-2.351292
64849		38.276069	7.941177	-2.168543
64850		39.550779	8.107614	-2.018433
64851		40.495448	8.340088	-1.873088
64852		41.242171	8.563168	-1.705476
64853		41.944412	8.898589	-1.555206
64854		42.793213	9.456325	-1.608020
64855		43.658534	10.311340	-1.802522
64856		44.258345	11.366690	-2.025476
64857		44.352456	12.461950	-2.527812
64858		43.957571	13.441441	-3.426100
64859		43.164681	14.243674	-4.586277
64860		42.100775	14.861118	-5.776694
64861		40.832943	15.210769	-6.824190
64862		39.422832	15.200245	-7.568873
64863		37.829101	14.837369	-7.947983
64864		36.046346	14.246711	-7.943118
64865		34.021718	13.491380	-7.640252
64866		31.735684	12.501607	-7.158677
64867		29.161327	11.221988	-6.620257
64868		26.312000	9.729839	-6.098047
64869		23.190210	8.210111	-5.658123
64870		19.827738	6.743789	-5.259676
64871		16.218052	5.397290	-4.863911
64872		12.377403	4.206282	-4.466120
64873		8.322068	3.181745	-4.045357
64874		4.117219	2.337903	-3.524276
64875		-0.111024	1.630740	-2.910282
64876		-4.292131	0.970214	-2.262174
64877		-8.406896	0.358203	-1.627507
64878		-12.490047	-0.218984	-1.175755
64879		-16.552488	-0.788652	-1.080268
64880		-20.486438	-1.323427	-1.469125
64881		-23.792182	-1.957164	-2.503456
64882		-26.073279	-2.832402	-4.044610
64883		-27.750210	-3.901678	-5.505561
64884		-29.244713	-5.129249	-6.516944
64885		-30.341654	-5.788733	-7.161184
64886		-30.918173	-5.802502	-6.874611
64887		-30.777634	-5.471788	-6.178731
64888		-29.724210	-5.048298	-5.474205
64889		-27.911711	-5.025000	-4.984886
64890		-25.780331	-5.079323	-4.461641
64891		-23.729194	-5.227472	-3.417287
64892		-22.477669	-6.347976	-2.781775
64893		-22.685348	-7.586066	-3.259676
64894		-23.164169	-8.363993	-4.445500
64895		-22.928841	-8.789860	-5.573641
64896		-22.082809	-8.832898	-6.482256
64897		-21.163923	-8.369809	-6.764977
64898		-20.243200	-7.606575	-6.077347
64899		-19.410810	-6.511921	-4.431072
64900		-18.666994	-5.496985	-2.025382
64901		-17.772541	-4.961211	0.703648
64902		-16.778656	-4.627666	3.542299
64903		-15.826543	-4.431112	6.084419
64904		-15.003550	-4.269748	7.720568
64905		-14.476900	-3.978272	8.274196
64906		-14.138562	-3.889312	7.934739
64907		-13.671604	-4.257537	7.118678
64908		-13.060658	-4.786173	5.985101
64909		-12.319343	-5.093515	4.552859
64910		-11.513603	-5.212665	2.992107
64911		-10.659349	-5.280577	1.579418
64912		-9.857803	-5.330902	0.460592
64913		-9.107165	-5.309912	-0.389195
