// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
64842		-4.127133	-24.647357	-0.632232
64843		-5.165814	-29.719729	-0.255336
64844		-6.115932	-35.381528	0.267530
64845		-6.564526	-41.489034	0.747379
64846		-6.711753	-47.346354	1.022508
64847		-6.793345	-52.794346	0.850087
64848		-6.558745	-57.698345	0.512851
64849		-6.206308	-62.243152	0.120262
64850		-5.945516	-66.445043	-0.343280
64851		-5.761134	-70.368132	-1.127235
64852		-5.269976	-73.162286	-3.341028
64853		-3.999136	-73.949275	-5.976507
64854		-2.981607	-73.467538	-7.211994
64855		-2.657257	-72.704944	-6.631572
64856		-2.824406	-71.917182	-5.026999
64857		-3.352277	-71.059095	-3.155220
64858		-4.159077	-69.976662	-1.545047
64859		-5.023921	-68.621678	-0.458587
64860		-5.757987	-66.933574	0.180137
64861		-6.144552	-64.925074	0.525476
64862		-6.085054	-62.545953	0.735189
64863		-5.650012	-59.858611	0.859998
64864		-5.029934	-56.853843	0.881214
64865		-4.423931	-53.612459	0.791051
64866		-3.928972	-50.126334	0.603279
64867		-3.534891	-46.493344	0.346363
64868		-3.208805	-42.661112	0.080478
64869		-2.936583	-38.685644	-0.154469
64870		-2.744514	-34.507852	-0.343370
64871		-2.653345	-30.190655	-0.514490
64872		-2.713406	-25.687074	-0.690376
64873		-2.911096	-21.085441	-0.867626
64874		-3.256706	-16.344670	-1.070397
64875		-3.765703	-11.521232	-1.350593
64876		-4.492080	-6.588544	-1.741461
64877		-5.450539	-1.674723	-2.226011
64878		-6.567997	3.158702	-2.693707
64879		-7.672420	7.773806	-3.007082
64880		-8.543902	12.173144	-3.073715
64881		-8.986530	16.263096	-2.879075
64882		-8.951851	19.860224	-2.465381
64883		-8.563227	22.649813	-1.898254
64884		-8.354471	24.452958	-1.522674
64885		-9.146857	25.572965	-1.706403
64886		-10.610760	26.028635	-2.317960
64887		-11.435684	25.624370	-2.853534
64888		-10.074807	24.011388	-2.635584
64889		-8.709164	21.881540	-2.462588
64890		-7.510171	20.435030	-1.589501
64891		-6.188525	18.667401	-0.099909
64892		-5.559083	16.282728	1.340450
64893		-5.420574	13.959942	2.310570
64894		-5.569455	11.841489	2.393495
64895		-5.985087	9.907095	1.948258
64896		-6.175768	8.146846	1.744095
64897		-5.655163	7.126684	2.028742
64898		-5.220362	6.260427	2.239679
64899		-5.019676	5.845695	2.183644
64900		-5.141160	5.562053	2.162801
64901		-5.396474	5.346522	2.244720
64902		-5.622760	5.247305	2.344446
64903		-5.822308	5.179571	2.489769
64904		-5.992006	5.131798	2.603482
64905		-6.085586	5.123484	2.695993
64906		-6.084795	5.080590	2.767633
64907		-5.963034	5.020558	2.833004
64908		-5.774827	4.911776	2.844608
64909		-5.482982	4.794002	2.833617
64910		-5.113547	4.642100	2.799210
64911		-4.701177	4.522376	2.739030
64912		-4.312908	4.399460	2.666039
64913		-3.991789	4.318649	2.580353
64914		-3.734066	4.224296	2.499578
64915		-3.495288	4.150018	2.423980
