// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15158		-14.794165	1.356165	-1.599784
15159		-13.445867	0.992367	-1.841436
15160		-13.124950	1.017341	-2.395473
15161		-13.236047	1.206796	-2.579202
15162		-13.276038	1.639810	-2.206498
15163		-13.123998	2.346183	-1.334048
15164		-12.596052	2.879912	-0.019841
15165		-11.437347	2.885714	1.734214
15166		-9.917132	2.611281	3.638302
15167		-8.508714	2.375044	5.684176
15168		-7.196874	1.903818	7.759257
15169		-5.983826	1.202532	9.557422
15170		-5.151075	0.804793	10.649705
15171		-4.787101	0.696893	10.962828
15172		-4.598601	0.595810	10.783627
15173		-4.336544	0.530713	10.356395
15174		-4.068503	0.606488	9.680944
15175		-3.839584	0.703720	8.856739
15176		-3.571828	0.670155	8.086394
15177		-3.210605	0.566538	7.544479
15178		-2.768441	0.404654	7.207884
15179		-2.244220	0.163296	7.102945
15180		-1.700413	-0.084227	7.284803
15181		-1.218458	-0.290200	7.683675
15182		-0.863760	-0.481808	8.177782
15183		-0.584632	-0.678304	8.681677
15184		-0.329015	-0.899636	9.130890
15185		-0.029966	-1.109561	9.432068
15186		0.280308	-1.293949	9.526077
15187		0.592021	-1.436146	9.342435
15188		0.896170	-1.518627	8.914195
15189		1.236880	-1.518669	8.346071
15190		1.591458	-1.437358	7.725663
15191		1.933089	-1.375472	7.139813
15192		2.240040	-1.383947	6.646826
15193		2.559106	-1.452173	6.272383
15194		2.898578	-1.547493	6.005943
15195		3.290362	-1.663110	5.813186
15196		3.721581	-1.785559	5.685493
15197		4.181789	-1.914163	5.533169
15198		4.621713	-2.031631	5.313565
15199		5.065602	-2.117151	5.002834
15200		5.513310	-2.144050	4.577938
15201		5.991481	-2.095444	4.042714
15202		6.494850	-1.994967	3.461341
15203		7.068877	-1.875329	2.909210
15204		7.716000	-1.738327	2.432685
15205		8.445797	-1.613716	2.088717
15206		9.239410	-1.521057	1.877400
15207		10.109146	-1.436918	1.726461
15208		11.059638	-1.313663	1.560351
15209		12.107129	-1.109442	1.306899
15210		13.227969	-0.786749	0.921132
15211		14.401937	-0.377073	0.455702
15212		15.608619	0.110514	-0.066750
15213		16.852176	0.659504	-0.580690
15214		18.134713	1.239357	-1.018071
15215		19.459017	1.824819	-1.354290
15216		20.797345	2.386905	-1.586802
15217		22.151963	2.882403	-1.728858
15218		23.579365	3.306318	-1.843386
15219		25.110353	3.728227	-2.006896
15220		26.707443	4.272820	-2.253661
15221		28.208199	5.104749	-2.680821
15222		29.518256	6.324391	-3.275518
15223		30.720498	7.576229	-3.806865
15224		31.963065	8.385384	-3.972309
15225		33.322819	8.647999	-3.780688
15226		34.678709	8.595980	-3.427661
15227		35.814913	8.499847	-3.009538
15228		36.735724	8.357673	-2.511305
15229		37.510183	8.201110	-2.050507
15230		38.235387	8.208175	-1.808241
15231		38.935467	8.417071	-1.742923
15232		39.626996	8.655544	-1.564788
15233		40.263383	8.691979	-1.154426
15234		40.709255	8.635261	-0.855253
15235		40.833041	8.558654	-0.919159
15236		40.625182	8.484048	-1.320636
15237		40.088499	8.449156	-1.915180
15238		39.295443	8.457816	-2.512459
15239		38.279805	8.419529	-2.916864
15240		37.068531	8.222161	-3.028836
15241		35.635606	7.851528	-2.827454
15242		33.968456	7.389415	-2.347339
15243		32.004337	6.868902	-1.712339
15244		29.708359	6.260557	-1.057818
15245		27.062150	5.552358	-0.437798
15246		24.110105	4.781198	0.149134
15247		20.881126	4.015957	0.713690
15248		17.452721	3.387679	1.350166
15249		13.875619	2.948232	1.995565
15250		10.272061	2.670739	2.522343
15251		6.765180	2.477871	2.900946
15252		3.429291	2.284651	3.231640
15253		0.259831	2.060545	3.655074
15254		-2.769731	1.854035	4.203284
15255		-5.750943	1.702599	4.755481
15256		-8.818221	1.598992	5.161388
15257		-12.067561	1.549251	5.370226
15258		-15.362571	1.775989	5.529690
15259		-18.317906	2.107123	5.582060
15260		-20.712900	2.105115	5.490145
15261		-22.490640	1.901893	5.304537
15262		-23.775610	1.635140	4.962292
15263		-24.738656	1.160917	4.336315
15264		-25.473196	0.537462	3.394182
15265		-25.893873	-0.087257	2.238867
15266		-25.899997	-0.580743	0.994779
15267		-25.465958	-0.942869	-0.237802
15268		-24.617296	-1.118505	-1.219485
15269		-23.338241	-1.202662	-1.784545
15270		-21.698391	-1.254378	-1.971231
15271		-19.752362	-1.300892	-1.737413
15272		-17.614279	-1.488620	-1.030913
15273		-15.778274	-2.059167	-0.329265
15274		-14.902472	-2.512864	-0.166222
15275		-14.965377	-2.500039	-0.300266
15276		-15.191198	-2.083832	-0.215999
15277		-15.177744	-1.165541	0.544021
15278		-14.806893	-0.286151	1.995158
15279		-14.065660	0.160222	3.921385
15280		-12.894200	0.105773	6.000734
15281		-11.674888	-0.116407	8.070741
15282		-10.541702	-0.492909	10.002227
15283		-9.378841	-1.081586	11.420090
15284		-8.299296	-1.550858	12.056034
15285		-7.549813	-1.676149	11.798018
15286		-7.120265	-1.723764	10.829499
15287		-6.806958	-1.770072	9.597549
15288		-6.560117	-1.766837	8.290981
15289		-6.353226	-1.739383	7.013646
15290		-6.108582	-1.724203	5.879817
15291		-5.756436	-1.759366	5.066644
15292		-5.308755	-1.902236	4.665780
15293		-4.750014	-2.134138	4.649052
15294		-4.173891	-2.331651	4.918041
15295		-3.643445	-2.501841	5.384632
15296		-3.246258	-2.661716	5.903101
15297		-2.973215	-2.812021	6.369213
15298		-2.787335	-2.966275	6.741174
15299		-2.599443	-3.120975	6.975070
15300		-2.369952	-3.233691	7.009101
15301		-2.071109	-3.282679	6.858258
15302		-1.710645	-3.284485	6.544564
15303		-1.284589	-3.273824	6.173087
15304		-0.864537	-3.261543	5.805037
15305		-0.475416	-3.283513	5.493557
15306		-0.140204	-3.352779	5.249431
15307		0.187234	-3.419599	5.041984
15308		0.519331	-3.479207	4.831962
15309		0.884459	-3.538604	4.573292
15310		1.277888	-3.576171	4.251833
15311		1.723034	-3.583123	3.835497
15312		2.189686	-3.556184	3.316680
15313		2.663148	-3.496648	2.697645
15314		3.115108	-3.457172	2.011886
15315		3.569608	-3.426192	1.293197
15316		4.025292	-3.354998	0.578310
15317		4.511611	-3.242796	-0.056983
