// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15158		-3.040549	14.480478	5.481275
15159		-3.255404	12.648442	5.738467
15160		-3.382727	11.088196	5.663765
15161		-3.419468	10.016671	5.362099
15162		-3.401263	9.063102	5.135005
15163		-3.319607	8.075920	5.092855
15164		-2.980393	7.329311	5.070999
15165		-2.673484	6.957795	4.875117
15166		-2.415994	6.681625	4.664543
15167		-2.175300	6.571896	4.541132
15168		-1.893205	6.540203	4.461551
15169		-1.551696	6.502347	4.421867
15170		-1.146580	6.476438	4.384676
15171		-0.734192	6.520109	4.372806
15172		-0.329560	6.597831	4.365341
15173		0.037267	6.696758	4.367646
15174		0.332876	6.744254	4.364861
15175		0.557031	6.783099	4.372707
15176		0.691753	6.801814	4.375789
15177		0.767990	6.820613	4.378497
15178		0.793563	6.806253	4.373538
15179		0.780389	6.765636	4.365364
15180		0.729589	6.692075	4.358410
15181		0.662437	6.606284	4.352336
15182		0.598039	6.496521	4.343836
15183		0.548087	6.381204	4.323959
15184		0.510055	6.234268	4.297090
15185		0.477162	6.091422	4.267113
15186		0.456608	5.939529	4.233859
15187		0.440251	5.798062	4.199807
15188		0.413155	5.621566	4.167313
15189		0.378933	5.427008	4.133225
15190		0.342267	5.200721	4.096866
15191		0.298744	4.984706	4.058636
15192		0.236686	4.749588	4.019717
15193		0.161126	4.511307	3.980272
15194		0.065590	4.245090	3.939198
15195		-0.044312	3.972907	3.890277
15196		-0.154313	3.684121	3.823384
15197		-0.229926	3.392530	3.747296
15198		-0.266164	3.048827	3.676012
15199		-0.294747	2.683648	3.598176
15200		-0.326079	2.289685	3.515298
15201		-0.366511	1.867014	3.432849
15202		-0.413844	1.387173	3.345465
15203		-0.451076	0.869911	3.250757
15204		-0.472301	0.271276	3.135045
15205		-0.472404	-0.403662	2.992762
15206		-0.452988	-1.189814	2.816445
15207		-0.424316	-2.093192	2.621935
15208		-0.404774	-3.159221	2.422878
15209		-0.415268	-4.378437	2.232908
15210		-0.478511	-5.801082	2.077633
15211		-0.612046	-7.407153	1.971976
15212		-0.835362	-9.243064	1.907108
15213		-1.154343	-11.338511	1.871535
15214		-1.593978	-13.795875	1.861737
15215		-2.058749	-16.564528	1.891959
15216		-2.538458	-19.690169	2.032373
15217		-3.127077	-23.300473	2.284965
