// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
20321	0.099612	-0.138910	-0.778516
20322	0.098847	-0.134431	-0.779608
20323	0.101486	-0.133179	-0.779360
20324	0.099510	-0.129663	-0.778700
20325	0.097396	-0.129243	-0.777728
20326	0.095239	-0.129012	-0.776619
20327	0.093336	-0.126718	-0.776481
20328	0.091277	-0.125878	-0.775945
20329	0.087999	-0.123883	-0.774184
20330	0.087827	-0.125005	-0.772078
20331	0.083576	-0.122159	-0.771361
20332	0.081230	-0.120980	-0.769027
20333	0.078076	-0.118380	-0.767966
20334	0.074576	-0.117800	-0.765495
20335	0.071478	-0.113265	-0.764001
20336	0.067108	-0.109977	-0.762353
20337	0.061943	-0.104346	-0.762248
20338	0.065951	-0.098712	-0.763113
20339	0.067273	-0.095825	-0.760807
20340	0.065035	-0.092204	-0.757907
20341	0.064501	-0.086347	-0.757824
20342	0.062537	-0.082291	-0.756526
20343	0.063010	-0.077950	-0.755964
20344	0.062342	-0.071042	-0.755929
20345	0.061711	-0.063191	-0.754144
20346	0.060884	-0.057825	-0.752629
20347	0.060132	-0.050580	-0.750144
20348	0.057102	-0.044196	-0.748996
20349	0.057480	-0.037861	-0.746732
20350	0.056882	-0.032023	-0.746746
20351	0.055103	-0.025862	-0.745740
20352	0.051947	-0.019493	-0.743296
20353	0.053612	-0.014130	-0.742519
20354	0.052012	-0.007313	-0.743577
20355	0.053588	-0.003220	-0.742666
20356	0.055282	0.003402	-0.742231
20357	0.054667	0.007986	-0.742011
20358	0.053996	0.014716	-0.741568
20359	0.052592	0.022689	-0.742658
20360	0.050684	0.027208	-0.741074
20361	0.050980	0.032270	-0.738673
20362	0.050184	0.035923	-0.737169
20363	0.048569	0.042021	-0.737426
20364	0.047748	0.049529	-0.735712
20365	0.046010	0.055022	-0.735270
20366	0.046461	0.060391	-0.734080
20367	0.046884	0.066056	-0.732377
20368	0.046041	0.070390	-0.730318
20369	0.043936	0.074068	-0.727776
20370	0.043288	0.080285	-0.726370
20371	0.045875	0.082860	-0.724975
20372	0.046377	0.088109	-0.723866
20373	0.048024	0.090869	-0.724085
20374	0.048391	0.095168	-0.723133
20375	0.048911	0.098838	-0.723129
20376	0.047868	0.101598	-0.720904
20377	0.050425	0.104836	-0.718940
20378	0.049145	0.106210	-0.715076
20379	0.044669	0.107840	-0.712966
20380	0.041331	0.110326	-0.710454
20381	0.039416	0.113278	-0.709747
20382	0.036279	0.116268	-0.708526
20383	0.034582	0.121093	-0.708649
20384	0.032662	0.123285	-0.708652
20385	0.032846	0.124476	-0.707118
