// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
15738	26.600010	-73.668773	-18.535662
15739	23.152724	-71.469469	-15.045060
15740	19.881353	-68.976166	-11.584251
15741	16.999310	-66.327023	-8.333116
15742	14.511000	-63.543520	-5.425763
15743	12.427438	-60.612625	-3.022533
15744	10.659679	-57.503169	-1.162290
15745	9.124388	-54.300592	0.227412
15746	7.768982	-51.012686	1.297999
15747	6.615594	-47.715533	2.120202
15748	5.620441	-44.364702	2.734468
15749	4.720775	-40.967894	3.140938
15750	3.857874	-37.466831	3.368385
15751	3.040096	-33.935118	3.465330
15752	2.251736	-30.379815	3.493461
15753	1.479743	-26.863213	3.473279
15754	0.691266	-23.346023	3.427446
15755	-0.109419	-19.902694	3.374477
15756	-0.891073	-16.572290	3.341187
15757	-1.580899	-13.467131	3.356305
15758	-2.231307	-10.499474	3.433523
15759	-3.064654	-7.591869	3.571929
15760	-4.271808	-4.657785	3.782974
15761	-5.719380	-1.789343	4.079613
15762	-7.178648	0.939794	4.465268
15763	-8.446338	3.411831	4.965349
15764	-9.250687	5.611275	5.588458
15765	-9.427701	7.469744	6.280414
15766	-9.102401	8.950500	6.856375
15767	-8.695405	9.940400	7.079896
15768	-8.528800	10.332792	6.917758
15769	-8.464905	10.103694	6.621582
15770	-7.551168	9.006812	6.701850
15771	-6.379627	7.294695	6.741149
15772	-5.713299	5.768089	6.898382
15773	-4.808507	4.219774	7.168085
15774	-3.647537	2.295092	7.442509
15775	-2.504122	0.519625	7.688788
15776	-1.478131	-0.613891	7.751305
15777	-0.885946	-1.407285	7.653431
15778	-0.773997	-2.231535	7.626699
15779	-0.647244	-2.962985	7.564817
15780	-0.421547	-3.545922	7.459549
15781	-0.179817	-3.928182	7.359102
15782	0.124009	-4.234874	7.268032
15783	0.462202	-4.521170	7.174818
15784	0.811772	-4.752550	7.101056
15785	1.109668	-4.904816	7.046998
15786	1.337256	-5.048898	7.011289
15787	1.483148	-5.168022	6.997267
15788	1.549527	-5.320351	7.002983
15789	1.541297	-5.537455	7.014643
15790	1.489114	-5.805027	7.023858
15791	1.430741	-6.112229	7.005894
15792	1.373274	-6.443837	6.984532
15793	1.350632	-6.756171	6.946157
15794	1.377204	-7.083089	6.906896
15795	1.406196	-7.571813	6.878423
15796	1.413559	-8.194154	6.853395
15797	1.404791	-8.862399	6.805750
15798	1.376056	-9.542786	6.739371
15799	1.335910	-10.218062	6.647965
15800	1.305737	-10.857013	6.543235
15801	1.281889	-11.403259	6.429924
15802	1.298440	-11.867489	6.318377
15803	1.347399	-12.245843	6.226976
15804	1.418164	-12.588270	6.157489
15805	1.490630	-12.898998	6.104023
15806	1.576701	-13.212435	6.067830
15807	1.672450	-13.513009	6.060695
15808	1.776184	-13.823276	6.074323
15809	1.894264	-14.145507	6.103295
15810	1.994655	-14.505842	6.127039
15811	2.053295	-14.885498	6.149226
15812	2.069980	-15.285804	6.155670
15813	2.095703	-15.677881	6.164347
15814	2.135867	-16.072413	6.179362
15815	2.177490	-16.459774	6.178650
15816	2.240827	-16.876250	6.178210
15817	2.314975	-17.320831	6.177084
15818	2.399620	-17.815048	6.179417
15819	2.487081	-18.366172	6.188422
15820	2.556665	-18.989282	6.205250
15821	2.610581	-19.698919	6.206420
15822	2.647488	-20.502363	6.212882
15823	2.654859	-21.390711	6.233817
15824	2.648560	-22.369562	6.258619
15825	2.628864	-23.454673	6.278009
15826	2.620121	-24.665537	6.293526
15827	2.607476	-25.990544	6.301441
15828	2.604176	-27.413525	6.294529
