// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
51354	0.012768	0.018892	-0.055578
51355	0.012243	0.019162	-0.055289
51356	0.011653	0.018388	-0.055894
51357	0.012116	0.019436	-0.055698
51358	0.012429	0.019341	-0.056109
51359	0.012736	0.018877	-0.054638
51360	0.014759	0.017874	-0.054908
51361	0.013382	0.018419	-0.053737
51362	0.012951	0.019593	-0.053597
51363	0.012292	0.018811	-0.054095
51364	0.012726	0.018725	-0.054785
51365	0.012068	0.017942	-0.055282
51366	0.012466	0.018464	-0.054026
51367	0.012891	0.019314	-0.054779
51368	0.012253	0.019158	-0.056210
51369	0.010587	0.017138	-0.054551
51370	0.012045	0.017019	-0.054288
51371	0.011483	0.017091	-0.054947
51372	0.011805	0.017353	-0.054490
51373	0.013063	0.017470	-0.054061
51374	0.012569	0.016325	-0.055746
51375	0.009240	0.015774	-0.056448
51376	0.009652	0.016693	-0.057181
51377	0.009071	0.016307	-0.055776
51378	0.009382	0.016444	-0.055173
51379	0.009711	0.016440	-0.055761
51380	0.009165	0.016507	-0.056385
51381	0.010385	0.016426	-0.056904
51382	0.011789	0.017302	-0.056593
51383	0.013048	0.017419	-0.056162
51384	0.012597	0.019423	-0.055886
51385	0.011979	0.018839	-0.055430
51386	0.012397	0.019167	-0.055248
51387	0.012766	0.019361	-0.054886
51388	0.012218	0.019650	-0.054492
51389	0.010862	0.020654	-0.055379
51390	0.013154	0.022249	-0.056098
51391	0.012709	0.022917	-0.053904
51392	0.012053	0.022888	-0.055416
51393	0.012327	0.022228	-0.054890
51394	0.012831	0.023294	-0.054739
51395	0.013161	0.023290	-0.055325
51396	0.013535	0.022729	-0.055063
51397	0.013052	0.023199	-0.053818
51398	0.013429	0.023272	-0.054526
51399	0.012907	0.023544	-0.054230
