// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
20667	-0.046608	-0.015989	0.023692
20668	-0.047252	-0.016302	0.023127
20669	-0.048021	-0.016959	0.024007
20670	-0.046228	-0.016065	0.022970
20671	-0.046140	-0.015822	0.023244
20672	-0.047525	-0.016719	0.021856
20673	-0.046924	-0.016981	0.023112
20674	-0.046566	-0.016495	0.021813
20675	-0.047085	-0.015949	0.022472
20676	-0.046601	-0.016832	0.022347
20677	-0.046540	-0.015129	0.021243
20678	-0.048186	-0.016245	0.021418
20679	-0.046590	-0.016234	0.020256
20680	-0.047060	-0.017159	0.022256
20681	-0.047608	-0.017510	0.021560
20682	-0.047511	-0.017244	0.021824
20683	-0.047401	-0.017665	0.020650
20684	-0.048045	-0.017983	0.020090
20685	-0.047704	-0.017242	0.018742
20686	-0.047914	-0.017952	0.019182
20687	-0.047081	-0.016725	0.017517
20688	-0.046162	-0.018002	0.018395
20689	-0.047452	-0.018146	0.018373
20690	-0.046354	-0.017082	0.017902
20691	-0.046944	-0.017321	0.017300
20692	-0.047588	-0.017640	0.016743
20693	-0.047655	-0.015872	0.015958
20694	-0.047250	-0.014633	0.016050
20695	-0.047791	-0.016394	0.016843
20696	-0.049129	-0.016539	0.016849
20697	-0.048045	-0.015570	0.016589
20698	-0.048254	-0.016283	0.017033
20699	-0.047747	-0.015106	0.016972
20700	-0.047391	-0.014628	0.015680
20701	-0.046864	-0.015511	0.015503
20702	-0.046460	-0.014273	0.015596
20703	-0.047703	-0.014372	0.015459
20704	-0.049088	-0.015279	0.014083
20705	-0.047550	-0.014434	0.014452
20706	-0.047017	-0.014563	0.015722
20707	-0.047719	-0.014699	0.015290
20708	-0.047622	-0.014438	0.015561
20709	-0.048980	-0.014506	0.015603
20710	-0.046366	-0.015164	0.015190
20711	-0.046170	-0.014863	0.015316
20712	-0.045460	-0.012652	0.015235
20713	-0.046842	-0.013528	0.014011
20714	-0.047132	-0.012116	0.014669
20715	-0.046233	-0.012024	0.014209
20716	-0.046135	-0.011764	0.014482
20717	-0.045878	-0.011451	0.014500
20718	-0.045523	-0.010978	0.013213
20719	-0.044565	-0.012342	0.014067
20720	-0.044467	-0.012084	0.014341
20721	-0.044430	-0.011739	0.014694
20722	-0.043640	-0.011657	0.014407
20723	-0.044600	-0.010899	0.014237
20724	-0.044809	-0.011617	0.014691
20725	-0.043665	-0.011458	0.012782
20726	-0.043873	-0.012177	0.013236
20727	-0.044201	-0.013904	0.013500
20728	-0.042717	-0.014001	0.012654
20729	-0.044731	-0.013920	0.013170
20730	-0.044633	-0.013664	0.013448
20731	-0.045003	-0.012922	0.012727
20732	-0.044213	-0.012843	0.012443
20733	-0.043401	-0.012548	0.011956
20734	-0.046430	-0.013325	0.013275
20735	-0.046347	-0.013004	0.013634
20736	-0.043428	-0.012694	0.013050
