// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
20667	-3.417936	-2.006305	0.416128
20668	-3.297013	-2.825108	0.455737
20669	-3.204812	-3.452965	0.485769
20670	-3.150201	-3.946600	0.508231
20671	-3.110706	-4.321141	0.520903
20672	-3.068941	-4.645121	0.534104
20673	-3.052080	-4.910316	0.551519
20674	-3.066633	-5.176845	0.574544
20675	-3.089230	-5.411868	0.608371
20676	-3.123581	-5.641281	0.652375
20677	-3.176535	-5.828970	0.698183
20678	-3.241882	-6.019614	0.741457
20679	-3.331832	-6.160908	0.776905
20680	-3.428264	-6.277584	0.815506
20681	-3.515948	-6.343973	0.854565
20682	-3.592731	-6.399592	0.888429
20683	-3.661958	-6.411646	0.915513
20684	-3.702787	-6.413266	0.937193
20685	-3.731353	-6.376875	0.959597
20686	-3.757324	-6.341708	0.986471
20687	-3.774083	-6.267095	1.017572
20688	-3.790268	-6.186543	1.045150
20689	-3.784981	-6.077750	1.084920
20690	-3.768781	-5.979213	1.116490
20691	-3.737279	-5.870355	1.146584
20692	-3.695209	-5.792213	1.170326
20693	-3.649564	-5.713650	1.186196
20694	-3.616914	-5.670414	1.206325
20695	-3.586415	-5.635475	1.226735
20696	-3.558785	-5.659296	1.230572
20697	-3.521542	-5.709171	1.206882
20698	-3.469877	-5.803896	1.168281
20699	-3.430688	-5.917861	1.115053
20700	-3.425111	-6.098014	1.032751
20701	-3.493497	-6.324095	0.901381
20702	-3.655922	-6.623703	0.696843
20703	-3.845887	-6.964361	0.476801
20704	-3.928858	-7.402565	0.335185
20705	-3.970199	-7.902736	0.234758
20706	-4.002721	-8.502619	0.140992
20707	-4.033367	-9.156553	0.060972
20708	-4.070195	-9.907990	0.002891
20709	-4.106387	-10.736567	-0.038299
20710	-4.126034	-11.677774	-0.048622
20711	-4.134158	-12.708025	-0.044880
20712	-4.195802	-13.874068	-0.049891
20713	-4.343946	-15.190401	-0.066207
20714	-4.644250	-16.657244	-0.066133
20715	-5.060999	-18.238743	-0.027115
20716	-5.515325	-20.086034	0.018279
20717	-6.040112	-22.188362	0.051925
20718	-6.614811	-24.689797	0.011465
20719	-7.262649	-27.874726	-0.185713
20720	-7.927144	-31.752819	-0.258945
20721	-8.461753	-35.878214	-0.200365
20722	-8.976825	-40.216207	0.131904
20723	-9.479503	-44.553304	0.769081
20724	-9.837252	-48.546610	1.388473
20725	-9.937333	-52.173551	1.966073
20726	-9.679182	-55.276886	2.378567
20727	-9.042595	-57.701875	2.730031
20728	-8.071030	-59.252627	1.950058
20729	-5.725450	-59.776919	-1.282622
20730	-1.352671	-59.015813	-6.609897
20731	3.685918	-57.925514	-12.171888
20732	8.575518	-56.496705	-17.661957
20733	12.157325	-54.611710	-21.899066
20734	14.106673	-52.391383	-24.459043
20735	14.830743	-50.115026	-25.398951
20736	14.650611	-47.872129	-25.013408
20737	13.749160	-45.592110	-23.750162
20738	12.252179	-43.131096	-21.976074
20739	10.431177	-40.505438	-20.046467
20740	8.494413	-37.700472	-18.122135
20741	6.649128	-34.783143	-16.388756
20742	4.980620	-31.765982	-14.954934
20743	3.546844	-28.682849	-13.859370
20744	2.315388	-25.505143	-13.075794
20745	1.278816	-22.316914	-12.568988
20746	0.360261	-19.144991	-12.282520
20747	-0.496471	-16.060743	-12.163951
20748	-1.358808	-13.046576	-12.105500
20749	-2.212596	-10.102639	-12.012439
20750	-3.073875	-7.205451	-11.827721
20751	-3.889992	-4.433852	-11.544064
20752	-4.690039	-1.754619	-11.145258
20753	-5.586283	0.841066	-10.759574
20754	-6.554903	3.384835	-10.503405
20755	-7.401708	5.799941	-10.373436
20756	-8.022241	8.096864	-10.314165
20757	-8.453524	10.159485	-10.349463
20758	-8.867403	11.931687	-10.500628
20759	-9.324890	13.439255	-10.675405
20760	-9.855895	14.745911	-10.756219
20761	-10.383612	15.824296	-10.649547
20762	-10.845931	16.620331	-10.317762
20763	-11.133226	17.053865	-9.744001
20764	-11.107668	17.092057	-8.888728
20765	-10.466281	16.696326	-7.595973
20766	-8.197782	15.260051	-5.402376
20767	-5.944143	13.076752	-3.529471
20768	-4.747617	10.790527	-2.446144
20769	-4.099656	8.510898	-2.066231
20770	-3.689638	6.027671	-2.061721
20771	-3.634020	3.636836	-2.216774
20772	-3.655503	1.587206	-2.265459
20773	-3.685059	-0.229734	-2.173385
20774	-3.603604	-1.707092	-2.132182
20775	-3.522255	-2.811479	-2.138848
20776	-3.416311	-3.703188	-2.138240
20777	-3.308448	-4.377116	-2.133870
20778	-3.208072	-4.897867	-2.128258
20779	-3.094013	-5.264696	-2.130707
20780	-2.978771	-5.579530	-2.152080
20781	-2.868089	-5.827799	-2.187500
20782	-2.784896	-6.068293	-2.222088
20783	-2.711901	-6.265509	-2.248308
20784	-2.666530	-6.462956	-2.258674
20785	-2.617239	-6.624389	-2.260595
20786	-2.610753	-6.776184	-2.238711
20787	-2.626471	-6.862969	-2.212172
20788	-2.669975	-6.917823	-2.168542
20789	-2.730264	-6.925248	-2.120848
20790	-2.803688	-6.952569	-2.069882
20791	-2.878676	-6.952302	-2.028418
20792	-2.960272	-6.965786	-1.981240
20793	-3.033518	-6.959841	-1.938876
20794	-3.101466	-6.981760	-1.902303
20795	-3.177448	-6.979387	-1.868857
20796	-3.257485	-6.986465	-1.844265
20797	-3.316493	-6.974708	-1.826134
20798	-3.350916	-6.977909	-1.816839
20799	-3.362286	-6.962613	-1.809259
20800	-3.346223	-6.951814	-1.800211
20801	-3.310303	-6.906980	-1.793048
20802	-3.257289	-6.874983	-1.780255
20803	-3.202054	-6.819024	-1.760450
20804	-3.140286	-6.789273	-1.741228
20805	-3.070637	-6.756459	-1.722506
20806	-2.979121	-6.761420	-1.713075
20807	-2.863883	-6.756664	-1.710288
20808	-2.740630	-6.797446	-1.717876
20809	-2.654687	-6.865448	-1.747581
20810	-2.624806	-7.004690	-1.814285
20811	-2.662924	-7.190889	-1.921114
20812	-2.788643	-7.476784	-2.096070
20813	-3.043064	-7.809776	-2.347367
20814	-3.309386	-8.246598	-2.586361
20815	-3.382631	-8.767946	-2.703907
20816	-3.497509	-9.391412	-2.811783
20817	-3.606220	-10.080341	-2.903130
20818	-3.734343	-10.865352	-2.972945
20819	-3.852928	-11.733606	-3.019436
20820	-3.971086	-12.725727	-3.041954
20821	-4.051466	-13.841041	-3.011155
20822	-4.225543	-15.123998	-3.004850
20823	-4.545537	-16.546149	-2.954236
20824	-4.970703	-18.322827	-2.835917
20825	-5.516869	-20.671639	-2.793967
20826	-6.178435	-23.754112	-3.075687
20827	-6.844850	-27.245534	-3.793963
20828	-7.500878	-31.023743	-4.492154
20829	-8.043646	-34.940687	-4.678380
20830	-8.381212	-38.798507	-4.511900
20831	-8.579789	-42.342553	-4.226035
20832	-8.675673	-45.706550	-3.922845
20833	-8.432618	-48.903925	-3.758446
20834	-7.724853	-51.741453	-3.923908
20835	-6.597822	-54.011779	-4.421881
20836	-4.998308	-55.205486	-6.285523
20837	-1.843760	-55.280668	-10.377872
20838	2.291413	-54.761448	-15.294903
20839	6.392849	-53.775924	-20.108815
20840	9.677228	-52.308650	-24.086674
20841	11.685355	-50.543874	-26.668834
20842	12.569322	-48.674972	-27.825002
20843	12.599393	-46.833629	-27.816461
20844	11.920115	-44.927493	-26.960014
20845	10.728519	-42.875191	-25.627367
20846	9.223525	-40.578868	-24.085031
20847	7.665256	-38.084871	-22.535429
20848	6.174569	-35.390471	-21.066907
20849	4.814015	-32.550596	-19.808783
20850	3.554103	-29.556051	-18.810200
20851	2.411543	-26.491767	-18.091251
20852	1.364872	-23.337110	-17.611875
20853	0.421275	-20.205459	-17.327030
20854	-0.511785	-17.112078	-17.148129
20855	-1.462172	-14.090523	-17.011645
20856	-2.438486	-11.100427	-16.819721
20857	-3.392764	-8.205829	-16.498673
20858	-4.359435	-5.366667	-16.013883
20859	-5.353831	-2.636574	-15.406782
20860	-6.492587	0.071985	-14.809444
20861	-7.647776	2.717618	-14.335555
20862	-8.664857	5.316676	-13.972340
20863	-9.390864	7.748209	-13.735166
20864	-9.880796	10.009397	-13.591819
20865	-10.228404	12.007365	-13.533213
20866	-10.485423	13.718753	-13.476725
20867	-10.648021	15.090057	-13.359391
20868	-10.786254	16.143564	-13.180385
20869	-10.975545	16.985396	-12.918195
20870	-11.331020	17.638360	-12.576743
20871	-11.785599	18.053923	-12.143250
20872	-12.150847	18.124532	-11.546837
20873	-12.117200	17.845403	-10.672223
20874	-11.265299	17.100689	-9.387401
20875	-9.204319	15.816961	-7.434675
20876	-6.776293	14.038314	-5.665932
20877	-5.103270	12.052506	-4.374446
20878	-4.191720	9.621891	-3.650980
20879	-3.677947	6.961877	-3.457009
20880	-3.483046	4.538869	-3.538357
20881	-3.318855	2.560702	-3.689262
20882	-3.187716	0.759947	-3.780714
20883	-3.052028	-0.809229	-3.788818
20884	-2.768110	-1.996294	-3.778291
20885	-2.479257	-2.912949	-3.828139
20886	-2.231541	-3.646084	-3.860299
20887	-1.973688	-4.158321	-3.891263
20888	-1.706736	-4.565242	-3.935723
20889	-1.458211	-4.857537	-3.979941
20890	-1.247235	-5.131260	-4.035086
20891	-1.098861	-5.357877	-4.085450
20892	-0.982619	-5.598469	-4.129296
20893	-0.887719	-5.799893	-4.162483
20894	-0.819891	-6.004655	-4.186648
20895	-0.766918	-6.168399	-4.196466
20896	-0.745301	-6.323951	-4.199899
20897	-0.748965	-6.418291	-4.191137
20898	-0.783500	-6.495906	-4.174256
20899	-0.807294	-6.505707	-4.140310
20900	-0.796150	-6.499932	-4.086578
20901	-0.753884	-6.424811	-4.015341
20902	-0.697035	-6.350155	-3.932934
20903	-0.630044	-6.227063	-3.827034
20904	-0.546092	-6.113313	-3.700941
20905	-0.460185	-5.947174	-3.533034
20906	-0.370851	-5.840029	-3.367546
20907	-0.292258	-5.745930	-3.207090
20908	-0.214474	-5.711520	-3.056461
20909	-0.147959	-5.688708	-2.922628
20910	-0.082210	-5.713470	-2.797852
20911	-0.014110	-5.754379	-2.690865
20912	0.045351	-5.844315	-2.599558
20913	0.091369	-5.939658	-2.529253
20914	0.131807	-6.065904	-2.472103
20915	0.173945	-6.182067	-2.430969
20916	0.222945	-6.340636	-2.407243
20917	0.264423	-6.493847	-2.400907
20918	0.311042	-6.688136	-2.418696
20919	0.348060	-6.880526	-2.455819
20920	0.378662	-7.117866	-2.515109
20921	0.396767	-7.361181	-2.608478
20922	0.400825	-7.656524	-2.736257
20923	0.395172	-7.988415	-2.880902
20924	0.243559	-8.416716	-3.098582
20925	0.008592	-8.925285	-3.323706
20926	-0.185699	-9.613132	-3.501628
20927	-0.472017	-10.415716	-3.663613
20928	-0.719842	-11.415786	-3.787015
20929	-0.960792	-12.669038	-3.852943
20930	-1.256940	-14.163744	-3.850979
20931	-1.594903	-15.843288	-3.824309
20932	-1.877303	-17.801642	-3.780091
20933	-2.261460	-20.030206	-3.807088
20934	-2.634748	-22.607129	-3.973394
20935	-2.995853	-25.514775	-4.246345
20936	-3.125084	-28.773782	-4.691483
20937	-2.965637	-32.356789	-5.267817
20938	-2.715880	-36.264422	-5.619350
20939	-2.226092	-40.525988	-5.896879
20940	-1.370967	-45.059882	-6.471600
20941	0.099934	-49.392279	-7.411835
20942	2.041039	-53.098900	-8.007067
20943	3.853211	-56.029248	-8.228791
20944	5.445168	-57.615998	-9.078735
20945	7.260393	-57.321046	-12.239814
