// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
30001	0.030232	0.019095	0.016934
30002	0.029409	0.018460	0.018016
30003	0.029398	0.016864	0.017430
30004	0.030908	0.016903	0.017175
30005	0.030480	0.017976	0.017234
30006	0.030865	0.018204	0.016942
30007	0.032793	0.019052	0.018390
30008	0.030633	0.017933	0.018891
30009	0.029653	0.017710	0.018156
30010	0.031205	0.018275	0.017197
30011	0.031659	0.017979	0.017517
30012	0.032044	0.018208	0.017225
30013	0.032621	0.019108	0.017460
30014	0.031711	0.019379	0.015883
30015	0.033430	0.019218	0.018954
30016	0.031437	0.020205	0.016635
30017	0.032749	0.019729	0.017202
30018	0.032839	0.018230	0.017776
30019	0.033103	0.018273	0.016079
30020	0.033276	0.017826	0.015244
30021	0.033933	0.018635	0.014212
30022	0.034318	0.018864	0.013921
30023	0.035732	0.018276	0.014139
30024	0.034611	0.017871	0.012018
30025	0.035175	0.018218	0.012843
30026	0.035560	0.018446	0.012551
30027	0.035929	0.018617	0.012103
30028	0.034937	0.017834	0.011936
30029	0.034934	0.016820	0.011783
30030	0.034449	0.018439	0.011294
30031	0.034794	0.018005	0.010358
30032	0.032188	0.019625	0.011748
30033	0.033618	0.018886	0.009597
30034	0.033538	0.017238	0.008923
30035	0.034320	0.018203	0.009207
30036	0.034706	0.018432	0.008916
30037	0.035297	0.019256	0.007968
30038	0.034221	0.017419	0.009209
30039	0.035747	0.017982	0.008239
30040	0.034967	0.017873	0.008615
30041	0.036094	0.016740	0.008694
30042	0.036438	0.016442	0.009107
30043	0.036678	0.016107	0.009461
30044	0.035898	0.015998	0.009838
30045	0.035546	0.018264	0.009867
30046	0.037143	0.017397	0.012270
30047	0.036147	0.017039	0.010180
30048	0.038039	0.017900	0.011718
30049	0.038493	0.017526	0.010853
30050	0.037544	0.017270	0.009981
30051	0.036767	0.017181	0.010361
30052	0.035945	0.016546	0.011441
30053	0.037105	0.014930	0.013235
30054	0.035244	0.015538	0.012869
30055	0.036841	0.016156	0.012009
30056	0.036932	0.014656	0.012583
30057	0.036374	0.015700	0.012661
30058	0.036550	0.015254	0.011826
30059	0.036909	0.014936	0.012191
30060	0.035961	0.014679	0.011319
30061	0.034399	0.016474	0.010704
30062	0.035995	0.015607	0.013108
30063	0.029927	0.011533	0.005800
30064	0.030435	0.011378	0.007455
30065	0.031032	0.012256	0.007579
30066	0.030289	0.012669	0.007244
30067	0.029583	0.013126	0.007952
30068	0.029965	0.013350	0.007654
30069	0.029224	0.012082	0.008084
30070	0.030561	0.011969	0.006575
30071	0.030125	0.012103	0.009247
30072	0.030718	0.013002	0.009493
