// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
25746		-7.285117	3.138795	131.872305
25747		-7.216669	3.257506	132.011422
25748		-7.143363	3.377017	132.132343
25749		-7.074042	3.495427	132.248319
25750		-7.000900	3.612547	132.367745
25751		-6.921290	3.728242	132.503388
25752		-6.838837	3.842472	132.659145
25753		-6.752080	3.959610	132.826269
25754		-6.663611	4.077953	132.985871
25755		-6.575356	4.198632	133.119620
25756		-6.488736	4.315441	133.230118
25757		-6.400163	4.429148	133.318557
25758		-6.301553	4.540997	133.398389
25759		-6.204406	4.651906	133.478074
25760		-6.108138	4.761296	133.558438
25761		-6.013400	4.865623	133.635500
25762		-5.915542	4.965935	133.709203
25763		-5.813396	5.059323	133.776727
25764		-5.709568	5.148086	133.840518
25765		-5.602148	5.234271	133.894508
25766		-5.495312	5.315875	133.940741
25767		-5.385350	5.393923	133.982396
25768		-5.278253	5.473708	134.010475
25769		-5.169718	5.548524	134.033670
25770		-5.056087	5.621936	134.062769
25771		-4.938297	5.692047	134.097964
25772		-4.813522	5.767543	134.138487
25773		-4.684118	5.844192	134.192241
25774		-4.566573	5.916992	134.271074
25775		-4.451862	5.988194	134.384917
25776		-4.338089	6.054680	134.511499
25777		-4.223408	6.119299	134.628496
25778		-4.110742	6.182149	134.735390
25779		-4.000176	6.238272	134.846068
25780		-3.895408	6.291815	134.961603
25781		-3.791733	6.332597	135.079039
25782		-3.691622	6.374935	135.187187
25783		-3.595260	6.412412	135.279482
25784		-3.498239	6.443344	135.381439
25785		-3.399602	6.466456	135.516891
25786		-3.307489	6.485114	135.679753
25787		-3.226144	6.497845	135.848289
25788		-3.154564	6.509492	136.001990
25789		-3.087638	6.516236	136.127888
25790		-3.031322	6.516804	136.231823
25791		-2.978060	6.521340	136.323123
25792		-2.932163	6.528966	136.399760
25793		-2.888413	6.539968	136.484768
25794		-2.845313	6.553304	136.589707
25795		-2.807443	6.569364	136.730997
25796		-2.780004	6.584888	136.899641
25797		-2.757850	6.602315	137.089289
25798		-2.747876	6.618546	137.262092
25799		-2.742639	6.636827	137.399492
25800		-2.743016	6.657054	137.489645
25801		-2.752162	6.679465	137.534026
25802		-2.764767	6.703354	137.557685
25803		-2.781171	6.724598	137.597201
25804		-2.806082	6.747721	137.664333
25805		-2.836835	6.777866	137.744968
25806		-2.876303	6.806933	137.800957
25807		-2.919211	6.838969	137.807688
25808		-2.963038	6.862161	137.783470
25809		-2.999497	6.880889	137.755446
25810		-3.033876	6.890372	137.750265
25811		-3.067396	6.898339	137.757842
25812		-3.091796	6.906750	137.753032
25813		-3.115418	6.907446	137.747250
25814		-3.129882	6.902412	137.772567
25815		-3.146636	6.894945	137.850874
25816		-3.161324	6.888040	137.972205
25817		-3.176724	6.883588	138.096078
25818		-3.195562	6.880584	138.183837
25819		-3.215415	6.873052	138.220624
25820		-3.239250	6.851170	138.236711
25821		-3.269625	6.819679	138.256119
25822		-3.302840	6.774271	138.286014
25823		-3.337634	6.719728	138.311861
25824		-3.371719	6.657600	138.300095
25825		-3.410448	6.592830	138.228087
25826		-3.447709	6.526776	138.103406
25827		-3.483668	6.459188	137.967869
25828		-3.516028	6.392013	137.855311
25829		-3.549602	6.326122	137.773032
25830		-3.584886	6.265347	137.700202
25831		-3.622614	6.203839	137.606099
