// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
38038		-3.114425	1.674271	-121.081399
38039		-3.217886	1.718545	-121.087166
38040		-3.317817	1.776125	-121.078447
38041		-3.407325	1.852806	-121.073150
38042		-3.489485	1.928669	-121.088455
38043		-3.566805	2.000883	-121.124186
38044		-3.640395	2.066020	-121.171888
38045		-3.716406	2.129447	-121.216424
38046		-3.793800	2.183114	-121.245394
38047		-3.868117	2.237042	-121.251156
38048		-3.936440	2.293780	-121.238344
38049		-4.006198	2.351157	-121.221357
38050		-4.072685	2.412263	-121.213914
38051		-4.136560	2.470867	-121.227674
38052		-4.195535	2.521898	-121.253984
38053		-4.252328	2.578714	-121.275026
38054		-4.311032	2.639662	-121.287030
38055		-4.370615	2.707934	-121.279639
38056		-4.433024	2.780008	-121.252822
38057		-4.492697	2.857620	-121.215868
38058		-4.555497	2.930877	-121.170853
38059		-4.623858	3.001511	-121.124564
38060		-4.694018	3.069153	-121.068985
38061		-4.765997	3.136325	-121.019771
38062		-4.837448	3.205496	-120.982924
38063		-4.907092	3.270844	-120.957692
38064		-4.974863	3.334881	-120.947153
38065		-5.038311	3.392423	-120.944526
38066		-5.098315	3.439550	-120.939836
38067		-5.156136	3.473446	-120.924458
38068		-5.207735	3.503874	-120.904158
38069		-5.253885	3.526808	-120.879392
38070		-5.295477	3.545664	-120.859410
38071		-5.332700	3.562269	-120.852973
38072		-5.369347	3.575469	-120.862017
38073		-5.401086	3.587669	-120.875341
38074		-5.431882	3.601471	-120.879276
38075		-5.466806	3.618818	-120.860621
38076		-5.504340	3.642678	-120.833640
38077		-5.543492	3.672276	-120.808558
38078		-5.590339	3.702330	-120.796490
38079		-5.635004	3.733442	-120.798206
38080		-5.679003	3.766562	-120.797872
38081		-5.729664	3.797148	-120.794287
38082		-5.782695	3.829153	-120.794146
38083		-5.837616	3.856376	-120.792323
38084		-5.884752	3.883933	-120.787084
38085		-5.931232	3.912744	-120.780823
38086		-5.981482	3.939838	-120.770611
38087		-6.029991	3.963839	-120.763896
38088		-6.074399	3.989486	-120.759873
38089		-6.115982	4.014774	-120.751432
38090		-6.153341	4.040622	-120.732431
38091		-6.187270	4.064354	-120.697813
38092		-6.217403	4.089347	-120.650592
38093		-6.244166	4.111912	-120.595936
38094		-6.268874	4.133066	-120.540319
38095		-6.290582	4.152359	-120.485748
38096		-6.309582	4.170055	-120.436991
38097		-6.324291	4.183614	-120.394201
38098		-6.334822	4.194112	-120.357550
38099		-6.343631	4.202677	-120.328192
38100		-6.349512	4.210533	-120.301208
38101		-6.353374	4.215362	-120.279995
38102		-6.354874	4.214717	-120.267175
38103		-6.352986	4.212481	-120.260071
38104		-6.348061	4.209966	-120.258883
38105		-6.341691	4.204413	-120.267189
38106		-6.337800	4.195790	-120.282396
38107		-6.329799	4.185409	-120.299586
38108		-6.320361	4.171184	-120.322292
38109		-6.309316	4.156056	-120.343279
38110		-6.296312	4.142127	-120.354432
38111		-6.280405	4.128664	-120.362635
38112		-6.261621	4.115126	-120.366273
38113		-6.240045	4.103337	-120.370836
38114		-6.219457	4.088929	-120.380770
38115		-6.195742	4.075081	-120.400638
38116		-6.172595	4.056415	-120.421693
38117		-6.145009	4.039662	-120.451465
38118		-6.119013	4.027700	-120.479179
38119		-6.091547	4.017400	-120.512933
38120		-6.064042	4.008877	-120.550451
38121		-6.036641	4.000057	-120.589320
38122		-6.006737	3.997157	-120.634559
38123		-5.976486	3.995068	-120.680104
38124		-5.947798	3.992777	-120.724720
38125		-5.915335	3.990875	-120.774392
38126		-5.883852	3.988532	-120.818205
38127		-5.855066	3.988405	-120.855324
