// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
00092		1.726064	0.526964	-115.714847
00093		3.004185	-0.209794	-116.076352
00094		4.295980	-0.822069	-116.643610
00095		5.549858	-1.448825	-117.072465
00096		6.704201	-2.173723	-117.538746
00097		7.789603	-2.901596	-118.478887
00098		8.848559	-3.453852	-119.907033
00099		9.949634	-3.778003	-121.421551
00100		11.063362	-3.960382	-122.820466
00101		12.186511	-4.162861	-124.095119
00102		13.321447	-4.438978	-125.386114
00103		14.444297	-4.632001	-126.716470
00104		15.568611	-4.639777	-127.900058
00105		16.699915	-4.515407	-128.792879
00106		17.820131	-4.364939	-129.419219
00107		18.887128	-4.209498	-129.895674
00108		19.882907	-4.001590	-130.313463
00109		20.815410	-3.749473	-130.691244
00110		21.688719	-3.507956	-130.974867
00111		22.521746	-3.337866	-131.115658
00112		23.303523	-3.262485	-131.113880
00113		24.041488	-3.257619	-130.986440
00114		24.717873	-3.268530	-130.755767
00115		25.320870	-3.311564	-130.437551
00116		25.842659	-3.467822	-130.044527
00117		26.316749	-3.796919	-129.561218
00118		26.751078	-4.280228	-128.942206
00119		27.128730	-4.852044	-128.219875
00120		27.413835	-5.439588	-127.468112
00121		27.598651	-6.011625	-126.731263
00122		27.673061	-6.562567	-126.032015
00123		27.624765	-7.072893	-125.381113
00124		27.439268	-7.501013	-124.857532
00125		27.099044	-7.821138	-124.521265
00126		26.582119	-8.002185	-124.421534
00127		25.871700	-7.996261	-124.575210
00128		24.980202	-7.839617	-124.939266
00129		23.953273	-7.612235	-125.478880
00130		22.888022	-7.286292	-126.167311
00131		21.880661	-6.816783	-126.927143
00132		21.045132	-6.177486	-127.707342
00133		20.549408	-5.360530	-128.501246
00134		20.349535	-4.352417	-129.383661
00135		20.278352	-3.417645	-130.350257
00136		20.262332	-2.930298	-131.206901
00137		20.324342	-2.929542	-131.824158
00138		20.498735	-3.093052	-132.313263
00139		20.820611	-3.040825	-132.779705
00140		21.297365	-2.560787	-133.083795
00141		21.743350	-2.028320	-132.949153
00142		21.839703	-2.081466	-132.361466
00143		21.581004	-2.478298	-131.447731
00144		21.172562	-2.524822	-130.856400
00145		20.663359	-1.923515	-130.654174
00146		20.275623	-1.365721	-130.267991
00147		20.401317	-1.545498	-129.047532
00148		21.120721	-2.281111	-126.961273
00149		22.043444	-3.009333	-124.782192
00150		22.675467	-3.551319	-123.589517
00151		22.870614	-3.931084	-123.714582
00152		22.358399	-3.818053	-124.534148
00153		21.404816	-3.091057	-125.323772
00154		20.175838	-2.254310	-125.758952
00155		18.763747	-1.653555	-126.224676
00156		17.261154	-1.076231	-127.020866
00157		15.796853	-0.393457	-127.971076
00158		14.582967	0.159761	-128.488251
00159		13.827273	0.252737	-128.190037
00160		13.436736	-0.207953	-127.340570
00161		13.129644	-1.002688	-126.430538
00162		12.781688	-1.643285	-125.730926
00163		12.372825	-1.788978	-125.162863
00164		11.879687	-1.462902	-124.738067
00165		11.251372	-0.982634	-124.557281
00166		10.545945	-0.534993	-124.472670
