// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
56738		-2.504515	-0.400047	3.120882
56739		-2.493013	-0.380935	3.129461
56740		-2.475776	-0.390378	3.134350
56741		-2.461344	-0.428242	3.136113
56742		-2.432941	-0.486961	3.127916
56743		-2.380257	-0.554296	3.115230
56744		-2.293742	-0.642184	3.097082
56745		-2.170165	-0.740794	3.070741
56746		-1.998365	-0.863482	3.037831
56747		-1.798985	-0.988521	2.994757
56748		-1.608063	-1.128729	2.950867
56749		-1.465369	-1.291046	2.915712
56750		-1.349016	-1.491804	2.859517
56751		-1.246303	-1.725066	2.786109
56752		-1.146623	-1.990489	2.693663
56753		-1.068266	-2.271520	2.595992
56754		-1.006883	-2.595400	2.482309
56755		-0.953336	-2.968364	2.348538
56756		-0.860204	-3.435985	2.200943
56757		-0.822488	-4.072516	1.988266
56758		-0.651851	-4.873061	1.824373
56759		-0.599635	-5.764524	1.663358
56760		-0.613318	-6.763774	1.507912
56761		-0.689477	-7.891389	1.350521
56762		-0.831104	-9.144430	1.184854
56763		-0.983312	-10.542358	1.050777
56764		-1.179082	-12.093737	0.923294
56765		-1.444975	-13.797813	0.858388
56766		-1.681985	-15.685285	0.797776
56767		-1.883133	-17.804320	0.796478
56768		-2.069788	-20.157506	0.774595
56769		-2.220097	-22.796677	0.754295
56770		-2.223764	-25.729757	0.715990
56771		-2.012593	-28.975435	0.659199
56772		-1.443329	-32.527862	0.404394
56773		-0.345727	-36.249582	-0.020153
56774		1.071807	-40.137524	-0.721466
56775		2.653929	-44.153435	-1.723168
56776		4.388888	-47.933832	-2.820603
56777		6.617164	-51.436810	-4.075955
56778		9.167281	-54.897115	-5.645733
56779		11.979247	-58.479819	-7.757011
56780		15.490975	-61.913707	-10.711965
56781		19.726984	-64.736195	-14.435100
56782		23.305240	-66.066860	-17.587872
56783		24.622060	-65.681022	-18.866729
56784		24.117151	-64.211020	-18.442075
56785		22.938818	-62.301449	-17.282049
56786		21.473070	-60.320496	-15.838981
56787		20.028857	-58.439251	-14.400061
56788		18.639005	-56.697025	-12.973471
56789		17.312871	-55.033726	-11.564268
56790		15.970883	-53.313048	-10.068762
56791		14.597363	-51.436659	-8.452742
56792		13.155363	-49.290133	-6.706198
56793		11.732969	-46.861729	-4.946698
56794		10.368960	-44.106315	-3.279579
56795		9.108621	-41.167403	-1.785787
56796		7.937047	-38.110904	-0.512073
56797		6.877958	-34.977338	0.416046
56798		5.889149	-31.793822	1.060084
56799		4.998969	-28.663205	1.460264
56800		4.153537	-25.564647	1.676471
56801		3.323512	-22.558643	1.755773
56802		2.445399	-19.586758	1.722893
56803		1.507662	-16.688154	1.603003
56804		0.481729	-13.861222	1.462454
