// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
28013		16.669979	-4.913125	1.416229
28014		17.641078	-4.592399	1.336942
28015		18.654660	-4.245876	1.294338
28016		19.708626	-3.888098	1.276594
28017		20.806747	-3.516080	1.268906
28018		21.931091	-3.116127	1.275237
28019		23.053062	-2.715856	1.304386
28020		24.235324	-2.307378	1.355044
28021		25.503152	-1.857814	1.408985
28022		26.797210	-1.370145	1.452149
28023		28.094781	-0.893501	1.488734
28024		29.435329	-0.431712	1.509464
28025		30.861296	0.088143	1.435972
28026		32.339781	0.726498	1.199541
28027		33.815058	1.548084	0.746008
28028		35.249636	2.560161	0.108070
28029		36.659892	3.740109	-0.666539
28030		38.031602	4.949151	-1.397492
28031		39.381782	6.021822	-1.916689
28032		40.686748	6.947755	-2.202914
28033		41.963574	7.769815	-2.340432
28034		43.150035	8.537525	-2.447257
28035		44.158369	9.321964	-2.594789
28036		44.933827	9.909973	-2.621635
28037		45.585379	10.051949	-2.099949
28038		46.244014	9.732071	-1.155260
28039		46.851541	9.217994	-0.124417
28040		47.333526	8.734170	0.787502
28041		47.629257	8.365683	1.421593
28042		47.657548	8.140320	1.720333
28043		47.401749	8.024814	1.859695
28044		46.821137	7.839437	2.004719
28045		45.922972	7.446068	2.241220
28046		44.711984	6.854784	2.539058
28047		43.286077	6.198350	2.798505
28048		41.701048	5.565784	3.034706
28049		39.966707	4.992754	3.263651
28050		38.056892	4.494739	3.417356
28051		36.019695	4.049538	3.500721
28052		33.904818	3.623343	3.468647
28053		31.686801	3.215094	3.304159
28054		29.276668	2.817920	3.001863
28055		26.720593	2.392191	2.621647
28056		24.079571	1.896516	2.209103
28057		21.367351	1.336001	1.844265
28058		18.565527	0.737412	1.539624
28059		15.717092	0.098494	1.296482
28060		12.824175	-0.572651	1.133408
28061		9.903047	-1.250147	0.953581
28062		6.929474	-1.985517	0.760284
28063		3.905180	-2.777803	0.641313
28064		0.819290	-3.598802	0.658692
28065		-2.312910	-4.468699	0.868339
28066		-5.468460	-5.430522	1.400565
28067		-8.626402	-6.419800	2.364293
28068		-11.815154	-7.227403	3.788685
28069		-14.952132	-7.687985	5.402476
28070		-17.848944	-8.072779	6.758602
28071		-20.533314	-8.465208	7.700249
28072		-22.995658	-8.716112	8.239830
28073		-25.279739	-8.802525	8.607380
28074		-26.948038	-8.859611	8.767784
28075		-27.702051	-9.368088	8.494912
28076		-27.801421	-9.813843	7.940996
28077		-27.358382	-10.108768	7.521750
28078		-26.492557	-10.213106	7.224711
28079		-25.324589	-10.128263	7.254703
28080		-23.769907	-10.054765	7.717775
28081		-22.071704	-9.777109	8.715744
28082		-20.590111	-9.800557	9.301384
28083		-19.797731	-10.394724	8.928174
28084		-19.168471	-10.550585	9.010125
28085		-17.957913	-10.355478	9.494036
28086		-16.589296	-10.276049	9.657553
28087		-15.165081	-10.170813	9.501891
28088		-13.634629	-9.946360	9.439482
28089		-12.034257	-9.844018	9.886154
28090		-10.434362	-9.790655	10.395616
28091		-8.974458	-9.697561	10.187954
28092		-7.596474	-9.613812	9.777837
28093		-6.315856	-9.529699	9.460645
28094		-5.387654	-9.486221	9.128705
28095		-4.565772	-9.579722	9.147044
28096		-3.742448	-9.684606	9.134959
28097		-3.033529	-9.730524	9.127221
28098		-2.445792	-9.757432	9.171338
28099		-1.949223	-9.827261	9.283773
28100		-1.490372	-9.853655	9.384878
28101		-1.040538	-9.850694	9.439156
28102		-0.608941	-9.815604	9.400924
28103		-0.231470	-9.753958	9.278962
28104		0.124266	-9.691338	9.080174
28105		0.433040	-9.629993	8.863926
28106		0.720191	-9.558619	8.650100
28107		0.964158	-9.461402	8.442065
28108		1.226809	-9.379315	8.195562
28109		1.500158	-9.301680	7.916350
28110		1.785783	-9.181885	7.577314
28111		2.054281	-9.053336	7.213583
28112		2.338405	-8.954915	6.856355
28113		2.639615	-8.893655	6.545667
