// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
33906		6.909290	6.685829	5.350815
33907		7.113524	7.224483	5.360304
33908		7.350004	7.789926	5.444572
33909		7.594470	8.405411	5.534781
33910		7.856562	9.083210	5.620999
33911		8.224785	9.830639	5.701635
33912		8.677984	10.644633	5.772828
33913		9.151125	11.513100	5.816793
33914		9.575506	12.399015	5.823305
33915		9.973408	13.307868	5.773038
33916		10.374858	14.257669	5.707619
33917		10.822184	15.285672	5.656698
33918		11.330442	16.399596	5.646978
33919		11.917374	17.614693	5.696296
33920		12.584009	18.920189	5.815897
33921		13.343909	20.317466	6.007920
33922		14.212829	21.809341	6.252166
33923		15.218936	23.361199	6.639020
33924		16.506182	24.911668	7.116369
33925		17.973032	26.394920	7.731888
33926		19.556946	27.765156	8.548301
33927		21.363361	28.994866	9.628137
33928		23.227602	30.149041	10.806626
33929		25.191084	31.108100	12.222807
33930		27.562532	31.714045	13.939362
33931		30.157666	32.032645	16.150198
33932		32.812602	32.052593	18.461837
33933		34.856678	31.978982	20.086356
33934		35.982419	32.263447	20.988054
33935		36.459382	32.681388	21.110392
33936		36.399419	33.088826	20.589234
33937		35.981213	33.201078	19.644718
33938		35.005136	32.983819	18.294643
33939		33.243087	32.285013	16.538656
33940		30.978136	31.039061	14.633291
33941		28.641871	29.366612	12.751380
33942		26.352280	27.405168	11.096406
33943		24.059941	25.209006	9.776070
33944		21.760929	22.823733	8.747382
33945		19.384309	20.275981	7.881571
33946		16.867734	17.558663	7.083869
33947		14.193300	14.602503	6.402215
33948		11.506636	11.459749	5.934763
33949		8.905729	8.245956	5.774217
33950		6.406244	5.232450	5.796921
33951		4.160256	2.626516	5.749697
33952		2.014049	0.471961	5.565134
33953		-0.135455	-1.489650	5.521984
33954		-1.912988	-3.301110	5.701795
33955		-3.375392	-4.850935	5.969699
33956		-4.543298	-6.097590	6.243020
33957		-5.410491	-7.054822	6.551151
33958		-5.985864	-7.666399	6.934324
33959		-6.327753	-7.936965	7.344560
33960		-6.387271	-7.847889	7.751393
33961		-6.056243	-7.381105	8.121560
33962		-5.336564	-6.643580	8.437342
33963		-4.048376	-5.729458	8.778029
33964		-2.334090	-5.330865	9.277995
33965		-0.549031	-5.818161	9.100961
33966		-0.509377	-5.184315	9.887390
33967		-1.028906	-3.839447	11.268115
33968		-0.001482	-2.678077	12.218489
33969		0.753622	-1.479737	12.684950
