// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
51167		-1.302266	-1.677251	1.044291
51168		-0.089904	-2.512562	1.587514
51169		0.966760	-3.376304	2.509037
51170		1.867605	-4.395921	3.658878
51171		2.621371	-5.593889	4.729712
51172		3.212788	-6.920296	5.693542
51173		3.750203	-8.130324	6.683605
51174		4.314283	-9.234009	7.810835
51175		4.930420	-10.371829	9.165908
51176		5.604457	-11.598315	10.631809
51177		6.229522	-12.945478	12.061735
51178		6.847487	-14.370863	13.370108
51179		7.526604	-15.747958	14.426556
51180		8.289847	-17.029438	15.176586
51181		9.114762	-18.176431	15.628617
51182		9.986060	-19.171131	15.855984
51183		10.893425	-20.009169	15.925654
51184		11.808992	-20.710906	15.863743
51185		12.708008	-21.313122	15.659677
51186		13.625566	-21.832647	15.178586
51187		14.645387	-22.155000	14.330314
51188		15.793752	-22.177941	13.138461
51189		17.128239	-21.791606	11.544218
51190		18.598954	-21.007460	9.718738
51191		19.870498	-20.066694	8.166724
51192		20.544713	-19.392137	7.361748
51193		20.624194	-19.069034	7.538723
51194		20.301102	-18.992365	8.482612
51195		19.773418	-19.013016	9.655204
51196		19.166337	-19.225206	10.701289
51197		18.866071	-19.604666	11.418050
51198		19.088086	-19.777021	11.713758
51199		19.570206	-19.595642	11.325406
51200		20.147379	-19.390001	9.777983
51201		20.363768	-19.437409	7.679703
51202		19.743674	-19.637644	7.125581
51203		18.582290	-19.756771	8.192754
51204		18.438896	-19.744551	7.545989
51205		18.910289	-19.555516	6.183262
51206		19.302487	-19.266942	5.212518
51207		19.605928	-18.624677	4.372532
51208		19.669117	-18.082657	3.790920
51209		19.389740	-17.293987	3.654109
51210		18.615138	-16.364022	3.698983
51211		17.657739	-15.374856	3.638445
51212		16.786053	-14.460478	3.394772
51213		16.022272	-13.439190	3.040324
51214		15.313386	-12.417153	2.732558
51215		14.639893	-11.434351	2.442199
51216		13.997802	-10.526616	2.168215
51217		13.346512	-9.653979	1.986159
51218		12.742232	-8.785618	1.844005
51219		12.138371	-7.872428	1.658417
51220		11.514830	-6.874183	1.446206
51221		10.852512	-5.851003	1.333503
51222		10.117411	-4.818440	1.309660
51223		9.348302	-3.776496	1.196545
51224		8.622423	-2.735369	1.093490
51225		7.969259	-1.709886	1.109032
51226		7.328608	-0.747760	1.255903
51227		6.646394	0.105946	1.530360
51228		5.930724	0.906554	1.819048
51229		5.239402	1.718764	1.986065
51230		4.525803	2.505396	2.064895
51231		3.758232	3.248614	2.041088
51232		2.928021	3.947344	1.926947
51233		2.098466	4.607194	1.783399
51234		1.332229	5.238618	1.690710
51235		0.648088	5.829806	1.665644
51236		0.066259	6.410518	1.717040
51237		-0.405463	6.997882	1.886047
51238		-0.819781	7.562438	2.117121
51239		-1.202331	8.080610	2.369256
51240		-1.567771	8.556117	2.564603
51241		-1.908969	9.011256	2.627831
51242		-2.238292	9.431366	2.533208
51243		-2.551508	9.812043	2.297322
51244		-2.858568	10.121606	1.928965
51245		-3.197872	10.332562	1.428881
51246		-3.581727	10.467443	0.868990
51247		-3.976407	10.525598	0.337173
51248		-4.338021	10.519761	-0.111581
51249		-4.654749	10.445681	-0.458661
51250		-4.924020	10.264045	-0.673420
51251		-5.121911	9.979089	-0.783515
51252		-5.230277	9.571574	-0.809633
51253		-5.228076	8.926107	-0.705178
51254		-5.060729	8.077912	-0.342855
51255		-4.733796	7.102446	0.256774
51256		-4.318830	5.965746	0.887256
51257		-3.861647	4.606847	1.372600
51258		-3.342792	3.080032	1.709366
51259		-2.739834	1.527379	1.941980
51260		-1.978472	0.045993	2.056094
51261		-0.986512	-1.205078	2.072812
51262		0.142794	-2.146994	2.242654
51263		1.227670	-2.988672	2.764233
51264		2.205097	-3.857397	3.610967
51265		3.034128	-4.882737	4.615096
51266		3.722580	-6.074473	5.625950
51267		4.277268	-7.325234	6.713335
51268		4.740369	-8.566749	7.974767
51269		5.158472	-9.801440	9.393739
51270		5.617731	-11.040579	10.874536
51271		6.145809	-12.300890	12.349210
51272		6.713625	-13.653452	13.782797
51273		7.290013	-15.063774	15.075793
51274		7.889688	-16.491503	16.137756
51275		8.528895	-17.869667	16.969714
51276		9.226246	-19.149192	17.612667
51277		9.937761	-20.321730	18.114495
51278		10.639644	-21.388531	18.462926
51279		11.355399	-22.306641	18.624319
51280		12.105601	-23.042438	18.572305
51281		12.912031	-23.616315	18.280076
51282		13.744462	-24.129233	17.856885
51283		14.655077	-24.592220	17.128643
51284		15.779712	-24.829635	15.834773
51285		17.233710	-24.570854	13.895857
51286		18.896277	-23.784835	11.533755
51287		20.473190	-22.674740	9.074216
51288		21.652409	-21.504138	6.987419
51289		22.199762	-20.498454	5.803844
51290		22.096269	-19.799873	5.763151
51291		21.493913	-19.452231	6.769616
51292		20.702811	-19.285285	8.012921
51293		20.227325	-19.106519	8.743045
51294		20.374574	-18.971955	8.709673
51295		20.742417	-18.917085	8.408514
51296		20.908853	-18.964231	8.312234
51297		20.612918	-19.751107	7.936413
51298		20.122871	-20.474202	7.399425
51299		19.713981	-20.720487	6.632691
51300		19.442921	-21.023829	5.651582
51301		19.376668	-20.894728	5.065289
51302		19.519814	-20.193176	4.372950
51303		19.730194	-19.313663	3.524899
51304		19.653304	-18.430997	2.833459
51305		19.332648	-17.510175	2.216301
51306		18.655642	-16.607856	1.910938
51307		17.759349	-15.688788	1.586989
