// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24780		1.787309	-7.007930	17.248947
24781		1.835543	-7.005917	17.258320
24782		1.906356	-7.020259	17.277965
24783		1.968392	-7.031308	17.323547
24784		2.013802	-7.039708	17.401143
24785		2.058341	-7.056360	17.515321
24786		2.102923	-7.070768	17.660064
24787		2.139478	-7.077347	17.815497
24788		2.170540	-7.081947	17.973538
24789		2.199831	-7.090525	18.134436
24790		2.226811	-7.098147	18.315039
24791		2.255838	-7.114723	18.513568
24792		2.291894	-7.131651	18.704783
24793		2.325773	-7.132789	18.866748
24794		2.356896	-7.124885	18.990888
24795		2.383943	-7.118712	19.082131
24796		2.401457	-7.108197	19.140648
24797		2.420811	-7.096724	19.155548
24798		2.440405	-7.087792	19.120663
24799		2.458725	-7.072176	19.034342
24800		2.471492	-7.034258	18.905597
24801		2.482607	-6.984112	18.742167
24802		2.500043	-6.925010	18.558303
24803		2.515142	-6.858328	18.361653
24804		2.512332	-6.789253	18.187412
24805		2.505306	-6.731278	18.069732
24806		2.507159	-6.690483	18.005096
24807		2.504353	-6.661963	17.980307
24808		2.487657	-6.635731	17.987048
24809		2.468864	-6.614396	18.017558
24810		2.464010	-6.598508	18.053332
24811		2.473156	-6.573301	18.095005
24812		2.489329	-6.535391	18.122649
24813		2.515259	-6.478357	18.124493
24814		2.556621	-6.411224	18.091528
24815		2.622119	-6.344396	18.029099
24816		2.701299	-6.272666	17.951684
24817		2.780266	-6.194491	17.856122
24818		2.859971	-6.107809	17.748017
24819		2.932650	-6.010299	17.624156
24820		2.994355	-5.906035	17.496404
24821		3.044578	-5.806965	17.380543
24822		3.075012	-5.711646	17.288281
24823		3.087801	-5.620854	17.221986
24824		3.077827	-5.533099	17.195095
24825		3.056947	-5.455141	17.202799
24826		3.029491	-5.380949	17.223596
24827		3.002555	-5.303649	17.241832
24828		2.985777	-5.221947	17.242239
24829		2.985221	-5.134972	17.214285
24830		2.983168	-5.040550	17.155261
24831		2.979094	-4.938175	17.069216
24832		2.972638	-4.836126	16.954394
24833		2.968093	-4.734024	16.813707
24834		2.961381	-4.632396	16.657620
24835		2.949510	-4.529626	16.491779
24836		2.934458	-4.427597	16.329565
24837		2.917573	-4.336079	16.167636
24838		2.893534	-4.250000	16.009380
24839		2.860266	-4.162570	15.857047
24840		2.820377	-4.070568	15.709763
24841		2.782714	-3.979673	15.561036
24842		2.737648	-3.885712	15.396937
24843		2.693871	-3.783146	15.214340
24844		2.652582	-3.680395	15.015365
24845		2.614618	-3.582420	14.799758
24846		2.583430	-3.500966	14.568910
24847		2.552709	-3.424244	14.330204
24848		2.513519	-3.349973	14.095508
24849		2.472662	-3.280397	13.858966
24850		2.431134	-3.215408	13.621171
24851		2.389557	-3.148184	13.382637
24852		2.347732	-3.076875	13.147610
24853		2.307278	-2.999250	12.923972
24854		2.267925	-2.917647	12.714159
24855		2.227521	-2.838271	12.517025
24856		2.185663	-2.755093	12.329031
24857		2.144982	-2.674445	12.155337
24858		2.103676	-2.595730	11.996915
24859		2.066820	-2.518633	11.852979
24860		2.034450	-2.447072	11.722628
24861		2.009244	-2.382984	11.598248
24862		1.988745	-2.325120	11.475513
24863		1.974653	-2.270854	11.354892
24864		1.965725	-2.223526	11.232936
24865		1.955094	-2.177134	11.114462
24866		1.942881	-2.132228	10.995321
24867		1.926905	-2.086013	10.882762
24868		1.904894	-2.034913	10.771496
24869		1.871078	-1.975265	10.656967
24870		1.831429	-1.913013	10.541550
24871		1.782416	-1.850338	10.429046
24872		1.729188	-1.787373	10.322437
24873		1.674289	-1.729212	10.223559
24874		1.621632	-1.677399	10.128588
24875		1.569806	-1.631032	10.038839
24876		1.521117	-1.586657	9.953807
24877		1.477826	-1.547993	9.871802
24878		1.437228	-1.511726	9.798189
24879		1.394924	-1.473145	9.736159
24880		1.356412	-1.430344	9.682339
24881		1.323997	-1.387847	9.630035
24882		1.300813	-1.345334	9.581137
24883		1.287091	-1.307291	9.534610
24884		1.274507	-1.267058	9.493722
24885		1.264115	-1.224857	9.458327
24886		1.255627	-1.184801	9.431510
24887		1.256043	-1.148523	9.415093
24888		1.255046	-1.112054	9.408413
24889		1.254674	-1.074658	9.410677
24890		1.253406	-1.038485	9.421075
24891		1.252382	-1.003397	9.433876
24892		1.252615	-0.974827	9.442930
24893		1.254052	-0.948319	9.449141
24894		1.253027	-0.925284	9.455922
24895		1.252458	-0.903338	9.460308
24896		1.245328	-0.879246	9.470687
24897		1.234082	-0.854448	9.491090
24898		1.222598	-0.828542	9.509082
24899		1.213529	-0.805246	9.520135
24900		1.205604	-0.782875	9.521174
24901		1.198337	-0.761602	9.515031
24902		1.190288	-0.741599	9.505545
24903		1.182293	-0.723496	9.498100
24904		1.178311	-0.709384	9.495506
24905		1.174675	-0.697532	9.490993
24906		1.178731	-0.690866	9.484945
24907		1.180432	-0.679365	9.489623
24908		1.170441	-0.653095	9.510521
24909		1.162144	-0.626021	9.546989
24910		1.159428	-0.606755	9.589522
24911		1.156371	-0.601505	9.637676
24912		1.156782	-0.604920	9.685882
24913		1.158011	-0.614310	9.726780
24914		1.151801	-0.618477	9.752963
24915		1.146185	-0.620037	9.767770
24916		1.145070	-0.622575	9.775289
24917		1.146379	-0.627774	9.775871
24918		1.148756	-0.635831	9.761848
24919		1.149605	-0.637200	9.737282
24920		1.140929	-0.626495	9.708582
24921		1.116843	-0.600769	9.690585
24922		1.102735	-0.578143	9.683300
24923		1.103052	-0.569177	9.687925
24924		1.116138	-0.570774	9.691473
24925		1.131061	-0.578928	9.688382
24926		1.143849	-0.583704	9.681049
24927		1.144983	-0.579441	9.689415
24928		1.136387	-0.565073	9.731071
24929		1.130781	-0.546845	9.805740
24930		1.117967	-0.530969	9.893050
24931		1.094861	-0.525817	9.981997
24932		1.084766	-0.547711	10.076362
24933		1.086446	-0.586580	10.164162
24934		1.097468	-0.629314	10.241427
24935		1.120210	-0.669075	10.315638
24936		1.145868	-0.707078	10.388533
24937		1.161990	-0.756377	10.431281
24938		1.174128	-0.823028	10.429661
24939		1.169899	-0.880817	10.400839
24940		1.148536	-0.910023	10.356941
24941		1.138293	-0.925069	10.318521
24942		1.144027	-0.948603	10.278787
24943		1.154479	-0.981504	10.234967
24944		1.166662	-1.014951	10.203261
24945		1.183106	-1.040000	10.183476
24946		1.205546	-1.067184	10.160639
24947		1.218906	-1.091712	10.139262
24948		1.219277	-1.108745	10.133985
24949		1.214666	-1.131162	10.146700
24950		1.214145	-1.167571	10.176320
24951		1.213655	-1.213766	10.210442
24952		1.213663	-1.257931	10.239716
24953		1.231680	-1.307151	10.250782
24954		1.256195	-1.355336	10.232466
24955		1.274341	-1.386299	10.190947
24956		1.290859	-1.407048	10.140419
24957		1.307571	-1.424775	10.093970
24958		1.317248	-1.443322	10.054177
24959		1.321663	-1.462140	10.024986
24960		1.325423	-1.474508	10.004220
24961		1.337976	-1.488910	9.991817
24962		1.347565	-1.503356	9.986220
24963		1.362875	-1.523483	9.985623
24964		1.381022	-1.540676	9.987924
24965		1.402049	-1.560746	9.992823
24966		1.438253	-1.586031	9.993970
24967		1.463329	-1.593702	9.992418
24968		1.488174	-1.590457	9.983803
24969		1.526386	-1.588510	9.967547
24970		1.566006	-1.582507	9.936678
24971		1.603476	-1.563240	9.889488
24972		1.637729	-1.527557	9.835762
24973		1.670509	-1.486153	9.792400
24974		1.714385	-1.453532	9.774736
24975		1.757681	-1.428078	9.780666
24976		1.792048	-1.388790	9.803641
24977		1.810836	-1.326309	9.834039
24978		1.835818	-1.262416	9.878368
24979		1.870319	-1.197402	9.938932
24980		1.898806	-1.133466	10.006265
24981		1.912206	-1.068901	10.069460
24982		1.934408	-1.020209	10.137090
24983		1.950196	-0.983335	10.220053
24984		1.951419	-0.954144	10.312099
24985		1.957548	-0.953384	10.403046
24986		1.983385	-0.980404	10.487460
24987		2.006411	-0.994202	10.551485
24988		2.013012	-0.983886	10.576593
