// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24780		-1.253544	-0.224204	12.844018
24781		-1.279767	-0.234224	12.849806
24782		-1.303889	-0.244388	12.857184
24783		-1.328408	-0.254012	12.862794
24784		-1.351881	-0.263700	12.869201
24785		-1.377020	-0.268602	12.874295
24786		-1.402074	-0.276861	12.879143
24787		-1.425386	-0.282164	12.883058
24788		-1.446996	-0.287068	12.886792
24789		-1.464972	-0.291494	12.891041
24790		-1.475348	-0.297307	12.893334
24791		-1.487741	-0.295966	12.897299
24792		-1.499823	-0.295670	12.901153
24793		-1.511264	-0.297514	12.904779
24794		-1.525662	-0.296783	12.906162
24795		-1.536411	-0.299481	12.905933
24796		-1.541964	-0.303090	12.907789
24797		-1.544704	-0.307734	12.907374
24798		-1.547568	-0.311570	12.907958
24799		-1.546798	-0.314936	12.909057
24800		-1.547829	-0.319186	12.908460
24801		-1.544452	-0.323301	12.906404
24802		-1.542934	-0.329569	12.906284
24803		-1.540096	-0.334935	12.904208
24804		-1.532880	-0.342716	12.901428
24805		-1.524267	-0.349072	12.898573
24806		-1.512765	-0.355905	12.895330
24807		-1.498154	-0.360933	12.891827
24808		-1.480771	-0.365644	12.888933
24809		-1.462418	-0.370970	12.884943
24810		-1.446389	-0.371947	12.880614
24811		-1.434649	-0.373889	12.876743
24812		-1.428343	-0.373304	12.872790
24813		-1.427895	-0.372275	12.867731
24814		-1.430138	-0.371005	12.863949
24815		-1.427775	-0.369866	12.859591
24816		-1.427448	-0.368025	12.855533
24817		-1.430146	-0.367507	12.853609
24818		-1.433344	-0.363050	12.850166
24819		-1.431301	-0.360849	12.845920
24820		-1.424459	-0.359007	12.841990
24821		-1.413873	-0.357484	12.837575
24822		-1.397629	-0.356128	12.833383
24823		-1.374120	-0.357700	12.828089
24824		-1.344513	-0.361283	12.821905
24825		-1.315555	-0.362753	12.815941
24826		-1.289817	-0.365233	12.811230
24827		-1.268569	-0.368413	12.806089
24828		-1.248509	-0.373285	12.801903
24829		-1.230886	-0.376952	12.796240
24830		-1.214572	-0.381524	12.792532
24831		-1.198998	-0.387094	12.787912
24832		-1.185453	-0.391964	12.783592
24833		-1.166775	-0.395697	12.778714
24834		-1.153369	-0.402361	12.776135
24835		-1.138134	-0.409447	12.772367
24836		-1.120131	-0.416201	12.769206
24837		-1.100542	-0.421800	12.766856
24838		-1.078401	-0.429380	12.764973
24839		-1.050556	-0.435862	12.759667
24840		-1.023942	-0.442735	12.758198
24841		-1.005215	-0.448512	12.755925
24842		-0.987556	-0.456770	12.753604
24843		-0.971274	-0.463909	12.750602
24844		-0.953617	-0.472161	12.748274
24845		-0.933214	-0.481259	12.745894
24846		-0.911499	-0.490843	12.742953
24847		-0.885194	-0.504040	12.742500
24848		-0.860890	-0.516910	12.737120
24849		-0.835235	-0.531055	12.735735
24850		-0.808631	-0.544345	12.732805
24851		-0.778118	-0.560724	12.735007
24852		-0.746699	-0.578231	12.730203
24853		-0.717439	-0.597224	12.725237
24854		-0.688053	-0.614043	12.720717
24855		-0.659043	-0.630924	12.716186
24856		-0.629078	-0.647754	12.708782
24857		-0.598832	-0.664631	12.700190
24858		-0.569386	-0.680103	12.692004
24859		-0.542201	-0.691506	12.679937
24860		-0.516793	-0.703046	12.671624
24861		-0.494822	-0.712541	12.660967
24862		-0.470909	-0.722149	12.652983
24863		-0.448739	-0.727562	12.654136
24864		-0.429256	-0.732695	12.644276
24865		-0.408395	-0.738985	12.638191
24866		-0.385125	-0.746451	12.630439
24867		-0.362385	-0.753901	12.627335
24868		-0.337748	-0.762486	12.620238
24869		-0.313134	-0.772634	12.613940
24870		-0.287612	-0.784865	12.604566
24871		-0.261100	-0.798205	12.593023
24872		-0.234530	-0.810494	12.584422
24873		-0.206982	-0.826972	12.576469
24874		-0.179651	-0.842123	12.566589
24875		-0.151869	-0.856997	12.554228
24876		-0.123296	-0.872482	12.545997
24877		-0.096053	-0.888101	12.536830
24878		-0.068868	-0.905021	12.528641
24879		-0.045779	-0.920649	12.524139
24880		-0.028387	-0.932775	12.516679
24881		-0.013170	-0.942181	12.514197
24882		0.000044	-0.952231	12.508378
24883		0.011896	-0.960086	12.506184
24884		0.024894	-0.963409	12.500946
24885		0.038618	-0.966784	12.497526
24886		0.050207	-0.965120	12.493815
24887		0.062209	-0.963456	12.489663
24888		0.074522	-0.960813	12.486868
24889		0.084054	-0.958018	12.485136
24890		0.088390	-0.953564	12.482611
24891		0.090973	-0.950781	12.481750
24892		0.093477	-0.945963	12.480426
24893		0.096640	-0.940952	12.480869
24894		0.098571	-0.933539	12.481696
24895		0.102410	-0.927302	12.482527
24896		0.108070	-0.920124	12.482845
24897		0.112673	-0.913896	12.482951
24898		0.115565	-0.909638	12.483389
24899		0.117784	-0.904796	12.482326
24900		0.121332	-0.900051	12.481789
24901		0.123836	-0.895768	12.483248
24902		0.123318	-0.892326	12.484063
24903		0.119935	-0.887643	12.484404
24904		0.116343	-0.883479	12.484752
24905		0.114331	-0.882521	12.484167
24906		0.110934	-0.878638	12.485395
24907		0.111300	-0.873456	12.487827
24908		0.111632	-0.869808	12.488548
24909		0.110624	-0.867915	12.490355
24910		0.109504	-0.866218	12.489244
24911		0.107867	-0.864805	12.491389
24912		0.106956	-0.860796	12.490442
24913		0.108811	-0.859599	12.491893
24914		0.109395	-0.857492	12.490593
24915		0.111618	-0.854979	12.488797
24916		0.111866	-0.854412	12.488343
24917		0.111052	-0.853297	12.489799
24918		0.109147	-0.851314	12.490672
24919		0.107734	-0.846268	12.490587
24920		0.108834	-0.845495	12.490039
24921		0.104389	-0.844400	12.492962
24922		0.096646	-0.844620	12.493480
24923		0.084205	-0.844073	12.497222
24924		0.074436	-0.843647	12.498057
24925		0.066111	-0.842059	12.502337
24926		0.061664	-0.838094	12.502773
24927		0.056451	-0.828685	12.503909
24928		0.054977	-0.819480	12.504389
24929		0.049640	-0.812648	12.505111
24930		0.045818	-0.801742	12.506033
24931		0.043735	-0.793061	12.508430
24932		0.042778	-0.785189	12.509660
24933		0.041602	-0.777310	12.509353
24934		0.041887	-0.769795	12.512253
24935		0.044206	-0.760884	12.513953
24936		0.041776	-0.745913	12.514093
24937		0.045128	-0.730860	12.517176
24938		0.048328	-0.715994	12.517513
24939		0.052962	-0.705671	12.518566
24940		0.056989	-0.695790	12.520249
24941		0.059650	-0.688162	12.520608
24942		0.060590	-0.680153	12.522533
24943		0.061519	-0.673685	12.521339
24944		0.058670	-0.663332	12.521150
24945		0.059347	-0.654314	12.521713
24946		0.059560	-0.647280	12.522721
24947		0.060259	-0.636665	12.523249
24948		0.061864	-0.625566	12.523480
24949		0.062551	-0.611348	12.524227
24950		0.060184	-0.595863	12.526249
24951		0.059404	-0.583100	12.527330
24952		0.053807	-0.570471	12.525808
24953		0.049324	-0.562678	12.529859
24954		0.045070	-0.558979	12.531158
24955		0.039210	-0.556510	12.532419
24956		0.034229	-0.553789	12.532800
24957		0.030095	-0.550402	12.535149
24958		0.023482	-0.547598	12.537603
24959		0.019510	-0.547605	12.540982
24960		0.011776	-0.545215	12.540754
24961		0.003203	-0.544418	12.544364
24962		-0.006164	-0.541943	12.546207
24963		-0.013223	-0.540453	12.547789
24964		-0.021406	-0.536228	12.548692
24965		-0.031650	-0.530648	12.551009
24966		-0.051545	-0.524363	12.552619
24967		-0.084962	-0.517782	12.558035
24968		-0.121178	-0.514585	12.562369
24969		-0.162424	-0.514734	12.568979
24970		-0.203906	-0.517152	12.576307
24971		-0.242584	-0.522385	12.582833
24972		-0.281530	-0.526761	12.590614
24973		-0.324321	-0.531167	12.596952
24974		-0.371744	-0.536210	12.602018
24975		-0.416369	-0.542801	12.609126
24976		-0.461629	-0.544047	12.611420
24977		-0.510101	-0.548249	12.616735
24978		-0.561153	-0.551143	12.620544
24979		-0.613194	-0.549872	12.623429
24980		-0.660630	-0.547009	12.626278
24981		-0.698969	-0.543294	12.628212
24982		-0.729878	-0.540268	12.629945
24983		-0.755715	-0.538208	12.630223
24984		-0.775005	-0.533917	12.631538
24985		-0.791267	-0.529924	12.631109
24986		-0.802154	-0.525450	12.633256
24987		-0.811546	-0.519873	12.632562
24988		-0.817592	-0.516231	12.626617
24989		-0.821474	-0.520044	12.608645
24990		-0.820819	-0.526699	12.592761
24991		-0.820549	-0.525916	12.580229
24992		-0.816373	-0.524275	12.569163
24993		-0.813759	-0.516871	12.560562
24994		-0.812202	-0.514535	12.552656
24995		-0.814953	-0.548966	12.527716
24996		-0.823898	-0.611894	12.491237
24997		-0.836071	-0.661654	12.455187
24998		-0.845538	-0.695486	12.421834
24999		-0.850517	-0.721653	12.392196
25000		-0.855185	-0.737968	12.367894
25001		-0.858264	-0.746170	12.347698
25002		-0.861437	-0.743973	12.331068
25003		-0.863561	-0.737518	12.319260
25004		-0.865861	-0.726355	12.310612
25005		-0.868764	-0.715213	12.304819
25006		-0.868501	-0.701656	12.300673
25007		-0.870604	-0.684644	12.301714
25008		-0.866385	-0.665443	12.306784
25009		-0.859416	-0.643365	12.311716
25010		-0.850134	-0.621665	12.319133
25011		-0.838038	-0.599180	12.329044
25012		-0.820808	-0.578031	12.339164
25013		-0.799131	-0.558794	12.350455
25014		-0.774880	-0.541501	12.362229
25015		-0.750251	-0.524808	12.375770
25016		-0.720157	-0.507914	12.388666
25017		-0.692846	-0.493991	12.401684
25018		-0.666768	-0.482265	12.413771
25019		-0.638557	-0.477219	12.426029
25020		-0.618206	-0.473670	12.438216
25021		-0.607505	-0.468229	12.452652
25022		-0.605338	-0.469152	12.463948
25023		-0.606368	-0.473079	12.478424
25024		-0.600954	-0.487200	12.489269
25025		-0.593446	-0.510862	12.496734
25026		-0.583878	-0.536656	12.503402
25027		-0.571695	-0.565542	12.506975
25028		-0.558731	-0.592302	12.508488
25029		-0.537268	-0.620196	12.507481
25030		-0.513957	-0.649675	12.502836
25031		-0.490353	-0.679481	12.498553
25032		-0.464520	-0.718721	12.496537
25033		-0.439267	-0.767314	12.493941
25034		-0.407409	-0.825826	12.490563
25035		-0.376680	-0.891221	12.482771
25036		-0.346499	-0.962666	12.469214
25037		-0.325051	-1.045398	12.452713
25038		-0.292257	-1.145524	12.429948
25039		-0.259718	-1.253989	12.397965
25040		-0.240072	-1.366536	12.354377
25041		-0.234057	-1.489256	12.293440
25042		-0.315336	-1.646924	12.113596
25043		-0.347528	-1.895087	11.899870
25044		-0.233625	-2.295962	11.798200
25045		-0.173200	-2.777965	11.653067
25046		-0.071134	-3.375348	11.486247
25047		-0.039178	-4.142909	11.232735
25048		-0.006708	-5.116706	10.936216
25049		0.033382	-6.251121	10.621366
25050		-0.030412	-7.514676	10.200754
25051		-0.145206	-8.889683	9.665407
25052		-0.226717	-10.352794	9.058061
25053		-0.338475	-11.919633	8.364161
25054		-0.566580	-13.571531	7.484504
25055		-0.707667	-15.204918	6.282683
25056		-0.572639	-16.778924	4.972820
25057		0.070799	-18.065315	3.765046
25058		1.075102	-18.960542	2.650809
25059		1.829088	-19.357747	1.585520
25060		2.395937	-19.602770	0.592649
25061		2.928217	-19.971838	-0.234702
25062		3.452124	-20.504303	-0.833634
25063		3.835205	-21.056747	-1.194885
25064		4.071644	-21.592771	-1.335454
25065		4.173975	-22.148758	-1.302186
25066		4.160041	-22.740198	-1.140104
25067		4.005961	-23.292732	-0.878572
25068		3.721970	-23.652187	-0.501860
25069		3.413591	-23.841813	-0.012640
25070		3.104017	-23.925079	0.576378
25071		2.720761	-23.890841	1.259989
25072		2.257080	-23.781712	2.020071
25073		1.748356	-23.651604	2.841027
25074		1.209909	-23.481644	3.704375
25075		0.618731	-23.249212	4.565826
25076		-0.039762	-22.889488	5.408650
25077		-0.702881	-22.370839	6.242490
25078		-1.320138	-21.742065	7.064336
25079		-1.913935	-21.030862	7.854470
25080		-2.506909	-20.220462	8.584675
25081		-3.084992	-19.282720	9.246811
25082		-3.615157	-18.216300	9.848646
25083		-4.094101	-17.028300	10.393304
25084		-4.510842	-15.740432	10.887541
25085		-4.879066	-14.357135	11.343944
25086		-5.240787	-12.879005	11.766716
25087		-5.595147	-11.310286	12.143859
25088		-5.931446	-9.717664	12.481950
25089		-6.244436	-8.140940	12.788196
25090		-6.530625	-6.581038	13.078942
25091		-6.786345	-5.032999	13.386188
25092		-7.022830	-3.515336	13.735249
25093		-7.268307	-2.041506	14.116139
25094		-7.511249	-0.638667	14.515528
25095		-7.743107	0.678683	14.926984
25096		-7.942054	1.907644	15.323599
25097		-8.056759	3.055371	15.686380
25098		-8.105618	4.146170	15.979927
25099		-8.119893	5.182734	16.189214
25100		-8.062068	6.124877	16.349926
25101		-7.906726	6.928933	16.513125
25102		-7.694151	7.562164	16.710717
25103		-7.444397	8.020750	16.958162
25104		-7.141550	8.294805	17.252644
25105		-6.762252	8.516722	17.550420
25106		-6.302464	8.812841	17.836580
25107		-5.799288	9.184682	18.085620
25108		-5.304179	9.574269	18.288436
25109		-4.830757	9.910139	18.455595
25110		-4.374051	10.128243	18.618195
25111		-3.930047	10.174574	18.803379
25112		-3.477942	10.037952	19.019311
25113		-3.023489	9.713770	19.244967
25114		-2.589405	9.209035	19.447634
25115		-2.209610	8.556992	19.610866
25116		-1.937924	7.832167	19.725375
25117		-1.773642	7.092657	19.806734
25118		-1.708189	6.433741	19.838715
25119		-1.677187	5.968358	19.844711
25120		-1.653840	5.713543	19.818914
25121		-1.627502	5.624691	19.781779
25122		-1.610780	5.595884	19.741158
25123		-1.622594	5.551578	19.701361
25124		-1.665085	5.461878	19.680161
25125		-1.722269	5.320990	19.688281
25126		-1.777073	5.146097	19.730238
25127		-1.810913	4.961746	19.797901
25128		-1.794122	4.761197	19.885152
25129		-1.744840	4.534682	19.960264
25130		-1.697067	4.288034	20.000973
25131		-1.623545	4.034906	19.986873
25132		-1.588854	3.835812	19.824634
25133		-1.990737	3.258764	19.547297
25134		-1.824943	2.767018	19.203443
25135		-1.433203	2.132329	18.861322
25136		-1.036945	1.701436	18.687472
25137		-0.791442	1.422494	18.663962
25138		-0.724086	1.170686	18.729413
25139		-0.748251	0.945422	18.764474
25140		-0.834824	0.710235	18.718310
25141		-0.944538	0.500321	18.611660
25142		-1.044203	0.475360	18.537599
25143		-1.100043	0.441606	18.504064
25144		-1.120625	0.379102	18.486766
25145		-1.110955	0.291911	18.461735
25146		-1.086993	0.177664	18.434132
25147		-1.043857	0.026203	18.415387
25148		-0.962773	-0.155517	18.401043
25149		-0.836078	-0.344743	18.384273
25150		-0.692973	-0.532125	18.378044
25151		-0.598575	-0.710010	18.384956
25152		-0.566199	-0.865705	18.388698
25153		-0.571906	-1.024917	18.370947
25154		-0.551950	-1.223585	18.348760
25155		-0.478188	-1.441283	18.328301
25156		-0.361059	-1.647727	18.312074
25157		-0.219766	-1.842733	18.293151
25158		-0.069278	-2.018372	18.269517
25159		0.095673	-2.163926	18.241429
25160		0.301439	-2.284717	18.199547
25161		0.518914	-2.422955	18.153903
25162		0.691412	-2.576259	18.110475
25163		0.774500	-2.786206	18.044147
25164		0.805163	-2.992801	17.972274
25165		0.841294	-3.167232	17.913471
25166		0.916110	-3.330354	17.846378
25167		1.022353	-3.491735	17.785575
25168		1.139878	-3.622230	17.748690
25169		1.241131	-3.695688	17.725082
25170		1.316948	-3.703251	17.732812
25171		1.383007	-3.648042	17.752907
25172		1.453207	-3.537323	17.794587
25173		1.517484	-3.379031	17.865882
25174		1.545409	-3.268496	17.926674
25175		1.533063	-3.250202	17.941750
25176		1.488218	-3.258430	17.942332
25177		1.437131	-3.259078	17.937252
25178		1.404750	-3.244618	17.941075
25179		1.383167	-3.210443	17.962703
25180		1.379645	-3.151454	18.005282
25181		1.390572	-3.054693	18.078858
25182		1.395657	-2.928801	18.173562
25183		1.390384	-2.772096	18.284634
25184		1.387714	-2.587646	18.411756
25185		1.388562	-2.405481	18.537157
25186		1.389368	-2.237829	18.655576
25187		1.393034	-2.082000	18.758662
25188		1.396376	-1.936013	18.847073
25189		1.394415	-1.807666	18.916114
25190		1.389775	-1.692195	18.967757
25191		1.391071	-1.582587	19.007966
25192		1.398285	-1.471265	19.046663
25193		1.402838	-1.364474	19.083404
25194		1.402737	-1.259158	19.123322
25195		1.405138	-1.157398	19.160724
25196		1.412496	-1.067917	19.196326
25197		1.423306	-0.996944	19.218736
25198		1.439840	-0.933576	19.232415
25199		1.455410	-0.873573	19.237654
25200		1.464731	-0.809654	19.235816
25201		1.461053	-0.736191	19.230047
25202		1.458300	-0.653237	19.221409
25203		1.467822	-0.557745	19.222537
25204		1.487045	-0.437938	19.236740
25205		1.498751	-0.304174	19.257720
25206		1.490704	-0.168158	19.277535
25207		1.477309	-0.037722	19.293701
25208		1.457785	0.084613	19.300589
25209		1.424300	0.199233	19.295418
25210		1.382609	0.304515	19.276467
25211		1.329387	0.397170	19.240109
25212		1.255022	0.469261	19.203152
25213		1.158928	0.519044	19.172818
25214		1.039411	0.548537	19.154083
25215		0.928797	0.568404	19.143515
25216		0.837121	0.582124	19.133061
25217		0.751388	0.587118	19.123003
25218		0.670423	0.592367	19.115184
