// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
13775		9.762182	-53.084835	-1.175650
13776		8.526307	-49.919248	-0.157115
13777		7.272317	-46.549122	0.860749
13778		5.995672	-43.087377	1.760109
13779		4.668979	-39.587251	2.516706
13780		3.328330	-36.138327	3.148522
13781		1.996142	-32.697269	3.727176
13782		0.705874	-29.255977	4.316999
13783		-0.543214	-25.745483	4.927159
13784		-1.782926	-22.207259	5.486131
13785		-3.036379	-18.612307	5.930476
13786		-4.194679	-15.071988	6.262919
13787		-5.166189	-11.588322	6.540958
13788		-5.953897	-8.205661	6.792799
13789		-6.666051	-4.865290	6.993864
13790		-7.318822	-1.607502	7.148959
13791		-7.883676	1.608163	7.300385
13792		-8.350366	4.699280	7.484141
13793		-8.752340	7.626219	7.697932
13794		-9.141171	10.314784	7.917098
13795		-9.563188	12.761663	8.136725
13796		-9.983028	14.907482	8.362580
13797		-10.400162	16.737876	8.594282
13798		-10.821235	18.175072	8.802408
13799		-11.133794	19.182884	8.968854
13800		-11.247916	19.759032	9.059887
13801		-11.012321	19.863399	9.104815
13802		-9.509727	18.965182	9.473597
13803		-7.877884	16.763719	9.788050
13804		-7.051080	14.345864	10.115628
13805		-6.293415	12.416812	10.216629
13806		-5.484989	10.188168	10.136664
13807		-5.007687	7.935685	10.171604
13808		-4.535651	5.851598	10.290748
13809		-4.139306	4.003471	10.356367
13810		-3.890942	2.464768	10.423142
13811		-3.621184	1.357615	10.418966
13812		-3.386264	0.478618	10.449781
13813		-3.133168	-0.204950	10.440114
13814		-2.985244	-0.715361	10.427297
13815		-2.865774	-1.137664	10.408660
13816		-2.758422	-1.482830	10.381971
13817		-2.689676	-1.769304	10.342327
13818		-2.681237	-2.017447	10.296459
13819		-2.727170	-2.224721	10.241672
13820		-2.802713	-2.394534	10.188543
13821		-2.893347	-2.539187	10.131113
13822		-2.978762	-2.627897	10.092022
13823		-3.028048	-2.652765	10.099774
13824		-3.027237	-2.584308	10.139836
13825		-2.980818	-2.478262	10.194443
13826		-2.921525	-2.327563	10.263007
13827		-2.858263	-2.184594	10.336851
13828		-2.801228	-2.023060	10.402247
13829		-2.742525	-1.878288	10.457677
13830		-2.677359	-1.739802	10.495001
13831		-2.604136	-1.635346	10.511274
13832		-2.531620	-1.556312	10.510889
13833		-2.449710	-1.526192	10.501426
13834		-2.362336	-1.528179	10.485080
13835		-2.256281	-1.578504	10.463534
13836		-2.143079	-1.653866	10.449971
13837		-2.040870	-1.773826	10.419244
13838		-1.946506	-1.941359	10.393530
13839		-1.854788	-2.144479	10.359405
13840		-1.775891	-2.352200	10.320842
13841		-1.704810	-2.584297	10.274039
13842		-1.654059	-2.834004	10.214649
13843		-1.618487	-3.102841	10.150299
13844		-1.605161	-3.379625	10.080062
13845		-1.612029	-3.690172	10.014252
13846		-1.649735	-4.024034	9.936374
13847		-1.673361	-4.397978	9.863891
13848		-1.661926	-4.857994	9.800563
13849		-1.664501	-5.432518	9.712245
13850		-1.670211	-6.076250	9.616597
13851		-1.696651	-6.797730	9.517447
13852		-1.750471	-7.588496	9.410630
13853		-1.789504	-8.474466	9.309343
13854		-1.792030	-9.422966	9.236239
13855		-1.778001	-10.450311	9.182050
13856		-1.764526	-11.543249	9.141626
13857		-1.725501	-12.734926	9.106383
13858		-1.655367	-14.007247	9.091575
13859		-1.553216	-15.359559	9.089235
13860		-1.436652	-16.782399	9.080712
13861		-1.278494	-18.303176	9.026485
13862		-1.097987	-19.972433	8.926206
13863		-0.862005	-21.756308	8.792844
13864		-0.479324	-23.632995	8.586310
13865		-0.015748	-25.596321	8.273059
13866		0.532711	-27.679559	7.817129
13867		1.160931	-29.970232	7.222705
13868		1.951827	-32.460676	6.461955
13869		2.930122	-35.123742	5.427765
13870		4.087020	-37.954844	4.079604
13871		5.400189	-40.964238	2.507611
13872		6.957432	-44.162418	0.723235
13873		8.450683	-47.541165	-1.204712
13874		10.161365	-50.888754	-3.368223
13875		12.260193	-54.355175	-5.697477
13876		14.683227	-57.690048	-8.202940
13877		17.986930	-60.610986	-11.001886
13878		22.243309	-63.137096	-14.128469
13879		26.481911	-64.915117	-17.105009
13880		29.543811	-65.877950	-19.782400
13881		30.152335	-65.602355	-20.785061
13882		29.133179	-64.674054	-20.099746
13883		27.687011	-63.689101	-18.529924
13884		26.161278	-62.782667	-16.613485
13885		24.607828	-61.897778	-14.617617
13886		23.027158	-60.958538	-12.700868
13887		21.418170	-59.859024	-10.857036
13888		19.856001	-58.587417	-9.113165
13889		18.296133	-57.035140	-7.400257
13890		16.759513	-55.163388	-5.710486
13891		15.201141	-52.896081	-4.035384
13892		13.642189	-50.280409	-2.466499
13893		12.053379	-47.306482	-1.037989
13894		10.495170	-44.102398	0.206582
13895		8.973136	-40.710161	1.281821
13896		7.502933	-37.239481	2.190265
13897		6.017563	-33.659270	2.951577
13898		4.522187	-30.056149	3.598771
13899		3.040609	-26.410023	4.252196
13900		1.649667	-22.770261	4.976749
13901		0.313256	-19.108209	5.720437
13902		-1.006232	-15.525324	6.387159
13903		-2.285240	-12.005764	6.981408
13904		-3.470487	-8.591091	7.491886
13905		-4.581755	-5.194796	7.886466
13906		-5.508212	-1.885617	8.225983
13907		-6.213564	1.347732	8.573617
13908		-6.741974	4.421457	8.955673
13909		-7.166310	7.328635	9.381128
13910		-7.488627	9.965701	9.849609
13911		-7.748334	12.338473	10.351613
13912		-8.009873	14.391245	10.858560
13913		-8.316582	16.122741	11.339716
13914		-8.619830	17.490787	11.754082
13915		-8.872736	18.550190	12.008285
13916		-9.165296	19.345514	11.988207
13917		-9.588341	19.908894	11.605659
13918		-9.944944	20.110781	10.960085
13919		-9.742118	19.746647	10.340969
13920		-8.031131	18.282954	10.292254
13921		-6.839471	15.814800	10.266799
13922		-6.100985	13.727855	10.441130
13923		-5.249796	11.521947	10.540517
13924		-4.613616	9.291864	10.625184
13925		-4.317536	7.253559	10.792323
13926		-4.048195	5.418804	10.907192
13927		-4.015221	3.841361	11.012903
13928		-4.068935	2.501237	11.064233
13929		-4.093825	1.524391	11.102488
13930		-4.123637	0.763706	11.148006
13931		-4.126441	0.102900	11.145272
13932		-4.158387	-0.368231	11.143775
13933		-4.164946	-0.795864	11.146181
13934		-4.169130	-1.173085	11.136174
13935		-4.204581	-1.486993	11.119953
13936		-4.299270	-1.759320	11.110701
