participant_id,actual_group,predicted_group,predicted_proba_old,correct
2,1,2,0.6684,False
3,1,1,0.2283,True
5,1,2,0.7252,False
6,1,2,0.6121,False
7,1,2,0.6206,False
8,1,2,0.5671,False
9,2,2,0.5757,True
10,2,2,0.5996,True
11,1,2,0.68,False
12,1,1,0.2845,True
13,2,1,0.4412,False
14,1,1,0.4946,True
15,2,1,0.4448,False
16,2,1,0.4145,False
17,1,2,0.7199,False
18,1,2,0.5671,False
19,1,1,0.443,True
20,1,1,0.2557,True
21,2,1,0.4141,False
22,1,2,0.6827,False
24,2,2,0.5757,True
25,2,1,0.1878,False
26,2,1,0.4267,False
27,2,2,0.5885,True
29,2,2,0.5996,True
32,2,1,0.2597,False
33,1,2,0.5671,False
35,2,1,0.4448,False
36,1,1,0.2307,True
SUMMARY,,,,
