participant_id,actual_group,predicted_group,predicted_proba_old,correct
2,1,1,0.2479,True
3,1,1,0.0914,True
5,1,2,0.5142,False
6,1,1,0.4754,True
7,1,1,0.3377,True
8,1,2,0.8306,False
9,2,2,0.5349,True
10,2,2,0.5133,True
11,1,1,0.3702,True
12,1,1,0.382,True
13,2,1,0.3992,False
14,1,1,0.1328,True
15,2,2,0.5851,True
16,2,1,0.4378,False
17,1,2,0.6417,False
18,1,2,0.6361,False
19,1,1,0.2737,True
20,1,1,0.355,True
21,2,1,0.3961,False
22,1,1,0.3803,True
24,2,2,0.6717,True
25,2,1,0.4146,False
26,2,2,0.5062,True
27,2,2,0.7112,True
29,2,1,0.4967,False
32,2,1,0.2499,False
33,1,2,0.8047,False
35,2,2,0.6048,True
36,1,1,0.1646,True
SUMMARY,,,,
