feature,n,spearman_rho,spearman_p,pearson_r,pearson_p,passes_0.3
peak_roll_walkingincline,28,-0.4936,0.0076,-0.4786,0.01,True
stride_timing_cv_walking,19,0.4932,0.0319,0.5196,0.0226,True
rom_roll_ratio_stepforward_walk,29,0.4845,0.0077,0.265,0.1648,True
peak_roll_walking,29,-0.4155,0.025,-0.3803,0.0418,True
rom_pitch_walkingincline,28,-0.4014,0.0342,-0.4063,0.0319,True
rom_roll_walkingincline,28,-0.4001,0.0349,-0.4224,0.0251,True
stride_timing_cv_walkingincline,15,0.3878,0.1533,0.4574,0.0865,True
rom_roll_walking,29,-0.3822,0.0408,-0.3835,0.04,True
rom_pitch_walking,29,-0.3757,0.0446,-0.3057,0.1068,True
rom_pitch_stepforward,29,0.3658,0.051,0.3132,0.098,True
vaf_stepforward,29,0.3293,0.0811,0.2697,0.157,True
peak_pitch_stepforward,29,0.2662,0.1627,0.2267,0.237,False
peak_pitch_walkingincline,28,-0.2612,0.1794,-0.2859,0.1402,False
rom_roll_stepforward,29,0.2425,0.205,0.117,0.5456,False
peak_pitch_walking,29,-0.2237,0.2434,-0.2738,0.1507,False
rom_roll_steplateral,29,-0.2222,0.2466,-0.3092,0.1027,False
peak_roll_steplateral,29,-0.1824,0.3436,-0.2579,0.1767,False
vaf_ratio_stepforward_walk,29,0.1753,0.3632,0.2114,0.271,False
cci_knee_walkingincline,28,0.1753,0.3722,0.1985,0.3114,False
cci_knee_steplateral,29,-0.1731,0.3693,-0.2274,0.2354,False
peak_pitch_steplateral,29,-0.1594,0.4087,-0.1316,0.4962,False
cci_knee_walking,28,0.1352,0.4929,0.1118,0.5713,False
cci_ankle_steplateral,29,-0.134,0.4883,-0.1742,0.3661,False
peak_roll_stepforward,29,0.128,0.508,-0.0043,0.9821,False
rom_pitch_steplateral,29,-0.1251,0.518,-0.1191,0.5384,False
cci_knee_ratio_stepforward_walk,28,-0.0829,0.6751,-0.0744,0.7069,False
cci_ankle_walkingincline,28,-0.0738,0.7089,-0.1597,0.4169,False
vaf_walking,29,0.0628,0.7463,-0.0522,0.7879,False
cci_ankle_stepforward,28,0.0568,0.7741,0.0334,0.8662,False
vaf_walkingincline,28,-0.0211,0.915,-0.1247,0.5273,False
vaf_steplateral,29,-0.0203,0.9169,0.0263,0.8925,False
cci_ankle_walking,28,0.0123,0.9503,-0.0446,0.8215,False
cci_knee_stepforward,28,0.0038,0.9845,0.0369,0.8521,False
