permutation,null_pearson_r
1,-0.6444903126315069
2,-0.9999996684168264
3,-0.34667703287681717
4,-0.9999999178220436
5,0.07843525702844123
6,-0.6220837437029849
7,-0.999999053859307
8,-0.4316733553623367
9,-0.38925407458037037
10,-0.9999894989695672
11,-0.9920558273160308
12,-0.14140562625710507
13,-0.4206375827991199
14,-0.416748711130713
15,0.318618235571382
16,-0.403094502535585
17,-0.015341476468364633
18,-0.6430038377408183
19,-0.5478939640550574
20,0.37014380326179935
21,-0.9999896039578821
22,-0.4569395862448177
23,-0.44014696270240483
24,-0.5063682903619231
25,-0.9643573690079279
26,0.2925095249651595
27,0.20786871466860643
28,-0.7359047574755128
29,-0.28396044777727847
30,-0.9999987775295509
31,-0.9999989586091869
32,-0.5343647699638819
33,-0.9999667005873809
34,-0.7715021375094153
35,-0.929204567456202
36,0.02849694636944278
37,-0.5401049687259868
38,-0.4194870987475089
39,-0.6697542103405997
40,-0.9999896401139446
41,-0.9999956274203509
42,0.1609895463498569
43,-0.5612603382197558
44,-0.820583210364152
45,-0.8643361318934157
46,-0.021360969734954632
47,-0.3280590974229476
48,-0.0814621727245039
49,-0.054254041289882454
50,0.005423580205731284
51,-0.004091419487725581
52,-0.9999996560561778
53,-0.4212058919936428
54,-0.999997896415575
55,0.1539110004534057
56,0.04676218960890197
57,-0.7575502957955385
58,-0.3701831132972638
59,-0.43324608317923924
60,-0.004146931385474489
61,-0.5786833882661871
62,-0.9999989343881854
63,-0.7343346863308763
64,-0.6601320533001926
65,-0.36534967144132247
66,0.08020068889943599
67,0.4067501372641192
68,-0.462833652535409
69,-0.4085610694682126
70,-0.8828992496850601
71,-0.46190371967785576
72,-0.7120750656692102
73,-0.1562555124399297
74,-0.965056130009877
75,-0.4277406759754315
76,-0.14556098904321013
77,-0.7200273774667276
78,-0.5933444403169025
79,0.22965985451640533
80,0.1465077599381346
81,-0.5869401048099769
82,-0.05231127231884432
83,-0.9999777315352147
84,-0.9280398165966495
85,-0.3333949030979245
86,-0.4328490762462336
87,-0.8475520953649383
88,0.10385956642530483
89,-0.34362013792210655
90,0.24596469367169893
91,0.11998650733422878
92,-0.5707857902950194
93,-0.39625598903241827
94,-0.38971489580678026
95,-0.3990117628799097
96,0.20889622696823487
97,0.20556022500564788
98,0.044695706357250384
99,0.2520830050134678
100,-0.9999979720793328
101,-0.02965839244005267
102,-0.40131785094165917
103,0.14161295655710854
104,-0.998927717568205
105,-0.10072988270371977
106,-0.8977103220633685
107,-0.9998249229641333
108,-0.3589287779547254
109,-0.4100452046910758
110,-0.7201603922999928
111,-0.02123282023929478
112,-0.44311991816873286
113,-0.6207111047619439
114,0.0739870797095969
115,0.09661388523007464
116,0.1560460380721587
117,-0.020567180170848062
118,0.2856262279399462
119,-0.44610536971407544
120,0.1557443101629618
121,-0.3171464792062387
122,-0.9999999127545667
123,-0.7162923278734128
124,-0.7726983769732718
125,-0.9999991894738418
126,-0.999515218954958
127,-0.7632540099755839
128,0.23612308368185222
129,-0.3374392086546658
130,-0.8497340744482069
131,-0.4094516297113002
132,-0.9998093650457078
133,-0.6226193264147886
134,-0.9999998572097335
135,-0.5218217200819839
136,-0.9999768724673874
137,-0.40515357993377266
138,0.1880082975100258
139,-0.6500937487007915
140,-0.3784124374932498
141,-0.07993190818233284
142,-0.4066782303193096
143,0.27324362025062554
144,-0.42079601885924617
145,-0.9999946400914956
146,-0.899812973772613
147,-0.4224281162608541
148,-0.5474561698159957
149,-0.999982372486138
150,-0.4364884483553542
151,-0.9999831263935292
152,-0.41806778995701027
153,-0.5386111768353684
154,-0.3145279522308771
155,-0.5434393577129307
156,-0.3914947530715108
157,-0.9999988683683766
158,-0.4279470813312067
159,-0.3162408087784897
160,-0.9999993642695737
161,-0.4145795312850412
162,0.02469786690215019
163,-0.44151199803824626
164,-0.9999990538593073
165,-0.9750948346706555
166,-0.44111660256252544
167,0.13841314054177878
168,0.14175465771007928
169,-0.7587221442900798
170,-0.6035133023434892
171,-0.7078398260774168
172,-0.4774635420896363
173,0.006785214645891269
174,-0.999742450033729
175,-0.9999963753060758
176,-0.381605929392757
177,-0.6984380894045084
178,-0.45956666081411046
179,-0.9307997132680832
180,-0.5211186147066443
181,-0.418386943754339
182,-0.743164249996933
183,-0.9966481215619964
184,-0.9999985826202938
185,0.15586501385220833
186,-0.7695261176103372
187,-0.7248542341497304
188,-0.4444814737203822
189,-0.48350376817220203
190,-0.3931995287575977
191,-0.74719881892289
192,-0.04826280257651614
193,-0.8654710528741172
194,-0.6185277504719366
195,-0.9999996103405875
196,0.14077353058284098
197,-0.6054861278755456
198,-0.3679848662921205
199,-0.6198353758428853
200,-0.41431783680672696
201,-0.9999991507743602
202,-0.03615052879195235
203,-0.48406018459916916
204,-0.05320195117217271
205,-0.9991399021732684
206,-0.5876247052789606
207,-0.9999987682983111
208,-0.35072458937192724
209,0.018937495302468712
210,0.1403545126729369
211,0.1393370080121602
212,-0.006199107518594642
213,-0.39001516816927406
214,-0.35264424353391344
215,0.4254162628808744
216,-0.6203307173379967
217,-0.45328019163531835
218,0.03935101513594462
219,-0.33208405394405877
220,0.4255609144163773
221,0.16950457244640707
222,-0.3571005986027722
223,-0.022580794162746613
224,0.261060192969701
225,-0.023055894248626033
226,-0.42033651181926807
227,-0.6143706132597413
228,-0.7742542323219752
229,-0.4449328027619635
230,-0.4097984139552971
231,-0.9999983938810618
232,-0.7954757602725494
233,-0.6060414866126027
234,-0.4369424918651034
235,-0.6472446886354314
236,-0.9999986443845366
237,-0.03187786723221876
238,0.42871799601696936
239,0.22605144810132768
240,-0.9999992713831656
241,-0.22988683128101967
242,-0.999999648920385
243,0.045255369733620876
244,-0.031015048513019082
