model,term,estimate,std_error,t_value,p_value
Model A (no interaction),Intercept,-0.18538588994472605,8.342886596356745,-0.022220833017876834,0.9826092515992946
Model A (no interaction),peak_roll_walkingincline,-0.08822589346366871,0.1127723798969821,-0.782336007666623,0.4480335247261634
Model A (no interaction),stride_timing_cv_walking,3.9135981743993815,3.4484614932869326,1.1348823763924647,0.27691699667951375
Model A (no interaction),rom_roll_ratio_stepforward_walk,6.2320718272658695,8.11253212686482,0.7682030381893012,0.4560952271368246
Model A (no interaction),group,26.21231751336047,2.8842643618507187,9.088042642714298,5.39242805455905e-07
Model B (with interaction),Intercept,15.191737754531554,21.745037073981038,0.6986301151313825,0.5007074264138933
Model B (with interaction),peak_roll_walkingincline,-0.6902512304264954,0.33842878270422927,-2.039576022201818,0.06869604766831383
Model B (with interaction),stride_timing_cv_walking,10.45735330207581,11.096522190226489,0.9423991700107948,0.3681977744164254
Model B (with interaction),rom_roll_ratio_stepforward_walk,24.847780205982204,28.173811515225687,0.8819459941568066,0.39850938749298115
Model B (with interaction),group,9.383396197734882,14.935819818271096,0.6282478171205645,0.543922373834008
Model B (with interaction),group:peak_roll_walkingincline,0.542947781978739,0.2723663228650977,1.9934468265654839,0.07419357097781465
Model B (with interaction),group:stride_timing_cv_walking,-3.3607098665814625,6.566088098299769,-0.511828323998834,0.6198831958352994
Model B (with interaction),group:rom_roll_ratio_stepforward_walk,-8.271485791178323,16.243139932021514,-0.5092294855425105,0.6216387747613074
